datetime,LTCBUSD_open,LTCBUSD_high,LTCBUSD_low,LTCBUSD_close
2022-01-01 00:00:00,146.8,149.3,146.8,148.2
2022-01-01 01:00:00,148.2,148.4,147.1,147.3
2022-01-01 02:00:00,147.2,148.3,146.9,148.0
2022-01-01 03:00:00,148.0,148.7,147.7,148.1
2022-01-01 04:00:00,148.1,148.4,147.4,147.9
2022-01-01 05:00:00,148.0,148.6,146.8,147.3
2022-01-01 06:00:00,147.4,147.9,147.3,147.5
2022-01-01 07:00:00,147.6,148.7,147.5,148.3
2022-01-01 08:00:00,148.4,148.6,147.7,148.0
2022-01-01 09:00:00,147.9,148.9,147.5,148.5
2022-01-01 10:00:00,148.5,150.1,148.2,149.3
2022-01-01 11:00:00,149.3,150.2,149.1,149.4
2022-01-01 12:00:00,149.4,151.0,149.2,150.6
2022-01-01 13:00:00,150.7,150.9,149.8,150.1
2022-01-01 14:00:00,150.2,150.5,149.7,149.9
2022-01-01 15:00:00,150.0,150.7,149.7,150.3
2022-01-01 16:00:00,150.2,150.7,149.6,149.8
2022-01-01 17:00:00,149.8,150.3,149.5,150.2
2022-01-01 18:00:00,150.2,151.0,149.7,150.8
2022-01-01 19:00:00,150.8,150.9,149.7,150.3
2022-01-01 20:00:00,150.3,150.3,149.4,149.5
2022-01-01 21:00:00,149.5,149.9,149.3,149.6
2022-01-01 22:00:00,149.6,150.7,149.5,150.2
2022-01-01 23:00:00,150.2,150.4,147.9,148.6
2022-01-02 00:00:00,148.5,149.4,148.5,149.2
2022-01-02 01:00:00,149.3,149.5,148.8,149.1
2022-01-02 02:00:00,149.1,149.8,148.9,149.4
2022-01-02 03:00:00,149.4,149.6,148.7,149.6
2022-01-02 04:00:00,149.6,150.6,149.4,150.0
2022-01-02 05:00:00,150.0,150.2,149.3,149.3
2022-01-02 06:00:00,149.5,150.2,149.4,149.5
2022-01-02 07:00:00,149.5,150.4,148.6,150.0
2022-01-02 08:00:00,150.0,150.0,149.3,149.4
2022-01-02 09:00:00,149.5,150.3,149.4,150.0
2022-01-02 10:00:00,150.0,151.9,149.9,151.5
2022-01-02 11:00:00,151.5,153.1,151.1,152.7
2022-01-02 12:00:00,152.9,153.3,152.0,152.5
2022-01-02 13:00:00,152.6,152.6,149.9,151.3
2022-01-02 14:00:00,151.4,152.0,150.9,151.4
2022-01-02 15:00:00,151.3,151.7,150.9,151.3
2022-01-02 16:00:00,151.2,151.5,150.4,150.4
2022-01-02 17:00:00,150.4,151.4,150.4,151.2
2022-01-02 18:00:00,151.3,151.9,151.1,151.2
2022-01-02 19:00:00,151.1,151.2,150.4,150.6
2022-01-02 20:00:00,150.5,150.9,149.9,150.4
2022-01-02 21:00:00,150.3,150.5,149.6,150.1
2022-01-02 22:00:00,150.2,150.4,149.2,149.5
2022-01-02 23:00:00,149.6,150.4,149.5,149.8
2022-01-03 00:00:00,149.8,151.0,149.7,150.6
2022-01-03 01:00:00,150.7,150.7,149.7,149.8
2022-01-03 02:00:00,149.7,150.1,149.5,150.1
2022-01-03 03:00:00,150.1,150.3,149.6,149.8
2022-01-03 04:00:00,149.9,150.3,149.1,149.7
2022-01-03 05:00:00,149.8,150.7,149.8,150.3
2022-01-03 06:00:00,150.4,151.2,150.3,150.8
2022-01-03 07:00:00,151.0,151.2,150.0,150.5
2022-01-03 08:00:00,150.5,151.2,150.2,150.4
2022-01-03 09:00:00,150.5,151.1,149.6,149.9
2022-01-03 10:00:00,149.8,150.1,148.2,148.6
2022-01-03 11:00:00,148.7,149.2,147.1,148.1
2022-01-03 12:00:00,148.0,149.2,147.9,148.4
2022-01-03 13:00:00,148.4,148.8,148.0,148.2
2022-01-03 14:00:00,148.2,148.9,148.0,148.0
2022-01-03 15:00:00,147.9,148.0,146.0,146.8
2022-01-03 16:00:00,146.7,147.8,146.5,147.1
2022-01-03 17:00:00,147.1,148.6,147.0,148.1
2022-01-03 18:00:00,148.1,148.9,148.1,148.4
2022-01-03 19:00:00,148.4,148.7,147.1,147.5
2022-01-03 20:00:00,147.4,148.0,146.7,147.0
2022-01-03 21:00:00,147.1,147.6,146.4,147.2
2022-01-03 22:00:00,147.3,148.0,146.7,147.7
2022-01-03 23:00:00,147.7,148.1,147.1,147.1
2022-01-04 00:00:00,147.2,148.6,147.0,147.9
2022-01-04 01:00:00,148.0,148.6,147.7,148.5
2022-01-04 02:00:00,148.4,148.8,148.1,148.7
2022-01-04 03:00:00,148.8,149.5,148.6,149.2
2022-01-04 04:00:00,149.3,149.8,148.4,148.6
2022-01-04 05:00:00,148.7,150.2,148.4,149.9
2022-01-04 06:00:00,150.0,150.5,149.5,150.1
2022-01-04 07:00:00,150.1,150.3,149.2,149.8
2022-01-04 08:00:00,149.8,150.8,148.9,150.3
2022-01-04 09:00:00,150.4,151.4,150.1,151.1
2022-01-04 10:00:00,151.1,151.7,150.0,150.3
2022-01-04 11:00:00,150.3,150.9,149.8,150.5
2022-01-04 12:00:00,150.5,150.8,149.2,149.3
2022-01-04 13:00:00,149.3,149.7,145.2,146.0
2022-01-04 14:00:00,146.0,148.3,145.6,147.2
2022-01-04 15:00:00,147.2,148.2,146.7,147.5
2022-01-04 16:00:00,147.5,147.9,147.1,147.6
2022-01-04 17:00:00,147.6,147.6,147.0,147.3
2022-01-04 18:00:00,147.2,147.2,146.0,146.5
2022-01-04 19:00:00,146.6,147.8,145.9,147.7
2022-01-04 20:00:00,147.7,148.1,147.1,147.2
2022-01-04 21:00:00,147.3,148.2,147.3,148.1
2022-01-04 22:00:00,148.0,148.8,147.9,148.5
2022-01-04 23:00:00,148.5,148.7,148.2,148.4
2022-01-05 00:00:00,148.5,148.5,147.4,148.0
2022-01-05 01:00:00,148.0,148.6,147.7,148.5
2022-01-05 02:00:00,148.5,148.7,148.1,148.5
2022-01-05 03:00:00,148.5,149.1,147.9,148.9
2022-01-05 04:00:00,148.8,149.4,148.7,149.2
2022-01-05 05:00:00,149.2,149.9,148.8,149.1
2022-01-05 06:00:00,149.1,149.1,147.3,148.0
2022-01-05 07:00:00,148.0,148.3,146.8,147.9
2022-01-05 08:00:00,148.0,149.2,147.6,149.1
2022-01-05 09:00:00,149.1,149.9,147.9,149.4
2022-01-05 10:00:00,149.4,149.6,148.5,149.2
2022-01-05 11:00:00,149.2,149.3,148.1,148.3
2022-01-05 12:00:00,148.1,148.9,147.2,147.3
2022-01-05 13:00:00,147.2,148.8,146.5,147.9
2022-01-05 14:00:00,147.8,148.2,142.4,142.7
2022-01-05 15:00:00,142.6,143.2,138.3,139.6
2022-01-05 16:00:00,139.6,141.0,135.8,136.2
2022-01-05 17:00:00,136.2,137.0,129.9,135.1
2022-01-05 18:00:00,134.8,136.2,133.7,135.3
2022-01-05 19:00:00,135.4,137.7,134.1,136.8
2022-01-05 20:00:00,136.8,137.0,135.2,136.0
2022-01-05 21:00:00,135.9,136.1,134.2,135.0
2022-01-05 22:00:00,134.9,135.4,133.9,134.0
2022-01-05 23:00:00,134.0,136.2,133.3,135.6
2022-01-06 00:00:00,135.5,137.7,134.6,135.7
2022-01-06 01:00:00,135.7,136.5,134.7,136.0
2022-01-06 02:00:00,135.8,136.8,135.4,136.8
2022-01-06 03:00:00,136.8,136.9,134.5,135.9
2022-01-06 04:00:00,136.0,136.0,132.7,133.2
2022-01-06 05:00:00,133.3,135.3,133.3,134.6
2022-01-06 06:00:00,134.8,135.0,133.3,134.1
2022-01-06 07:00:00,134.2,134.6,132.5,134.6
2022-01-06 08:00:00,134.6,135.8,134.0,135.5
2022-01-06 09:00:00,135.4,135.6,133.8,133.9
2022-01-06 10:00:00,134.0,135.4,133.3,135.2
2022-01-06 11:00:00,135.2,135.9,134.6,135.7
2022-01-06 12:00:00,135.8,136.9,135.4,136.2
2022-01-06 13:00:00,136.3,138.0,136.2,137.9
2022-01-06 14:00:00,137.9,137.9,137.0,137.3
2022-01-06 15:00:00,137.4,137.7,135.9,136.1
2022-01-06 16:00:00,136.3,137.1,136.2,136.3
2022-01-06 17:00:00,136.5,137.1,136.1,136.8
2022-01-06 18:00:00,136.9,137.1,136.0,136.1
2022-01-06 19:00:00,136.0,136.4,135.0,135.4
2022-01-06 20:00:00,135.4,136.2,135.3,136.2
2022-01-06 21:00:00,136.0,136.1,135.0,135.1
2022-01-06 22:00:00,135.1,135.3,129.7,130.7
2022-01-06 23:00:00,130.7,131.5,125.9,129.3
2022-01-07 00:00:00,129.4,130.4,128.5,130.1
2022-01-07 01:00:00,130.1,130.1,128.3,129.1
2022-01-07 02:00:00,129.2,130.3,127.6,130.2
2022-01-07 03:00:00,130.0,134.3,129.8,132.6
2022-01-07 04:00:00,132.6,133.9,132.4,133.2
2022-01-07 05:00:00,133.1,133.9,132.8,132.8
2022-01-07 06:00:00,132.7,133.8,132.7,133.4
2022-01-07 07:00:00,133.4,134.5,133.4,133.7
2022-01-07 08:00:00,133.8,135.2,129.3,131.4
2022-01-07 09:00:00,131.7,133.8,131.2,133.2
2022-01-07 10:00:00,133.2,133.2,128.5,131.1
2022-01-07 11:00:00,131.1,135.4,129.7,134.9
2022-01-07 12:00:00,134.8,135.0,133.5,134.4
2022-01-07 13:00:00,134.4,134.5,132.5,133.2
2022-01-07 14:00:00,133.2,133.9,132.4,133.4
2022-01-07 15:00:00,133.5,133.9,132.5,133.0
2022-01-07 16:00:00,133.1,133.5,132.4,132.5
2022-01-07 17:00:00,132.4,132.5,129.9,130.8
2022-01-07 18:00:00,130.7,131.4,130.4,131.2
2022-01-07 19:00:00,131.3,133.5,130.9,133.3
2022-01-07 20:00:00,133.2,133.6,132.3,132.4
2022-01-07 21:00:00,132.4,132.5,131.3,132.1
2022-01-07 22:00:00,132.1,132.3,131.2,132.2
2022-01-07 23:00:00,132.2,133.1,131.9,132.8
2022-01-08 00:00:00,132.7,132.9,132.3,132.7
2022-01-08 01:00:00,132.7,132.8,131.7,132.7
2022-01-08 02:00:00,132.7,133.0,132.5,132.9
2022-01-08 03:00:00,132.8,133.7,132.6,133.2
2022-01-08 04:00:00,133.2,134.0,133.2,133.9
2022-01-08 05:00:00,133.9,134.0,132.5,133.2
2022-01-08 06:00:00,133.1,134.8,132.7,134.3
2022-01-08 07:00:00,134.4,134.7,133.6,134.0
2022-01-08 08:00:00,134.0,134.6,133.0,134.2
2022-01-08 09:00:00,134.2,134.7,132.8,132.8
2022-01-08 10:00:00,132.8,133.1,130.5,131.2
2022-01-08 11:00:00,131.2,132.0,129.5,129.8
2022-01-08 12:00:00,129.7,130.4,127.3,127.5
2022-01-08 13:00:00,127.4,129.1,125.3,125.6
