datetime,LTOBUSD_open,LTOBUSD_high,LTOBUSD_low,LTOBUSD_close
2022-01-01 00:00:00,0.3755,0.3842,0.3748,0.3836
2022-01-01 01:00:00,0.3814,0.3844,0.3781,0.3832
2022-01-01 02:00:00,0.3825,0.3922,0.3787,0.3827
2022-01-01 03:00:00,0.3831,0.3872,0.3805,0.3805
2022-01-01 04:00:00,0.3829,0.4025,0.3814,0.3894
2022-01-01 05:00:00,0.3894,0.4034,0.3852,0.3984
2022-01-01 06:00:00,0.3987,0.3989,0.3903,0.3922
2022-01-01 07:00:00,0.3915,0.4104,0.3915,0.403
2022-01-01 08:00:00,0.4029,0.4079,0.3996,0.4061
2022-01-01 09:00:00,0.4069,0.4074,0.4003,0.4042
2022-01-01 10:00:00,0.4045,0.4045,0.4017,0.4025
2022-01-01 11:00:00,0.4031,0.4135,0.403,0.4092
2022-01-01 12:00:00,0.4083,0.4127,0.4023,0.4059
2022-01-01 13:00:00,0.405,0.4115,0.4021,0.4102
2022-01-01 14:00:00,0.4091,0.4098,0.4011,0.4044
2022-01-01 15:00:00,0.4042,0.4103,0.4018,0.4039
2022-01-01 16:00:00,0.4032,0.408,0.4021,0.4023
2022-01-01 17:00:00,0.4037,0.4046,0.3955,0.3972
2022-01-01 18:00:00,0.396,0.4005,0.396,0.4005
2022-01-01 19:00:00,0.4007,0.4018,0.3963,0.3963
2022-01-01 20:00:00,0.3964,0.3977,0.3921,0.3952
2022-01-01 21:00:00,0.3952,0.407,0.3935,0.4017
2022-01-01 22:00:00,0.4017,0.4031,0.3966,0.398
2022-01-01 23:00:00,0.3982,0.4032,0.3933,0.3961
2022-01-02 00:00:00,0.3966,0.4021,0.3919,0.3942
2022-01-02 01:00:00,0.394,0.3946,0.393,0.3946
2022-01-02 02:00:00,0.3942,0.3942,0.3933,0.3938
2022-01-02 03:00:00,0.3939,0.4006,0.3922,0.397
2022-01-02 04:00:00,0.397,0.4007,0.3917,0.3927
2022-01-02 05:00:00,0.3923,0.3942,0.3892,0.3907
2022-01-02 06:00:00,0.3902,0.3917,0.386,0.3873
2022-01-02 07:00:00,0.3865,0.389,0.3831,0.3882
2022-01-02 08:00:00,0.3889,0.3946,0.3883,0.3896
2022-01-02 09:00:00,0.3901,0.3975,0.3896,0.395
2022-01-02 10:00:00,0.3945,0.3967,0.3899,0.3926
2022-01-02 11:00:00,0.3934,0.3973,0.3934,0.3973
2022-01-02 12:00:00,0.3968,0.398,0.3892,0.3924
2022-01-02 13:00:00,0.3906,0.3916,0.3838,0.3896
2022-01-02 14:00:00,0.3892,0.3913,0.3835,0.3857
2022-01-02 15:00:00,0.3846,0.3965,0.382,0.3887
2022-01-02 16:00:00,0.3886,0.3906,0.3874,0.3874
2022-01-02 17:00:00,0.3883,0.3883,0.3856,0.3878
2022-01-02 18:00:00,0.3869,0.388,0.3846,0.3846
2022-01-02 19:00:00,0.3845,0.3855,0.3821,0.3833
2022-01-02 20:00:00,0.3821,0.3832,0.3805,0.3832
2022-01-02 21:00:00,0.382,0.3845,0.3782,0.3832
2022-01-02 22:00:00,0.3832,0.3836,0.3752,0.3762
2022-01-02 23:00:00,0.3761,0.3797,0.3761,0.3787
2022-01-03 00:00:00,0.3781,0.3805,0.3781,0.3805
2022-01-03 01:00:00,0.3805,0.3809,0.3798,0.3798
2022-01-03 02:00:00,0.3794,0.3841,0.3792,0.3838
2022-01-03 03:00:00,0.384,0.3863,0.3817,0.3827
2022-01-03 04:00:00,0.3834,0.3834,0.3791,0.3794
2022-01-03 05:00:00,0.3798,0.3888,0.3798,0.3824
2022-01-03 06:00:00,0.384,0.3857,0.3811,0.3848
