datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-01 00:00:00,3.279,3.3305,3.2733,3.3058
2022-01-01 01:00:00,3.3048,3.3125,3.2885,3.2895
2022-01-01 02:00:00,3.2911,3.3207,3.2831,3.311
2022-01-01 03:00:00,3.3123,3.325,3.2961,3.2984
2022-01-01 04:00:00,3.2988,3.3094,3.2756,3.2948
2022-01-01 05:00:00,3.2949,3.303,3.266,3.2796
2022-01-01 06:00:00,3.279,3.2931,3.273,3.2746
2022-01-01 07:00:00,3.2746,3.3025,3.2746,3.2958
2022-01-01 08:00:00,3.2985,3.31,3.293,3.303
2022-01-01 09:00:00,3.3044,3.3048,3.2859,3.2889
2022-01-01 10:00:00,3.2885,3.3171,3.284,3.3053
2022-01-01 11:00:00,3.3046,3.321,3.3017,3.3076
2022-01-01 12:00:00,3.31,3.3438,3.3003,3.336
2022-01-01 13:00:00,3.336,3.3376,3.3145,3.327
2022-01-01 14:00:00,3.3277,3.3338,3.3121,3.3281
2022-01-01 15:00:00,3.3296,3.342,3.3236,3.3359
2022-01-01 16:00:00,3.3372,3.3573,3.332,3.342
2022-01-01 17:00:00,3.3408,3.3466,3.3282,3.3299
2022-01-01 18:00:00,3.3299,3.3503,3.3192,3.3473
2022-01-01 19:00:00,3.347,3.351,3.3242,3.3417
2022-01-01 20:00:00,3.3435,3.3435,3.3206,3.3267
2022-01-01 21:00:00,3.3267,3.3331,3.3199,3.3247
2022-01-01 22:00:00,3.3232,3.343,3.317,3.3357
2022-01-01 23:00:00,3.3356,3.3356,3.2708,3.2871
2022-01-02 00:00:00,3.2878,3.2973,3.2816,3.2943
2022-01-02 01:00:00,3.294,3.296,3.2858,3.2932
2022-01-02 02:00:00,3.2903,3.308,3.2858,3.2982
2022-01-02 03:00:00,3.2981,3.3084,3.2831,3.3084
2022-01-02 04:00:00,3.3084,3.3265,3.3035,3.3101
2022-01-02 05:00:00,3.3087,3.3181,3.3059,3.3086
2022-01-02 06:00:00,3.3094,3.3259,3.3067,3.317
2022-01-02 07:00:00,3.3172,3.3266,3.2982,3.3142
2022-01-02 08:00:00,3.3147,3.317,3.2992,3.3002
2022-01-02 09:00:00,3.2995,3.309,3.2939,3.3021
2022-01-02 10:00:00,3.3033,3.34,3.3002,3.333
2022-01-02 11:00:00,3.3335,3.3763,3.3247,3.3738
2022-01-02 12:00:00,3.3752,3.3834,3.3483,3.3508
2022-01-02 13:00:00,3.351,3.3521,3.297,3.3235
2022-01-02 14:00:00,3.3222,3.3339,3.3124,3.316
2022-01-02 15:00:00,3.316,3.324,3.3097,3.3142
2022-01-02 16:00:00,3.3128,3.3274,3.3077,3.3206
2022-01-02 17:00:00,3.3202,3.3388,3.3183,3.3388
2022-01-02 18:00:00,3.3389,3.3494,3.3353,3.3379
2022-01-02 19:00:00,3.3384,3.3635,3.3163,3.3271
2022-01-02 20:00:00,3.3267,3.3269,3.3042,3.31
2022-01-02 21:00:00,3.3108,3.3133,3.2972,3.3072
2022-01-02 22:00:00,3.307,3.3133,3.2812,3.286
2022-01-02 23:00:00,3.2859,3.3018,3.2833,3.2884
2022-01-03 00:00:00,3.2885,3.313,3.2881,3.304
2022-01-03 01:00:00,3.3041,3.3053,3.2858,3.2911
2022-01-03 02:00:00,3.2911,3.3007,3.282,3.2933
2022-01-03 03:00:00,3.2933,3.3075,3.2921,3.2964
2022-01-03 04:00:00,3.2972,3.3052,3.2813,3.3036
2022-01-03 05:00:00,3.3038,3.3078,3.2951,3.2967
2022-01-03 06:00:00,3.298,3.3236,3.298,3.3172
2022-01-03 07:00:00,3.3185,3.3289,3.3068,3.3096
2022-01-03 08:00:00,3.3098,3.3247,3.3098,3.3146
2022-01-03 09:00:00,3.3117,3.3247,3.3002,3.3035
2022-01-03 10:00:00,3.3028,3.3124,3.2604,3.2723
2022-01-03 11:00:00,3.2721,3.2786,3.217,3.2467
2022-01-03 12:00:00,3.2464,3.28,3.2356,3.2616
2022-01-03 13:00:00,3.2616,3.2733,3.2557,3.264
2022-01-03 14:00:00,3.2643,3.2853,3.2556,3.2683
2022-01-03 15:00:00,3.2664,3.2727,3.2115,3.2321
2022-01-03 16:00:00,3.2277,3.2505,3.2174,3.2315
2022-01-03 17:00:00,3.2314,3.2556,3.2254,3.2449
2022-01-03 18:00:00,3.245,3.2619,3.2426,3.2494
2022-01-03 19:00:00,3.2509,3.2567,3.215,3.2219
2022-01-03 20:00:00,3.223,3.2328,3.1773,3.192
2022-01-03 21:00:00,3.1882,3.2,3.1313,3.1717
2022-01-03 22:00:00,3.1729,3.2034,3.1626,3.1941
2022-01-03 23:00:00,3.1934,3.2087,3.1809,3.1866
2022-01-04 00:00:00,3.1853,3.2061,3.1783,3.2007
2022-01-04 01:00:00,3.2019,3.2213,3.1936,3.2207
2022-01-04 02:00:00,3.2207,3.235,3.2063,3.235
2022-01-04 03:00:00,3.2352,3.2411,3.2162,3.226
2022-01-04 04:00:00,3.2266,3.2327,3.2059,3.2172
2022-01-04 05:00:00,3.2164,3.2471,3.2085,3.2398
2022-01-04 06:00:00,3.2398,3.2618,3.2305,3.2613
2022-01-04 07:00:00,3.2616,3.2649,3.2287,3.2515
2022-01-04 08:00:00,3.2515,3.2759,3.2317,3.2667
2022-01-04 09:00:00,3.268,3.2998,3.2617,3.2918
2022-01-04 10:00:00,3.2931,3.3055,3.2487,3.2556
2022-01-04 11:00:00,3.2556,3.2707,3.2424,3.2673
2022-01-04 12:00:00,3.2673,3.274,3.2413,3.2446
2022-01-04 13:00:00,3.2446,3.2622,3.184,3.1883
2022-01-04 14:00:00,3.1884,3.2279,3.1671,3.1976
2022-01-04 15:00:00,3.1949,3.2224,3.1904,3.207
2022-01-04 16:00:00,3.2078,3.2213,3.1994,3.2179
2022-01-04 17:00:00,3.2175,3.2175,3.1907,3.1994
2022-01-04 18:00:00,3.1957,3.1983,3.1613,3.1744
2022-01-04 19:00:00,3.1747,3.1998,3.16,3.1925
2022-01-04 20:00:00,3.1919,3.2077,3.1821,3.1954
