datetime,MANAUSD_open,MANAUSD_high,MANAUSD_low,MANAUSD_close
2022-01-01 00:00:00,3.267,3.322,3.258,3.316
2022-01-01 01:00:00,3.314,3.322,3.294,3.298
2022-01-01 02:00:00,3.299,3.314,3.296,3.3
2022-01-01 03:00:00,3.3,3.312,3.291,3.294
2022-01-01 04:00:00,3.294,3.311,3.276,3.28
2022-01-01 05:00:00,3.278,3.33,3.272,3.307
2022-01-01 06:00:00,3.308,3.313,3.29,3.294
2022-01-01 07:00:00,3.294,3.32,3.284,3.312
2022-01-01 08:00:00,3.311,3.32,3.295,3.299
2022-01-01 09:00:00,3.298,3.309,3.274,3.295
2022-01-01 10:00:00,3.295,3.303,3.265,3.28
2022-01-01 11:00:00,3.279,3.293,3.272,3.273
2022-01-01 12:00:00,3.273,3.303,3.273,3.296
2022-01-01 13:00:00,3.296,3.311,3.291,3.305
2022-01-01 14:00:00,3.305,3.307,3.285,3.288
2022-01-01 15:00:00,3.288,3.318,3.283,3.307
2022-01-01 16:00:00,3.305,3.323,3.301,3.309
2022-01-01 17:00:00,3.311,3.347,3.302,3.337
2022-01-01 18:00:00,3.336,3.338,3.315,3.329
2022-01-01 19:00:00,3.329,3.335,3.313,3.331
2022-01-01 20:00:00,3.334,3.344,3.324,3.341
2022-01-01 21:00:00,3.341,3.36,3.332,3.346
2022-01-01 22:00:00,3.345,3.347,3.328,3.331
2022-01-01 23:00:00,3.33,3.351,3.319,3.348
2022-01-02 00:00:00,3.349,3.353,3.324,3.344
2022-01-02 01:00:00,3.343,3.345,3.321,3.326
2022-01-02 02:00:00,3.328,3.335,3.319,3.324
2022-01-02 03:00:00,3.324,3.344,3.315,3.336
2022-01-02 04:00:00,3.334,3.335,3.27,3.289
2022-01-02 05:00:00,3.29,3.298,3.28,3.296
2022-01-02 06:00:00,3.295,3.297,3.285,3.288
2022-01-02 07:00:00,3.288,3.309,3.287,3.296
2022-01-02 08:00:00,3.296,3.31,3.283,3.31
2022-01-02 09:00:00,3.307,3.326,3.303,3.31
2022-01-02 10:00:00,3.309,3.318,3.306,3.309
2022-01-02 11:00:00,3.309,3.326,3.306,3.318
2022-01-02 12:00:00,3.316,3.325,3.296,3.315
2022-01-02 13:00:00,3.314,3.317,3.299,3.301
2022-01-02 14:00:00,3.3,3.311,3.295,3.303
2022-01-02 15:00:00,3.303,3.34,3.299,3.334
2022-01-02 16:00:00,3.334,3.377,3.326,3.374
2022-01-02 17:00:00,3.374,3.385,3.347,3.352
2022-01-02 18:00:00,3.353,3.353,3.296,3.323
2022-01-02 19:00:00,3.322,3.333,3.311,3.315
2022-01-02 20:00:00,3.317,3.323,3.308,3.313
2022-01-02 21:00:00,3.313,3.327,3.307,3.321
2022-01-02 22:00:00,3.321,3.338,3.319,3.338
2022-01-02 23:00:00,3.338,3.348,3.333,3.338
2022-01-03 00:00:00,3.338,3.364,3.313,3.327
2022-01-03 01:00:00,3.326,3.326,3.302,3.308
2022-01-03 02:00:00,3.309,3.31,3.291,3.306
2022-01-03 03:00:00,3.305,3.31,3.281,3.287
2022-01-03 04:00:00,3.284,3.301,3.283,3.288
2022-01-03 05:00:00,3.287,3.31,3.286,3.303
2022-01-03 06:00:00,3.305,3.305,3.284,3.289
2022-01-03 07:00:00,3.287,3.3,3.28,3.292
2022-01-03 08:00:00,3.293,3.308,3.291,3.297
2022-01-03 09:00:00,3.297,3.307,3.28,3.307
2022-01-03 10:00:00,3.308,3.308,3.293,3.296
2022-01-03 11:00:00,3.299,3.324,3.299,3.318
2022-01-03 12:00:00,3.317,3.33,3.306,3.309
2022-01-03 13:00:00,3.309,3.325,3.309,3.313
2022-01-03 14:00:00,3.312,3.325,3.3,3.304
2022-01-03 15:00:00,3.304,3.312,3.262,3.269
2022-01-03 16:00:00,3.269,3.273,3.216,3.242
2022-01-03 17:00:00,3.243,3.3,3.236,3.262
2022-01-03 18:00:00,3.263,3.275,3.256,3.263
2022-01-03 19:00:00,3.263,3.285,3.256,3.267
2022-01-03 20:00:00,3.267,3.272,3.211,3.229
2022-01-03 21:00:00,3.229,3.251,3.218,3.231
2022-01-03 22:00:00,3.23,3.255,3.224,3.244
2022-01-03 23:00:00,3.245,3.262,3.242,3.249
2022-01-04 00:00:00,3.25,3.258,3.214,3.222
2022-01-04 01:00:00,3.222,3.233,3.178,3.188
2022-01-04 02:00:00,3.188,3.201,3.13,3.173
2022-01-04 03:00:00,3.171,3.205,3.163,3.194
2022-01-04 04:00:00,3.193,3.209,3.182,3.187
2022-01-04 05:00:00,3.187,3.207,3.178,3.203
2022-01-04 06:00:00,3.203,3.221,3.194,3.221
2022-01-04 07:00:00,3.22,3.235,3.206,3.235
2022-01-04 08:00:00,3.235,3.24,3.215,3.225
2022-01-04 09:00:00,3.227,3.232,3.205,3.216
2022-01-04 10:00:00,3.216,3.247,3.207,3.24
2022-01-04 11:00:00,3.238,3.263,3.23,3.262
2022-01-04 12:00:00,3.262,3.265,3.23,3.253
2022-01-04 13:00:00,3.251,3.278,3.231,3.267
2022-01-04 14:00:00,3.271,3.303,3.263,3.299
2022-01-04 15:00:00,3.299,3.309,3.248,3.253
2022-01-04 16:00:00,3.254,3.272,3.242,3.268
2022-01-04 17:00:00,3.268,3.275,3.241,3.245
2022-01-04 18:00:00,3.245,3.263,3.182,3.188
2022-01-04 19:00:00,3.186,3.23,3.165,3.198
2022-01-04 20:00:00,3.197,3.223,3.19,3.208
2022-01-04 21:00:00,3.208,3.223,3.198,3.219
2022-01-04 22:00:00,3.218,3.219,3.189,3.199
2022-01-04 23:00:00,3.197,3.198,3.16,3.173
2022-01-05 00:00:00,3.174,3.201,3.16,3.193
2022-01-05 01:00:00,3.192,3.209,3.182,3.195
2022-01-05 02:00:00,3.194,3.216,3.194,3.211
2022-01-05 03:00:00,3.212,3.23,3.211,3.222
2022-01-05 04:00:00,3.224,3.23,3.209,3.214
2022-01-05 05:00:00,3.213,3.214,3.196,3.213
2022-01-05 06:00:00,3.211,3.239,3.208,3.235
2022-01-05 07:00:00,3.235,3.245,3.222,3.231
2022-01-05 08:00:00,3.233,3.241,3.21,3.233
2022-01-05 09:00:00,3.232,3.263,3.227,3.263
2022-01-05 10:00:00,3.264,3.266,3.234,3.247
2022-01-05 11:00:00,3.248,3.248,3.201,3.213
2022-01-05 12:00:00,3.213,3.222,3.178,3.209
2022-01-05 13:00:00,3.208,3.223,3.196,3.212
2022-01-05 14:00:00,3.214,3.234,3.199,3.224
2022-01-05 15:00:00,3.225,3.23,3.197,3.211
2022-01-05 16:00:00,3.212,3.215,3.187,3.19
2022-01-05 17:00:00,3.188,3.202,3.142,3.144
2022-01-05 18:00:00,3.145,3.166,3.11,3.138
2022-01-05 19:00:00,3.139,3.152,2.977,3.003
2022-01-05 20:00:00,3.0,3.019,2.906,2.955
2022-01-05 21:00:00,2.954,3.007,2.917,2.923
2022-01-05 22:00:00,2.925,2.942,2.678,2.887
2022-01-05 23:00:00,2.887,2.972,2.866,2.915
2022-01-06 00:00:00,2.918,2.938,2.886,2.925
2022-01-06 01:00:00,2.926,2.933,2.852,2.871
2022-01-06 02:00:00,2.87,2.892,2.841,2.847
2022-01-06 03:00:00,2.846,2.868,2.792,2.795
2022-01-06 04:00:00,2.795,2.851,2.785,2.839
2022-01-06 05:00:00,2.841,2.877,2.826,2.856
2022-01-06 06:00:00,2.856,2.877,2.834,2.856
2022-01-06 07:00:00,2.856,2.904,2.847,2.902
2022-01-06 08:00:00,2.902,2.902,2.848,2.877
2022-01-06 09:00:00,2.88,2.882,2.8,2.815
2022-01-06 10:00:00,2.815,2.878,2.814,2.868
2022-01-06 11:00:00,2.866,2.876,2.83,2.852
2022-01-06 12:00:00,2.851,2.874,2.813,2.87
2022-01-06 13:00:00,2.87,3.2,2.862,3.142
2022-01-06 14:00:00,3.145,3.446,3.128,3.333
2022-01-06 15:00:00,3.335,3.35,3.212,3.284
2022-01-06 16:00:00,3.285,3.303,3.156,3.185
2022-01-06 17:00:00,3.188,3.245,3.141,3.22
2022-01-06 18:00:00,3.219,3.29,3.218,3.254
2022-01-06 19:00:00,3.256,3.3,3.231,3.293
2022-01-06 20:00:00,3.293,3.299,3.212,3.244
2022-01-06 21:00:00,3.245,3.259,3.214,3.25
2022-01-06 22:00:00,3.252,3.364,3.252,3.331
2022-01-06 23:00:00,3.331,3.4,3.273,3.39
2022-01-07 00:00:00,3.391,3.435,3.26,3.32
2022-01-07 01:00:00,3.32,3.372,3.29,3.311
2022-01-07 02:00:00,3.312,3.319,3.225,3.241
2022-01-07 03:00:00,3.24,3.254,3.097,3.14
2022-01-07 04:00:00,3.139,3.238,3.065,3.221
2022-01-07 05:00:00,3.219,3.254,3.173,3.211
2022-01-07 06:00:00,3.213,3.214,3.131,3.156
2022-01-07 07:00:00,3.155,3.235,3.093,3.201
2022-01-07 08:00:00,3.202,3.279,3.17,3.217
2022-01-07 09:00:00,3.216,3.255,3.215,3.231
2022-01-07 10:00:00,3.231,3.248,3.17,3.17
2022-01-07 11:00:00,3.173,3.201,3.156,3.166
2022-01-07 12:00:00,3.167,3.223,3.167,3.195
2022-01-07 13:00:00,3.195,3.213,3.031,3.079
2022-01-07 14:00:00,3.081,3.15,3.071,3.117
2022-01-07 15:00:00,3.117,3.133,3.025,3.09
2022-01-07 16:00:00,3.088,3.145,3.051,3.134
2022-01-07 17:00:00,3.135,3.136,3.099,3.129
2022-01-07 18:00:00,3.129,3.131,3.071,3.089
2022-01-07 19:00:00,3.09,3.122,3.07,3.105
2022-01-07 20:00:00,3.106,3.126,3.076,3.106
2022-01-07 21:00:00,3.108,3.125,3.092,3.109
2022-01-07 22:00:00,3.109,3.111,3.017,3.041
2022-01-07 23:00:00,3.04,3.08,3.023,3.058
2022-01-08 00:00:00,3.06,3.111,3.025,3.099
2022-01-08 01:00:00,3.1,3.119,3.077,3.086
2022-01-08 02:00:00,3.086,3.09,3.052,3.081
2022-01-08 03:00:00,3.082,3.085,3.043,3.07
2022-01-08 04:00:00,3.069,3.097,3.068,3.08
2022-01-08 05:00:00,3.08,3.093,3.072,3.087
2022-01-08 06:00:00,3.087,3.096,3.06,3.092
2022-01-08 07:00:00,3.092,3.132,3.088,3.11
2022-01-08 08:00:00,3.111,3.136,3.091,3.1
2022-01-08 09:00:00,3.1,3.111,3.089,3.102
