datetime,MASKBUSD_open,MASKBUSD_high,MASKBUSD_low,MASKBUSD_close
2022-01-01 00:00:00,13.071,13.193,12.955,13.125
2022-01-01 01:00:00,13.127,13.157,13.009,13.108
2022-01-01 02:00:00,13.136,13.302,13.119,13.16
2022-01-01 03:00:00,13.172,13.252,13.066,13.079
2022-01-01 04:00:00,13.129,13.308,13.091,13.288
2022-01-01 05:00:00,13.288,13.353,13.06,13.261
2022-01-01 06:00:00,13.24,13.607,13.174,13.3
2022-01-01 07:00:00,13.288,13.38,13.013,13.038
2022-01-01 08:00:00,13.019,13.031,12.737,12.95
2022-01-01 09:00:00,12.917,13.092,12.855,12.884
2022-01-01 10:00:00,12.877,13.24,12.872,13.191
2022-01-01 11:00:00,13.202,13.205,12.9,12.999
2022-01-01 12:00:00,12.994,13.145,12.893,13.067
2022-01-01 13:00:00,13.111,13.178,13.066,13.136
2022-01-01 14:00:00,13.134,13.181,13.08,13.141
2022-01-01 15:00:00,13.121,13.141,13.024,13.084
2022-01-01 16:00:00,13.026,13.026,12.873,12.955
2022-01-01 17:00:00,12.926,13.13,12.894,13.1
2022-01-01 18:00:00,13.099,13.288,13.069,13.208
2022-01-01 19:00:00,13.197,13.292,13.175,13.185
2022-01-01 20:00:00,13.174,13.19,12.997,12.997
2022-01-01 21:00:00,13.013,13.108,12.914,13.035
2022-01-01 22:00:00,13.055,13.21,13.055,13.124
2022-01-01 23:00:00,13.191,13.201,12.859,12.979
2022-01-02 00:00:00,12.981,13.221,12.981,13.221
2022-01-02 01:00:00,13.174,13.764,13.165,13.604
2022-01-02 02:00:00,13.602,13.717,13.513,13.551
2022-01-02 03:00:00,13.547,13.768,13.365,13.729
2022-01-02 04:00:00,13.738,13.791,13.602,13.768
2022-01-02 05:00:00,13.74,13.985,13.706,13.947
2022-01-02 06:00:00,13.936,14.193,13.908,14.159
2022-01-02 07:00:00,14.176,14.299,13.965,14.133
2022-01-02 08:00:00,14.131,14.191,13.812,13.841
2022-01-02 09:00:00,13.846,14.103,13.813,13.99
2022-01-02 10:00:00,14.01,14.019,13.843,13.989
2022-01-02 11:00:00,13.932,13.932,13.639,13.703
2022-01-02 12:00:00,13.709,13.897,13.664,13.881
2022-01-02 13:00:00,13.9,13.936,13.525,13.826
2022-01-02 14:00:00,13.81,13.856,13.673,13.856
2022-01-02 15:00:00,13.807,13.918,13.717,13.777
2022-01-02 16:00:00,13.759,13.86,13.754,13.758
2022-01-02 17:00:00,13.759,13.853,13.751,13.798
2022-01-02 18:00:00,13.824,14.025,13.819,14.021
2022-01-02 19:00:00,14.019,14.044,13.662,13.662
2022-01-02 20:00:00,13.655,13.757,13.566,13.689
2022-01-02 21:00:00,13.697,13.718,13.37,13.421
2022-01-02 22:00:00,13.433,13.443,13.16,13.284
2022-01-02 23:00:00,13.257,13.38,13.257,13.261
2022-01-03 00:00:00,13.261,13.331,13.2,13.314
2022-01-03 01:00:00,13.311,13.327,13.222,13.224
2022-01-03 02:00:00,13.254,13.375,13.185,13.352
2022-01-03 03:00:00,13.319,13.434,13.295,13.434
2022-01-03 04:00:00,13.439,13.542,13.415,13.519
2022-01-03 05:00:00,13.519,13.587,13.476,13.478
2022-01-03 06:00:00,13.473,13.55,13.44,13.48
2022-01-03 07:00:00,13.48,13.538,13.3,13.3
2022-01-03 08:00:00,13.3,13.498,13.28,13.44
2022-01-03 09:00:00,13.44,13.44,13.176,13.177
