datetime,MASKUSD_open,MASKUSD_high,MASKUSD_low,MASKUSD_close
2022-01-01 00:00:00,12.28,12.59,12.28,12.59
2022-01-01 01:00:00,12.59,13.4,12.53,13.35
2022-01-01 02:00:00,13.34,13.45,13.25,13.31
2022-01-01 03:00:00,13.31,13.31,12.99,13.04
2022-01-01 04:00:00,13.02,13.09,12.9,13.07
2022-01-01 05:00:00,13.07,13.18,12.95,13.11
2022-01-01 06:00:00,13.12,13.15,13.0,13.14
2022-01-01 07:00:00,13.15,13.3,13.11,13.17
2022-01-01 08:00:00,13.17,13.26,13.07,13.12
2022-01-01 09:00:00,13.16,13.3,13.09,13.29
2022-01-01 10:00:00,13.27,13.33,13.07,13.26
2022-01-01 11:00:00,13.27,13.55,13.18,13.27
2022-01-01 12:00:00,13.27,13.38,13.01,13.01
2022-01-01 13:00:00,13.02,13.02,12.75,12.92
2022-01-01 14:00:00,12.87,13.1,12.87,12.87
2022-01-01 15:00:00,12.87,13.18,12.87,13.18
2022-01-01 16:00:00,13.19,13.2,12.91,12.99
2022-01-01 17:00:00,13.0,13.14,12.89,13.11
2022-01-01 18:00:00,13.11,13.18,13.07,13.17
2022-01-01 19:00:00,13.16,13.19,13.07,13.11
2022-01-01 20:00:00,13.11,13.15,13.02,13.06
2022-01-01 21:00:00,13.05,13.05,12.88,12.96
2022-01-01 22:00:00,12.93,13.14,12.88,13.12
2022-01-01 23:00:00,13.1,13.27,13.07,13.2
2022-01-02 00:00:00,13.26,13.3,13.18,13.18
2022-01-02 01:00:00,13.18,13.19,13.02,13.02
2022-01-02 02:00:00,13.03,13.07,12.92,13.07
2022-01-02 03:00:00,13.05,13.21,13.04,13.16
2022-01-02 04:00:00,13.18,13.21,12.87,12.95
2022-01-02 05:00:00,12.96,13.21,12.96,13.13
2022-01-02 06:00:00,13.16,13.81,13.15,13.61
2022-01-02 07:00:00,13.6,13.75,13.52,13.57
2022-01-02 08:00:00,13.55,13.79,13.38,13.79
2022-01-02 09:00:00,13.79,13.79,13.65,13.73
2022-01-02 10:00:00,13.71,13.98,13.7,13.94
2022-01-02 11:00:00,13.98,14.19,13.9,14.17
2022-01-02 12:00:00,14.14,14.31,13.96,14.16
2022-01-02 13:00:00,14.12,14.2,13.83,13.84
2022-01-02 14:00:00,13.84,14.1,13.82,14.01
2022-01-02 15:00:00,14.0,14.0,13.84,13.92
2022-01-02 16:00:00,13.91,13.94,13.64,13.74
2022-01-02 17:00:00,13.74,13.94,13.68,13.94
