datetime,MATICBUSD_open,MATICBUSD_high,MATICBUSD_low,MATICBUSD_close
2022-01-01 00:00:00,2.549,2.591,2.543,2.575
2022-01-01 01:00:00,2.575,2.585,2.557,2.558
2022-01-01 02:00:00,2.558,2.568,2.543,2.561
2022-01-01 03:00:00,2.561,2.573,2.551,2.553
2022-01-01 04:00:00,2.553,2.56,2.528,2.541
2022-01-01 05:00:00,2.542,2.554,2.515,2.523
2022-01-01 06:00:00,2.524,2.538,2.513,2.516
2022-01-01 07:00:00,2.516,2.539,2.509,2.536
2022-01-01 08:00:00,2.536,2.545,2.52,2.523
2022-01-01 09:00:00,2.523,2.529,2.508,2.508
2022-01-01 10:00:00,2.508,2.547,2.503,2.54
2022-01-01 11:00:00,2.541,2.559,2.535,2.539
2022-01-01 12:00:00,2.54,2.572,2.53,2.57
2022-01-01 13:00:00,2.571,2.581,2.549,2.573
2022-01-01 14:00:00,2.574,2.586,2.567,2.582
2022-01-01 15:00:00,2.582,2.586,2.563,2.565
2022-01-01 16:00:00,2.565,2.58,2.551,2.552
2022-01-01 17:00:00,2.552,2.561,2.539,2.551
2022-01-01 18:00:00,2.552,2.579,2.54,2.572
2022-01-01 19:00:00,2.573,2.58,2.549,2.549
2022-01-01 20:00:00,2.549,2.553,2.528,2.536
2022-01-01 21:00:00,2.536,2.554,2.52,2.522
2022-01-01 22:00:00,2.521,2.543,2.52,2.534
2022-01-01 23:00:00,2.535,2.548,2.513,2.525
2022-01-02 00:00:00,2.525,2.534,2.518,2.532
2022-01-02 01:00:00,2.533,2.533,2.519,2.524
2022-01-02 02:00:00,2.523,2.541,2.521,2.531
2022-01-02 03:00:00,2.53,2.535,2.52,2.525
2022-01-02 04:00:00,2.527,2.545,2.525,2.54
2022-01-02 05:00:00,2.54,2.54,2.525,2.528
2022-01-02 06:00:00,2.528,2.537,2.52,2.521
2022-01-02 07:00:00,2.521,2.538,2.516,2.532
2022-01-02 08:00:00,2.531,2.54,2.517,2.519
2022-01-02 09:00:00,2.518,2.527,2.512,2.521
2022-01-02 10:00:00,2.521,2.535,2.519,2.533
2022-01-02 11:00:00,2.533,2.569,2.531,2.568
2022-01-02 12:00:00,2.568,2.585,2.551,2.553
2022-01-02 13:00:00,2.554,2.558,2.517,2.532
2022-01-02 14:00:00,2.532,2.542,2.516,2.521
2022-01-02 15:00:00,2.521,2.525,2.505,2.512
2022-01-02 16:00:00,2.512,2.518,2.504,2.515
2022-01-02 17:00:00,2.514,2.537,2.514,2.532
2022-01-02 18:00:00,2.533,2.554,2.53,2.551
2022-01-02 19:00:00,2.551,2.552,2.517,2.518
2022-01-02 20:00:00,2.517,2.523,2.506,2.516
2022-01-02 21:00:00,2.515,2.517,2.482,2.496
2022-01-02 22:00:00,2.493,2.495,2.464,2.475
2022-01-02 23:00:00,2.475,2.494,2.467,2.484
2022-01-03 00:00:00,2.485,2.501,2.482,2.496
2022-01-03 01:00:00,2.496,2.499,2.479,2.48
2022-01-03 02:00:00,2.48,2.489,2.473,2.488
2022-01-03 03:00:00,2.488,2.498,2.47,2.477
2022-01-03 04:00:00,2.477,2.487,2.467,2.483
2022-01-03 05:00:00,2.483,2.492,2.476,2.482
2022-01-03 06:00:00,2.482,2.511,2.482,2.509
2022-01-03 07:00:00,2.51,2.513,2.491,2.492
2022-01-03 08:00:00,2.493,2.506,2.484,2.489
2022-01-03 09:00:00,2.488,2.504,2.474,2.479
2022-01-03 10:00:00,2.478,2.489,2.464,2.465
2022-01-03 11:00:00,2.465,2.469,2.425,2.447
2022-01-03 12:00:00,2.446,2.469,2.442,2.459
2022-01-03 13:00:00,2.459,2.467,2.449,2.452
2022-01-03 14:00:00,2.452,2.464,2.447,2.45
2022-01-03 15:00:00,2.45,2.454,2.361,2.393
2022-01-03 16:00:00,2.394,2.423,2.39,2.408
2022-01-03 17:00:00,2.409,2.437,2.407,2.425
2022-01-03 18:00:00,2.426,2.445,2.416,2.433
2022-01-03 19:00:00,2.433,2.437,2.393,2.401
