datetime,MATICUSD_open,MATICUSD_high,MATICUSD_low,MATICUSD_close
2022-01-01 00:00:00,2.5251,2.5896,2.5238,2.5796
2022-01-01 01:00:00,2.5787,2.6048,2.5654,2.5753
2022-01-01 02:00:00,2.576,2.5876,2.56,2.5756
2022-01-01 03:00:00,2.5754,2.5857,2.5703,2.5831
2022-01-01 04:00:00,2.5833,2.5877,2.5441,2.5497
2022-01-01 05:00:00,2.5497,2.5907,2.5433,2.5748
2022-01-01 06:00:00,2.5758,2.585,2.5559,2.5584
2022-01-01 07:00:00,2.5578,2.5687,2.5446,2.5614
2022-01-01 08:00:00,2.5607,2.574,2.5513,2.5513
2022-01-01 09:00:00,2.5528,2.5597,2.5274,2.5416
2022-01-01 10:00:00,2.541,2.554,2.5151,2.5242
2022-01-01 11:00:00,2.5251,2.5388,2.5127,2.5153
2022-01-01 12:00:00,2.5167,2.5405,2.5092,2.5358
2022-01-01 13:00:00,2.5367,2.5447,2.5196,2.5235
2022-01-01 14:00:00,2.5225,2.5298,2.5075,2.5075
2022-01-01 15:00:00,2.5078,2.5458,2.4994,2.5397
2022-01-01 16:00:00,2.5404,2.5587,2.5354,2.5402
2022-01-01 17:00:00,2.5402,2.5734,2.5303,2.5716
2022-01-01 18:00:00,2.5718,2.6,2.5539,2.5738
2022-01-01 19:00:00,2.5747,2.5863,2.5679,2.5815
2022-01-01 20:00:00,2.5823,2.5858,2.5629,2.5646
2022-01-01 21:00:00,2.5643,2.5803,2.5511,2.5525
2022-01-01 22:00:00,2.5526,2.5621,2.5386,2.5522
2022-01-01 23:00:00,2.5515,2.58,2.5402,2.5724
2022-01-02 00:00:00,2.573,2.5786,2.5474,2.5484
2022-01-02 01:00:00,2.5491,2.5533,2.5275,2.5385
2022-01-02 02:00:00,2.5382,2.5605,2.52,2.5223
2022-01-02 03:00:00,2.5209,2.5482,2.5209,2.5355
2022-01-02 04:00:00,2.5362,2.5492,2.5135,2.526
2022-01-02 05:00:00,2.5248,2.5355,2.5182,2.5326
2022-01-02 06:00:00,2.5317,2.5325,2.5201,2.5241
2022-01-02 07:00:00,2.5232,2.542,2.5207,2.5305
2022-01-02 08:00:00,2.5312,2.5364,2.5189,2.5278
2022-01-02 09:00:00,2.5278,2.5461,2.5251,2.5399
2022-01-02 10:00:00,2.5391,2.541,2.5256,2.5295
2022-01-02 11:00:00,2.5288,2.5384,2.5205,2.522
2022-01-02 12:00:00,2.5222,2.5391,2.518,2.5312
2022-01-02 13:00:00,2.5306,2.5413,2.5183,2.5192
2022-01-02 14:00:00,2.5185,2.5277,2.5128,2.5205
2022-01-02 15:00:00,2.5214,2.535,2.5188,2.5331
2022-01-02 16:00:00,2.5323,2.5689,2.5314,2.5671
2022-01-02 17:00:00,2.5675,2.586,2.5514,2.5548
2022-01-02 18:00:00,2.5545,2.5588,2.5197,2.5312
2022-01-02 19:00:00,2.5319,2.5415,2.5164,2.5222
2022-01-02 20:00:00,2.5225,2.5265,2.5054,2.5128
2022-01-02 21:00:00,2.5122,2.5187,2.504,2.5148
2022-01-02 22:00:00,2.5147,2.5387,2.5131,2.5324
2022-01-02 23:00:00,2.5322,2.5552,2.5301,2.5506
2022-01-03 00:00:00,2.5506,2.5527,2.5103,2.5185
2022-01-03 01:00:00,2.5183,2.5246,2.5061,2.5164
2022-01-03 02:00:00,2.5162,2.5174,2.4829,2.4941
2022-01-03 03:00:00,2.4942,2.4951,2.464,2.4753
2022-01-03 04:00:00,2.4747,2.4945,2.4668,2.4857
2022-01-03 05:00:00,2.4846,2.501,2.4804,2.4969
2022-01-03 06:00:00,2.4966,2.4991,2.479,2.481
2022-01-03 07:00:00,2.481,2.4888,2.4734,2.4884
2022-01-03 08:00:00,2.488,2.4982,2.471,2.4779
2022-01-03 09:00:00,2.4776,2.4878,2.4662,2.4829
2022-01-03 10:00:00,2.4828,2.4921,2.4762,2.4816
2022-01-03 11:00:00,2.4827,2.5147,2.4827,2.5099
2022-01-03 12:00:00,2.5102,2.5138,2.4911,2.4929
2022-01-03 13:00:00,2.4932,2.506,2.4848,2.4882
2022-01-03 14:00:00,2.4877,2.5043,2.474,2.4792
2022-01-03 15:00:00,2.48,2.4884,2.4624,2.4642
2022-01-03 16:00:00,2.4642,2.4677,2.4257,2.4457
2022-01-03 17:00:00,2.4446,2.4697,2.4422,2.4589
2022-01-03 18:00:00,2.4586,2.4668,2.4481,2.453
2022-01-03 19:00:00,2.4527,2.4661,2.4454,2.4504
2022-01-03 20:00:00,2.4501,2.4545,2.36,2.3928
2022-01-03 21:00:00,2.393,2.4231,2.3889,2.4077
