datetime,MBOXBUSD_open,MBOXBUSD_high,MBOXBUSD_low,MBOXBUSD_close
2022-01-01 00:00:00,5.233,5.324,5.233,5.286
2022-01-01 01:00:00,5.277,5.313,5.26,5.262
2022-01-01 02:00:00,5.261,5.305,5.25,5.3
2022-01-01 03:00:00,5.3,5.355,5.279,5.281
2022-01-01 04:00:00,5.286,5.31,5.244,5.282
2022-01-01 05:00:00,5.275,5.31,5.229,5.254
2022-01-01 06:00:00,5.247,5.269,5.212,5.22
2022-01-01 07:00:00,5.212,5.285,5.212,5.285
2022-01-01 08:00:00,5.284,5.3,5.254,5.276
2022-01-01 09:00:00,5.278,5.288,5.235,5.238
2022-01-01 10:00:00,5.235,5.314,5.227,5.259
2022-01-01 11:00:00,5.259,5.304,5.245,5.276
2022-01-01 12:00:00,5.276,5.35,5.262,5.312
2022-01-01 13:00:00,5.308,5.338,5.28,5.315
2022-01-01 14:00:00,5.316,5.316,5.269,5.296
2022-01-01 15:00:00,5.298,5.34,5.28,5.337
2022-01-01 16:00:00,5.337,5.36,5.315,5.339
2022-01-01 17:00:00,5.339,5.365,5.32,5.334
2022-01-01 18:00:00,5.33,5.399,5.31,5.395
2022-01-01 19:00:00,5.39,5.39,5.324,5.326
2022-01-01 20:00:00,5.333,5.333,5.276,5.281
2022-01-01 21:00:00,5.281,5.315,5.274,5.304
2022-01-01 22:00:00,5.305,5.317,5.278,5.278
2022-01-01 23:00:00,5.283,5.303,5.223,5.25
2022-01-02 00:00:00,5.248,5.277,5.24,5.261
2022-01-02 01:00:00,5.261,5.299,5.25,5.272
2022-01-02 02:00:00,5.271,5.302,5.265,5.272
2022-01-02 03:00:00,5.266,5.277,5.227,5.258
2022-01-02 04:00:00,5.258,5.31,5.25,5.274
2022-01-02 05:00:00,5.283,5.286,5.251,5.26
2022-01-02 06:00:00,5.266,5.29,5.251,5.262
2022-01-02 07:00:00,5.259,5.308,5.24,5.278
2022-01-02 08:00:00,5.278,5.295,5.214,5.234
2022-01-02 09:00:00,5.231,5.26,5.219,5.234
2022-01-02 10:00:00,5.233,5.25,5.219,5.238
2022-01-02 11:00:00,5.237,5.316,5.237,5.315
2022-01-02 12:00:00,5.309,5.35,5.269,5.285
2022-01-02 13:00:00,5.285,5.285,5.211,5.241
2022-01-02 14:00:00,5.237,5.27,5.228,5.244
2022-01-02 15:00:00,5.244,5.266,5.235,5.261
2022-01-02 16:00:00,5.261,5.28,5.246,5.249
2022-01-02 17:00:00,5.252,5.3,5.252,5.269
2022-01-02 18:00:00,5.276,5.3,5.257,5.271
2022-01-02 19:00:00,5.271,5.271,5.207,5.211
2022-01-02 20:00:00,5.206,5.245,5.201,5.243
2022-01-02 21:00:00,5.236,5.237,5.183,5.213
2022-01-02 22:00:00,5.22,5.224,5.163,5.195
2022-01-02 23:00:00,5.192,5.245,5.149,5.158
2022-01-03 00:00:00,5.16,5.198,5.145,5.193
2022-01-03 01:00:00,5.193,5.197,5.157,5.166
2022-01-03 02:00:00,5.166,5.185,5.141,5.184
2022-01-03 03:00:00,5.184,5.214,5.169,5.201
2022-01-03 04:00:00,5.201,5.253,5.177,5.19
2022-01-03 05:00:00,5.204,5.222,5.185,5.2
2022-01-03 06:00:00,5.208,5.28,5.188,5.268
2022-01-03 07:00:00,5.271,5.291,5.239,5.245
2022-01-03 08:00:00,5.254,5.262,5.227,5.23
2022-01-03 09:00:00,5.231,5.283,5.216,5.223
2022-01-03 10:00:00,5.225,5.252,5.194,5.201
2022-01-03 11:00:00,5.203,5.211,5.14,5.14
2022-01-03 12:00:00,5.139,5.181,5.115,5.122
2022-01-03 13:00:00,5.12,5.165,5.107,5.13
2022-01-03 14:00:00,5.133,5.167,5.119,5.129
2022-01-03 15:00:00,5.124,5.128,5.06,5.11
2022-01-03 16:00:00,5.1,5.149,5.063,5.069
2022-01-03 17:00:00,5.069,5.139,5.065,5.121
2022-01-03 18:00:00,5.115,5.132,5.085,5.088
2022-01-03 19:00:00,5.096,5.119,5.05,5.067
2022-01-03 20:00:00,5.062,5.101,5.036,5.042
2022-01-03 21:00:00,5.045,5.055,4.967,4.996
2022-01-03 22:00:00,4.998,5.051,4.982,5.032
2022-01-03 23:00:00,5.021,5.046,4.99,5.005
2022-01-04 00:00:00,5.0,5.0,4.964,4.979
2022-01-04 01:00:00,4.986,5.033,4.971,5.028
2022-01-04 02:00:00,5.025,5.051,5.019,5.05
2022-01-04 03:00:00,5.052,5.077,5.03,5.049
2022-01-04 04:00:00,5.049,5.05,5.005,5.036
2022-01-04 05:00:00,5.041,5.066,5.0,5.059
2022-01-04 06:00:00,5.061,5.088,5.05,5.084
2022-01-04 07:00:00,5.086,5.098,5.039,5.08
2022-01-04 08:00:00,5.081,5.138,5.073,5.132
2022-01-04 09:00:00,5.131,5.188,5.092,5.166
2022-01-04 10:00:00,5.17,5.2,5.112,5.113
2022-01-04 11:00:00,5.115,5.118,5.076,5.095
2022-01-04 12:00:00,5.091,5.114,5.076,5.076
2022-01-04 13:00:00,5.075,5.11,5.005,5.014
2022-01-04 14:00:00,5.014,5.078,4.989,5.015
2022-01-04 15:00:00,5.018,5.065,5.001,5.045
2022-01-04 16:00:00,5.051,5.059,5.029,5.048
2022-01-04 17:00:00,5.035,5.05,5.006,5.016
2022-01-04 18:00:00,5.015,5.016,4.968,4.969
2022-01-04 19:00:00,4.974,5.01,4.962,4.997
2022-01-04 20:00:00,4.997,5.01,4.97,4.975
2022-01-04 21:00:00,4.985,5.044,4.985,5.026
2022-01-04 22:00:00,5.02,5.091,5.007,5.044
2022-01-04 23:00:00,5.042,5.065,5.027,5.058
2022-01-05 00:00:00,5.051,5.058,5.027,5.056
2022-01-05 01:00:00,5.056,5.06,5.023,5.028
2022-01-05 02:00:00,5.037,5.062,5.007,5.038
2022-01-05 03:00:00,5.041,5.056,4.997,5.035
2022-01-05 04:00:00,5.025,5.073,5.017,5.07
2022-01-05 05:00:00,5.07,5.086,5.028,5.044
2022-01-05 06:00:00,5.05,5.056,4.972,4.991
2022-01-05 07:00:00,4.991,5.013,4.953,5.008
2022-01-05 08:00:00,5.008,5.027,4.955,5.01
2022-01-05 09:00:00,5.009,5.025,4.957,5.011
2022-01-05 10:00:00,5.012,5.012,4.95,4.982
2022-01-05 11:00:00,4.982,4.988,4.919,4.933
2022-01-05 12:00:00,4.931,4.964,4.881,4.885
2022-01-05 13:00:00,4.885,4.943,4.86,4.903
2022-01-05 14:00:00,4.901,4.912,4.75,4.774
2022-01-05 15:00:00,4.763,4.797,4.62,4.638
2022-01-05 16:00:00,4.634,4.693,4.598,4.606
2022-01-05 17:00:00,4.606,4.619,4.412,4.575
2022-01-05 18:00:00,4.566,4.63,4.533,4.562
2022-01-05 19:00:00,4.575,4.588,4.528,4.548
2022-01-05 20:00:00,4.559,4.565,4.451,4.49
2022-01-05 21:00:00,4.481,4.506,4.396,4.413
2022-01-05 22:00:00,4.415,4.43,4.3,4.3
2022-01-05 23:00:00,4.302,4.365,4.286,4.35
2022-01-06 00:00:00,4.35,4.402,4.327,4.371
2022-01-06 01:00:00,4.369,4.4,4.335,4.366
2022-01-06 02:00:00,4.366,4.401,4.357,4.4
2022-01-06 03:00:00,4.398,4.399,4.322,4.376
2022-01-06 04:00:00,4.375,4.375,4.22,4.231
2022-01-06 05:00:00,4.235,4.291,4.225,4.27
2022-01-06 06:00:00,4.28,4.288,4.229,4.267
2022-01-06 07:00:00,4.267,4.281,4.217,4.281
2022-01-06 08:00:00,4.283,4.355,4.265,4.354
2022-01-06 09:00:00,4.352,4.578,4.307,4.434
2022-01-06 10:00:00,4.44,4.602,4.41,4.539
2022-01-06 11:00:00,4.533,4.559,4.461,4.479
2022-01-06 12:00:00,4.489,4.544,4.465,4.499
2022-01-06 13:00:00,4.485,4.568,4.483,4.56
2022-01-06 14:00:00,4.566,4.578,4.523,4.525
2022-01-06 15:00:00,4.527,4.542,4.493,4.519
2022-01-06 16:00:00,4.519,4.537,4.494,4.51
2022-01-06 17:00:00,4.507,4.534,4.483,4.522
2022-01-06 18:00:00,4.523,4.523,4.48,4.485
2022-01-06 19:00:00,4.479,4.5,4.409,4.413
2022-01-06 20:00:00,4.419,4.44,4.398,4.44
2022-01-06 21:00:00,4.43,4.43,4.312,4.324
2022-01-06 22:00:00,4.326,4.348,4.173,4.19
2022-01-06 23:00:00,4.181,4.218,4.01,4.117
2022-01-07 00:00:00,4.125,4.153,4.092,4.15
2022-01-07 01:00:00,4.143,4.143,3.956,3.978
2022-01-07 02:00:00,3.98,4.026,3.893,4.026
2022-01-07 03:00:00,4.028,4.133,4.004,4.102
2022-01-07 04:00:00,4.104,4.178,4.104,4.141
2022-01-07 05:00:00,4.14,4.15,4.073,4.073
2022-01-07 06:00:00,4.073,4.095,4.03,4.064
2022-01-07 07:00:00,4.067,4.109,4.067,4.08
2022-01-07 08:00:00,4.089,4.116,3.977,4.01
2022-01-07 09:00:00,4.015,4.083,4.002,4.049
