datetime,MDXBUSD_open,MDXBUSD_high,MDXBUSD_low,MDXBUSD_close
2022-01-01 00:00:00,0.39,0.394,0.39,0.393
2022-01-01 01:00:00,0.393,0.399,0.392,0.394
2022-01-01 02:00:00,0.394,0.395,0.392,0.394
2022-01-01 03:00:00,0.394,0.394,0.393,0.394
2022-01-01 04:00:00,0.394,0.394,0.39,0.393
2022-01-01 05:00:00,0.393,0.394,0.385,0.387
2022-01-01 06:00:00,0.387,0.388,0.384,0.386
2022-01-01 07:00:00,0.386,0.387,0.386,0.386
2022-01-01 08:00:00,0.388,0.389,0.387,0.388
2022-01-01 09:00:00,0.388,0.391,0.388,0.391
2022-01-01 10:00:00,0.39,0.391,0.388,0.39
2022-01-01 11:00:00,0.39,0.439,0.389,0.419
2022-01-01 12:00:00,0.419,0.421,0.406,0.406
2022-01-01 13:00:00,0.407,0.412,0.401,0.407
2022-01-01 14:00:00,0.407,0.411,0.402,0.403
2022-01-01 15:00:00,0.404,0.406,0.401,0.402
2022-01-01 16:00:00,0.403,0.405,0.395,0.398
2022-01-01 17:00:00,0.399,0.399,0.394,0.394
2022-01-01 18:00:00,0.395,0.402,0.395,0.402
2022-01-01 19:00:00,0.402,0.406,0.401,0.405
2022-01-01 20:00:00,0.404,0.41,0.403,0.404
2022-01-01 21:00:00,0.404,0.405,0.404,0.404
2022-01-01 22:00:00,0.405,0.411,0.405,0.408
2022-01-01 23:00:00,0.409,0.409,0.396,0.399
2022-01-02 00:00:00,0.399,0.4,0.397,0.398
2022-01-02 01:00:00,0.398,0.4,0.398,0.399
2022-01-02 02:00:00,0.398,0.399,0.393,0.394
2022-01-02 03:00:00,0.394,0.395,0.393,0.394
2022-01-02 04:00:00,0.395,0.4,0.392,0.398
2022-01-02 05:00:00,0.398,0.398,0.397,0.397
2022-01-02 06:00:00,0.396,0.399,0.396,0.398
2022-01-02 07:00:00,0.399,0.4,0.397,0.4
2022-01-02 08:00:00,0.399,0.403,0.395,0.395
2022-01-02 09:00:00,0.394,0.405,0.393,0.405
2022-01-02 10:00:00,0.405,0.41,0.403,0.406
2022-01-02 11:00:00,0.406,0.409,0.403,0.406
2022-01-02 12:00:00,0.407,0.409,0.4,0.401
2022-01-02 13:00:00,0.402,0.403,0.392,0.4
2022-01-02 14:00:00,0.401,0.403,0.399,0.401
2022-01-02 15:00:00,0.401,0.401,0.392,0.394
2022-01-02 16:00:00,0.394,0.396,0.394,0.394
2022-01-02 17:00:00,0.395,0.397,0.394,0.395
2022-01-02 18:00:00,0.395,0.396,0.394,0.394
2022-01-02 19:00:00,0.395,0.395,0.391,0.391
2022-01-02 20:00:00,0.39,0.392,0.388,0.39
2022-01-02 21:00:00,0.389,0.39,0.387,0.389
2022-01-02 22:00:00,0.389,0.39,0.388,0.389
2022-01-02 23:00:00,0.388,0.389,0.385,0.387
2022-01-03 00:00:00,0.386,0.393,0.386,0.393
2022-01-03 01:00:00,0.392,0.393,0.392,0.393
2022-01-03 02:00:00,0.393,0.394,0.391,0.391
2022-01-03 03:00:00,0.392,0.393,0.391,0.391
2022-01-03 04:00:00,0.391,0.392,0.388,0.389
2022-01-03 05:00:00,0.39,0.391,0.388,0.391
2022-01-03 06:00:00,0.392,0.398,0.392,0.396
2022-01-03 07:00:00,0.396,0.401,0.396,0.399
2022-01-03 08:00:00,0.399,0.401,0.397,0.397
2022-01-03 09:00:00,0.397,0.399,0.394,0.395
2022-01-03 10:00:00,0.395,0.395,0.391,0.392
2022-01-03 11:00:00,0.392,0.392,0.383,0.388
2022-01-03 12:00:00,0.389,0.391,0.389,0.39
2022-01-03 13:00:00,0.39,0.39,0.384,0.386
2022-01-03 14:00:00,0.385,0.389,0.385,0.387
2022-01-03 15:00:00,0.386,0.386,0.378,0.382
2022-01-03 16:00:00,0.382,0.39,0.38,0.388
2022-01-03 17:00:00,0.387,0.387,0.384,0.385
2022-01-03 18:00:00,0.384,0.387,0.384,0.386
2022-01-03 19:00:00,0.385,0.386,0.381,0.382
2022-01-03 20:00:00,0.381,0.385,0.38,0.382
2022-01-03 21:00:00,0.382,0.382,0.376,0.381
2022-01-03 22:00:00,0.38,0.382,0.379,0.382
2022-01-03 23:00:00,0.383,0.384,0.381,0.383
2022-01-04 00:00:00,0.383,0.383,0.381,0.382
2022-01-04 01:00:00,0.382,0.383,0.381,0.381
2022-01-04 02:00:00,0.382,0.382,0.379,0.379
2022-01-04 03:00:00,0.38,0.381,0.38,0.381
2022-01-04 04:00:00,0.381,0.385,0.381,0.382
2022-01-04 05:00:00,0.383,0.383,0.379,0.382
2022-01-04 06:00:00,0.383,0.394,0.383,0.392
2022-01-04 07:00:00,0.392,0.394,0.392,0.393
2022-01-04 08:00:00,0.394,0.396,0.393,0.395
2022-01-04 09:00:00,0.395,0.4,0.391,0.4
2022-01-04 10:00:00,0.399,0.403,0.395,0.397
2022-01-04 11:00:00,0.396,0.398,0.395,0.396
2022-01-04 12:00:00,0.396,0.396,0.393,0.395
2022-01-04 13:00:00,0.395,0.399,0.384,0.386
2022-01-04 14:00:00,0.386,0.394,0.386,0.386
2022-01-04 15:00:00,0.387,0.393,0.387,0.391
2022-01-04 16:00:00,0.392,0.395,0.392,0.393
2022-01-04 17:00:00,0.393,0.394,0.389,0.39
2022-01-04 18:00:00,0.39,0.39,0.385,0.386
2022-01-04 19:00:00,0.385,0.386,0.382,0.385
2022-01-04 20:00:00,0.385,0.386,0.384,0.385
2022-01-04 21:00:00,0.386,0.39,0.386,0.39
2022-01-04 22:00:00,0.39,0.393,0.39,0.393
2022-01-04 23:00:00,0.394,0.394,0.393,0.393
2022-01-05 00:00:00,0.392,0.393,0.391,0.392
2022-01-05 01:00:00,0.391,0.391,0.388,0.391
2022-01-05 02:00:00,0.392,0.397,0.388,0.396
2022-01-05 03:00:00,0.396,0.4,0.393,0.396
2022-01-05 04:00:00,0.396,0.398,0.393,0.394
2022-01-05 05:00:00,0.394,0.399,0.393,0.396
2022-01-05 06:00:00,0.396,0.396,0.391,0.392
2022-01-05 07:00:00,0.391,0.392,0.389,0.391
2022-01-05 08:00:00,0.392,0.395,0.39,0.394
2022-01-05 09:00:00,0.395,0.398,0.395,0.398
2022-01-05 10:00:00,0.398,0.398,0.392,0.392
2022-01-05 11:00:00,0.392,0.393,0.39,0.39
2022-01-05 12:00:00,0.39,0.392,0.383,0.383
2022-01-05 13:00:00,0.383,0.388,0.381,0.387
2022-01-05 14:00:00,0.388,0.388,0.373,0.374
2022-01-05 15:00:00,0.375,0.375,0.363,0.363
2022-01-05 16:00:00,0.364,0.365,0.358,0.361
2022-01-05 17:00:00,0.362,0.363,0.348,0.358
2022-01-05 18:00:00,0.359,0.363,0.359,0.359
2022-01-05 19:00:00,0.358,0.358,0.347,0.349
2022-01-05 20:00:00,0.35,0.351,0.345,0.345
2022-01-05 21:00:00,0.345,0.348,0.342,0.346
2022-01-05 22:00:00,0.346,0.348,0.342,0.343
2022-01-05 23:00:00,0.342,0.344,0.339,0.343
2022-01-06 00:00:00,0.343,0.347,0.343,0.346
2022-01-06 01:00:00,0.345,0.346,0.344,0.344
2022-01-06 02:00:00,0.344,0.348,0.344,0.345
2022-01-06 03:00:00,0.345,0.346,0.339,0.343
2022-01-06 04:00:00,0.342,0.342,0.334,0.337
