datetime,MINABUSD_open,MINABUSD_high,MINABUSD_low,MINABUSD_close
2022-01-01 00:00:00,3.605,3.663,3.594,3.617
2022-01-01 01:00:00,3.61,3.624,3.59,3.59
2022-01-01 02:00:00,3.596,3.632,3.592,3.623
2022-01-01 03:00:00,3.626,3.635,3.597,3.604
2022-01-01 04:00:00,3.596,3.608,3.569,3.584
2022-01-01 05:00:00,3.585,3.595,3.543,3.568
2022-01-01 06:00:00,3.561,3.581,3.548,3.557
2022-01-01 07:00:00,3.56,3.596,3.557,3.589
2022-01-01 08:00:00,3.59,3.6,3.579,3.588
2022-01-01 09:00:00,3.58,3.58,3.563,3.566
2022-01-01 10:00:00,3.567,3.638,3.567,3.596
2022-01-01 11:00:00,3.596,3.624,3.595,3.601
2022-01-01 12:00:00,3.613,3.682,3.601,3.638
2022-01-01 13:00:00,3.642,3.696,3.621,3.691
2022-01-01 14:00:00,3.689,3.691,3.655,3.656
2022-01-01 15:00:00,3.656,3.735,3.646,3.668
2022-01-01 16:00:00,3.667,3.704,3.655,3.666
2022-01-01 17:00:00,3.67,3.717,3.662,3.709
2022-01-01 18:00:00,3.704,3.743,3.695,3.731
2022-01-01 19:00:00,3.735,3.737,3.683,3.684
2022-01-01 20:00:00,3.683,3.685,3.66,3.678
2022-01-01 21:00:00,3.686,3.703,3.68,3.686
2022-01-01 22:00:00,3.688,3.693,3.673,3.673
2022-01-01 23:00:00,3.675,3.685,3.602,3.628
2022-01-02 00:00:00,3.628,3.658,3.623,3.654
2022-01-02 01:00:00,3.653,3.665,3.642,3.643
2022-01-02 02:00:00,3.643,3.657,3.629,3.653
2022-01-02 03:00:00,3.654,3.674,3.63,3.665
2022-01-02 04:00:00,3.666,3.709,3.657,3.687
2022-01-02 05:00:00,3.687,3.69,3.654,3.662
2022-01-02 06:00:00,3.668,3.715,3.661,3.706
2022-01-02 07:00:00,3.705,3.763,3.681,3.727
2022-01-02 08:00:00,3.735,3.773,3.706,3.768
2022-01-02 09:00:00,3.769,3.776,3.725,3.734
2022-01-02 10:00:00,3.734,3.752,3.698,3.749
2022-01-02 11:00:00,3.744,3.847,3.744,3.823
2022-01-02 12:00:00,3.823,3.835,3.751,3.751
2022-01-02 13:00:00,3.751,3.768,3.676,3.726
2022-01-02 14:00:00,3.729,3.747,3.682,3.7
2022-01-02 15:00:00,3.7,3.715,3.688,3.693
2022-01-02 16:00:00,3.699,3.732,3.685,3.72
2022-01-02 17:00:00,3.719,3.743,3.71,3.73
2022-01-02 18:00:00,3.726,3.779,3.726,3.774
