datetime,MIRBUSD_open,MIRBUSD_high,MIRBUSD_low,MIRBUSD_close
2022-01-01 00:00:00,2.446,2.466,2.442,2.458
2022-01-01 01:00:00,2.459,2.459,2.442,2.446
2022-01-01 02:00:00,2.444,2.456,2.439,2.456
2022-01-01 03:00:00,2.456,2.462,2.444,2.444
2022-01-01 04:00:00,2.444,2.445,2.431,2.434
2022-01-01 05:00:00,2.439,2.44,2.428,2.436
2022-01-01 06:00:00,2.433,2.433,2.423,2.424
2022-01-01 07:00:00,2.425,2.433,2.416,2.416
2022-01-01 08:00:00,2.415,2.43,2.415,2.423
2022-01-01 09:00:00,2.425,2.436,2.425,2.431
2022-01-01 10:00:00,2.435,2.452,2.435,2.441
2022-01-01 11:00:00,2.443,2.446,2.429,2.43
2022-01-01 12:00:00,2.431,2.435,2.42,2.432
2022-01-01 13:00:00,2.434,2.456,2.434,2.446
2022-01-01 14:00:00,2.45,2.45,2.434,2.434
2022-01-01 15:00:00,2.44,2.464,2.44,2.447
2022-01-01 16:00:00,2.447,2.455,2.444,2.45
2022-01-01 17:00:00,2.449,2.462,2.443,2.462
2022-01-01 18:00:00,2.462,2.472,2.459,2.472
2022-01-01 19:00:00,2.473,2.476,2.455,2.457
2022-01-01 20:00:00,2.457,2.459,2.44,2.459
2022-01-01 21:00:00,2.458,2.496,2.458,2.488
2022-01-01 22:00:00,2.489,2.497,2.48,2.497
2022-01-01 23:00:00,2.497,2.503,2.449,2.449
2022-01-02 00:00:00,2.453,2.485,2.451,2.48
2022-01-02 01:00:00,2.477,2.48,2.462,2.478
2022-01-02 02:00:00,2.477,2.477,2.472,2.474
2022-01-02 03:00:00,2.468,2.478,2.458,2.474
2022-01-02 04:00:00,2.476,2.506,2.469,2.473
2022-01-02 05:00:00,2.474,2.479,2.467,2.47
2022-01-02 06:00:00,2.47,2.48,2.47,2.477
2022-01-02 07:00:00,2.475,2.482,2.471,2.475
2022-01-02 08:00:00,2.472,2.475,2.461,2.461
2022-01-02 09:00:00,2.465,2.469,2.459,2.463
2022-01-02 10:00:00,2.466,2.467,2.441,2.45
2022-01-02 11:00:00,2.445,2.447,2.427,2.43
2022-01-02 12:00:00,2.433,2.44,2.42,2.434
2022-01-02 13:00:00,2.434,2.434,2.403,2.412
2022-01-02 14:00:00,2.415,2.415,2.399,2.402
2022-01-02 15:00:00,2.402,2.403,2.39,2.4
2022-01-02 16:00:00,2.399,2.403,2.396,2.403
2022-01-02 17:00:00,2.4,2.404,2.396,2.399
2022-01-02 18:00:00,2.4,2.405,2.395,2.402
2022-01-02 19:00:00,2.401,2.405,2.398,2.399
2022-01-02 20:00:00,2.399,2.41,2.384,2.384
2022-01-02 21:00:00,2.384,2.386,2.379,2.383
2022-01-02 22:00:00,2.383,2.384,2.372,2.375
2022-01-02 23:00:00,2.374,2.379,2.374,2.375
2022-01-03 00:00:00,2.376,2.379,2.372,2.373
2022-01-03 01:00:00,2.373,2.381,2.371,2.371
2022-01-03 02:00:00,2.37,2.372,2.367,2.37
2022-01-03 03:00:00,2.37,2.371,2.365,2.369
2022-01-03 04:00:00,2.369,2.37,2.356,2.358
2022-01-03 05:00:00,2.364,2.371,2.362,2.362
2022-01-03 06:00:00,2.363,2.372,2.361,2.366
2022-01-03 07:00:00,2.368,2.368,2.344,2.347
2022-01-03 08:00:00,2.349,2.37,2.346,2.358
2022-01-03 09:00:00,2.359,2.361,2.347,2.348
2022-01-03 10:00:00,2.351,2.361,2.332,2.343
2022-01-03 11:00:00,2.344,2.348,2.316,2.322
2022-01-03 12:00:00,2.322,2.332,2.318,2.326
2022-01-03 13:00:00,2.33,2.331,2.317,2.323
2022-01-03 14:00:00,2.323,2.33,2.312,2.312
2022-01-03 15:00:00,2.311,2.314,2.301,2.302
2022-01-03 16:00:00,2.301,2.311,2.295,2.295
2022-01-03 17:00:00,2.301,2.307,2.3,2.305
2022-01-03 18:00:00,2.299,2.301,2.291,2.291
