datetime,MLNBUSD_open,MLNBUSD_high,MLNBUSD_low,MLNBUSD_close
2022-01-01 00:00:00,89.7,92.0,89.7,91.8
2022-01-01 01:00:00,91.6,91.6,91.4,91.4
2022-01-01 02:00:00,91.1,91.4,90.6,91.4
2022-01-01 03:00:00,90.9,90.9,90.8,90.9
2022-01-01 04:00:00,91.0,91.0,90.7,90.8
2022-01-01 05:00:00,90.8,90.8,90.1,90.5
2022-01-01 06:00:00,90.5,96.0,90.5,95.8
2022-01-01 07:00:00,95.7,98.0,94.1,95.3
2022-01-01 08:00:00,95.3,111.3,95.3,106.7
2022-01-01 09:00:00,106.9,116.2,102.4,103.9
2022-01-01 10:00:00,103.9,104.6,101.0,101.5
2022-01-01 11:00:00,101.5,105.3,98.7,99.3
2022-01-01 12:00:00,99.4,102.9,99.3,101.8
2022-01-01 13:00:00,101.8,104.2,99.6,100.9
2022-01-01 14:00:00,100.8,101.1,99.0,100.6
2022-01-01 15:00:00,100.4,100.4,97.0,98.3
2022-01-01 16:00:00,98.7,99.7,98.1,98.2
2022-01-01 17:00:00,98.2,98.7,97.4,97.4
2022-01-01 18:00:00,97.4,98.7,97.1,98.7
2022-01-01 19:00:00,98.3,99.4,97.2,97.9
2022-01-01 20:00:00,97.8,98.5,97.3,98.1
2022-01-01 21:00:00,98.2,98.2,96.1,96.5
2022-01-01 22:00:00,96.6,96.8,95.7,95.7
2022-01-01 23:00:00,95.8,97.0,95.7,95.8
2022-01-02 00:00:00,95.8,96.6,95.8,96.4
2022-01-02 01:00:00,96.4,96.7,95.4,96.4
2022-01-02 02:00:00,96.4,96.5,95.3,96.2
2022-01-02 03:00:00,96.3,97.0,95.5,96.0
2022-01-02 04:00:00,95.9,97.1,95.8,96.4
2022-01-02 05:00:00,96.4,96.5,95.3,95.4
2022-01-02 06:00:00,95.4,96.6,95.4,95.7
2022-01-02 07:00:00,95.8,96.0,95.3,95.9
2022-01-02 08:00:00,96.0,96.6,95.7,96.6
2022-01-02 09:00:00,96.5,100.0,96.4,98.2
2022-01-02 10:00:00,98.2,98.3,96.9,97.0
2022-01-02 11:00:00,97.2,98.5,97.1,98.3
2022-01-02 12:00:00,98.2,98.2,97.4,97.4
2022-01-02 13:00:00,97.3,97.3,94.8,96.1
2022-01-02 14:00:00,96.1,97.1,95.1,95.9
2022-01-02 15:00:00,95.9,96.3,95.5,96.2
2022-01-02 16:00:00,96.2,96.2,96.0,96.0
2022-01-02 17:00:00,96.1,96.1,95.6,96.0
2022-01-02 18:00:00,96.0,96.4,95.9,96.3
2022-01-02 19:00:00,96.2,96.2,95.2,95.5
2022-01-02 20:00:00,95.3,95.4,95.3,95.4
2022-01-02 21:00:00,95.4,95.4,95.2,95.2
2022-01-02 22:00:00,95.2,95.3,94.8,94.8
2022-01-02 23:00:00,94.9,95.8,94.9,95.3
2022-01-03 00:00:00,95.2,95.3,95.1,95.2
2022-01-03 01:00:00,95.2,95.2,94.9,95.0
2022-01-03 02:00:00,94.9,95.3,94.9,95.1
2022-01-03 03:00:00,95.0,95.0,94.6,94.7
2022-01-03 04:00:00,94.9,95.0,93.7,93.7
2022-01-03 05:00:00,93.8,94.0,93.6,94.0
2022-01-03 06:00:00,94.1,94.2,93.7,94.0
2022-01-03 07:00:00,94.0,94.3,93.8,94.3
2022-01-03 08:00:00,94.2,94.6,93.9,93.9
2022-01-03 09:00:00,93.8,94.1,93.2,93.3
2022-01-03 10:00:00,93.4,93.7,93.0,93.0
2022-01-03 11:00:00,93.1,93.3,92.2,92.6
2022-01-03 12:00:00,92.7,92.8,92.2,92.7
2022-01-03 13:00:00,92.7,93.4,92.1,92.3
2022-01-03 14:00:00,92.2,92.9,92.2,92.7
2022-01-03 15:00:00,92.6,92.6,91.2,92.2
2022-01-03 16:00:00,92.2,92.2,91.9,92.0
2022-01-03 17:00:00,92.0,92.6,92.0,92.3
2022-01-03 18:00:00,92.4,93.1,92.3,93.1
2022-01-03 19:00:00,93.1,93.1,92.5,92.6
2022-01-03 20:00:00,92.6,93.5,92.5,93.2
2022-01-03 21:00:00,93.1,94.1,92.8,93.0
2022-01-03 22:00:00,93.0,93.1,92.8,93.1
2022-01-03 23:00:00,93.1,93.3,92.6,92.7
2022-01-04 00:00:00,92.3,93.6,92.2,93.1
2022-01-04 01:00:00,93.0,93.0,91.9,92.9
2022-01-04 02:00:00,92.9,93.0,92.7,92.9
2022-01-04 03:00:00,92.9,93.0,92.8,92.8
2022-01-04 04:00:00,92.6,92.8,91.9,92.3
2022-01-04 05:00:00,92.2,92.7,92.2,92.7
2022-01-04 06:00:00,92.7,93.6,92.7,93.6
2022-01-04 07:00:00,93.6,93.6,93.3,93.3
2022-01-04 08:00:00,93.3,93.8,93.0,93.8
2022-01-04 09:00:00,93.7,93.8,93.0,93.1
2022-01-04 10:00:00,93.1,93.3,92.5,92.5
2022-01-04 11:00:00,92.5,93.6,92.4,92.9
2022-01-04 12:00:00,92.9,93.2,92.8,92.8
2022-01-04 13:00:00,92.7,92.7,90.7,90.8
2022-01-04 14:00:00,90.8,91.6,90.6,91.0
2022-01-04 15:00:00,91.0,91.3,91.0,91.2
