datetime,MLNUSD_open,MLNUSD_high,MLNUSD_low,MLNUSD_close
2022-01-01 00:00:00,88.47,90.68,88.43,90.19
2022-01-01 01:00:00,90.06,92.18,89.69,91.18
2022-01-01 02:00:00,91.29,95.79,90.79,92.86
2022-01-01 03:00:00,92.85,92.9,91.54,91.76
2022-01-01 04:00:00,91.89,92.97,90.0,90.0
2022-01-01 05:00:00,90.0,92.33,89.95,91.82
2022-01-01 06:00:00,91.8,91.95,91.18,91.18
2022-01-01 07:00:00,91.31,91.49,90.63,91.49
2022-01-01 08:00:00,91.4,91.4,90.75,90.78
2022-01-01 09:00:00,90.78,91.1,90.59,90.84
2022-01-01 10:00:00,90.87,90.87,90.06,90.66
2022-01-01 11:00:00,90.66,96.57,90.4,96.09
2022-01-01 12:00:00,96.07,98.16,94.24,95.23
2022-01-01 13:00:00,95.23,110.0,95.17,106.24
2022-01-01 14:00:00,106.29,114.0,102.7,103.94
2022-01-01 15:00:00,103.95,104.4,101.2,101.51
2022-01-01 16:00:00,101.38,105.53,98.47,99.26
2022-01-01 17:00:00,99.4,103.2,99.1,102.13
2022-01-01 18:00:00,101.96,104.1,99.53,100.53
2022-01-01 19:00:00,100.74,100.98,98.74,100.28
2022-01-01 20:00:00,100.31,100.31,98.47,98.86
2022-01-01 21:00:00,98.88,99.65,98.06,98.07
2022-01-01 22:00:00,98.23,98.36,97.36,97.49
2022-01-01 23:00:00,97.36,98.86,97.0,98.55
2022-01-02 00:00:00,98.5,99.3,97.23,97.81
2022-01-02 01:00:00,97.71,98.52,97.24,98.24
2022-01-02 02:00:00,98.08,98.08,96.57,96.59
2022-01-02 03:00:00,96.59,96.78,95.72,95.72
2022-01-02 04:00:00,95.73,97.28,95.73,95.88
2022-01-02 05:00:00,96.09,96.57,95.78,95.78
2022-01-02 06:00:00,95.84,96.9,95.43,96.36
2022-01-02 07:00:00,96.28,96.62,95.4,96.44
2022-01-02 08:00:00,96.32,97.3,95.55,96.08
2022-01-02 09:00:00,96.08,97.16,95.75,96.46
2022-01-02 10:00:00,96.48,96.48,95.33,95.4
2022-01-02 11:00:00,95.33,96.55,95.33,95.74
2022-01-02 12:00:00,95.95,96.21,95.24,95.8
2022-01-02 13:00:00,96.03,96.61,95.76,96.52
2022-01-02 14:00:00,96.52,99.99,96.45,98.19
2022-01-02 15:00:00,98.19,98.35,96.78,97.0
2022-01-02 16:00:00,97.0,98.27,97.0,98.11
2022-01-02 17:00:00,98.27,98.34,97.3,97.37
2022-01-02 18:00:00,97.37,97.46,95.21,96.32
2022-01-02 19:00:00,96.34,96.83,95.02,95.62
2022-01-02 20:00:00,95.65,96.28,95.27,96.09
2022-01-02 21:00:00,96.09,96.27,95.77,95.8
2022-01-02 22:00:00,95.79,96.14,95.63,95.93
2022-01-02 23:00:00,96.02,96.68,95.92,96.26
2022-01-03 00:00:00,96.21,96.48,95.35,95.35
2022-01-03 01:00:00,95.31,95.49,95.2,95.48
2022-01-03 02:00:00,95.37,95.37,95.05,95.13
2022-01-03 03:00:00,95.18,95.26,95.0,95.0
2022-01-03 04:00:00,95.0,96.05,95.0,95.39
2022-01-03 05:00:00,95.21,95.38,94.95,95.21
2022-01-03 06:00:00,95.21,95.31,94.86,94.9
2022-01-03 07:00:00,94.85,95.29,94.59,94.62
2022-01-03 08:00:00,94.62,94.97,94.53,94.73
2022-01-03 09:00:00,94.69,94.94,93.59,93.59
2022-01-03 10:00:00,93.81,94.12,93.68,94.08
2022-01-03 11:00:00,94.08,94.23,93.69,93.94
2022-01-03 12:00:00,93.88,94.54,93.73,94.38
2022-01-03 13:00:00,94.34,94.67,93.77,93.8
2022-01-03 14:00:00,93.8,94.2,93.0,93.38
2022-01-03 15:00:00,93.43,93.8,92.93,92.95
2022-01-03 16:00:00,92.95,93.29,92.28,92.67
2022-01-03 17:00:00,92.66,92.95,92.3,92.65
2022-01-03 18:00:00,92.68,93.53,91.97,92.14
2022-01-03 19:00:00,92.21,92.77,92.21,92.32
2022-01-03 20:00:00,92.32,92.51,91.23,92.28
2022-01-03 21:00:00,92.18,92.37,91.94,92.07
2022-01-03 22:00:00,91.99,92.84,91.99,92.5
2022-01-03 23:00:00,92.5,93.26,92.27,93.22
2022-01-04 00:00:00,93.25,93.31,92.54,92.54
2022-01-04 01:00:00,92.55,93.7,92.49,93.07
2022-01-04 02:00:00,93.12,94.41,92.7,92.98
2022-01-04 03:00:00,92.98,93.32,92.81,93.11
2022-01-04 04:00:00,93.11,93.43,92.51,92.54
2022-01-04 05:00:00,92.54,93.61,92.32,93.0
2022-01-04 06:00:00,93.0,93.05,91.94,92.9
2022-01-04 07:00:00,92.84,93.1,92.68,92.81
2022-01-04 08:00:00,92.81,92.93,92.64,92.64
2022-01-04 09:00:00,92.56,92.75,92.01,92.38
2022-01-04 10:00:00,92.33,92.84,92.19,92.78
2022-01-04 11:00:00,92.83,93.56,92.74,93.56
2022-01-04 12:00:00,93.52,93.61,93.21,93.22
2022-01-04 13:00:00,93.22,93.72,93.04,93.72
2022-01-04 14:00:00,93.6,93.85,92.91,93.17
2022-01-04 15:00:00,93.12,93.27,92.41,92.5
2022-01-04 16:00:00,92.59,93.72,92.47,92.97
2022-01-04 17:00:00,92.84,93.29,92.72,92.72
2022-01-04 18:00:00,92.73,92.73,90.61,90.78
2022-01-04 19:00:00,90.59,91.77,90.46,91.05
2022-01-04 20:00:00,91.15,91.48,90.95,91.39
2022-01-04 21:00:00,91.39,91.44,90.99,91.13
2022-01-04 22:00:00,91.09,91.47,91.09,91.15
2022-01-04 23:00:00,91.29,91.35,90.5,90.51
2022-01-05 00:00:00,90.5,91.33,90.45,91.33
2022-01-05 01:00:00,91.25,91.67,90.6,90.8
2022-01-05 02:00:00,90.81,91.11,90.45,90.56
2022-01-05 03:00:00,90.57,91.04,90.29,90.48
2022-01-05 04:00:00,90.64,90.77,90.5,90.68
2022-01-05 05:00:00,90.68,90.98,90.38,90.85
2022-01-05 06:00:00,90.84,91.14,90.65,90.73
2022-01-05 07:00:00,90.75,91.19,90.75,91.02
2022-01-05 08:00:00,91.15,91.64,90.84,91.53
2022-01-05 09:00:00,91.61,92.85,91.56,91.9
2022-01-05 10:00:00,91.9,92.19,91.57,91.71
2022-01-05 11:00:00,91.69,91.77,91.05,91.21
2022-01-05 12:00:00,91.11,91.5,90.99,91.04
2022-01-05 13:00:00,91.11,91.88,90.99,91.5
2022-01-05 14:00:00,91.49,91.77,90.99,91.3
2022-01-05 15:00:00,91.49,91.49,91.01,91.05
2022-01-05 16:00:00,91.05,92.19,90.76,91.56
2022-01-05 17:00:00,91.58,97.07,91.34,94.01
2022-01-05 18:00:00,93.99,98.12,93.47,94.46
2022-01-05 19:00:00,94.46,95.21,91.6,91.74
2022-01-05 20:00:00,91.91,92.43,89.93,89.93
2022-01-05 21:00:00,90.17,90.51,88.31,88.34
2022-01-05 22:00:00,88.38,88.49,85.9,86.52
2022-01-05 23:00:00,86.52,87.09,86.1,86.69
2022-01-06 00:00:00,86.66,86.73,85.08,85.68
2022-01-06 01:00:00,85.71,85.93,82.23,82.82
2022-01-06 02:00:00,82.78,82.81,81.94,81.98
2022-01-06 03:00:00,81.98,82.81,81.74,81.87
2022-01-06 04:00:00,81.79,82.51,81.18,82.23
2022-01-06 05:00:00,82.2,83.08,81.55,82.15
2022-01-06 06:00:00,82.09,83.62,81.56,81.63
2022-01-06 07:00:00,81.57,82.48,81.57,82.33
2022-01-06 08:00:00,82.35,82.43,81.58,82.01
2022-01-06 09:00:00,81.77,82.25,81.0,81.05
2022-01-06 10:00:00,81.15,81.78,81.05,81.64
2022-01-06 11:00:00,81.63,81.64,81.0,81.49
2022-01-06 12:00:00,81.46,81.47,80.66,81.09
2022-01-06 13:00:00,81.31,81.67,81.19,81.55
2022-01-06 14:00:00,81.68,81.8,79.95,80.16
2022-01-06 15:00:00,80.15,80.99,80.14,80.81
2022-01-06 16:00:00,80.92,81.18,80.53,80.65
2022-01-06 17:00:00,80.65,82.78,80.65,82.19
2022-01-06 18:00:00,82.38,83.54,82.21,83.04
2022-01-06 19:00:00,82.94,84.83,82.85,84.67
2022-01-06 20:00:00,84.67,85.19,83.93,83.93
2022-01-06 21:00:00,83.93,86.71,83.63,83.63
2022-01-06 22:00:00,83.7,83.94,81.9,83.01
2022-01-06 23:00:00,83.01,83.78,82.4,83.34
2022-01-07 00:00:00,83.2,83.68,82.06,82.11
2022-01-07 01:00:00,82.07,82.56,82.05,82.23
2022-01-07 02:00:00,82.23,83.27,81.96,82.46
2022-01-07 03:00:00,82.38,83.12,80.02,80.35
2022-01-07 04:00:00,80.49,81.47,79.06,80.41
2022-01-07 05:00:00,80.35,80.42,78.89,79.35
2022-01-07 06:00:00,79.45,79.45,77.98,78.0
2022-01-07 07:00:00,78.0,78.85,77.49,78.56
2022-01-07 08:00:00,78.41,81.37,78.41,80.33
2022-01-07 09:00:00,80.24,81.15,80.13,80.93
2022-01-07 10:00:00,80.95,80.95,80.62,80.62
2022-01-07 11:00:00,80.6,80.74,80.21,80.55
2022-01-07 12:00:00,80.51,81.35,80.51,80.66
2022-01-07 13:00:00,80.72,81.22,79.2,79.89
2022-01-07 14:00:00,79.64,80.08,79.17,79.87
2022-01-07 15:00:00,79.8,79.84,78.55,78.95
2022-01-07 16:00:00,78.87,80.1,77.68,80.0
2022-01-07 17:00:00,79.91,80.26,79.5,79.69
