datetime,MOVRBUSD_open,MOVRBUSD_high,MOVRBUSD_low,MOVRBUSD_close
2022-01-01 00:00:00,184.6,188.6,184.0,186.8
2022-01-01 01:00:00,186.8,188.5,180.8,184.9
2022-01-01 02:00:00,185.0,185.0,183.7,184.3
2022-01-01 03:00:00,184.5,193.4,183.6,185.6
2022-01-01 04:00:00,185.9,186.2,184.5,184.5
2022-01-01 05:00:00,185.3,185.3,183.9,183.9
2022-01-01 06:00:00,183.9,185.0,182.6,183.8
2022-01-01 07:00:00,183.8,186.5,183.6,186.0
2022-01-01 08:00:00,186.0,192.5,185.9,190.5
2022-01-01 09:00:00,190.5,190.9,188.9,189.8
2022-01-01 10:00:00,189.1,192.6,188.0,190.8
2022-01-01 11:00:00,191.2,195.0,191.2,192.4
2022-01-01 12:00:00,192.4,197.0,190.8,194.8
2022-01-01 13:00:00,194.9,201.0,191.5,197.8
2022-01-01 14:00:00,197.9,198.5,192.4,193.3
2022-01-01 15:00:00,193.6,195.7,191.8,193.5
2022-01-01 16:00:00,194.0,202.7,194.0,200.3
2022-01-01 17:00:00,200.4,203.5,195.0,196.2
2022-01-01 18:00:00,195.8,198.8,193.5,195.4
2022-01-01 19:00:00,195.4,197.8,193.7,197.6
2022-01-01 20:00:00,197.2,202.0,193.1,196.2
2022-01-01 21:00:00,196.4,200.0,195.5,198.8
2022-01-01 22:00:00,199.1,205.3,198.0,199.2
2022-01-01 23:00:00,199.8,202.6,195.9,196.4
2022-01-02 00:00:00,195.9,198.5,195.9,198.5
2022-01-02 01:00:00,198.7,200.0,196.2,198.4
2022-01-02 02:00:00,198.1,200.4,197.5,200.4
2022-01-02 03:00:00,200.4,218.0,200.4,207.9
2022-01-02 04:00:00,207.9,212.6,201.5,212.5
2022-01-02 05:00:00,212.6,215.9,205.8,206.5
2022-01-02 06:00:00,206.7,209.0,205.0,207.0
2022-01-02 07:00:00,207.5,214.0,207.5,208.8
2022-01-02 08:00:00,209.1,209.5,204.4,204.6
2022-01-02 09:00:00,205.2,206.7,201.1,204.4
2022-01-02 10:00:00,204.7,205.0,197.6,200.4
2022-01-02 11:00:00,200.6,203.4,199.3,202.5
2022-01-02 12:00:00,202.0,204.7,200.7,202.9
2022-01-02 13:00:00,202.5,204.3,195.0,199.9
2022-01-02 14:00:00,199.9,205.5,198.8,202.1
2022-01-02 15:00:00,201.6,207.6,201.4,204.5
2022-01-02 16:00:00,204.8,205.6,202.4,204.4
2022-01-02 17:00:00,204.4,209.0,203.7,207.7
2022-01-02 18:00:00,207.5,212.4,206.8,207.5
2022-01-02 19:00:00,207.1,207.1,202.0,202.0
2022-01-02 20:00:00,202.1,204.0,202.0,203.9
2022-01-02 21:00:00,204.0,204.0,202.0,203.2
2022-01-02 22:00:00,203.3,203.5,198.5,198.5
2022-01-02 23:00:00,198.5,199.5,197.9,198.0
2022-01-03 00:00:00,197.9,205.0,197.0,199.9
2022-01-03 01:00:00,200.0,200.4,198.7,199.0
2022-01-03 02:00:00,199.0,200.0,198.0,199.4
2022-01-03 03:00:00,199.2,199.6,195.7,195.7
2022-01-03 04:00:00,195.7,196.7,193.6,195.8
2022-01-03 05:00:00,195.9,198.0,194.4,195.7
2022-01-03 06:00:00,196.0,198.0,195.8,196.6
2022-01-03 07:00:00,196.8,198.8,196.2,198.1
2022-01-03 08:00:00,197.7,198.8,196.7,196.7
