datetime,MTLBUSD_open,MTLBUSD_high,MTLBUSD_low,MTLBUSD_close
2022-01-01 00:00:00,2.085,2.116,2.085,2.106
2022-01-01 01:00:00,2.106,2.111,2.096,2.096
2022-01-01 02:00:00,2.096,2.107,2.093,2.107
2022-01-01 03:00:00,2.107,2.11,2.097,2.105
2022-01-01 04:00:00,2.105,2.105,2.093,2.097
2022-01-01 05:00:00,2.095,2.095,2.077,2.09
2022-01-01 06:00:00,2.088,2.093,2.085,2.085
2022-01-01 07:00:00,2.088,2.105,2.088,2.103
2022-01-01 08:00:00,2.106,2.113,2.105,2.108
2022-01-01 09:00:00,2.108,2.114,2.106,2.106
2022-01-01 10:00:00,2.112,2.124,2.108,2.109
2022-01-01 11:00:00,2.109,2.124,2.109,2.11
2022-01-01 12:00:00,2.11,2.127,2.1,2.12
2022-01-01 13:00:00,2.127,2.13,2.12,2.127
2022-01-01 14:00:00,2.122,2.122,2.117,2.118
2022-01-01 15:00:00,2.121,2.126,2.121,2.123
2022-01-01 16:00:00,2.123,2.129,2.123,2.125
2022-01-01 17:00:00,2.128,2.128,2.128,2.128
2022-01-01 18:00:00,2.122,2.136,2.121,2.133
2022-01-01 19:00:00,2.134,2.136,2.132,2.132
2022-01-01 20:00:00,2.127,2.13,2.119,2.122
2022-01-01 21:00:00,2.12,2.163,2.12,2.16
2022-01-01 22:00:00,2.16,2.16,2.146,2.146
2022-01-01 23:00:00,2.151,2.162,2.124,2.128
2022-01-02 00:00:00,2.128,2.142,2.128,2.141
2022-01-02 01:00:00,2.141,2.146,2.14,2.142
2022-01-02 02:00:00,2.134,2.146,2.134,2.143
2022-01-02 03:00:00,2.142,2.2,2.138,2.185
2022-01-02 04:00:00,2.19,2.208,2.187,2.2
2022-01-02 05:00:00,2.202,2.222,2.198,2.198
2022-01-02 06:00:00,2.202,2.216,2.202,2.216
2022-01-02 07:00:00,2.217,2.262,2.195,2.232
2022-01-02 08:00:00,2.231,2.253,2.228,2.25
2022-01-02 09:00:00,2.251,2.307,2.251,2.307
2022-01-02 10:00:00,2.309,2.338,2.242,2.247
2022-01-02 11:00:00,2.244,2.249,2.233,2.241
2022-01-02 12:00:00,2.249,2.25,2.225,2.226
2022-01-02 13:00:00,2.226,2.233,2.191,2.22
2022-01-02 14:00:00,2.214,2.223,2.21,2.212
2022-01-02 15:00:00,2.22,2.222,2.203,2.222
2022-01-02 16:00:00,2.222,2.228,2.215,2.228
2022-01-02 17:00:00,2.217,2.228,2.217,2.217
2022-01-02 18:00:00,2.214,2.226,2.213,2.224
