datetime,NEARBUSD_open,NEARBUSD_high,NEARBUSD_low,NEARBUSD_close
2022-01-01 00:00:00,14.659,14.9,14.627,14.778
2022-01-01 01:00:00,14.778,14.877,14.728,14.728
2022-01-01 02:00:00,14.736,14.812,14.702,14.77
2022-01-01 03:00:00,14.749,14.777,14.636,14.661
2022-01-01 04:00:00,14.669,14.696,14.559,14.629
2022-01-01 05:00:00,14.624,14.706,14.453,14.534
2022-01-01 06:00:00,14.525,14.58,14.433,14.455
2022-01-01 07:00:00,14.455,14.69,14.447,14.666
2022-01-01 08:00:00,14.688,14.846,14.626,14.694
2022-01-01 09:00:00,14.67,14.704,14.526,14.537
2022-01-01 10:00:00,14.535,14.761,14.519,14.605
2022-01-01 11:00:00,14.604,14.758,14.602,14.65
2022-01-01 12:00:00,14.65,15.026,14.639,15.026
2022-01-01 13:00:00,15.026,15.115,14.832,15.056
2022-01-01 14:00:00,15.059,15.235,15.059,15.113
2022-01-01 15:00:00,15.125,15.243,15.009,15.229
2022-01-01 16:00:00,15.221,15.324,15.048,15.07
2022-01-01 17:00:00,15.07,15.091,14.965,15.068
2022-01-01 18:00:00,15.066,15.195,15.004,15.179
2022-01-01 19:00:00,15.167,15.174,14.9,15.057
2022-01-01 20:00:00,15.053,15.262,15.036,15.148
2022-01-01 21:00:00,15.142,15.261,15.048,15.108
2022-01-01 22:00:00,15.11,15.117,14.966,15.006
2022-01-01 23:00:00,15.028,15.033,14.727,14.787
2022-01-02 00:00:00,14.777,14.95,14.77,14.927
2022-01-02 01:00:00,14.921,14.975,14.862,14.88
2022-01-02 02:00:00,14.858,14.97,14.841,14.869
2022-01-02 03:00:00,14.868,14.868,14.618,14.767
2022-01-02 04:00:00,14.765,14.855,14.686,14.686
2022-01-02 05:00:00,14.686,14.711,14.625,14.627
2022-01-02 06:00:00,14.626,14.742,14.611,14.637
2022-01-02 07:00:00,14.625,14.637,14.4,14.594
2022-01-02 08:00:00,14.59,14.605,14.427,14.441
2022-01-02 09:00:00,14.427,14.485,14.327,14.385
2022-01-02 10:00:00,14.373,14.569,14.329,14.428
2022-01-02 11:00:00,14.428,14.659,14.427,14.6
2022-01-02 12:00:00,14.614,14.742,14.489,14.545
2022-01-02 13:00:00,14.542,14.542,14.344,14.541
2022-01-02 14:00:00,14.52,14.532,14.408,14.434
2022-01-02 15:00:00,14.414,14.414,14.238,14.324
2022-01-02 16:00:00,14.319,14.421,14.278,14.33
2022-01-02 17:00:00,14.353,14.461,14.349,14.404
2022-01-02 18:00:00,14.419,14.459,14.374,14.391
2022-01-02 19:00:00,14.385,14.398,14.186,14.23
2022-01-02 20:00:00,14.216,14.402,14.198,14.402
2022-01-02 21:00:00,14.404,14.404,14.231,14.298
