datetime,NEOBUSD_open,NEOBUSD_high,NEOBUSD_low,NEOBUSD_close
2022-01-01 00:00:00,25.95,26.41,25.93,26.22
2022-01-01 01:00:00,26.26,26.3,26.06,26.06
2022-01-01 02:00:00,26.05,26.3,26.02,26.27
2022-01-01 03:00:00,26.23,26.29,26.18,26.21
2022-01-01 04:00:00,26.23,26.26,25.98,26.09
2022-01-01 05:00:00,26.1,26.16,25.84,26.02
2022-01-01 06:00:00,26.04,26.09,25.96,25.96
2022-01-01 07:00:00,25.96,26.18,25.96,26.15
2022-01-01 08:00:00,26.13,26.2,26.06,26.12
2022-01-01 09:00:00,26.11,26.13,26.05,26.1
2022-01-01 10:00:00,26.06,26.36,26.06,26.28
2022-01-01 11:00:00,26.3,26.46,26.28,26.3
2022-01-01 12:00:00,26.29,26.53,26.29,26.48
2022-01-01 13:00:00,26.49,26.5,26.26,26.37
2022-01-01 14:00:00,26.4,26.42,26.27,26.3
2022-01-01 15:00:00,26.29,26.36,26.26,26.28
2022-01-01 16:00:00,26.29,26.38,26.23,26.24
2022-01-01 17:00:00,26.25,26.36,26.2,26.34
2022-01-01 18:00:00,26.33,26.38,26.14,26.38
2022-01-01 19:00:00,26.39,26.42,26.17,26.34
2022-01-01 20:00:00,26.33,26.33,26.23,26.31
2022-01-01 21:00:00,26.31,26.41,26.31,26.39
2022-01-01 22:00:00,26.39,26.48,26.35,26.47
2022-01-01 23:00:00,26.47,26.52,26.11,26.25
2022-01-02 00:00:00,26.21,26.42,26.2,26.39
2022-01-02 01:00:00,26.4,26.44,26.33,26.36
2022-01-02 02:00:00,26.35,26.46,26.35,26.38
2022-01-02 03:00:00,26.39,26.57,26.29,26.56
2022-01-02 04:00:00,26.58,26.72,26.54,26.64
2022-01-02 05:00:00,26.67,26.71,26.6,26.6
2022-01-02 06:00:00,26.62,26.76,26.62,26.63
2022-01-02 07:00:00,26.62,27.1,26.5,27.06
2022-01-02 08:00:00,27.08,27.08,26.79,26.79
2022-01-02 09:00:00,26.78,27.01,26.78,27.01
2022-01-02 10:00:00,27.0,27.23,26.98,27.09
2022-01-02 11:00:00,27.09,27.3,27.09,27.25
2022-01-02 12:00:00,27.26,27.3,27.07,27.19
2022-01-02 13:00:00,27.22,27.22,26.67,26.92
2022-01-02 14:00:00,26.9,27.03,26.84,26.95
2022-01-02 15:00:00,26.94,27.0,26.89,26.97
2022-01-02 16:00:00,26.94,26.99,26.89,26.91
2022-01-02 17:00:00,26.92,26.99,26.9,26.94
2022-01-02 18:00:00,26.97,27.16,26.97,26.98
2022-01-02 19:00:00,26.98,27.06,26.9,26.9
2022-01-02 20:00:00,26.89,26.96,26.86,26.94
2022-01-02 21:00:00,26.93,27.32,26.84,27.25
2022-01-02 22:00:00,27.22,27.28,26.93,26.94
2022-01-02 23:00:00,26.94,27.06,26.88,26.88
2022-01-03 00:00:00,26.87,26.93,26.74,26.86
2022-01-03 01:00:00,26.85,26.86,26.68,26.7
2022-01-03 02:00:00,26.7,26.8,26.65,26.8
2022-01-03 03:00:00,26.79,26.84,26.77,26.79
2022-01-03 04:00:00,26.8,26.88,26.66,26.78
2022-01-03 05:00:00,26.82,27.08,26.82,27.03
2022-01-03 06:00:00,27.05,27.17,27.05,27.12
2022-01-03 07:00:00,27.12,27.19,26.95,26.96
2022-01-03 08:00:00,26.97,27.17,26.97,27.14
2022-01-03 09:00:00,27.12,27.15,26.86,26.9
2022-01-03 10:00:00,26.91,27.07,26.81,26.82
2022-01-03 11:00:00,26.81,26.9,26.34,26.43
2022-01-03 12:00:00,26.43,26.65,26.39,26.62
2022-01-03 13:00:00,26.63,26.7,26.54,26.61
2022-01-03 14:00:00,26.58,26.64,26.44,26.44
2022-01-03 15:00:00,26.44,26.44,25.99,26.16
2022-01-03 16:00:00,26.13,26.32,26.02,26.28
2022-01-03 17:00:00,26.25,26.55,26.25,26.44
2022-01-03 18:00:00,26.46,26.69,26.46,26.6
2022-01-03 19:00:00,26.64,26.68,26.24,26.3
2022-01-03 20:00:00,26.25,26.38,26.04,26.06
2022-01-03 21:00:00,26.08,26.23,25.91,26.13
2022-01-03 22:00:00,26.1,26.26,25.97,26.26
2022-01-03 23:00:00,26.26,26.28,26.08,26.08
2022-01-04 00:00:00,26.07,26.31,26.04,26.2
2022-01-04 01:00:00,26.21,26.3,26.13,26.28
2022-01-04 02:00:00,26.28,26.46,26.28,26.43
2022-01-04 03:00:00,26.47,26.63,26.44,26.5
2022-01-04 04:00:00,26.49,26.57,26.39,26.41
2022-01-04 05:00:00,26.43,26.62,26.41,26.6
2022-01-04 06:00:00,26.64,26.8,26.64,26.78
2022-01-04 07:00:00,26.81,26.84,26.44,26.61
2022-01-04 08:00:00,26.63,26.65,26.13,26.6
2022-01-04 09:00:00,26.62,26.81,26.53,26.77
2022-01-04 10:00:00,26.79,26.94,26.55,26.58
2022-01-04 11:00:00,26.57,26.82,26.53,26.76
2022-01-04 12:00:00,26.76,26.89,26.62,26.62
2022-01-04 13:00:00,26.66,26.76,26.0,26.07
2022-01-04 14:00:00,26.05,26.42,25.97,26.19
2022-01-04 15:00:00,26.2,26.5,26.14,26.32
2022-01-04 16:00:00,26.31,26.38,26.24,26.34
2022-01-04 17:00:00,26.32,26.34,26.16,26.2
2022-01-04 18:00:00,26.22,26.22,25.99,26.02
2022-01-04 19:00:00,26.03,26.35,25.88,26.32
2022-01-04 20:00:00,26.31,26.37,26.14,26.25
2022-01-04 21:00:00,26.23,26.42,26.23,26.35
2022-01-04 22:00:00,26.38,26.47,26.37,26.46
2022-01-04 23:00:00,26.47,26.48,26.4,26.43
