datetime,NMRBUSD_open,NMRBUSD_high,NMRBUSD_low,NMRBUSD_close
2022-01-01 00:00:00,31.5,31.98,31.5,31.71
2022-01-01 01:00:00,31.71,31.79,31.71,31.71
2022-01-01 02:00:00,31.69,31.76,31.66,31.76
2022-01-01 03:00:00,31.72,31.75,31.64,31.64
2022-01-01 04:00:00,31.69,31.99,31.57,31.71
2022-01-01 05:00:00,31.73,31.78,31.49,31.62
2022-01-01 06:00:00,31.59,31.69,31.59,31.69
2022-01-01 07:00:00,31.63,31.74,31.63,31.68
2022-01-01 08:00:00,31.67,31.89,31.67,31.89
2022-01-01 09:00:00,31.85,31.9,31.8,31.83
2022-01-01 10:00:00,31.88,32.08,31.88,31.95
2022-01-01 11:00:00,31.94,32.09,31.94,31.97
2022-01-01 12:00:00,32.03,32.26,32.03,32.23
2022-01-01 13:00:00,32.13,32.13,32.04,32.1
2022-01-01 14:00:00,32.04,32.06,32.0,32.06
2022-01-01 15:00:00,31.98,32.27,31.98,32.27
2022-01-01 16:00:00,32.26,32.7,32.15,32.3
2022-01-01 17:00:00,32.37,32.38,32.27,32.27
2022-01-01 18:00:00,32.29,32.43,32.29,32.43
2022-01-01 19:00:00,32.36,32.46,32.28,32.36
2022-01-01 20:00:00,32.29,32.29,32.25,32.27
2022-01-01 21:00:00,32.2,32.2,32.2,32.2
2022-01-01 22:00:00,32.08,32.15,31.88,31.92
2022-01-01 23:00:00,31.94,31.94,31.65,31.65
2022-01-02 00:00:00,31.61,31.7,31.61,31.68
2022-01-02 01:00:00,31.71,31.76,31.71,31.76
2022-01-02 02:00:00,31.72,31.82,31.72,31.8
2022-01-02 03:00:00,31.75,31.79,31.75,31.76
2022-01-02 04:00:00,31.91,31.98,31.91,31.92
2022-01-02 05:00:00,31.92,31.92,31.88,31.88
2022-01-02 06:00:00,31.98,32.07,31.98,32.07
2022-01-02 07:00:00,31.97,32.11,31.97,32.04
2022-01-02 08:00:00,32.08,32.23,32.08,32.17
2022-01-02 09:00:00,32.24,32.33,32.08,32.24
2022-01-02 10:00:00,32.24,32.29,32.12,32.29
2022-01-02 11:00:00,32.35,32.4,32.35,32.4
2022-01-02 12:00:00,32.45,32.8,32.44,32.45
2022-01-02 13:00:00,32.39,32.46,32.28,32.41
2022-01-02 14:00:00,32.36,32.36,32.22,32.22
2022-01-02 15:00:00,32.23,32.23,32.1,32.1
2022-01-02 16:00:00,32.1,32.1,32.1,32.1
2022-01-02 17:00:00,32.08,32.13,31.99,32.1
2022-01-02 18:00:00,32.1,32.17,32.1,32.17
2022-01-02 19:00:00,32.15,32.22,32.03,32.22
2022-01-02 20:00:00,32.17,32.19,32.16,32.17
2022-01-02 21:00:00,32.11,32.11,31.99,32.09
2022-01-02 22:00:00,31.98,31.98,31.88,31.91
2022-01-02 23:00:00,31.94,31.94,31.94,31.94
2022-01-03 00:00:00,31.96,32.14,31.93,32.14
2022-01-03 01:00:00,32.05,32.05,31.99,32.0
2022-01-03 02:00:00,32.05,32.09,32.03,32.03
2022-01-03 03:00:00,32.06,32.39,32.06,32.39
2022-01-03 04:00:00,32.43,32.43,32.26,32.26
2022-01-03 05:00:00,32.36,32.45,32.36,32.45
2022-01-03 06:00:00,32.46,32.7,32.46,32.7
2022-01-03 07:00:00,32.76,32.76,32.55,32.66
2022-01-03 08:00:00,32.66,32.66,32.66,32.66
2022-01-03 09:00:00,32.51,32.66,32.45,32.55
2022-01-03 10:00:00,32.43,32.43,32.33,32.33
2022-01-03 11:00:00,32.33,32.37,32.03,32.03
2022-01-03 12:00:00,32.11,32.23,32.11,32.22
2022-01-03 13:00:00,32.22,32.23,32.11,32.11
2022-01-03 14:00:00,32.25,32.25,32.25,32.25
2022-01-03 15:00:00,32.16,32.16,31.71,31.71
2022-01-03 16:00:00,31.68,31.82,31.68,31.73
2022-01-03 17:00:00,31.69,31.79,31.68,31.78
2022-01-03 18:00:00,31.74,32.11,31.5,31.66
2022-01-03 19:00:00,31.65,31.8,31.63,31.72
2022-01-03 20:00:00,31.71,31.71,31.63,31.63
2022-01-03 21:00:00,31.59,31.74,31.59,31.74
2022-01-03 22:00:00,31.72,31.75,31.71,31.71
2022-01-03 23:00:00,31.65,31.71,31.6,31.71
2022-01-04 00:00:00,31.6,31.62,31.6,31.62
2022-01-04 01:00:00,31.58,31.74,31.56,31.74
2022-01-04 02:00:00,31.74,31.74,31.69,31.74
2022-01-04 03:00:00,31.74,31.75,31.6,31.6
2022-01-04 04:00:00,31.67,31.67,31.52,31.52
2022-01-04 05:00:00,31.69,31.77,31.69,31.71
2022-01-04 06:00:00,31.69,31.74,31.65,31.66
2022-01-04 07:00:00,31.67,31.68,31.62,31.63
2022-01-04 08:00:00,31.63,31.82,31.6,31.77
2022-01-04 09:00:00,31.78,32.02,31.78,32.02
2022-01-04 10:00:00,32.08,32.1,31.91,31.91
2022-01-04 11:00:00,31.89,32.19,31.89,32.08
2022-01-04 12:00:00,32.09,32.13,32.08,32.13
2022-01-04 13:00:00,31.98,32.06,31.38,31.54
2022-01-04 14:00:00,31.58,31.93,31.58,31.67
2022-01-04 15:00:00,31.66,32.0,31.66,32.0
2022-01-04 16:00:00,32.03,32.37,31.36,31.54
2022-01-04 17:00:00,31.53,31.76,31.38,31.45
2022-01-04 18:00:00,31.42,31.42,31.28,31.28
2022-01-04 19:00:00,31.32,31.88,31.25,31.88
2022-01-04 20:00:00,31.88,31.88,31.88,31.88
2022-01-04 21:00:00,31.88,31.88,31.88,31.88
2022-01-04 22:00:00,31.78,32.02,31.71,31.74
2022-01-04 23:00:00,31.83,31.91,31.78,31.82
2022-01-05 00:00:00,31.73,31.75,31.71,31.75
2022-01-05 01:00:00,31.72,32.35,31.69,32.04
2022-01-05 02:00:00,32.01,32.09,31.95,32.0
2022-01-05 03:00:00,31.97,32.08,31.96,32.08
2022-01-05 04:00:00,32.0,32.18,32.0,32.14
2022-01-05 05:00:00,32.25,32.27,32.2,32.2
2022-01-05 06:00:00,32.09,32.09,32.08,32.08
2022-01-05 07:00:00,31.97,31.97,31.84,31.84
2022-01-05 08:00:00,32.02,32.08,32.01,32.08
2022-01-05 09:00:00,32.18,32.29,31.84,32.14
2022-01-05 10:00:00,32.0,32.0,31.77,31.81
2022-01-05 11:00:00,31.86,31.87,31.65,31.65
2022-01-05 12:00:00,31.69,31.71,31.41,31.47
2022-01-05 13:00:00,31.36,31.61,31.12,31.61
2022-01-05 14:00:00,31.68,31.68,30.61,30.65
2022-01-05 15:00:00,30.63,31.35,30.18,30.2
2022-01-05 16:00:00,30.3,30.45,30.0,30.14
2022-01-05 17:00:00,30.12,30.15,29.02,29.76
2022-01-05 18:00:00,29.8,30.0,29.77,29.81
2022-01-05 19:00:00,29.83,30.0,29.83,29.93
2022-01-05 20:00:00,30.01,30.03,29.73,29.73
2022-01-05 21:00:00,29.73,29.73,29.73,29.73
2022-01-05 22:00:00,29.73,29.73,29.56,29.64
2022-01-05 23:00:00,29.85,29.97,29.56,29.56
2022-01-06 00:00:00,29.42,29.53,29.36,29.36
2022-01-06 01:00:00,29.45,29.45,29.23,29.44
2022-01-06 02:00:00,29.52,30.08,29.52,29.91
2022-01-06 03:00:00,29.99,29.99,29.46,29.46
2022-01-06 04:00:00,29.15,29.15,28.9,28.94
2022-01-06 05:00:00,28.94,28.97,28.94,28.97
2022-01-06 06:00:00,29.08,29.08,29.08,29.08
2022-01-06 07:00:00,29.07,29.07,28.82,28.82
2022-01-06 08:00:00,29.1,29.16,29.0,29.12
2022-01-06 09:00:00,29.17,29.19,28.97,29.05
2022-01-06 10:00:00,28.95,29.07,28.94,29.06
2022-01-06 11:00:00,29.04,29.04,28.9,28.98
2022-01-06 12:00:00,29.11,29.11,29.11,29.11
2022-01-06 13:00:00,29.2,29.81,29.16,29.75
2022-01-06 14:00:00,29.65,29.68,29.65,29.67
2022-01-06 15:00:00,29.64,29.64,29.64,29.64
2022-01-06 16:00:00,29.66,29.72,29.66,29.72
2022-01-06 17:00:00,29.68,29.69,29.19,29.3
2022-01-06 18:00:00,29.32,29.45,29.32,29.35
2022-01-06 19:00:00,29.35,29.35,29.07,29.1
2022-01-06 20:00:00,29.12,29.43,29.12,29.29
2022-01-06 21:00:00,29.36,29.48,29.15,29.16
2022-01-06 22:00:00,29.03,29.03,28.49,28.58
2022-01-06 23:00:00,28.51,28.99,28.28,28.93
2022-01-07 00:00:00,28.96,29.09,28.96,29.0
2022-01-07 01:00:00,28.87,28.87,28.26,28.34
2022-01-07 02:00:00,28.43,28.43,28.04,28.34
2022-01-07 03:00:00,28.44,28.88,27.84,28.58
2022-01-07 04:00:00,28.6,28.92,28.6,28.87
2022-01-07 05:00:00,28.92,28.94,28.54,28.55
2022-01-07 06:00:00,28.47,29.47,28.47,29.18
2022-01-07 07:00:00,29.23,29.24,28.92,29.16
2022-01-07 08:00:00,29.07,29.38,28.65,28.65
2022-01-07 09:00:00,28.63,29.0,28.59,28.98
2022-01-07 10:00:00,28.99,29.03,28.22,28.63
2022-01-07 11:00:00,28.76,29.05,28.76,29.05
2022-01-07 12:00:00,28.82,28.88,28.65,28.72
2022-01-07 13:00:00,28.81,28.82,28.3,28.36
2022-01-07 14:00:00,28.42,28.44,28.0,28.36
2022-01-07 15:00:00,28.41,28.57,28.36,28.42
2022-01-07 16:00:00,28.46,28.89,28.24,28.26
2022-01-07 17:00:00,28.2,28.26,27.98,27.98
2022-01-07 18:00:00,27.97,27.98,27.86,27.96
2022-01-07 19:00:00,28.07,28.22,28.01,28.22
2022-01-07 20:00:00,28.28,28.38,28.28,28.3
2022-01-07 21:00:00,28.2,28.25,27.99,27.99
2022-01-07 22:00:00,27.99,28.02,27.94,27.97
2022-01-07 23:00:00,27.97,27.97,27.97,27.97
2022-01-08 00:00:00,28.16,28.18,28.16,28.18
2022-01-08 01:00:00,28.18,28.18,28.18,28.18
2022-01-08 02:00:00,28.23,28.25,28.2,28.23
2022-01-08 03:00:00,28.27,28.34,28.27,28.31
2022-01-08 04:00:00,28.31,28.31,28.31,28.31
2022-01-08 05:00:00,28.39,28.39,28.31,28.31
2022-01-08 06:00:00,28.06,28.11,28.04,28.1
2022-01-08 07:00:00,28.14,28.14,28.14,28.14
2022-01-08 08:00:00,27.96,28.04,27.91,28.04
2022-01-08 09:00:00,27.95,28.07,27.95,28.07
2022-01-08 10:00:00,27.91,27.94,27.91,27.94
2022-01-08 11:00:00,27.94,28.2,27.91,27.93
2022-01-08 12:00:00,27.86,27.86,27.58,27.58
2022-01-08 13:00:00,27.72,27.94,27.5,27.5
2022-01-08 14:00:00,27.58,27.64,27.0,27.1
2022-01-08 15:00:00,27.15,27.17,27.1,27.17
2022-01-08 16:00:00,27.12,28.18,27.09,27.97
2022-01-08 17:00:00,27.96,28.2,27.96,28.06
2022-01-08 18:00:00,28.09,28.09,28.0,28.0
2022-01-08 19:00:00,27.78,27.79,27.74,27.79
2022-01-08 20:00:00,27.8,27.87,27.8,27.87
2022-01-08 21:00:00,27.87,27.87,27.87,27.87
2022-01-08 22:00:00,27.87,27.87,27.87,27.87
2022-01-08 23:00:00,27.89,27.92,27.82,27.87
2022-01-09 00:00:00,28.01,28.01,28.01,28.01
2022-01-09 01:00:00,27.92,27.92,27.92,27.92
2022-01-09 02:00:00,27.88,27.88,27.73,27.73
2022-01-09 03:00:00,27.71,27.71,27.71,27.71
2022-01-09 04:00:00,27.6,27.6,27.5,27.5
2022-01-09 05:00:00,27.38,27.49,27.38,27.49
