datetime,NMRUSD_open,NMRUSD_high,NMRUSD_low,NMRUSD_close
2022-01-01 00:00:00,31.43,31.82,31.43,31.81
2022-01-01 01:00:00,31.79,31.94,31.75,31.9
2022-01-01 02:00:00,31.89,31.94,31.74,31.84
2022-01-01 03:00:00,31.82,31.87,31.72,31.72
2022-01-01 04:00:00,31.75,31.76,31.43,31.43
2022-01-01 05:00:00,31.47,31.98,31.44,31.68
2022-01-01 06:00:00,31.71,31.79,31.63,31.68
2022-01-01 07:00:00,31.64,31.73,31.6,31.72
2022-01-01 08:00:00,31.67,31.7,31.6,31.62
2022-01-01 09:00:00,31.62,31.89,31.51,31.68
2022-01-01 10:00:00,31.67,31.75,31.43,31.56
2022-01-01 11:00:00,31.56,31.67,31.53,31.58
2022-01-01 12:00:00,31.56,31.74,31.56,31.64
2022-01-01 13:00:00,31.61,31.85,31.6,31.85
2022-01-01 14:00:00,31.84,31.88,31.75,31.78
2022-01-01 15:00:00,31.73,32.11,31.72,31.91
2022-01-01 16:00:00,31.94,32.08,31.92,31.97
2022-01-01 17:00:00,31.98,32.25,31.91,32.17
2022-01-01 18:00:00,32.13,32.17,32.0,32.06
2022-01-01 19:00:00,32.06,32.1,31.96,32.0
2022-01-01 20:00:00,31.99,32.25,31.98,32.25
2022-01-01 21:00:00,32.22,32.56,32.19,32.26
2022-01-01 22:00:00,32.28,32.36,32.23,32.23
2022-01-01 23:00:00,32.23,32.5,32.21,32.46
2022-01-02 00:00:00,32.46,32.49,32.24,32.33
2022-01-02 01:00:00,32.33,32.33,32.13,32.13
2022-01-02 02:00:00,32.18,32.18,32.11,32.11
2022-01-02 03:00:00,32.13,32.16,31.84,31.86
2022-01-02 04:00:00,31.88,31.94,31.6,31.6
2022-01-02 05:00:00,31.59,31.71,31.57,31.68
2022-01-02 06:00:00,31.68,31.75,31.67,31.73
2022-01-02 07:00:00,31.73,31.86,31.69,31.83
2022-01-02 08:00:00,31.82,31.87,31.71,31.87
2022-01-02 09:00:00,31.87,31.99,31.83,31.96
2022-01-02 10:00:00,31.94,32.03,31.88,31.93
2022-01-02 11:00:00,31.98,32.07,31.98,32.01
2022-01-02 12:00:00,31.99,32.12,31.92,32.06
2022-01-02 13:00:00,32.03,32.3,32.03,32.26
2022-01-02 14:00:00,32.26,32.37,32.11,32.18
2022-01-02 15:00:00,32.21,32.32,32.1,32.29
2022-01-02 16:00:00,32.26,32.45,32.25,32.41
2022-01-02 17:00:00,32.45,32.79,32.39,32.42
2022-01-02 18:00:00,32.42,32.43,32.2,32.32
2022-01-02 19:00:00,32.33,32.48,32.22,32.25
2022-01-02 20:00:00,32.2,32.26,32.04,32.07
2022-01-02 21:00:00,32.08,32.12,32.03,32.08
2022-01-02 22:00:00,32.04,32.16,32.0,32.05
2022-01-02 23:00:00,32.05,32.19,32.05,32.18
2022-01-03 00:00:00,32.15,32.19,32.02,32.13
2022-01-03 01:00:00,32.12,32.16,32.06,32.14
2022-01-03 02:00:00,32.14,32.2,31.98,32.12
2022-01-03 03:00:00,32.13,32.13,31.85,31.87
2022-01-03 04:00:00,31.88,31.95,31.86,31.93
2022-01-03 05:00:00,31.91,32.12,31.87,31.99
2022-01-03 06:00:00,31.98,32.0,31.91,31.94
2022-01-03 07:00:00,31.92,32.1,31.91,32.1
2022-01-03 08:00:00,32.1,32.43,32.1,32.41
2022-01-03 09:00:00,32.4,32.43,32.22,32.33
2022-01-03 10:00:00,32.34,32.51,32.33,32.48
2022-01-03 11:00:00,32.48,32.76,32.48,32.71
2022-01-03 12:00:00,32.68,32.77,32.57,32.58
2022-01-03 13:00:00,32.63,32.7,32.56,32.56
2022-01-03 14:00:00,32.57,32.6,32.45,32.45
2022-01-03 15:00:00,32.45,32.52,32.33,32.34
