datetime,NULSBUSD_open,NULSBUSD_high,NULSBUSD_low,NULSBUSD_close
2022-01-01 00:00:00,0.8187,0.8253,0.816,0.8199
2022-01-01 01:00:00,0.8142,0.8199,0.8045,0.8084
2022-01-01 02:00:00,0.8092,0.8123,0.8069,0.8081
2022-01-01 03:00:00,0.8081,0.8125,0.8065,0.8074
2022-01-01 04:00:00,0.8091,0.8122,0.8058,0.8058
2022-01-01 05:00:00,0.8095,0.8095,0.7959,0.8033
2022-01-01 06:00:00,0.8062,0.8062,0.8008,0.8034
2022-01-01 07:00:00,0.8017,0.8124,0.8017,0.8058
2022-01-01 08:00:00,0.8063,0.813,0.8033,0.8033
2022-01-01 09:00:00,0.8074,0.809,0.8025,0.8028
2022-01-01 10:00:00,0.8071,0.814,0.8015,0.8083
2022-01-01 11:00:00,0.8076,0.812,0.8005,0.8049
2022-01-01 12:00:00,0.8049,0.8135,0.8049,0.8084
2022-01-01 13:00:00,0.8087,0.8125,0.8033,0.8058
2022-01-01 14:00:00,0.8091,0.8147,0.8033,0.8063
2022-01-01 15:00:00,0.8066,0.8144,0.8063,0.8086
2022-01-01 16:00:00,0.8122,0.8142,0.8001,0.8047
2022-01-01 17:00:00,0.8049,0.8072,0.8022,0.8059
2022-01-01 18:00:00,0.8057,0.8097,0.8022,0.8076
2022-01-01 19:00:00,0.8097,0.8116,0.8025,0.8025
2022-01-01 20:00:00,0.8031,0.8071,0.8009,0.8028
2022-01-01 21:00:00,0.8027,0.8065,0.801,0.801
2022-01-01 22:00:00,0.8062,0.8062,0.798,0.7982
2022-01-01 23:00:00,0.8023,0.8096,0.7991,0.7991
2022-01-02 00:00:00,0.7991,0.8037,0.7959,0.8037
2022-01-02 01:00:00,0.8037,0.8056,0.8008,0.8053
2022-01-02 02:00:00,0.8049,0.8049,0.7984,0.7984
2022-01-02 03:00:00,0.8005,0.8007,0.797,0.8005
2022-01-02 04:00:00,0.7967,0.8023,0.7857,0.8007
2022-01-02 05:00:00,0.8015,0.8029,0.7936,0.7936
2022-01-02 06:00:00,0.7992,0.8066,0.7909,0.7983
2022-01-02 07:00:00,0.8021,0.8037,0.7958,0.8015
2022-01-02 08:00:00,0.8015,0.8024,0.7942,0.798
