datetime,OCEANBUSD_open,OCEANBUSD_high,OCEANBUSD_low,OCEANBUSD_close
2022-01-01 00:00:00,0.86,0.8744,0.8593,0.8703
2022-01-01 01:00:00,0.8695,0.8712,0.8655,0.8655
2022-01-01 02:00:00,0.8654,0.8719,0.8631,0.8706
2022-01-01 03:00:00,0.87,0.8725,0.8686,0.8688
2022-01-01 04:00:00,0.8692,0.8707,0.8565,0.8618
2022-01-01 05:00:00,0.8631,0.8636,0.8506,0.8569
2022-01-01 06:00:00,0.856,0.8594,0.8548,0.8561
2022-01-01 07:00:00,0.8561,0.8642,0.8553,0.8639
2022-01-01 08:00:00,0.8639,0.867,0.8628,0.8651
2022-01-01 09:00:00,0.8656,0.8709,0.8656,0.8685
2022-01-01 10:00:00,0.8681,0.8742,0.8669,0.8729
2022-01-01 11:00:00,0.8728,0.8771,0.871,0.871
2022-01-01 12:00:00,0.8715,0.8778,0.8688,0.8762
2022-01-01 13:00:00,0.8769,0.8783,0.8743,0.8778
2022-01-01 14:00:00,0.8789,0.881,0.8745,0.8793
2022-01-01 15:00:00,0.881,0.8855,0.881,0.8848
2022-01-01 16:00:00,0.8848,0.8883,0.8817,0.8873
2022-01-01 17:00:00,0.8867,0.8867,0.8833,0.8853
2022-01-01 18:00:00,0.8841,0.8965,0.8835,0.8928
2022-01-01 19:00:00,0.8943,0.9005,0.8889,0.8986
2022-01-01 20:00:00,0.8983,0.902,0.8956,0.8999
2022-01-01 21:00:00,0.8996,0.9076,0.8964,0.9059
2022-01-01 22:00:00,0.9055,0.9111,0.905,0.9111
2022-01-01 23:00:00,0.9114,0.9146,0.8899,0.8983
2022-01-02 00:00:00,0.8974,0.9266,0.8964,0.9089
2022-01-02 01:00:00,0.9098,0.9104,0.903,0.9032
2022-01-02 02:00:00,0.9033,0.9046,0.8982,0.8997
2022-01-02 03:00:00,0.9014,0.9085,0.8943,0.9085
2022-01-02 04:00:00,0.9084,0.9239,0.9084,0.9165
2022-01-02 05:00:00,0.9162,0.927,0.915,0.9199
2022-01-02 06:00:00,0.9181,0.9241,0.9143,0.9191
2022-01-02 07:00:00,0.9193,0.9198,0.9095,0.9156
2022-01-02 08:00:00,0.9156,0.9171,0.9006,0.9022
2022-01-02 09:00:00,0.9022,0.908,0.8992,0.8992
2022-01-02 10:00:00,0.8993,0.9051,0.8977,0.9045
2022-01-02 11:00:00,0.9045,0.9133,0.9045,0.9109
2022-01-02 12:00:00,0.9119,0.9157,0.9093,0.9119
2022-01-02 13:00:00,0.9121,0.9122,0.8874,0.9019
2022-01-02 14:00:00,0.9015,0.9063,0.8985,0.8992
2022-01-02 15:00:00,0.8986,0.9007,0.8958,0.8996
2022-01-02 16:00:00,0.8985,0.9069,0.8978,0.9033
2022-01-02 17:00:00,0.903,0.9135,0.9023,0.9048
2022-01-02 18:00:00,0.9056,0.9078,0.9016,0.9026
2022-01-02 19:00:00,0.9014,0.9014,0.8958,0.8958
2022-01-02 20:00:00,0.8947,0.8978,0.8939,0.8977
2022-01-02 21:00:00,0.8983,0.8983,0.8903,0.893
2022-01-02 22:00:00,0.893,0.8935,0.8792,0.883
2022-01-02 23:00:00,0.883,0.8863,0.883,0.8847
2022-01-03 00:00:00,0.885,0.8915,0.8845,0.8899
2022-01-03 01:00:00,0.8905,0.8922,0.8888,0.8889
2022-01-03 02:00:00,0.8874,0.8932,0.8874,0.8921
2022-01-03 03:00:00,0.8918,0.9094,0.8917,0.9004
2022-01-03 04:00:00,0.9005,0.9037,0.894,0.9035
2022-01-03 05:00:00,0.9036,0.9247,0.9036,0.9247
2022-01-03 06:00:00,0.9249,0.9358,0.9249,0.9313
2022-01-03 07:00:00,0.9323,0.942,0.9253,0.9253
2022-01-03 08:00:00,0.9252,0.9296,0.9202,0.9202
2022-01-03 09:00:00,0.92,0.9382,0.9197,0.9271
2022-01-03 10:00:00,0.9273,0.9306,0.913,0.9169
2022-01-03 11:00:00,0.9157,0.9211,0.8906,0.901
2022-01-03 12:00:00,0.9004,0.918,0.9004,0.912
2022-01-03 13:00:00,0.9116,0.9234,0.9112,0.9156
2022-01-03 14:00:00,0.9184,0.9193,0.9063,0.9063
2022-01-03 15:00:00,0.9058,0.9109,0.8913,0.9031
2022-01-03 16:00:00,0.9021,0.9197,0.9005,0.9168
2022-01-03 17:00:00,0.9155,0.9312,0.9139,0.9246
2022-01-03 18:00:00,0.9254,0.9301,0.9149,0.9157
2022-01-03 19:00:00,0.9158,0.9202,0.8961,0.9009
2022-01-03 20:00:00,0.9001,0.9106,0.8959,0.9017
2022-01-03 21:00:00,0.9022,0.9073,0.8978,0.902
2022-01-03 22:00:00,0.9018,0.913,0.8978,0.9112
2022-01-03 23:00:00,0.9098,0.9132,0.9047,0.9079
2022-01-04 00:00:00,0.9087,0.9166,0.9027,0.9088
2022-01-04 01:00:00,0.9095,0.915,0.908,0.9149
2022-01-04 02:00:00,0.9147,0.9163,0.9112,0.9139
2022-01-04 03:00:00,0.9126,0.9286,0.9094,0.9156
2022-01-04 04:00:00,0.9156,0.9221,0.914,0.914
2022-01-04 05:00:00,0.915,0.9266,0.9148,0.9232
2022-01-04 06:00:00,0.9228,0.927,0.9216,0.9232
2022-01-04 07:00:00,0.9227,0.9374,0.9178,0.9292
2022-01-04 08:00:00,0.9303,0.9391,0.9248,0.9383
2022-01-04 09:00:00,0.9391,0.9443,0.9324,0.9425
2022-01-04 10:00:00,0.9424,0.968,0.9384,0.9413
2022-01-04 11:00:00,0.9402,0.959,0.934,0.9522
2022-01-04 12:00:00,0.951,0.9537,0.9428,0.9428
2022-01-04 13:00:00,0.943,0.9505,0.9105,0.9167
2022-01-04 14:00:00,0.9148,0.9326,0.9112,0.9236
2022-01-04 15:00:00,0.9245,0.9417,0.9231,0.9389
2022-01-04 16:00:00,0.939,0.9466,0.9369,0.9436
2022-01-04 17:00:00,0.9444,0.9535,0.937,0.9523
2022-01-04 18:00:00,0.9518,0.9641,0.9383,0.9475
2022-01-04 19:00:00,0.9506,0.9887,0.9482,0.9887
2022-01-04 20:00:00,0.9894,0.9971,0.9764,0.9764
2022-01-04 21:00:00,0.9776,0.9931,0.9766,0.9857
2022-01-04 22:00:00,0.9866,0.9969,0.9866,0.9934
2022-01-04 23:00:00,0.9935,0.9936,0.9679,0.9692
2022-01-05 00:00:00,0.9685,0.9692,0.9569,0.962
2022-01-05 01:00:00,0.962,0.9688,0.957,0.9688
2022-01-05 02:00:00,0.9688,0.9765,0.9635,0.9711
2022-01-05 03:00:00,0.972,0.9742,0.9631,0.9712
2022-01-05 04:00:00,0.9697,0.9723,0.9683,0.9723
2022-01-05 05:00:00,0.9703,0.979,0.9686,0.9783
2022-01-05 06:00:00,0.9782,0.9882,0.9732,0.9882
2022-01-05 07:00:00,0.9882,1.0092,0.9861,0.9905
2022-01-05 08:00:00,0.9912,0.9912,0.9773,0.989
2022-01-05 09:00:00,0.9889,0.989,0.9693,0.9767
2022-01-05 10:00:00,0.9774,1.0345,0.9774,1.0135
2022-01-05 11:00:00,1.0135,1.0347,1.0103,1.0247
2022-01-05 12:00:00,1.0236,1.0269,0.9823,0.986
2022-01-05 13:00:00,0.9852,1.0062,0.9736,1.0007
2022-01-05 14:00:00,1.0008,1.0013,0.9216,0.9388
2022-01-05 15:00:00,0.9352,0.9586,0.8719,0.9027
2022-01-05 16:00:00,0.9031,1.0095,0.8763,0.8786
2022-01-05 17:00:00,0.8776,0.8873,0.8195,0.8717
2022-01-05 18:00:00,0.871,0.8787,0.8648,0.8654
2022-01-05 19:00:00,0.8649,0.8752,0.86,0.8703
2022-01-05 20:00:00,0.8709,0.872,0.8499,0.8554
2022-01-05 21:00:00,0.8554,0.8585,0.8452,0.8471
2022-01-05 22:00:00,0.8471,0.8508,0.835,0.8353
2022-01-05 23:00:00,0.8361,0.8503,0.8294,0.8482
