datetime,OGNUSD_open,OGNUSD_high,OGNUSD_low,OGNUSD_close
2022-01-01 00:00:00,0.613,0.626,0.612,0.625
2022-01-01 01:00:00,0.626,0.626,0.622,0.622
2022-01-01 02:00:00,0.622,0.625,0.621,0.623
2022-01-01 03:00:00,0.623,0.624,0.619,0.619
2022-01-01 04:00:00,0.62,0.621,0.613,0.616
2022-01-01 05:00:00,0.617,0.627,0.614,0.621
2022-01-01 06:00:00,0.621,0.622,0.617,0.618
2022-01-01 07:00:00,0.617,0.624,0.617,0.623
2022-01-01 08:00:00,0.623,0.625,0.621,0.622
2022-01-01 09:00:00,0.621,0.623,0.618,0.62
2022-01-01 10:00:00,0.62,0.623,0.611,0.614
2022-01-01 11:00:00,0.615,0.618,0.613,0.613
2022-01-01 12:00:00,0.613,0.621,0.613,0.62
2022-01-01 13:00:00,0.621,0.622,0.619,0.62
2022-01-01 14:00:00,0.621,0.623,0.618,0.62
2022-01-01 15:00:00,0.62,0.627,0.62,0.623
2022-01-01 16:00:00,0.622,0.627,0.622,0.623
2022-01-01 17:00:00,0.623,0.628,0.62,0.628
2022-01-01 18:00:00,0.627,0.627,0.623,0.626
2022-01-01 19:00:00,0.626,0.627,0.622,0.625
2022-01-01 20:00:00,0.625,0.63,0.624,0.626
2022-01-01 21:00:00,0.627,0.629,0.623,0.624
2022-01-01 22:00:00,0.625,0.627,0.623,0.625
2022-01-01 23:00:00,0.625,0.633,0.624,0.633
2022-01-02 00:00:00,0.634,0.634,0.626,0.629
2022-01-02 01:00:00,0.628,0.63,0.625,0.626
2022-01-02 02:00:00,0.626,0.63,0.626,0.626
2022-01-02 03:00:00,0.626,0.628,0.624,0.626
2022-01-02 04:00:00,0.627,0.628,0.615,0.618
2022-01-02 05:00:00,0.618,0.623,0.618,0.623
2022-01-02 06:00:00,0.622,0.627,0.62,0.626
2022-01-02 07:00:00,0.625,0.63,0.625,0.628
2022-01-02 08:00:00,0.628,0.631,0.624,0.631
2022-01-02 09:00:00,0.632,0.636,0.63,0.632
2022-01-02 10:00:00,0.632,0.636,0.629,0.63
2022-01-02 11:00:00,0.63,0.637,0.63,0.632
2022-01-02 12:00:00,0.631,0.638,0.627,0.634
2022-01-02 13:00:00,0.633,0.634,0.631,0.632
2022-01-02 14:00:00,0.631,0.64,0.63,0.637
2022-01-02 15:00:00,0.638,0.64,0.635,0.639
2022-01-02 16:00:00,0.638,0.648,0.637,0.647
2022-01-02 17:00:00,0.648,0.648,0.638,0.639
2022-01-02 18:00:00,0.638,0.638,0.627,0.636
2022-01-02 19:00:00,0.636,0.639,0.633,0.637
2022-01-02 20:00:00,0.637,0.638,0.634,0.636
2022-01-02 21:00:00,0.637,0.639,0.634,0.637
2022-01-02 22:00:00,0.638,0.641,0.637,0.639
2022-01-02 23:00:00,0.64,0.646,0.639,0.643
2022-01-03 00:00:00,0.64,0.642,0.636,0.636
2022-01-03 01:00:00,0.636,0.642,0.635,0.638
2022-01-03 02:00:00,0.638,0.638,0.632,0.633
2022-01-03 03:00:00,0.634,0.636,0.627,0.631
2022-01-03 04:00:00,0.631,0.635,0.631,0.632
2022-01-03 05:00:00,0.632,0.639,0.631,0.637
2022-01-03 06:00:00,0.636,0.636,0.631,0.636
2022-01-03 07:00:00,0.635,0.64,0.634,0.64
2022-01-03 08:00:00,0.639,0.642,0.635,0.637
2022-01-03 09:00:00,0.639,0.64,0.633,0.64
2022-01-03 10:00:00,0.641,0.654,0.64,0.646
2022-01-03 11:00:00,0.647,0.659,0.647,0.653
2022-01-03 12:00:00,0.653,0.653,0.643,0.645
2022-01-03 13:00:00,0.646,0.649,0.644,0.649
2022-01-03 14:00:00,0.648,0.653,0.643,0.645
2022-01-03 15:00:00,0.647,0.654,0.642,0.646
2022-01-03 16:00:00,0.646,0.651,0.627,0.635
2022-01-03 17:00:00,0.636,0.646,0.635,0.641
2022-01-03 18:00:00,0.642,0.643,0.635,0.638
2022-01-03 19:00:00,0.638,0.647,0.634,0.634
2022-01-03 20:00:00,0.635,0.638,0.623,0.632
2022-01-03 21:00:00,0.631,0.649,0.628,0.635
2022-01-03 22:00:00,0.634,0.646,0.633,0.637
2022-01-03 23:00:00,0.637,0.651,0.637,0.638
2022-01-04 00:00:00,0.641,0.645,0.63,0.634
2022-01-04 01:00:00,0.632,0.637,0.627,0.628
2022-01-04 02:00:00,0.628,0.632,0.621,0.627
2022-01-04 03:00:00,0.627,0.634,0.623,0.631
2022-01-04 04:00:00,0.632,0.635,0.629,0.63
2022-01-04 05:00:00,0.633,0.637,0.631,0.635
2022-01-04 06:00:00,0.634,0.64,0.633,0.64
2022-01-04 07:00:00,0.641,0.643,0.637,0.643
2022-01-04 08:00:00,0.643,0.647,0.64,0.645
2022-01-04 09:00:00,0.644,0.65,0.644,0.65
2022-01-04 10:00:00,0.651,0.659,0.646,0.658
2022-01-04 11:00:00,0.659,0.68,0.656,0.674
2022-01-04 12:00:00,0.674,0.676,0.667,0.672
2022-01-04 13:00:00,0.671,0.675,0.663,0.672
2022-01-04 14:00:00,0.673,0.678,0.664,0.674
2022-01-04 15:00:00,0.674,0.676,0.663,0.666
2022-01-04 16:00:00,0.665,0.689,0.661,0.67
2022-01-04 17:00:00,0.67,0.676,0.669,0.672
2022-01-04 18:00:00,0.672,0.673,0.647,0.648
2022-01-04 19:00:00,0.648,0.665,0.646,0.66
2022-01-04 20:00:00,0.659,0.665,0.656,0.658
2022-01-04 21:00:00,0.658,0.66,0.655,0.658
2022-01-04 22:00:00,0.659,0.681,0.654,0.675
2022-01-04 23:00:00,0.673,0.675,0.658,0.663
2022-01-05 00:00:00,0.663,0.674,0.66,0.665
2022-01-05 01:00:00,0.665,0.675,0.665,0.665
2022-01-05 02:00:00,0.665,0.671,0.663,0.671
2022-01-05 03:00:00,0.67,0.678,0.667,0.674
2022-01-05 04:00:00,0.674,0.677,0.671,0.674
2022-01-05 05:00:00,0.674,0.675,0.668,0.672
2022-01-05 06:00:00,0.672,0.685,0.67,0.68
2022-01-05 07:00:00,0.679,0.684,0.675,0.68
2022-01-05 08:00:00,0.68,0.693,0.671,0.69
2022-01-05 09:00:00,0.688,0.696,0.685,0.694
2022-01-05 10:00:00,0.695,0.698,0.689,0.691
2022-01-05 11:00:00,0.69,0.691,0.675,0.683
2022-01-05 12:00:00,0.682,0.686,0.672,0.682
2022-01-05 13:00:00,0.681,0.684,0.674,0.679
2022-01-05 14:00:00,0.679,0.685,0.675,0.683
2022-01-05 15:00:00,0.682,0.683,0.676,0.681
2022-01-05 16:00:00,0.682,0.688,0.676,0.678
2022-01-05 17:00:00,0.68,0.684,0.663,0.665
2022-01-05 18:00:00,0.666,0.669,0.655,0.665
2022-01-05 19:00:00,0.663,0.667,0.612,0.627
2022-01-05 20:00:00,0.626,0.632,0.604,0.613
2022-01-05 21:00:00,0.612,0.619,0.599,0.6
2022-01-05 22:00:00,0.599,0.604,0.561,0.597
2022-01-05 23:00:00,0.595,0.606,0.592,0.597
2022-01-06 00:00:00,0.596,0.603,0.589,0.601
2022-01-06 01:00:00,0.6,0.6,0.579,0.584
2022-01-06 02:00:00,0.583,0.586,0.575,0.577
2022-01-06 03:00:00,0.576,0.581,0.57,0.57
2022-01-06 04:00:00,0.573,0.58,0.566,0.579
2022-01-06 05:00:00,0.579,0.587,0.576,0.58
2022-01-06 06:00:00,0.579,0.585,0.576,0.583
2022-01-06 07:00:00,0.582,0.588,0.579,0.587
2022-01-06 08:00:00,0.588,0.588,0.572,0.582
2022-01-06 09:00:00,0.583,0.583,0.567,0.573
2022-01-06 10:00:00,0.574,0.587,0.574,0.58
2022-01-06 11:00:00,0.582,0.585,0.575,0.58
2022-01-06 12:00:00,0.58,0.587,0.577,0.587
2022-01-06 13:00:00,0.588,0.597,0.586,0.593
2022-01-06 14:00:00,0.594,0.598,0.582,0.583
2022-01-06 15:00:00,0.586,0.592,0.579,0.592
2022-01-06 16:00:00,0.592,0.598,0.586,0.591
2022-01-06 17:00:00,0.593,0.598,0.59,0.593
2022-01-06 18:00:00,0.595,0.6,0.594,0.598
2022-01-06 19:00:00,0.597,0.598,0.592,0.595
2022-01-06 20:00:00,0.596,0.596,0.589,0.593
2022-01-06 21:00:00,0.592,0.594,0.59,0.592
2022-01-06 22:00:00,0.592,0.597,0.591,0.596
2022-01-06 23:00:00,0.595,0.597,0.589,0.59
2022-01-07 00:00:00,0.591,0.593,0.579,0.582
2022-01-07 01:00:00,0.583,0.585,0.576,0.584
2022-01-07 02:00:00,0.582,0.583,0.573,0.574
2022-01-07 03:00:00,0.574,0.575,0.544,0.547
2022-01-07 04:00:00,0.548,0.558,0.536,0.558
2022-01-07 05:00:00,0.559,0.564,0.554,0.561
2022-01-07 06:00:00,0.56,0.561,0.545,0.55
2022-01-07 07:00:00,0.549,0.555,0.543,0.554
2022-01-07 08:00:00,0.555,0.57,0.552,0.563
2022-01-07 09:00:00,0.562,0.57,0.562,0.563
2022-01-07 10:00:00,0.565,0.568,0.555,0.556
2022-01-07 11:00:00,0.556,0.562,0.556,0.559
2022-01-07 12:00:00,0.559,0.565,0.559,0.561
2022-01-07 13:00:00,0.562,0.567,0.537,0.549
2022-01-07 14:00:00,0.549,0.558,0.546,0.555
2022-01-07 15:00:00,0.554,0.555,0.531,0.546
2022-01-07 16:00:00,0.548,0.563,0.536,0.561
2022-01-07 17:00:00,0.56,0.564,0.556,0.564
2022-01-07 18:00:00,0.561,0.562,0.549,0.554
2022-01-07 19:00:00,0.554,0.559,0.549,0.559
2022-01-07 20:00:00,0.559,0.56,0.551,0.556
2022-01-07 21:00:00,0.556,0.558,0.554,0.554
2022-01-07 22:00:00,0.553,0.554,0.542,0.547
2022-01-07 23:00:00,0.547,0.547,0.541,0.546
2022-01-08 00:00:00,0.547,0.558,0.545,0.557
2022-01-08 01:00:00,0.556,0.561,0.555,0.555
2022-01-08 02:00:00,0.555,0.556,0.55,0.554
2022-01-08 03:00:00,0.553,0.555,0.548,0.555
2022-01-08 04:00:00,0.556,0.559,0.553,0.557
2022-01-08 05:00:00,0.558,0.559,0.554,0.557
2022-01-08 06:00:00,0.556,0.561,0.553,0.56
2022-01-08 07:00:00,0.559,0.562,0.557,0.561
2022-01-08 08:00:00,0.561,0.567,0.56,0.562
2022-01-08 09:00:00,0.563,0.565,0.56,0.564
2022-01-08 10:00:00,0.563,0.563,0.556,0.559
2022-01-08 11:00:00,0.557,0.558,0.554,0.556
2022-01-08 12:00:00,0.557,0.559,0.551,0.553
2022-01-08 13:00:00,0.552,0.555,0.55,0.552
2022-01-08 14:00:00,0.552,0.555,0.547,0.547
2022-01-08 15:00:00,0.546,0.549,0.534,0.536
2022-01-08 16:00:00,0.536,0.541,0.525,0.525
2022-01-08 17:00:00,0.525,0.528,0.509,0.509
2022-01-08 18:00:00,0.51,0.52,0.5,0.504
2022-01-08 19:00:00,0.504,0.511,0.501,0.506
2022-01-08 20:00:00,0.507,0.513,0.503,0.505
2022-01-08 21:00:00,0.505,0.526,0.505,0.521
2022-01-08 22:00:00,0.521,0.529,0.519,0.525
2022-01-08 23:00:00,0.525,0.525,0.515,0.516
2022-01-09 00:00:00,0.515,0.524,0.513,0.521
2022-01-09 01:00:00,0.522,0.53,0.517,0.524
2022-01-09 02:00:00,0.524,0.53,0.522,0.527
2022-01-09 03:00:00,0.527,0.53,0.522,0.525
2022-01-09 04:00:00,0.526,0.531,0.523,0.531
2022-01-09 05:00:00,0.531,0.531,0.522,0.524
2022-01-09 06:00:00,0.524,0.527,0.523,0.526
2022-01-09 07:00:00,0.526,0.527,0.522,0.522
2022-01-09 08:00:00,0.524,0.526,0.519,0.521
2022-01-09 09:00:00,0.522,0.526,0.515,0.52
2022-01-09 10:00:00,0.519,0.523,0.515,0.521
2022-01-09 11:00:00,0.522,0.53,0.522,0.53
2022-01-09 12:00:00,0.529,0.529,0.524,0.526
2022-01-09 13:00:00,0.524,0.529,0.517,0.517
2022-01-09 14:00:00,0.518,0.524,0.518,0.521
2022-01-09 15:00:00,0.523,0.523,0.514,0.52
2022-01-09 16:00:00,0.521,0.535,0.52,0.535
2022-01-09 17:00:00,0.534,0.536,0.53,0.534
2022-01-09 18:00:00,0.533,0.535,0.53,0.53
2022-01-09 19:00:00,0.532,0.54,0.532,0.539
2022-01-09 20:00:00,0.538,0.539,0.533,0.534
2022-01-09 21:00:00,0.533,0.535,0.532,0.532
2022-01-09 22:00:00,0.531,0.534,0.528,0.529
2022-01-09 23:00:00,0.53,0.53,0.523,0.528
2022-01-10 00:00:00,0.528,0.53,0.523,0.524
2022-01-10 01:00:00,0.524,0.528,0.522,0.527
2022-01-10 02:00:00,0.526,0.529,0.523,0.527
2022-01-10 03:00:00,0.526,0.528,0.525,0.527
2022-01-10 04:00:00,0.527,0.534,0.527,0.532
2022-01-10 05:00:00,0.532,0.533,0.529,0.53
2022-01-10 06:00:00,0.53,0.531,0.527,0.528
2022-01-10 07:00:00,0.53,0.53,0.527,0.53
2022-01-10 08:00:00,0.528,0.53,0.523,0.526
