datetime,OMGBUSD_open,OMGBUSD_high,OMGBUSD_low,OMGBUSD_close
2022-01-01 00:00:00,5.902,5.983,5.897,5.933
2022-01-01 01:00:00,5.937,5.976,5.914,5.914
2022-01-01 02:00:00,5.912,5.961,5.9,5.943
2022-01-01 03:00:00,5.934,5.958,5.934,5.953
2022-01-01 04:00:00,5.959,5.959,5.917,5.936
2022-01-01 05:00:00,5.947,5.959,5.872,5.914
2022-01-01 06:00:00,5.914,5.924,5.893,5.9
2022-01-01 07:00:00,5.913,6.0,5.913,6.0
2022-01-01 08:00:00,5.989,6.0,5.955,5.969
2022-01-01 09:00:00,5.969,5.986,5.944,5.966
2022-01-01 10:00:00,5.964,6.017,5.956,5.981
2022-01-01 11:00:00,5.993,6.02,5.982,5.998
2022-01-01 12:00:00,6.0,6.079,5.991,6.044
2022-01-01 13:00:00,6.055,6.055,6.011,6.041
2022-01-01 14:00:00,6.051,6.054,6.011,6.04
2022-01-01 15:00:00,6.036,6.083,6.036,6.041
2022-01-01 16:00:00,6.06,6.07,6.044,6.044
2022-01-01 17:00:00,6.049,6.068,6.044,6.067
2022-01-01 18:00:00,6.057,6.129,6.044,6.115
2022-01-01 19:00:00,6.117,6.24,6.071,6.203
2022-01-01 20:00:00,6.203,6.203,6.141,6.149
2022-01-01 21:00:00,6.165,6.191,6.155,6.169
2022-01-01 22:00:00,6.189,6.231,6.185,6.208
2022-01-01 23:00:00,6.226,6.239,6.11,6.151
2022-01-02 00:00:00,6.155,6.197,6.155,6.197
2022-01-02 01:00:00,6.184,6.22,6.177,6.211
2022-01-02 02:00:00,6.204,6.256,6.192,6.192
2022-01-02 03:00:00,6.207,6.258,6.15,6.221
2022-01-02 04:00:00,6.221,6.28,6.214,6.249
2022-01-02 05:00:00,6.243,6.243,6.218,6.229
2022-01-02 06:00:00,6.237,6.286,6.235,6.264
2022-01-02 07:00:00,6.249,6.29,6.212,6.273
2022-01-02 08:00:00,6.261,6.273,6.246,6.264
2022-01-02 09:00:00,6.273,6.395,6.273,6.378
2022-01-02 10:00:00,6.379,6.48,6.379,6.453
2022-01-02 11:00:00,6.451,6.451,6.33,6.375
2022-01-02 12:00:00,6.381,6.393,6.318,6.332
2022-01-02 13:00:00,6.323,6.323,6.17,6.238
2022-01-02 14:00:00,6.233,6.289,6.226,6.281
2022-01-02 15:00:00,6.273,6.294,6.256,6.294
2022-01-02 16:00:00,6.294,6.33,6.274,6.274
2022-01-02 17:00:00,6.286,6.325,6.285,6.292
2022-01-02 18:00:00,6.308,6.312,6.279,6.285
2022-01-02 19:00:00,6.287,6.334,6.256,6.293
2022-01-02 20:00:00,6.288,6.362,6.268,6.282
2022-01-02 21:00:00,6.295,6.414,6.258,6.358
2022-01-02 22:00:00,6.373,6.406,6.312,6.381
2022-01-02 23:00:00,6.394,6.441,6.307,6.307
2022-01-03 00:00:00,6.317,6.381,6.301,6.355
2022-01-03 01:00:00,6.343,6.343,6.282,6.287
2022-01-03 02:00:00,6.278,6.347,6.278,6.336
2022-01-03 03:00:00,6.353,6.401,6.318,6.331
2022-01-03 04:00:00,6.333,6.358,6.277,6.314
2022-01-03 05:00:00,6.323,6.397,6.323,6.391
2022-01-03 06:00:00,6.396,6.421,6.373,6.4
2022-01-03 07:00:00,6.388,6.4,6.328,6.328
2022-01-03 08:00:00,6.349,6.378,6.346,6.354
2022-01-03 09:00:00,6.36,6.41,6.343,6.343
2022-01-03 10:00:00,6.344,6.45,6.327,6.35
2022-01-03 11:00:00,6.326,6.354,6.168,6.214
2022-01-03 12:00:00,6.209,6.279,6.209,6.247
2022-01-03 13:00:00,6.262,6.262,6.21,6.213
2022-01-03 14:00:00,6.223,6.25,6.197,6.197
2022-01-03 15:00:00,6.192,6.209,6.067,6.103
2022-01-03 16:00:00,6.129,6.164,6.079,6.127
2022-01-03 17:00:00,6.121,6.2,6.112,6.177
2022-01-03 18:00:00,6.182,6.197,6.149,6.197
2022-01-03 19:00:00,6.199,6.209,6.066,6.093
2022-01-03 20:00:00,6.084,6.147,6.056,6.061
2022-01-03 21:00:00,6.055,6.069,6.005,6.027
2022-01-03 22:00:00,6.028,6.083,6.003,6.081
2022-01-03 23:00:00,6.067,6.107,6.055,6.058
2022-01-04 00:00:00,6.051,6.106,6.047,6.072
2022-01-04 01:00:00,6.085,6.103,6.07,6.103
2022-01-04 02:00:00,6.106,6.141,6.092,6.141
2022-01-04 03:00:00,6.145,6.166,6.124,6.147
2022-01-04 04:00:00,6.156,6.162,6.11,6.125
2022-01-04 05:00:00,6.12,6.173,6.095,6.168
2022-01-04 06:00:00,6.173,6.259,6.15,6.244
2022-01-04 07:00:00,6.244,6.244,6.155,6.203
2022-01-04 08:00:00,6.209,6.253,6.149,6.235
2022-01-04 09:00:00,6.242,6.254,6.192,6.228
2022-01-04 10:00:00,6.244,6.25,6.175,6.185
2022-01-04 11:00:00,6.181,6.243,6.16,6.242
2022-01-04 12:00:00,6.222,6.235,6.178,6.178
2022-01-04 13:00:00,6.18,6.2,6.011,6.061
2022-01-04 14:00:00,6.031,6.121,6.016,6.085
2022-01-04 15:00:00,6.099,6.138,6.079,6.111
2022-01-04 16:00:00,6.115,6.134,6.078,6.134
2022-01-04 17:00:00,6.117,6.12,6.079,6.087
2022-01-04 18:00:00,6.079,6.079,6.009,6.019
2022-01-04 19:00:00,6.029,6.121,5.977,6.12
2022-01-04 20:00:00,6.118,6.157,6.094,6.148
2022-01-04 21:00:00,6.145,6.182,6.144,6.172
2022-01-04 22:00:00,6.166,6.218,6.164,6.218
2022-01-04 23:00:00,6.204,6.224,6.186,6.218
2022-01-05 00:00:00,6.211,6.211,6.179,6.21
2022-01-05 01:00:00,6.199,6.231,6.194,6.222
2022-01-05 02:00:00,6.204,6.233,6.188,6.195
2022-01-05 03:00:00,6.203,6.217,6.164,6.2
2022-01-05 04:00:00,6.216,6.232,6.204,6.225
2022-01-05 05:00:00,6.228,6.237,6.188,6.191
2022-01-05 06:00:00,6.189,6.189,6.115,6.138
2022-01-05 07:00:00,6.155,6.179,6.098,6.157
2022-01-05 08:00:00,6.161,6.197,6.141,6.197
2022-01-05 09:00:00,6.194,6.221,6.165,6.217
2022-01-05 10:00:00,6.215,6.221,6.186,6.217
2022-01-05 11:00:00,6.215,6.225,6.162,6.167
2022-01-05 12:00:00,6.164,6.194,6.043,6.048
2022-01-05 13:00:00,6.043,6.092,6.001,6.063
2022-01-05 14:00:00,6.043,6.054,5.79,5.805
2022-01-05 15:00:00,5.797,5.831,5.645,5.687
2022-01-05 16:00:00,5.681,5.746,5.608,5.629
2022-01-05 17:00:00,5.623,5.65,5.309,5.58
2022-01-05 18:00:00,5.581,5.641,5.557,5.562
2022-01-05 19:00:00,5.563,5.636,5.532,5.604
2022-01-05 20:00:00,5.586,5.59,5.488,5.51
2022-01-05 21:00:00,5.51,5.541,5.47,5.475
2022-01-05 22:00:00,5.476,5.505,5.421,5.421
2022-01-05 23:00:00,5.43,5.516,5.4,5.516
2022-01-06 00:00:00,5.483,5.555,5.469,5.516
2022-01-06 01:00:00,5.498,5.544,5.474,5.538
2022-01-06 02:00:00,5.538,5.577,5.519,5.577
2022-01-06 03:00:00,5.56,5.56,5.44,5.533
2022-01-06 04:00:00,5.524,5.524,5.385,5.411
2022-01-06 05:00:00,5.415,5.519,5.415,5.498
2022-01-06 06:00:00,5.502,5.528,5.456,5.508
2022-01-06 07:00:00,5.483,5.519,5.403,5.519
2022-01-06 08:00:00,5.524,5.56,5.493,5.555
2022-01-06 09:00:00,5.555,5.597,5.514,5.53
2022-01-06 10:00:00,5.521,5.574,5.473,5.563
2022-01-06 11:00:00,5.574,5.618,5.558,5.567
2022-01-06 12:00:00,5.581,5.626,5.572,5.619
2022-01-06 13:00:00,5.61,5.691,5.61,5.682
2022-01-06 14:00:00,5.683,5.683,5.65,5.671
2022-01-06 15:00:00,5.683,5.699,5.62,5.642
2022-01-06 16:00:00,5.643,5.675,5.624,5.655
2022-01-06 17:00:00,5.662,5.677,5.657,5.667
2022-01-06 18:00:00,5.676,5.677,5.637,5.65
2022-01-06 19:00:00,5.649,5.649,5.574,5.6
2022-01-06 20:00:00,5.604,5.616,5.543,5.6
2022-01-06 21:00:00,5.588,5.604,5.538,5.538
2022-01-06 22:00:00,5.535,5.54,5.302,5.334
2022-01-06 23:00:00,5.326,5.405,5.201,5.383
2022-01-07 00:00:00,5.407,5.454,5.383,5.452
2022-01-07 01:00:00,5.439,5.439,5.374,5.378
2022-01-07 02:00:00,5.374,5.463,5.331,5.463
2022-01-07 03:00:00,5.455,5.583,5.443,5.537
2022-01-07 04:00:00,5.523,5.601,5.518,5.586
2022-01-07 05:00:00,5.593,5.593,5.506,5.506
2022-01-07 06:00:00,5.505,5.551,5.505,5.534
2022-01-07 07:00:00,5.539,5.65,5.539,5.615
2022-01-07 08:00:00,5.578,5.636,5.4,5.471
2022-01-07 09:00:00,5.471,5.596,5.471,5.596
2022-01-07 10:00:00,5.563,5.564,5.364,5.462
2022-01-07 11:00:00,5.463,5.673,5.395,5.653
2022-01-07 12:00:00,5.654,5.688,5.602,5.626
2022-01-07 13:00:00,5.628,5.628,5.491,5.514
2022-01-07 14:00:00,5.537,5.603,5.486,5.603
2022-01-07 15:00:00,5.6,5.623,5.535,5.613
2022-01-07 16:00:00,5.606,5.613,5.574,5.58
2022-01-07 17:00:00,5.568,5.568,5.456,5.471
2022-01-07 18:00:00,5.479,5.516,5.463,5.499
2022-01-07 19:00:00,5.51,5.853,5.501,5.853
2022-01-07 20:00:00,5.842,5.882,5.776,5.776
2022-01-07 21:00:00,5.773,5.773,5.667,5.731
2022-01-07 22:00:00,5.731,5.735,5.634,5.711
2022-01-07 23:00:00,5.697,5.709,5.64,5.697
2022-01-08 00:00:00,5.682,5.686,5.659,5.667
2022-01-08 01:00:00,5.659,5.671,5.623,5.661
2022-01-08 02:00:00,5.674,5.693,5.654,5.68
2022-01-08 03:00:00,5.681,5.712,5.658,5.686
2022-01-08 04:00:00,5.685,5.708,5.666,5.703
2022-01-08 05:00:00,5.693,5.708,5.626,5.631
2022-01-08 06:00:00,5.631,5.647,5.61,5.63
2022-01-08 07:00:00,5.63,5.838,5.624,5.708
2022-01-08 08:00:00,5.705,5.748,5.672,5.708
2022-01-08 09:00:00,5.705,5.725,5.655,5.661
2022-01-08 10:00:00,5.652,5.674,5.569,5.602
2022-01-08 11:00:00,5.609,5.656,5.465,5.472
2022-01-08 12:00:00,5.464,5.479,5.281,5.281
2022-01-08 13:00:00,5.292,5.344,5.192,5.199
2022-01-08 14:00:00,5.199,5.267,5.17,5.217
2022-01-08 15:00:00,5.231,5.27,5.192,5.22
2022-01-08 16:00:00,5.213,5.385,5.213,5.366
2022-01-08 17:00:00,5.375,5.467,5.375,5.425
2022-01-08 18:00:00,5.425,5.425,5.348,5.357
2022-01-08 19:00:00,5.366,5.463,5.336,5.442
2022-01-08 20:00:00,5.462,5.468,5.383,5.425
2022-01-08 21:00:00,5.429,5.494,5.429,5.479
2022-01-08 22:00:00,5.46,5.465,5.411,5.416
2022-01-08 23:00:00,5.433,5.467,5.421,5.467
2022-01-09 00:00:00,5.474,5.474,5.403,5.406
2022-01-09 01:00:00,5.423,5.438,5.405,5.438
2022-01-09 02:00:00,5.434,5.435,5.401,5.401
2022-01-09 03:00:00,5.396,5.416,5.346,5.346
2022-01-09 04:00:00,5.356,5.372,5.322,5.337
2022-01-09 05:00:00,5.337,5.392,5.319,5.361
2022-01-09 06:00:00,5.378,5.435,5.378,5.4
2022-01-09 07:00:00,5.416,5.416,5.366,5.389
2022-01-09 08:00:00,5.384,5.411,5.325,5.325
2022-01-09 09:00:00,5.323,5.395,5.323,5.362
2022-01-09 10:00:00,5.361,5.366,5.285,5.348
2022-01-09 11:00:00,5.36,5.451,5.35,5.451
2022-01-09 12:00:00,5.455,5.493,5.435,5.456
2022-01-09 13:00:00,5.456,5.468,5.419,5.419
2022-01-09 14:00:00,5.417,5.489,5.417,5.482
2022-01-09 15:00:00,5.484,5.49,5.455,5.461
2022-01-09 16:00:00,5.454,5.469,5.336,5.374
2022-01-09 17:00:00,5.367,5.392,5.351,5.351
2022-01-09 18:00:00,5.371,5.423,5.314,5.364
2022-01-09 19:00:00,5.357,5.392,5.304,5.305
2022-01-09 20:00:00,5.305,5.342,5.298,5.342
2022-01-09 21:00:00,5.346,5.368,5.294,5.368
2022-01-09 22:00:00,5.344,5.357,5.344,5.357
2022-01-09 23:00:00,5.357,5.399,5.35,5.394
2022-01-10 00:00:00,5.398,5.398,5.366,5.377
2022-01-10 01:00:00,5.366,5.389,5.36,5.389
2022-01-10 02:00:00,5.377,5.377,5.352,5.372
2022-01-10 03:00:00,5.383,5.39,5.314,5.34
2022-01-10 04:00:00,5.338,5.352,5.332,5.336
2022-01-10 05:00:00,5.313,5.355,5.291,5.297
2022-01-10 06:00:00,5.294,5.294,5.205,5.217
2022-01-10 07:00:00,5.226,5.226,5.11,5.11
2022-01-10 08:00:00,5.11,5.142,5.082,5.082
2022-01-10 09:00:00,5.079,5.091,4.867,5.038
2022-01-10 10:00:00,5.023,5.023,4.925,4.985
2022-01-10 11:00:00,4.985,5.11,4.98,5.11
2022-01-10 12:00:00,5.119,5.119,4.923,4.991
2022-01-10 13:00:00,4.994,5.068,4.972,5.041
2022-01-10 14:00:00,5.031,5.049,4.991,5.013
2022-01-10 15:00:00,5.02,5.097,4.983,5.097
2022-01-10 16:00:00,5.081,5.102,5.074,5.085
2022-01-10 17:00:00,5.1,5.107,5.06,5.06
2022-01-10 18:00:00,5.06,5.11,5.06,5.105
2022-01-10 19:00:00,5.107,5.108,5.059,5.086
2022-01-10 20:00:00,5.053,5.112,5.032,5.088
2022-01-10 21:00:00,5.104,5.16,5.101,5.156
2022-01-10 22:00:00,5.155,5.188,5.132,5.174
2022-01-10 23:00:00,5.19,5.195,5.166,5.184
2022-01-11 00:00:00,5.16,5.16,5.134,5.136
2022-01-11 01:00:00,5.144,5.151,5.126,5.132
2022-01-11 02:00:00,5.137,5.146,5.116,5.146
2022-01-11 03:00:00,5.161,5.21,5.141,5.155
2022-01-11 04:00:00,5.163,5.174,5.14,5.174
2022-01-11 05:00:00,5.174,5.174,5.104,5.104
2022-01-11 06:00:00,5.138,5.168,5.129,5.154
2022-01-11 07:00:00,5.156,5.247,5.156,5.228
2022-01-11 08:00:00,5.229,5.268,5.216,5.235
2022-01-11 09:00:00,5.235,5.272,5.122,5.183
2022-01-11 10:00:00,5.205,5.251,5.155,5.19
2022-01-11 11:00:00,5.199,5.372,5.199,5.344
2022-01-11 12:00:00,5.355,5.411,5.308,5.355
2022-01-11 13:00:00,5.354,5.371,5.332,5.332
2022-01-11 14:00:00,5.343,5.351,5.32,5.346
2022-01-11 15:00:00,5.334,5.347,5.32,5.325
2022-01-11 16:00:00,5.328,5.328,5.308,5.314
2022-01-11 17:00:00,5.312,5.32,5.296,5.306
2022-01-11 18:00:00,5.308,5.335,5.305,5.321
2022-01-11 19:00:00,5.325,5.454,5.325,5.344
2022-01-11 20:00:00,5.344,5.489,5.344,5.44
2022-01-11 21:00:00,5.449,5.618,5.435,5.495
2022-01-11 22:00:00,5.503,5.529,5.47,5.477
2022-01-11 23:00:00,5.495,5.497,5.456,5.471
2022-01-12 00:00:00,5.452,5.463,5.437,5.459
2022-01-12 01:00:00,5.474,5.555,5.466,5.553
2022-01-12 02:00:00,5.537,5.58,5.47,5.577
2022-01-12 03:00:00,5.585,5.963,5.585,5.925
2022-01-12 04:00:00,5.914,6.054,5.893,5.959
2022-01-12 05:00:00,5.955,5.959,5.836,5.859
2022-01-12 06:00:00,5.834,5.945,5.827,5.858
2022-01-12 07:00:00,5.854,5.95,5.839,5.915
2022-01-12 08:00:00,5.933,5.979,5.9,5.953
2022-01-12 09:00:00,5.949,5.957,5.913,5.919
2022-01-12 10:00:00,5.928,5.929,5.859,5.872
2022-01-12 11:00:00,5.889,5.893,5.839,5.887
2022-01-12 12:00:00,5.887,5.918,5.872,5.885
2022-01-12 13:00:00,5.888,5.901,5.854,5.865
2022-01-12 14:00:00,5.866,5.866,5.78,5.835
2022-01-12 15:00:00,5.825,5.872,5.825,5.861
2022-01-12 16:00:00,5.859,5.905,5.839,5.841
2022-01-12 17:00:00,5.834,5.871,5.834,5.853
2022-01-12 18:00:00,5.857,5.906,5.856,5.872
2022-01-12 19:00:00,5.886,6.021,5.886,5.92
2022-01-12 20:00:00,5.953,6.195,5.953,6.004
2022-01-12 21:00:00,5.995,6.179,5.957,6.04
2022-01-12 22:00:00,6.036,6.245,5.989,6.183
2022-01-12 23:00:00,6.172,6.183,6.107,6.122
2022-01-13 00:00:00,6.119,6.172,6.086,6.141
2022-01-13 01:00:00,6.122,6.263,6.115,6.232
2022-01-13 02:00:00,6.243,6.325,6.21,6.325
2022-01-13 03:00:00,6.325,6.368,6.254,6.29
2022-01-13 04:00:00,6.289,6.289,6.219,6.249
2022-01-13 05:00:00,6.244,6.279,6.223,6.223
2022-01-13 06:00:00,6.223,6.223,6.062,6.119
2022-01-13 07:00:00,6.115,6.256,6.114,6.22
2022-01-13 08:00:00,6.217,6.277,6.187,6.264
2022-01-13 09:00:00,6.237,6.3,6.232,6.25
2022-01-13 10:00:00,6.236,6.236,5.986,6.103
2022-01-13 11:00:00,6.07,6.176,6.066,6.108
2022-01-13 12:00:00,6.103,6.128,6.007,6.103
2022-01-13 13:00:00,6.092,6.151,6.028,6.116
2022-01-13 14:00:00,6.095,6.23,6.084,6.182
2022-01-13 15:00:00,6.17,6.248,6.066,6.22
2022-01-13 16:00:00,6.221,6.221,6.107,6.129
2022-01-13 17:00:00,6.125,6.132,6.04,6.073
2022-01-13 18:00:00,6.037,6.037,5.919,5.943
2022-01-13 19:00:00,5.95,5.97,5.88,5.957
2022-01-13 20:00:00,5.942,6.07,5.942,6.07
2022-01-13 21:00:00,6.07,6.299,6.061,6.23
2022-01-13 22:00:00,6.201,6.234,6.157,6.194
2022-01-13 23:00:00,6.214,6.283,6.145,6.145
2022-01-14 00:00:00,6.16,6.188,6.143,6.188
2022-01-14 01:00:00,6.193,6.235,6.174,6.188
2022-01-14 02:00:00,6.195,6.195,6.075,6.083
2022-01-14 03:00:00,6.089,6.092,5.97,6.05
2022-01-14 04:00:00,6.06,6.093,6.047,6.066
2022-01-14 05:00:00,6.056,6.07,5.944,5.968
2022-01-14 06:00:00,5.954,5.957,5.844,5.889
2022-01-14 07:00:00,5.879,5.899,5.787,5.89
2022-01-14 08:00:00,5.868,5.913,5.857,5.881
2022-01-14 09:00:00,5.885,5.992,5.872,5.984
2022-01-14 10:00:00,5.977,6.019,5.943,5.985
2022-01-14 11:00:00,5.992,5.992,5.933,5.992
2022-01-14 12:00:00,6.0,6.006,5.93,5.943
2022-01-14 13:00:00,5.933,5.978,5.93,5.976
2022-01-14 14:00:00,5.976,6.034,5.973,6.001
2022-01-14 15:00:00,6.008,6.013,5.985,6.007
2022-01-14 16:00:00,6.013,6.062,6.0,6.048
2022-01-14 17:00:00,6.051,6.062,6.03,6.037
2022-01-14 18:00:00,6.037,6.047,6.011,6.029
2022-01-14 19:00:00,6.038,6.43,6.031,6.4
2022-01-14 20:00:00,6.403,6.42,6.297,6.307
2022-01-14 21:00:00,6.295,6.352,6.263,6.304
2022-01-14 22:00:00,6.304,6.314,6.251,6.265
2022-01-14 23:00:00,6.295,6.348,6.216,6.34
2022-01-15 00:00:00,6.328,6.369,6.295,6.337
2022-01-15 01:00:00,6.344,6.396,6.292,6.371
2022-01-15 02:00:00,6.374,6.433,6.323,6.37
2022-01-15 03:00:00,6.362,6.362,6.276,6.301
2022-01-15 04:00:00,6.301,6.301,6.232,6.275
2022-01-15 05:00:00,6.274,6.556,6.259,6.44
2022-01-15 06:00:00,6.445,6.505,6.392,6.392
2022-01-15 07:00:00,6.402,6.411,6.303,6.355
2022-01-15 08:00:00,6.358,6.461,6.355,6.437
2022-01-15 09:00:00,6.439,6.56,6.406,6.526
2022-01-15 10:00:00,6.532,6.534,6.469,6.476
2022-01-15 11:00:00,6.48,6.481,6.418,6.42
