datetime,ONTBUSD_open,ONTBUSD_high,ONTBUSD_low,ONTBUSD_close
2022-01-01 00:00:00,0.6614,0.6707,0.6604,0.6672
2022-01-01 01:00:00,0.6678,0.6683,0.6625,0.6625
2022-01-01 02:00:00,0.6635,0.6674,0.6609,0.6663
2022-01-01 03:00:00,0.6654,0.6685,0.6652,0.6674
2022-01-01 04:00:00,0.6664,0.667,0.6629,0.6632
2022-01-01 05:00:00,0.6641,0.6651,0.6566,0.6599
2022-01-01 06:00:00,0.6606,0.6619,0.6587,0.6592
2022-01-01 07:00:00,0.6592,0.6638,0.6592,0.6638
2022-01-01 08:00:00,0.6639,0.6706,0.6636,0.6702
2022-01-01 09:00:00,0.6696,0.6696,0.6637,0.6637
2022-01-01 10:00:00,0.6647,0.6712,0.6647,0.6702
2022-01-01 11:00:00,0.6706,0.6726,0.6678,0.6678
2022-01-01 12:00:00,0.6692,0.6758,0.6684,0.6758
2022-01-01 13:00:00,0.6744,0.6744,0.6694,0.6721
2022-01-01 14:00:00,0.6721,0.6728,0.6705,0.6713
2022-01-01 15:00:00,0.6719,0.6754,0.671,0.6722
2022-01-01 16:00:00,0.673,0.6733,0.6688,0.669
2022-01-01 17:00:00,0.6696,0.671,0.6685,0.6701
2022-01-01 18:00:00,0.6701,0.6759,0.6697,0.6753
2022-01-01 19:00:00,0.6759,0.6779,0.6703,0.677
2022-01-01 20:00:00,0.676,0.676,0.6729,0.6744
2022-01-01 21:00:00,0.6745,0.6803,0.6745,0.6771
2022-01-01 22:00:00,0.6772,0.6808,0.6766,0.6808
2022-01-01 23:00:00,0.6801,0.681,0.6706,0.6723
2022-01-02 00:00:00,0.6728,0.6757,0.6728,0.6757
2022-01-02 01:00:00,0.6738,0.6751,0.6728,0.674
2022-01-02 02:00:00,0.6731,0.6753,0.6727,0.6744
2022-01-02 03:00:00,0.6738,0.686,0.6718,0.6851
2022-01-02 04:00:00,0.6851,0.6896,0.6844,0.6896
2022-01-02 05:00:00,0.6895,0.6905,0.6873,0.6886
2022-01-02 06:00:00,0.6889,0.69,0.6866,0.6873
2022-01-02 07:00:00,0.6868,0.6911,0.6817,0.6903
2022-01-02 08:00:00,0.69,0.69,0.6858,0.6894
2022-01-02 09:00:00,0.6894,0.6985,0.6894,0.6966
2022-01-02 10:00:00,0.6971,0.7089,0.6971,0.7032
2022-01-02 11:00:00,0.7032,0.7055,0.7005,0.7034
2022-01-02 12:00:00,0.704,0.705,0.7,0.7008
2022-01-02 13:00:00,0.7008,0.7017,0.6912,0.6965
2022-01-02 14:00:00,0.6955,0.6987,0.6934,0.6934
2022-01-02 15:00:00,0.6933,0.6943,0.6924,0.6941
2022-01-02 16:00:00,0.6941,0.6975,0.6924,0.6947
2022-01-02 17:00:00,0.6955,0.7006,0.6955,0.6999
2022-01-02 18:00:00,0.7007,0.7037,0.7001,0.7033
2022-01-02 19:00:00,0.7029,0.7077,0.6993,0.7065
2022-01-02 20:00:00,0.7061,0.7073,0.7032,0.7073
2022-01-02 21:00:00,0.7058,0.7141,0.703,0.7112
2022-01-02 22:00:00,0.7112,0.7121,0.7014,0.7021
2022-01-02 23:00:00,0.7014,0.7021,0.6986,0.6991
2022-01-03 00:00:00,0.6998,0.7008,0.6966,0.6976
2022-01-03 01:00:00,0.6982,0.6985,0.6949,0.6969
2022-01-03 02:00:00,0.6961,0.6975,0.6952,0.6956
2022-01-03 03:00:00,0.6956,0.699,0.6948,0.6953
2022-01-03 04:00:00,0.6958,0.6958,0.6889,0.6918
2022-01-03 05:00:00,0.6922,0.6977,0.6922,0.6969
