datetime,ORNBUSD_open,ORNBUSD_high,ORNBUSD_low,ORNBUSD_close
2022-01-01 00:00:00,6.704,6.97,6.67,6.67
2022-01-01 01:00:00,6.682,6.72,6.534,6.534
2022-01-01 02:00:00,6.555,6.692,6.49,6.692
2022-01-01 03:00:00,6.691,6.949,6.691,6.926
2022-01-01 04:00:00,6.94,6.943,6.64,6.772
2022-01-01 05:00:00,6.772,6.837,6.534,6.556
2022-01-01 06:00:00,6.531,6.563,6.342,6.411
2022-01-01 07:00:00,6.38,6.413,6.338,6.34
2022-01-01 08:00:00,6.355,6.355,6.288,6.347
2022-01-01 09:00:00,6.35,6.35,6.224,6.224
2022-01-01 10:00:00,6.216,6.311,6.179,6.207
2022-01-01 11:00:00,6.215,6.361,6.215,6.358
2022-01-01 12:00:00,6.358,6.648,6.334,6.48
2022-01-01 13:00:00,6.485,6.523,6.438,6.455
2022-01-01 14:00:00,6.433,6.443,6.358,6.358
2022-01-01 15:00:00,6.346,6.346,6.309,6.31
2022-01-01 16:00:00,6.307,6.328,6.259,6.259
2022-01-01 17:00:00,6.26,6.34,6.209,6.281
2022-01-01 18:00:00,6.287,6.317,6.286,6.286
2022-01-01 19:00:00,6.292,6.292,6.195,6.202
2022-01-01 20:00:00,6.216,6.226,6.195,6.195
2022-01-01 21:00:00,6.195,6.211,6.195,6.206
2022-01-01 22:00:00,6.21,6.227,6.193,6.212
2022-01-01 23:00:00,6.213,6.249,6.186,6.188
2022-01-02 00:00:00,6.186,6.224,6.182,6.213
2022-01-02 01:00:00,6.217,6.284,6.188,6.25
2022-01-02 02:00:00,6.26,6.312,6.248,6.298
2022-01-02 03:00:00,6.304,6.32,6.272,6.32
2022-01-02 04:00:00,6.315,6.367,6.304,6.363
2022-01-02 05:00:00,6.361,6.369,6.295,6.347
2022-01-02 06:00:00,6.36,6.36,6.25,6.25
2022-01-02 07:00:00,6.25,6.288,6.23,6.277
2022-01-02 08:00:00,6.258,6.258,6.201,6.205
2022-01-02 09:00:00,6.205,6.214,6.1,6.127
2022-01-02 10:00:00,6.128,6.155,6.1,6.134
2022-01-02 11:00:00,6.151,6.209,6.127,6.201
2022-01-02 12:00:00,6.218,6.24,6.19,6.24
2022-01-02 13:00:00,6.225,6.225,6.055,6.115
2022-01-02 14:00:00,6.115,6.251,6.115,6.126
2022-01-02 15:00:00,6.137,6.138,6.104,6.112
2022-01-02 16:00:00,6.096,6.109,6.074,6.096
2022-01-02 17:00:00,6.063,6.096,6.062,6.088
2022-01-02 18:00:00,6.091,6.112,6.062,6.062
2022-01-02 19:00:00,6.065,6.077,6.0,6.057
2022-01-02 20:00:00,6.036,6.036,5.999,6.004
2022-01-02 21:00:00,5.996,6.005,5.985,5.989
