datetime,ORNUSD_open,ORNUSD_high,ORNUSD_low,ORNUSD_close
2022-01-01 00:00:00,6.41,6.46,6.38,6.46
2022-01-01 01:00:00,6.46,6.61,6.45,6.6
2022-01-01 02:00:00,6.58,6.93,6.56,6.68
2022-01-01 03:00:00,6.69,6.83,6.63,6.81
2022-01-01 04:00:00,6.83,6.93,6.65,6.71
2022-01-01 05:00:00,6.71,7.05,6.68,6.7
2022-01-01 06:00:00,6.69,6.7,6.55,6.56
2022-01-01 07:00:00,6.55,6.72,6.5,6.72
2022-01-01 08:00:00,6.73,6.96,6.7,6.95
2022-01-01 09:00:00,6.95,6.96,6.65,6.79
2022-01-01 10:00:00,6.79,6.82,6.53,6.55
2022-01-01 11:00:00,6.52,6.56,6.35,6.38
2022-01-01 12:00:00,6.36,6.42,6.32,6.33
2022-01-01 13:00:00,6.34,6.35,6.3,6.34
2022-01-01 14:00:00,6.33,6.35,6.19,6.19
2022-01-01 15:00:00,6.19,6.31,6.18,6.21
2022-01-01 16:00:00,6.23,6.38,6.22,6.37
2022-01-01 17:00:00,6.37,6.52,6.32,6.49
2022-01-01 18:00:00,6.47,6.52,6.43,6.44
2022-01-01 19:00:00,6.46,6.46,6.33,6.34
2022-01-01 20:00:00,6.34,6.35,6.29,6.31
2022-01-01 21:00:00,6.31,6.34,6.24,6.24
2022-01-01 22:00:00,6.25,6.31,6.22,6.27
2022-01-01 23:00:00,6.27,6.31,6.24,6.3
2022-01-02 00:00:00,6.29,6.29,6.2,6.2
2022-01-02 01:00:00,6.21,6.23,6.19,6.2
2022-01-02 02:00:00,6.19,6.23,6.19,6.22
2022-01-02 03:00:00,6.23,6.25,6.2,6.24
2022-01-02 04:00:00,6.24,6.25,6.2,6.2
2022-01-02 05:00:00,6.2,6.25,6.19,6.22
2022-01-02 06:00:00,6.24,6.27,6.21,6.27
2022-01-02 07:00:00,6.25,6.33,6.25,6.3
2022-01-02 08:00:00,6.3,6.33,6.27,6.31
