datetime,OXTBUSD_open,OXTBUSD_high,OXTBUSD_low,OXTBUSD_close
2022-01-01 00:00:00,0.3663,0.3705,0.3663,0.3691
2022-01-01 01:00:00,0.3696,0.3703,0.3687,0.3687
2022-01-01 02:00:00,0.3683,0.3708,0.3683,0.3706
2022-01-01 03:00:00,0.3706,0.3706,0.3706,0.3706
2022-01-01 04:00:00,0.3711,0.3713,0.3694,0.3713
2022-01-01 05:00:00,0.3715,0.3722,0.3654,0.367
2022-01-01 06:00:00,0.367,0.367,0.3658,0.3658
2022-01-01 07:00:00,0.3673,0.3676,0.367,0.3676
2022-01-01 08:00:00,0.3676,0.3682,0.3671,0.3671
2022-01-01 09:00:00,0.3681,0.3697,0.3681,0.3697
2022-01-01 10:00:00,0.37,0.3726,0.3699,0.3699
2022-01-01 11:00:00,0.3705,0.3705,0.3705,0.3705
2022-01-01 12:00:00,0.3711,0.375,0.37,0.3733
2022-01-01 13:00:00,0.374,0.3771,0.374,0.376
2022-01-01 14:00:00,0.3769,0.3769,0.3756,0.3756
2022-01-01 15:00:00,0.3748,0.376,0.3737,0.3742
2022-01-01 16:00:00,0.3749,0.377,0.3749,0.3765
2022-01-01 17:00:00,0.3763,0.3763,0.3745,0.3758
2022-01-01 18:00:00,0.3746,0.3762,0.3742,0.3762
2022-01-01 19:00:00,0.3765,0.3765,0.3741,0.3747
2022-01-01 20:00:00,0.3745,0.3745,0.3725,0.3725
2022-01-01 21:00:00,0.3725,0.3728,0.3724,0.3728
2022-01-01 22:00:00,0.3728,0.3728,0.3728,0.3728
2022-01-01 23:00:00,0.3728,0.3728,0.3719,0.3719
2022-01-02 00:00:00,0.371,0.3728,0.371,0.3728
2022-01-02 01:00:00,0.373,0.3737,0.373,0.3737
2022-01-02 02:00:00,0.3737,0.3737,0.3726,0.3726
2022-01-02 03:00:00,0.3726,0.3748,0.3726,0.3748
2022-01-02 04:00:00,0.3755,0.3883,0.3755,0.3799
2022-01-02 05:00:00,0.3801,0.388,0.3801,0.3872
2022-01-02 06:00:00,0.3866,0.3892,0.3813,0.3826
2022-01-02 07:00:00,0.3836,0.3851,0.3836,0.3851
2022-01-02 08:00:00,0.3851,0.3851,0.3841,0.3844
2022-01-02 09:00:00,0.3849,0.3879,0.3832,0.3879
2022-01-02 10:00:00,0.387,0.3874,0.3846,0.3872
2022-01-02 11:00:00,0.3854,0.3903,0.3854,0.3877
2022-01-02 12:00:00,0.3877,0.3886,0.3844,0.3861
2022-01-02 13:00:00,0.3847,0.3847,0.3792,0.3812
2022-01-02 14:00:00,0.3814,0.3824,0.3814,0.3815
2022-01-02 15:00:00,0.3815,0.3817,0.3801,0.3802
2022-01-02 16:00:00,0.3801,0.3801,0.3794,0.38
2022-01-02 17:00:00,0.3802,0.3802,0.3792,0.3792
2022-01-02 18:00:00,0.382,0.3825,0.3814,0.3814
2022-01-02 19:00:00,0.3823,0.3823,0.3786,0.3786
2022-01-02 20:00:00,0.3785,0.3787,0.3779,0.3779
2022-01-02 21:00:00,0.3776,0.3784,0.3773,0.3773
2022-01-02 22:00:00,0.3769,0.3769,0.3759,0.3759
2022-01-02 23:00:00,0.3763,0.3763,0.3755,0.3761
2022-01-03 00:00:00,0.3753,0.3774,0.3753,0.3774
2022-01-03 01:00:00,0.3751,0.3763,0.375,0.3763
2022-01-03 02:00:00,0.3762,0.3765,0.3762,0.3765
2022-01-03 03:00:00,0.3764,0.3785,0.3762,0.3785
2022-01-03 04:00:00,0.3785,0.3785,0.3759,0.3759
2022-01-03 05:00:00,0.3785,0.3785,0.3768,0.3768
2022-01-03 06:00:00,0.3775,0.3805,0.3769,0.3805
