datetime,PERPBUSD_open,PERPBUSD_high,PERPBUSD_low,PERPBUSD_close
2022-01-01 00:00:00,8.79,8.86,8.79,8.83
2022-01-01 01:00:00,8.83,8.88,8.8,8.8
2022-01-01 02:00:00,8.81,8.84,8.8,8.84
2022-01-01 03:00:00,8.85,8.88,8.83,8.83
2022-01-01 04:00:00,8.85,8.9,8.84,8.86
2022-01-01 05:00:00,8.85,8.85,8.75,8.76
2022-01-01 06:00:00,8.76,8.78,8.75,8.76
2022-01-01 07:00:00,8.76,8.79,8.75,8.79
2022-01-01 08:00:00,8.82,8.86,8.78,8.86
2022-01-01 09:00:00,8.84,8.84,8.81,8.82
2022-01-01 10:00:00,8.81,8.91,8.81,8.88
2022-01-01 11:00:00,8.9,9.0,8.9,8.92
2022-01-01 12:00:00,8.92,9.03,8.9,9.0
2022-01-01 13:00:00,9.01,9.01,8.99,9.01
2022-01-01 14:00:00,9.02,9.02,8.98,8.98
2022-01-01 15:00:00,8.99,9.09,8.97,9.05
2022-01-01 16:00:00,9.09,9.1,9.06,9.07
2022-01-01 17:00:00,9.05,9.05,9.0,9.02
2022-01-01 18:00:00,9.0,9.17,9.0,9.17
2022-01-01 19:00:00,9.14,9.14,9.06,9.09
2022-01-01 20:00:00,9.08,9.08,9.06,9.08
2022-01-01 21:00:00,9.09,9.1,9.07,9.08
2022-01-01 22:00:00,9.08,9.1,9.07,9.1
2022-01-01 23:00:00,9.09,9.1,9.02,9.02
2022-01-02 00:00:00,9.01,9.01,8.98,8.99
2022-01-02 01:00:00,8.98,9.0,8.95,8.95
2022-01-02 02:00:00,8.96,8.96,8.95,8.95
2022-01-02 03:00:00,8.95,8.97,8.93,8.96
2022-01-02 04:00:00,8.96,9.0,8.96,9.0
2022-01-02 05:00:00,8.96,8.97,8.95,8.97
2022-01-02 06:00:00,8.97,8.98,8.9,8.91
2022-01-02 07:00:00,8.91,8.91,8.86,8.89
2022-01-02 08:00:00,8.9,8.9,8.84,8.84
2022-01-02 09:00:00,8.86,8.9,8.85,8.89
2022-01-02 10:00:00,8.9,8.92,8.77,8.89
2022-01-02 11:00:00,8.88,8.94,8.88,8.94
2022-01-02 12:00:00,8.95,8.96,8.89,8.96
2022-01-02 13:00:00,8.97,8.98,8.9,8.93
2022-01-02 14:00:00,8.91,9.04,8.89,8.99
2022-01-02 15:00:00,8.98,9.01,8.95,8.97
