datetime,PHABUSD_open,PHABUSD_high,PHABUSD_low,PHABUSD_close
2022-01-01 00:00:00,0.4328,0.44,0.4328,0.4332
2022-01-01 01:00:00,0.4331,0.4365,0.4327,0.4333
2022-01-01 02:00:00,0.4326,0.4335,0.4299,0.4318
2022-01-01 03:00:00,0.4323,0.4333,0.4308,0.4308
2022-01-01 04:00:00,0.4304,0.432,0.4259,0.4263
2022-01-01 05:00:00,0.4273,0.428,0.423,0.4243
2022-01-01 06:00:00,0.4254,0.4254,0.4217,0.4217
2022-01-01 07:00:00,0.4217,0.4273,0.4217,0.4235
2022-01-01 08:00:00,0.4234,0.4253,0.4213,0.422
2022-01-01 09:00:00,0.4221,0.4242,0.421,0.4234
2022-01-01 10:00:00,0.4232,0.4316,0.4226,0.4266
2022-01-01 11:00:00,0.4279,0.4298,0.4245,0.4255
2022-01-01 12:00:00,0.4259,0.4304,0.4246,0.4288
2022-01-01 13:00:00,0.4296,0.4309,0.4275,0.4296
2022-01-01 14:00:00,0.43,0.4367,0.4294,0.4321
2022-01-01 15:00:00,0.4324,0.4336,0.4304,0.4334
2022-01-01 16:00:00,0.4334,0.4334,0.4316,0.4322
2022-01-01 17:00:00,0.4325,0.4331,0.4264,0.4264
2022-01-01 18:00:00,0.4277,0.4328,0.4263,0.4328
2022-01-01 19:00:00,0.4321,0.4374,0.4309,0.4364
2022-01-01 20:00:00,0.4381,0.4381,0.4311,0.4311
2022-01-01 21:00:00,0.4312,0.432,0.4293,0.43
2022-01-01 22:00:00,0.429,0.4299,0.4279,0.4279
2022-01-01 23:00:00,0.4284,0.434,0.428,0.4286
2022-01-02 00:00:00,0.4299,0.4367,0.4299,0.4367
2022-01-02 01:00:00,0.4367,0.4394,0.434,0.4387
2022-01-02 02:00:00,0.4379,0.4388,0.4311,0.4336
2022-01-02 03:00:00,0.4327,0.434,0.425,0.4292
2022-01-02 04:00:00,0.4292,0.4325,0.4275,0.4287
2022-01-02 05:00:00,0.4289,0.4289,0.4263,0.4265
2022-01-02 06:00:00,0.4265,0.4279,0.425,0.4259
2022-01-02 07:00:00,0.4259,0.4271,0.4235,0.427
2022-01-02 08:00:00,0.4263,0.4296,0.4255,0.4296
2022-01-02 09:00:00,0.4294,0.4294,0.425,0.426
2022-01-02 10:00:00,0.4261,0.429,0.426,0.429
2022-01-02 11:00:00,0.429,0.431,0.4285,0.4307
2022-01-02 12:00:00,0.431,0.4317,0.4281,0.43
2022-01-02 13:00:00,0.4298,0.4316,0.422,0.4224
2022-01-02 14:00:00,0.4234,0.4254,0.4213,0.4232
2022-01-02 15:00:00,0.4231,0.4231,0.4205,0.4215
2022-01-02 16:00:00,0.4206,0.4213,0.4125,0.4136
2022-01-02 17:00:00,0.4143,0.4174,0.4137,0.4171
2022-01-02 18:00:00,0.4176,0.4182,0.4168,0.4178
2022-01-02 19:00:00,0.4169,0.4169,0.4152,0.4162
2022-01-02 20:00:00,0.4162,0.4173,0.4156,0.4165
2022-01-02 21:00:00,0.4166,0.4169,0.4153,0.4154
2022-01-02 22:00:00,0.4171,0.4171,0.4143,0.4147
2022-01-02 23:00:00,0.4148,0.415,0.4139,0.415
2022-01-03 00:00:00,0.415,0.4165,0.415,0.4165
2022-01-03 01:00:00,0.4157,0.4157,0.4149,0.4154
