datetime,PLABUSD_open,PLABUSD_high,PLABUSD_low,PLABUSD_close
2022-01-01 00:00:00,1.426,1.449,1.422,1.439
2022-01-01 01:00:00,1.436,1.443,1.434,1.434
2022-01-01 02:00:00,1.434,1.434,1.43,1.43
2022-01-01 03:00:00,1.442,1.446,1.44,1.44
2022-01-01 04:00:00,1.441,1.441,1.429,1.432
2022-01-01 05:00:00,1.434,1.438,1.417,1.421
2022-01-01 06:00:00,1.421,1.426,1.421,1.426
2022-01-01 07:00:00,1.425,1.431,1.425,1.431
2022-01-01 08:00:00,1.434,1.436,1.429,1.429
2022-01-01 09:00:00,1.431,1.437,1.422,1.425
2022-01-01 10:00:00,1.428,1.439,1.428,1.434
2022-01-01 11:00:00,1.438,1.448,1.438,1.441
2022-01-01 12:00:00,1.439,1.455,1.439,1.452
2022-01-01 13:00:00,1.454,1.455,1.443,1.443
2022-01-01 14:00:00,1.447,1.451,1.444,1.449
2022-01-01 15:00:00,1.446,1.452,1.441,1.447
2022-01-01 16:00:00,1.451,1.451,1.448,1.448
2022-01-01 17:00:00,1.443,1.453,1.443,1.453
2022-01-01 18:00:00,1.45,1.459,1.449,1.457
2022-01-01 19:00:00,1.458,1.459,1.445,1.453
2022-01-01 20:00:00,1.451,1.451,1.443,1.443
2022-01-01 21:00:00,1.443,1.459,1.443,1.459
2022-01-01 22:00:00,1.461,1.465,1.45,1.462
2022-01-01 23:00:00,1.462,1.504,1.459,1.467
2022-01-02 00:00:00,1.472,1.492,1.465,1.478
2022-01-02 01:00:00,1.477,1.481,1.468,1.469
2022-01-02 02:00:00,1.474,1.494,1.469,1.479
2022-01-02 03:00:00,1.479,1.616,1.463,1.569
2022-01-02 04:00:00,1.569,1.596,1.517,1.539
2022-01-02 05:00:00,1.542,1.547,1.532,1.541
2022-01-02 06:00:00,1.541,1.57,1.537,1.552
2022-01-02 07:00:00,1.547,1.547,1.522,1.544
2022-01-02 08:00:00,1.534,1.534,1.51,1.529
2022-01-02 09:00:00,1.523,1.548,1.523,1.532
