datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-01 00:00:00,1.4233,1.4555,1.4129,1.4544
2022-01-01 01:00:00,1.4526,1.4603,1.4427,1.4501
2022-01-01 02:00:00,1.4502,1.453,1.4304,1.4337
2022-01-01 03:00:00,1.4329,1.4429,1.4307,1.4348
2022-01-01 04:00:00,1.4364,1.4397,1.4238,1.4255
2022-01-01 05:00:00,1.4254,1.4498,1.4207,1.4344
2022-01-01 06:00:00,1.4375,1.4462,1.4307,1.4341
2022-01-01 07:00:00,1.4308,1.4404,1.4301,1.4344
2022-01-01 08:00:00,1.4333,1.4479,1.4331,1.4331
2022-01-01 09:00:00,1.4358,1.4387,1.4275,1.4288
2022-01-01 10:00:00,1.4331,1.4375,1.4201,1.4201
2022-01-01 11:00:00,1.4201,1.4276,1.4201,1.4203
2022-01-01 12:00:00,1.4206,1.4353,1.42,1.4291
2022-01-01 13:00:00,1.4299,1.4372,1.4252,1.4303
2022-01-01 14:00:00,1.4266,1.4278,1.4206,1.4247
2022-01-01 15:00:00,1.4219,1.4407,1.4219,1.4391
2022-01-01 16:00:00,1.4391,1.4467,1.4357,1.4409
2022-01-01 17:00:00,1.4407,1.4526,1.4373,1.4526
2022-01-01 18:00:00,1.4526,1.456,1.4415,1.4418
2022-01-01 19:00:00,1.4444,1.4544,1.4418,1.451
2022-01-01 20:00:00,1.4468,1.4561,1.4461,1.4496
2022-01-01 21:00:00,1.4503,1.4538,1.4442,1.4448
2022-01-01 22:00:00,1.4445,1.4553,1.444,1.4461
2022-01-01 23:00:00,1.451,1.4645,1.4463,1.4645
2022-01-02 00:00:00,1.4645,1.472,1.4447,1.4558
2022-01-02 01:00:00,1.4565,1.4627,1.442,1.445
2022-01-02 02:00:00,1.445,1.4559,1.442,1.4559
2022-01-02 03:00:00,1.4574,1.4642,1.4506,1.4626
2022-01-02 04:00:00,1.4626,1.5016,1.4587,1.4698
2022-01-02 05:00:00,1.4698,1.4866,1.4646,1.473
2022-01-02 06:00:00,1.4782,1.4826,1.47,1.4738
2022-01-02 07:00:00,1.4738,1.4824,1.4658,1.4789
2022-01-02 08:00:00,1.4762,1.6002,1.4709,1.5743
2022-01-02 09:00:00,1.5761,1.5908,1.522,1.5418
2022-01-02 10:00:00,1.5391,1.5459,1.5241,1.537
2022-01-02 11:00:00,1.5343,1.565,1.5292,1.5463
2022-01-02 12:00:00,1.5463,1.5512,1.5332,1.5382
2022-01-02 13:00:00,1.5375,1.5401,1.5108,1.5242
2022-01-02 14:00:00,1.5213,1.5455,1.5189,1.5297
2022-01-02 15:00:00,1.5312,1.5466,1.5205,1.5314
2022-01-02 16:00:00,1.5341,1.5399,1.5271,1.5374
2022-01-02 17:00:00,1.5374,1.5392,1.5222,1.5222
2022-01-02 18:00:00,1.5224,1.5256,1.5084,1.514
2022-01-02 19:00:00,1.5119,1.5219,1.5087,1.5188
2022-01-02 20:00:00,1.5169,1.5353,1.5163,1.5332
2022-01-02 21:00:00,1.5309,1.5342,1.5215,1.5271
2022-01-02 22:00:00,1.5248,1.5375,1.5234,1.5361
2022-01-02 23:00:00,1.5366,1.5423,1.5321,1.5349
2022-01-03 00:00:00,1.5315,1.5641,1.5197,1.552
2022-01-03 01:00:00,1.5507,1.6176,1.5438,1.585
2022-01-03 02:00:00,1.5872,1.5897,1.5506,1.5766
2022-01-03 03:00:00,1.5763,1.59,1.5491,1.5539
2022-01-03 04:00:00,1.5487,1.5641,1.542,1.5514
2022-01-03 05:00:00,1.5523,1.5687,1.548,1.5635
2022-01-03 06:00:00,1.5667,1.6496,1.5654,1.6496
2022-01-03 07:00:00,1.646,1.68,1.5904,1.5956
2022-01-03 08:00:00,1.5982,1.5987,1.5585,1.5739
2022-01-03 09:00:00,1.5739,1.599,1.54,1.546
