datetime,POLSBUSD_open,POLSBUSD_high,POLSBUSD_low,POLSBUSD_close
2022-01-01 00:00:00,2.744,2.775,2.741,2.745
2022-01-01 01:00:00,2.749,2.753,2.741,2.741
2022-01-01 02:00:00,2.74,2.757,2.74,2.757
2022-01-01 03:00:00,2.753,2.756,2.748,2.748
2022-01-01 04:00:00,2.752,2.757,2.748,2.748
2022-01-01 05:00:00,2.754,2.755,2.735,2.75
2022-01-01 06:00:00,2.75,2.753,2.734,2.734
2022-01-01 07:00:00,2.743,2.793,2.743,2.782
2022-01-01 08:00:00,2.78,2.78,2.768,2.769
2022-01-01 09:00:00,2.77,2.781,2.77,2.778
2022-01-01 10:00:00,2.781,2.812,2.781,2.792
2022-01-01 11:00:00,2.796,2.811,2.788,2.794
2022-01-01 12:00:00,2.794,2.86,2.794,2.843
2022-01-01 13:00:00,2.854,2.865,2.847,2.86
2022-01-01 14:00:00,2.857,2.901,2.853,2.894
2022-01-01 15:00:00,2.881,2.906,2.876,2.906
2022-01-01 16:00:00,2.907,2.915,2.894,2.894
2022-01-01 17:00:00,2.891,2.891,2.862,2.875
2022-01-01 18:00:00,2.875,2.902,2.867,2.9
2022-01-01 19:00:00,2.9,2.903,2.876,2.899
2022-01-01 20:00:00,2.892,2.897,2.885,2.892
2022-01-01 21:00:00,2.893,2.893,2.885,2.885
2022-01-01 22:00:00,2.892,2.892,2.883,2.883
2022-01-01 23:00:00,2.882,2.886,2.839,2.844
2022-01-02 00:00:00,2.846,2.874,2.845,2.874
2022-01-02 01:00:00,2.872,2.872,2.846,2.846
2022-01-02 02:00:00,2.85,2.856,2.845,2.848
2022-01-02 03:00:00,2.851,2.855,2.838,2.855
2022-01-02 04:00:00,2.85,2.875,2.843,2.859
2022-01-02 05:00:00,2.856,2.864,2.854,2.855
2022-01-02 06:00:00,2.854,2.873,2.854,2.866
2022-01-02 07:00:00,2.861,2.867,2.845,2.867
2022-01-02 08:00:00,2.866,2.868,2.848,2.859
2022-01-02 09:00:00,2.859,2.87,2.855,2.868
2022-01-02 10:00:00,2.87,2.914,2.87,2.904
2022-01-02 11:00:00,2.896,2.932,2.896,2.93
2022-01-02 12:00:00,2.936,2.938,2.916,2.917
2022-01-02 13:00:00,2.917,2.926,2.86,2.916
2022-01-02 14:00:00,2.918,2.952,2.908,2.91
2022-01-02 15:00:00,2.914,2.931,2.906,2.931
2022-01-02 16:00:00,2.93,2.964,2.92,2.95
2022-01-02 17:00:00,2.957,2.994,2.957,2.981
2022-01-02 18:00:00,2.984,3.053,2.981,3.008
2022-01-02 19:00:00,3.004,3.004,2.96,2.978
2022-01-02 20:00:00,2.978,2.978,2.96,2.963
2022-01-02 21:00:00,2.958,2.958,2.95,2.954
2022-01-02 22:00:00,2.956,2.956,2.938,2.939
2022-01-02 23:00:00,2.937,2.95,2.93,2.932
2022-01-03 00:00:00,2.93,2.953,2.917,2.945
2022-01-03 01:00:00,2.945,2.945,2.931,2.931
2022-01-03 02:00:00,2.937,2.971,2.902,2.911
2022-01-03 03:00:00,2.912,2.92,2.911,2.919
2022-01-03 04:00:00,2.919,2.921,2.887,2.889
2022-01-03 05:00:00,2.897,2.916,2.897,2.909
2022-01-03 06:00:00,2.909,2.958,2.909,2.951
2022-01-03 07:00:00,2.949,2.981,2.939,2.98
2022-01-03 08:00:00,2.981,3.134,2.981,3.134
2022-01-03 09:00:00,3.133,3.2,3.026,3.059
2022-01-03 10:00:00,3.059,3.156,3.059,3.093
