datetime,POLYBUSD_open,POLYBUSD_high,POLYBUSD_low,POLYBUSD_close
2022-01-01 00:00:00,0.4832,0.4903,0.4832,0.4856
2022-01-01 01:00:00,0.4856,0.4868,0.4833,0.4843
2022-01-01 02:00:00,0.4844,0.4857,0.4844,0.4856
2022-01-01 03:00:00,0.4855,0.4874,0.4847,0.487
2022-01-01 04:00:00,0.4862,0.4866,0.4821,0.4832
2022-01-01 05:00:00,0.4833,0.4838,0.48,0.4828
2022-01-01 06:00:00,0.4815,0.4827,0.4805,0.4821
2022-01-01 07:00:00,0.4827,0.4829,0.4807,0.4829
2022-01-01 08:00:00,0.4845,0.4845,0.484,0.484
2022-01-01 09:00:00,0.4814,0.4832,0.4814,0.4824
2022-01-01 10:00:00,0.4845,0.4865,0.4831,0.4856
2022-01-01 11:00:00,0.4865,0.4899,0.4859,0.4872
2022-01-01 12:00:00,0.4878,0.4954,0.4876,0.4954
2022-01-01 13:00:00,0.4954,0.4958,0.4901,0.4945
2022-01-01 14:00:00,0.495,0.496,0.4922,0.4934
2022-01-01 15:00:00,0.4949,0.4967,0.4923,0.4923
2022-01-01 16:00:00,0.4919,0.4929,0.4917,0.492
2022-01-01 17:00:00,0.4917,0.4921,0.4907,0.4917
2022-01-01 18:00:00,0.4908,0.4944,0.4872,0.4944
2022-01-01 19:00:00,0.4944,0.5025,0.4935,0.5002
2022-01-01 20:00:00,0.5006,0.5161,0.5006,0.5151
2022-01-01 21:00:00,0.5164,0.58,0.5149,0.5699
2022-01-01 22:00:00,0.5668,0.5844,0.5373,0.5394
2022-01-01 23:00:00,0.5395,0.5432,0.5285,0.5332
2022-01-02 00:00:00,0.5321,0.5407,0.5308,0.5358
2022-01-02 01:00:00,0.5349,0.5492,0.5338,0.541
2022-01-02 02:00:00,0.5402,0.58,0.5363,0.58
2022-01-02 03:00:00,0.58,0.6589,0.571,0.6255
2022-01-02 04:00:00,0.6239,0.6363,0.5895,0.5948
2022-01-02 05:00:00,0.5947,0.6231,0.5938,0.607
2022-01-02 06:00:00,0.6061,0.6199,0.6012,0.6052
2022-01-02 07:00:00,0.6059,0.6162,0.5959,0.6093
2022-01-02 08:00:00,0.6086,0.659,0.6015,0.6268
2022-01-02 09:00:00,0.6275,0.6431,0.5981,0.5981
2022-01-02 10:00:00,0.5999,0.6034,0.5781,0.5805
2022-01-02 11:00:00,0.5805,0.5947,0.5787,0.5818
2022-01-02 12:00:00,0.5818,0.5969,0.5809,0.5815
2022-01-02 13:00:00,0.5831,0.5869,0.5694,0.577
2022-01-02 14:00:00,0.5788,0.5857,0.5757,0.5795
2022-01-02 15:00:00,0.5795,0.5912,0.5795,0.5831
2022-01-02 16:00:00,0.5848,0.5859,0.5771,0.5843
2022-01-02 17:00:00,0.5844,0.6116,0.5844,0.5976
2022-01-02 18:00:00,0.5992,0.6062,0.5866,0.588
2022-01-02 19:00:00,0.5885,0.6254,0.5787,0.5945
2022-01-02 20:00:00,0.5966,0.6143,0.586,0.6117
2022-01-02 21:00:00,0.6121,0.6216,0.5898,0.5962
2022-01-02 22:00:00,0.5962,0.6004,0.5897,0.5937
2022-01-02 23:00:00,0.5932,0.5935,0.5788,0.5838
2022-01-03 00:00:00,0.5842,0.5878,0.5785,0.5792
2022-01-03 01:00:00,0.5784,0.5797,0.558,0.5604
2022-01-03 02:00:00,0.5604,0.5661,0.5595,0.5642
2022-01-03 03:00:00,0.5642,0.5642,0.5546,0.5635
2022-01-03 04:00:00,0.5635,0.5643,0.5545,0.5559
2022-01-03 05:00:00,0.5559,0.5592,0.553,0.5551
2022-01-03 06:00:00,0.5567,0.5665,0.555,0.5648
2022-01-03 07:00:00,0.5667,0.567,0.5597,0.56
2022-01-03 08:00:00,0.5618,0.5669,0.5617,0.5654
2022-01-03 09:00:00,0.5646,0.5663,0.563,0.5647
2022-01-03 10:00:00,0.5639,0.5639,0.5553,0.5562
2022-01-03 11:00:00,0.5562,0.5573,0.5467,0.5497
2022-01-03 12:00:00,0.55,0.5579,0.55,0.5563
2022-01-03 13:00:00,0.5581,0.5602,0.5537,0.5537
2022-01-03 14:00:00,0.5546,0.557,0.5537,0.5537
2022-01-03 15:00:00,0.553,0.553,0.5422,0.5433
