datetime,POWRBUSD_open,POWRBUSD_high,POWRBUSD_low,POWRBUSD_close
2022-01-01 00:00:00,0.4193,0.4219,0.4193,0.4219
2022-01-01 01:00:00,0.4212,0.4212,0.4203,0.4203
2022-01-01 02:00:00,0.4198,0.4198,0.4191,0.4191
2022-01-01 03:00:00,0.4191,0.4191,0.4191,0.4191
2022-01-01 04:00:00,0.4206,0.4206,0.4172,0.4193
2022-01-01 05:00:00,0.4206,0.4206,0.417,0.4175
2022-01-01 06:00:00,0.4175,0.4196,0.4167,0.4167
2022-01-01 07:00:00,0.416,0.4182,0.416,0.4182
2022-01-01 08:00:00,0.4179,0.4192,0.4179,0.4192
2022-01-01 09:00:00,0.4192,0.4196,0.4174,0.4194
2022-01-01 10:00:00,0.4194,0.4221,0.4194,0.4198
2022-01-01 11:00:00,0.4219,0.4231,0.4213,0.4213
2022-01-01 12:00:00,0.4214,0.4259,0.4213,0.4259
2022-01-01 13:00:00,0.4259,0.4259,0.424,0.424
2022-01-01 14:00:00,0.4241,0.4241,0.4231,0.4234
2022-01-01 15:00:00,0.4229,0.4256,0.4229,0.4239
2022-01-01 16:00:00,0.4257,0.4258,0.4237,0.4237
2022-01-01 17:00:00,0.4237,0.4269,0.4237,0.4258
2022-01-01 18:00:00,0.4262,0.4262,0.4243,0.4243
2022-01-01 19:00:00,0.4269,0.466,0.4269,0.4545
2022-01-01 20:00:00,0.455,0.5208,0.4519,0.5063
2022-01-01 21:00:00,0.507,0.5449,0.4935,0.5249
2022-01-01 22:00:00,0.5239,0.53,0.501,0.5083
2022-01-01 23:00:00,0.5083,0.5197,0.5025,0.5054
2022-01-02 00:00:00,0.5056,0.5134,0.502,0.5056
2022-01-02 01:00:00,0.5056,0.5332,0.5052,0.5239
2022-01-02 02:00:00,0.5235,0.6079,0.5175,0.6076
2022-01-02 03:00:00,0.6062,0.715,0.5922,0.6849
2022-01-02 04:00:00,0.6841,0.6845,0.6188,0.635
2022-01-02 05:00:00,0.635,0.698,0.6298,0.6588
2022-01-02 06:00:00,0.6573,0.666,0.6418,0.6497
2022-01-02 07:00:00,0.6497,0.698,0.642,0.6828
2022-01-02 08:00:00,0.6811,0.792,0.681,0.7564
2022-01-02 09:00:00,0.7565,0.8159,0.7308,0.7359
2022-01-02 10:00:00,0.736,0.7512,0.6949,0.6998
2022-01-02 11:00:00,0.6996,0.7607,0.6977,0.7097
2022-01-02 12:00:00,0.7097,0.7148,0.6784,0.6785
2022-01-02 13:00:00,0.6786,0.6844,0.6553,0.6752
2022-01-02 14:00:00,0.6744,0.74,0.6733,0.7386
2022-01-02 15:00:00,0.7372,0.749,0.7112,0.7215
2022-01-02 16:00:00,0.722,0.745,0.7061,0.745
2022-01-02 17:00:00,0.7452,0.765,0.7323,0.74
2022-01-02 18:00:00,0.7392,0.7706,0.7259,0.76
2022-01-02 19:00:00,0.7632,0.8244,0.7239,0.7427
2022-01-02 20:00:00,0.7409,0.8333,0.7358,0.825
2022-01-02 21:00:00,0.825,0.8479,0.7832,0.7916
2022-01-02 22:00:00,0.7903,0.8089,0.7589,0.7612
2022-01-02 23:00:00,0.7606,0.7804,0.747,0.77
2022-01-03 00:00:00,0.7704,0.7938,0.76,0.7692
2022-01-03 01:00:00,0.7671,0.7723,0.7257,0.7257
2022-01-03 02:00:00,0.7273,0.753,0.7248,0.7343
2022-01-03 03:00:00,0.7355,0.7358,0.69,0.7017
2022-01-03 04:00:00,0.7015,0.7073,0.6512,0.6562
2022-01-03 05:00:00,0.6559,0.6595,0.6395,0.6418
2022-01-03 06:00:00,0.6417,0.6625,0.635,0.6527
2022-01-03 07:00:00,0.651,0.6668,0.6499,0.657
2022-01-03 08:00:00,0.6571,0.672,0.644,0.6464
2022-01-03 09:00:00,0.6464,0.6507,0.6387,0.6441
2022-01-03 10:00:00,0.6438,0.6486,0.6323,0.6323
2022-01-03 11:00:00,0.6323,0.6404,0.6184,0.6278
2022-01-03 12:00:00,0.6288,0.6442,0.6288,0.6395
2022-01-03 13:00:00,0.6415,0.6421,0.6278,0.6278
2022-01-03 14:00:00,0.6298,0.6439,0.6281,0.6397
2022-01-03 15:00:00,0.6397,0.6397,0.619,0.6296
2022-01-03 16:00:00,0.6286,0.6339,0.6231,0.6253
2022-01-03 17:00:00,0.625,0.6319,0.6226,0.625
2022-01-03 18:00:00,0.6263,0.649,0.6243,0.6426
2022-01-03 19:00:00,0.6431,0.6539,0.5962,0.6035
2022-01-03 20:00:00,0.6035,0.6039,0.5921,0.5977
2022-01-03 21:00:00,0.5962,0.5983,0.5858,0.5907
2022-01-03 22:00:00,0.5905,0.6062,0.5878,0.6044
2022-01-03 23:00:00,0.6044,0.6067,0.5832,0.5856
2022-01-04 00:00:00,0.5855,0.5976,0.5836,0.5976
2022-01-04 01:00:00,0.5975,0.5977,0.591,0.5914
2022-01-04 02:00:00,0.5909,0.6081,0.5865,0.6081
2022-01-04 03:00:00,0.6081,0.6395,0.5995,0.6365
2022-01-04 04:00:00,0.6363,0.7055,0.6315,0.6726
2022-01-04 05:00:00,0.6732,0.693,0.66,0.6735
2022-01-04 06:00:00,0.6711,0.6715,0.6525,0.6553
2022-01-04 07:00:00,0.6544,0.6561,0.616,0.618
2022-01-04 08:00:00,0.6182,0.6205,0.6066,0.6148
2022-01-04 09:00:00,0.6135,0.6304,0.6105,0.6271
2022-01-04 10:00:00,0.6302,0.6362,0.6111,0.6134
2022-01-04 11:00:00,0.6129,0.6143,0.6046,0.6081
2022-01-04 12:00:00,0.609,0.6142,0.6058,0.6058
2022-01-04 13:00:00,0.607,0.6195,0.6016,0.6039
2022-01-04 14:00:00,0.6036,0.6105,0.6005,0.6076
2022-01-04 15:00:00,0.6086,0.6163,0.6077,0.6102
2022-01-04 16:00:00,0.6125,0.615,0.6103,0.6126
2022-01-04 17:00:00,0.6121,0.6167,0.6061,0.6125
2022-01-04 18:00:00,0.6124,0.6279,0.6117,0.6205
2022-01-04 19:00:00,0.6211,0.6512,0.6041,0.6052
2022-01-04 20:00:00,0.6046,0.6119,0.6038,0.6045
2022-01-04 21:00:00,0.6062,0.612,0.6046,0.6079
2022-01-04 22:00:00,0.608,0.6325,0.6067,0.6255
2022-01-04 23:00:00,0.6255,0.6264,0.6174,0.6174
2022-01-05 00:00:00,0.6201,0.6204,0.6106,0.6167
2022-01-05 01:00:00,0.619,0.6289,0.6163,0.6279
2022-01-05 02:00:00,0.6284,0.6347,0.6193,0.627
2022-01-05 03:00:00,0.6275,0.63,0.6217,0.6266
2022-01-05 04:00:00,0.6268,0.6319,0.6245,0.6285
2022-01-05 05:00:00,0.6279,0.6395,0.6279,0.6293
2022-01-05 06:00:00,0.6293,0.6301,0.6127,0.6167
2022-01-05 07:00:00,0.617,0.6193,0.605,0.6086
2022-01-05 08:00:00,0.6103,0.6132,0.608,0.6132
2022-01-05 09:00:00,0.6132,0.6132,0.605,0.612
2022-01-05 10:00:00,0.612,0.6156,0.6098,0.6128
2022-01-05 11:00:00,0.613,0.6133,0.6057,0.6066
2022-01-05 12:00:00,0.6057,0.6077,0.5953,0.5953
2022-01-05 13:00:00,0.5953,0.6007,0.5923,0.5948
2022-01-05 14:00:00,0.5948,0.5948,0.5737,0.5747
2022-01-05 15:00:00,0.5757,0.5788,0.5563,0.5592
2022-01-05 16:00:00,0.5583,0.5682,0.5401,0.5506
2022-01-05 17:00:00,0.551,0.553,0.522,0.5454
2022-01-05 18:00:00,0.5462,0.566,0.5462,0.5596
2022-01-05 19:00:00,0.5596,0.5933,0.55,0.5511
2022-01-05 20:00:00,0.5525,0.5539,0.5342,0.5392
2022-01-05 21:00:00,0.5398,0.5436,0.5354,0.5371
2022-01-05 22:00:00,0.538,0.5381,0.528,0.528
2022-01-05 23:00:00,0.5295,0.5299,0.5114,0.5233
2022-01-06 00:00:00,0.5207,0.5334,0.5207,0.5334
2022-01-06 01:00:00,0.5312,0.5383,0.5272,0.5359
2022-01-06 02:00:00,0.5345,0.5405,0.5343,0.54
2022-01-06 03:00:00,0.5401,0.5405,0.5286,0.5349
2022-01-06 04:00:00,0.5352,0.5352,0.5157,0.5157
2022-01-06 05:00:00,0.5197,0.5321,0.5196,0.5293
2022-01-06 06:00:00,0.5313,0.5327,0.5232,0.5258
2022-01-06 07:00:00,0.5256,0.5289,0.5193,0.5289
2022-01-06 08:00:00,0.5269,0.5333,0.525,0.5316
2022-01-06 09:00:00,0.5334,0.5343,0.5265,0.5293
2022-01-06 10:00:00,0.5274,0.5317,0.524,0.5297
2022-01-06 11:00:00,0.5292,0.5303,0.528,0.5289
2022-01-06 12:00:00,0.53,0.5336,0.5276,0.5336
2022-01-06 13:00:00,0.5336,0.5399,0.5305,0.5397
2022-01-06 14:00:00,0.54,0.5434,0.5368,0.5434
2022-01-06 15:00:00,0.5432,0.5433,0.5342,0.5351
2022-01-06 16:00:00,0.536,0.5397,0.5325,0.5372
2022-01-06 17:00:00,0.5396,0.546,0.5366,0.546
2022-01-06 18:00:00,0.547,0.5557,0.5437,0.5526
2022-01-06 19:00:00,0.553,0.5556,0.5291,0.5311
2022-01-06 20:00:00,0.5319,0.5359,0.5319,0.5331
2022-01-06 21:00:00,0.5324,0.5324,0.5247,0.5272
2022-01-06 22:00:00,0.5257,0.5257,0.5033,0.5095
2022-01-06 23:00:00,0.5097,0.5098,0.493,0.507
2022-01-07 00:00:00,0.507,0.5141,0.5033,0.5136
2022-01-07 01:00:00,0.5127,0.5139,0.4997,0.5029
2022-01-07 02:00:00,0.5028,0.5088,0.497,0.5086
2022-01-07 03:00:00,0.5086,0.5185,0.5086,0.5174
2022-01-07 04:00:00,0.5151,0.521,0.5151,0.5165
2022-01-07 05:00:00,0.5165,0.5179,0.5092,0.5094
2022-01-07 06:00:00,0.5094,0.5136,0.5094,0.5136
2022-01-07 07:00:00,0.5145,0.5205,0.5138,0.5159
2022-01-07 08:00:00,0.5176,0.5201,0.5032,0.5067
2022-01-07 09:00:00,0.5062,0.512,0.5045,0.5077
2022-01-07 10:00:00,0.5093,0.5093,0.4901,0.503
2022-01-07 11:00:00,0.5014,0.5111,0.4935,0.5111
2022-01-07 12:00:00,0.5111,0.5111,0.5063,0.5104
2022-01-07 13:00:00,0.5089,0.5092,0.5045,0.5072
2022-01-07 14:00:00,0.5086,0.5088,0.5038,0.5059
2022-01-07 15:00:00,0.5076,0.5144,0.5055,0.5131
2022-01-07 16:00:00,0.5123,0.5183,0.5111,0.5161
2022-01-07 17:00:00,0.5153,0.5161,0.5063,0.5078
2022-01-07 18:00:00,0.5078,0.5164,0.5074,0.5164
2022-01-07 19:00:00,0.5169,0.5201,0.5045,0.5185
2022-01-07 20:00:00,0.5197,0.5243,0.5143,0.5146
2022-01-07 21:00:00,0.5127,0.5127,0.5069,0.512
2022-01-07 22:00:00,0.512,0.5123,0.5077,0.5086
2022-01-07 23:00:00,0.5103,0.5145,0.5103,0.5145
2022-01-08 00:00:00,0.5125,0.5198,0.5111,0.5195
2022-01-08 01:00:00,0.52,0.525,0.5172,0.5192
2022-01-08 02:00:00,0.5194,0.5249,0.5194,0.5207
2022-01-08 03:00:00,0.52,0.5244,0.5165,0.5225
2022-01-08 04:00:00,0.5205,0.5205,0.5165,0.5183
2022-01-08 05:00:00,0.5192,0.5252,0.5149,0.517
2022-01-08 06:00:00,0.517,0.5204,0.5148,0.5172
2022-01-08 07:00:00,0.5157,0.5159,0.5101,0.5101
2022-01-08 08:00:00,0.5116,0.513,0.5092,0.513
2022-01-08 09:00:00,0.5121,0.5122,0.5056,0.5085
2022-01-08 10:00:00,0.5089,0.5089,0.4988,0.4995
2022-01-08 11:00:00,0.4995,0.5005,0.492,0.4936
2022-01-08 12:00:00,0.492,0.4926,0.4791,0.4791
2022-01-08 13:00:00,0.4804,0.4902,0.4742,0.4761
2022-01-08 14:00:00,0.4755,0.48,0.4725,0.4741
