datetime,POWRUSD_open,POWRUSD_high,POWRUSD_low,POWRUSD_close
2022-01-01 00:00:00,0.4166,0.4204,0.4162,0.4192
2022-01-01 01:00:00,0.4199,0.425,0.4192,0.4211
2022-01-01 02:00:00,0.4211,0.4229,0.4186,0.4186
2022-01-01 03:00:00,0.4189,0.4204,0.4185,0.4186
2022-01-01 04:00:00,0.4194,0.4197,0.4173,0.4183
2022-01-01 05:00:00,0.4183,0.424,0.4173,0.4219
2022-01-01 06:00:00,0.4219,0.4219,0.4202,0.4202
2022-01-01 07:00:00,0.4209,0.4209,0.4182,0.4202
2022-01-01 08:00:00,0.4201,0.4213,0.4198,0.4198
2022-01-01 09:00:00,0.4198,0.4205,0.4181,0.4194
2022-01-01 10:00:00,0.4203,0.4208,0.4162,0.4177
2022-01-01 11:00:00,0.4184,0.4199,0.4152,0.4152
2022-01-01 12:00:00,0.416,0.4187,0.4158,0.4176
2022-01-01 13:00:00,0.4183,0.4194,0.4173,0.4194
2022-01-01 14:00:00,0.4187,0.4199,0.4176,0.4176
2022-01-01 15:00:00,0.4185,0.4218,0.4178,0.4207
2022-01-01 16:00:00,0.4211,0.4232,0.4211,0.4226
2022-01-01 17:00:00,0.4217,0.4271,0.4212,0.4246
2022-01-01 18:00:00,0.4256,0.4261,0.4241,0.425
2022-01-01 19:00:00,0.425,0.425,0.4231,0.4242
2022-01-01 20:00:00,0.4241,0.425,0.423,0.4248
2022-01-01 21:00:00,0.425,0.4259,0.4239,0.4244
2022-01-01 22:00:00,0.4246,0.4272,0.4236,0.4247
2022-01-01 23:00:00,0.4258,0.4289,0.4236,0.4289
2022-01-02 00:00:00,0.429,0.474,0.429,0.4532
2022-01-02 01:00:00,0.4534,0.6099,0.4517,0.496
2022-01-02 02:00:00,0.5037,0.563,0.4926,0.5248
2022-01-02 03:00:00,0.526,0.5299,0.4946,0.5089
2022-01-02 04:00:00,0.5073,0.5174,0.5023,0.5055
2022-01-02 05:00:00,0.504,0.5155,0.502,0.5073
2022-01-02 06:00:00,0.5073,0.5444,0.5059,0.5257
2022-01-02 07:00:00,0.5253,0.6027,0.5179,0.6027
2022-01-02 08:00:00,0.6007,0.7189,0.5964,0.6872
2022-01-02 09:00:00,0.6873,0.6903,0.6195,0.6342
2022-01-02 10:00:00,0.633,0.6914,0.63,0.6592
2022-01-02 11:00:00,0.6583,0.6672,0.6406,0.6506
2022-01-02 12:00:00,0.6508,0.6998,0.6427,0.6851
2022-01-02 13:00:00,0.6859,0.787,0.6831,0.7581
2022-01-02 14:00:00,0.7582,0.8274,0.7294,0.7333
2022-01-02 15:00:00,0.7371,0.7615,0.701,0.7048
2022-01-02 16:00:00,0.7042,0.7595,0.7041,0.7112
2022-01-02 17:00:00,0.7114,0.7154,0.6777,0.6798
2022-01-02 18:00:00,0.6805,0.6833,0.6601,0.6775
2022-01-02 19:00:00,0.6773,0.7463,0.6753,0.7427
2022-01-02 20:00:00,0.7406,0.7525,0.7154,0.7217
2022-01-02 21:00:00,0.7217,0.745,0.7046,0.7449
2022-01-02 22:00:00,0.7439,0.8184,0.7357,0.7375
2022-01-02 23:00:00,0.7373,0.768,0.7251,0.7568
2022-01-03 00:00:00,0.7576,0.814,0.7294,0.7476
2022-01-03 01:00:00,0.7452,0.8441,0.7397,0.8245
2022-01-03 02:00:00,0.8237,0.848,0.795,0.804
2022-01-03 03:00:00,0.8068,0.8283,0.7582,0.7596
2022-01-03 04:00:00,0.7597,0.7825,0.7482,0.773
2022-01-03 05:00:00,0.773,0.795,0.76,0.7688
2022-01-03 06:00:00,0.7689,0.771,0.7277,0.7277
2022-01-03 07:00:00,0.7288,0.75,0.724,0.7347
2022-01-03 08:00:00,0.7361,0.7361,0.69,0.7037
2022-01-03 09:00:00,0.7014,0.707,0.6552,0.6576
2022-01-03 10:00:00,0.6562,0.6599,0.6406,0.641
2022-01-03 11:00:00,0.6408,0.6615,0.6388,0.6523
2022-01-03 12:00:00,0.6511,0.6667,0.6504,0.6559
2022-01-03 13:00:00,0.656,0.6704,0.6413,0.6467
2022-01-03 14:00:00,0.6465,0.6498,0.638,0.6426
2022-01-03 15:00:00,0.6426,0.6479,0.6312,0.6312
2022-01-03 16:00:00,0.6314,0.64,0.618,0.6284
2022-01-03 17:00:00,0.6291,0.6459,0.6283,0.6413
2022-01-03 18:00:00,0.6408,0.6425,0.6264,0.6264
2022-01-03 19:00:00,0.6301,0.6455,0.6262,0.6388
2022-01-03 20:00:00,0.6396,0.6399,0.6163,0.6301
2022-01-03 21:00:00,0.628,0.6345,0.6222,0.6227
2022-01-03 22:00:00,0.6243,0.6329,0.6219,0.6256
2022-01-03 23:00:00,0.6264,0.647,0.625,0.64
2022-01-04 00:00:00,0.64,0.6514,0.6,0.6038
2022-01-04 01:00:00,0.6029,0.6042,0.5891,0.5955
2022-01-04 02:00:00,0.5964,0.597,0.585,0.5899
2022-01-04 03:00:00,0.5899,0.608,0.5876,0.6062
2022-01-04 04:00:00,0.605,0.6077,0.5823,0.5844
2022-01-04 05:00:00,0.5844,0.5972,0.5827,0.5972
2022-01-04 06:00:00,0.5973,0.6,0.5909,0.5914
2022-01-04 07:00:00,0.5911,0.608,0.5901,0.6074
2022-01-04 08:00:00,0.6074,0.6417,0.6,0.6395
2022-01-04 09:00:00,0.6386,0.708,0.6306,0.6726
2022-01-04 10:00:00,0.6735,0.6903,0.6513,0.6722
2022-01-04 11:00:00,0.6709,0.6726,0.6511,0.654
2022-01-04 12:00:00,0.6554,0.6556,0.6167,0.6178
2022-01-04 13:00:00,0.6178,0.6214,0.6058,0.6127
2022-01-04 14:00:00,0.613,0.6327,0.6098,0.6279
2022-01-04 15:00:00,0.6313,0.6352,0.6034,0.6111
2022-01-04 16:00:00,0.6113,0.6124,0.6011,0.6044
2022-01-04 17:00:00,0.603,0.611,0.6027,0.6053
2022-01-04 18:00:00,0.6052,0.6198,0.6001,0.6021
2022-01-04 19:00:00,0.601,0.6095,0.6,0.608
2022-01-04 20:00:00,0.608,0.6162,0.6064,0.6088
2022-01-04 21:00:00,0.6107,0.6145,0.6091,0.612
2022-01-04 22:00:00,0.612,0.6155,0.6059,0.613
2022-01-04 23:00:00,0.6146,0.6287,0.6106,0.6206
2022-01-05 00:00:00,0.6213,0.65,0.6033,0.6037
2022-01-05 01:00:00,0.606,0.611,0.6024,0.6049
2022-01-05 02:00:00,0.6053,0.6111,0.604,0.6077
2022-01-05 03:00:00,0.6078,0.6333,0.6059,0.6276
2022-01-05 04:00:00,0.6274,0.6284,0.6162,0.6185
2022-01-05 05:00:00,0.6195,0.621,0.6105,0.6193
2022-01-05 06:00:00,0.6176,0.6288,0.6167,0.627
2022-01-05 07:00:00,0.6273,0.637,0.6194,0.6273
2022-01-05 08:00:00,0.6257,0.6315,0.6212,0.6254
2022-01-05 09:00:00,0.6277,0.632,0.6245,0.628
2022-01-05 10:00:00,0.6283,0.6385,0.628,0.628
2022-01-05 11:00:00,0.6279,0.632,0.6128,0.6189
2022-01-05 12:00:00,0.619,0.6195,0.6047,0.6104
2022-01-05 13:00:00,0.6103,0.6132,0.6072,0.6118
2022-01-05 14:00:00,0.6131,0.6133,0.6038,0.6102
2022-01-05 15:00:00,0.6118,0.6159,0.6089,0.6116
2022-01-05 16:00:00,0.6116,0.6138,0.6045,0.6047
2022-01-05 17:00:00,0.6063,0.6075,0.593,0.5945
2022-01-05 18:00:00,0.5945,0.5997,0.5916,0.5941
2022-01-05 19:00:00,0.5941,0.5956,0.5729,0.5731
2022-01-05 20:00:00,0.5733,0.5781,0.5575,0.5606
2022-01-05 21:00:00,0.5588,0.5678,0.539,0.549
2022-01-05 22:00:00,0.5492,0.5527,0.5204,0.5463
2022-01-05 23:00:00,0.5435,0.5658,0.5435,0.5593
2022-01-06 00:00:00,0.5593,0.5939,0.5502,0.5519
2022-01-06 01:00:00,0.5518,0.553,0.5322,0.539
2022-01-06 02:00:00,0.5387,0.5429,0.5344,0.536
2022-01-06 03:00:00,0.536,0.539,0.5274,0.5274
2022-01-06 04:00:00,0.5274,0.5296,0.5127,0.5227
2022-01-06 05:00:00,0.5215,0.5337,0.5209,0.5326
2022-01-06 06:00:00,0.5323,0.5376,0.5272,0.5344
2022-01-06 07:00:00,0.5354,0.541,0.5337,0.541
2022-01-06 08:00:00,0.5394,0.541,0.528,0.5352
2022-01-06 09:00:00,0.5348,0.5362,0.5171,0.5175
2022-01-06 10:00:00,0.52,0.532,0.518,0.5314
2022-01-06 11:00:00,0.5308,0.5319,0.5228,0.5254
2022-01-06 12:00:00,0.5256,0.5284,0.5191,0.5284
2022-01-06 13:00:00,0.529,0.5339,0.525,0.5322
2022-01-06 14:00:00,0.5334,0.5347,0.5256,0.5281
2022-01-06 15:00:00,0.5288,0.5317,0.5228,0.5312
2022-01-06 16:00:00,0.5298,0.5319,0.5272,0.5286
2022-01-06 17:00:00,0.5286,0.534,0.527,0.5321
2022-01-06 18:00:00,0.5322,0.5406,0.5297,0.54
2022-01-06 19:00:00,0.5401,0.5439,0.5362,0.5416
2022-01-06 20:00:00,0.5416,0.5429,0.5332,0.5334
2022-01-06 21:00:00,0.5349,0.5398,0.5327,0.5398
2022-01-06 22:00:00,0.5375,0.5459,0.5356,0.5459
2022-01-06 23:00:00,0.5459,0.5558,0.5425,0.5535
2022-01-07 00:00:00,0.5538,0.5545,0.5282,0.531
2022-01-07 01:00:00,0.5301,0.5362,0.5299,0.5331
2022-01-07 02:00:00,0.534,0.5344,0.5227,0.5249
2022-01-07 03:00:00,0.526,0.5261,0.5019,0.5077
2022-01-07 04:00:00,0.5086,0.5093,0.4919,0.5064
2022-01-07 05:00:00,0.5091,0.5143,0.5038,0.5133
2022-01-07 06:00:00,0.5127,0.5144,0.4992,0.5042
2022-01-07 07:00:00,0.5027,0.5096,0.4957,0.5067
2022-01-07 08:00:00,0.5083,0.519,0.5083,0.5138
2022-01-07 09:00:00,0.5141,0.5208,0.5141,0.5159
2022-01-07 10:00:00,0.5157,0.5176,0.5079,0.5079
2022-01-07 11:00:00,0.5085,0.515,0.5078,0.515
2022-01-07 12:00:00,0.5152,0.5203,0.5132,0.5173
2022-01-07 13:00:00,0.5151,0.5199,0.5032,0.5069
2022-01-07 14:00:00,0.5043,0.5111,0.5032,0.509
2022-01-07 15:00:00,0.5051,0.5066,0.4912,0.5017
2022-01-07 16:00:00,0.5016,0.5116,0.4942,0.5116
2022-01-07 17:00:00,0.5103,0.5107,0.5057,0.5093
2022-01-07 18:00:00,0.5096,0.5104,0.5037,0.5082
2022-01-07 19:00:00,0.5093,0.5093,0.5032,0.5062
2022-01-07 20:00:00,0.506,0.5137,0.5043,0.5135
2022-01-07 21:00:00,0.5121,0.518,0.5104,0.517
2022-01-07 22:00:00,0.517,0.517,0.5054,0.5061
2022-01-07 23:00:00,0.5061,0.5162,0.5054,0.5162
2022-01-08 00:00:00,0.5165,0.52,0.5053,0.5193
2022-01-08 01:00:00,0.5195,0.5242,0.5119,0.512
2022-01-08 02:00:00,0.5134,0.5144,0.5069,0.5109
2022-01-08 03:00:00,0.5112,0.5124,0.5066,0.5084
2022-01-08 04:00:00,0.5084,0.5146,0.5084,0.5124
2022-01-08 05:00:00,0.5139,0.5197,0.5115,0.5197
2022-01-08 06:00:00,0.5201,0.526,0.5167,0.5197
2022-01-08 07:00:00,0.5193,0.5245,0.5191,0.5205
2022-01-08 08:00:00,0.5204,0.5241,0.5165,0.5221
2022-01-08 09:00:00,0.5216,0.522,0.5165,0.5188
2022-01-08 10:00:00,0.5198,0.5247,0.515,0.5158
2022-01-08 11:00:00,0.5158,0.5204,0.5146,0.516
2022-01-08 12:00:00,0.5167,0.5172,0.5095,0.5095
2022-01-08 13:00:00,0.5109,0.5142,0.5087,0.5105
2022-01-08 14:00:00,0.5104,0.5127,0.5054,0.508
2022-01-08 15:00:00,0.508,0.5085,0.4979,0.5001
2022-01-08 16:00:00,0.5001,0.5008,0.492,0.4925
