datetime,PROMBUSD_open,PROMBUSD_high,PROMBUSD_low,PROMBUSD_close
2022-01-01 00:00:00,12.17,12.22,12.09,12.19
2022-01-01 01:00:00,12.22,12.31,12.22,12.23
2022-01-01 02:00:00,12.23,12.26,12.19,12.26
2022-01-01 03:00:00,12.26,12.27,12.23,12.23
2022-01-01 04:00:00,12.2,12.28,12.12,12.22
2022-01-01 05:00:00,12.22,12.23,12.15,12.19
2022-01-01 06:00:00,12.19,12.33,12.18,12.19
2022-01-01 07:00:00,12.17,12.18,12.1,12.15
2022-01-01 08:00:00,12.14,12.16,12.13,12.13
2022-01-01 09:00:00,12.13,12.18,12.08,12.18
2022-01-01 10:00:00,12.19,12.36,12.19,12.23
2022-01-01 11:00:00,12.23,12.28,12.17,12.27
2022-01-01 12:00:00,12.27,12.36,12.23,12.35
2022-01-01 13:00:00,12.34,12.34,12.2,12.28
2022-01-01 14:00:00,12.29,12.29,12.22,12.26
2022-01-01 15:00:00,12.27,12.38,12.27,12.33
2022-01-01 16:00:00,12.34,12.56,12.33,12.54
2022-01-01 17:00:00,12.54,12.56,12.5,12.52
2022-01-01 18:00:00,12.53,12.56,12.44,12.44
2022-01-01 19:00:00,12.44,12.45,12.39,12.4
2022-01-01 20:00:00,12.39,12.43,12.23,12.31
2022-01-01 21:00:00,12.32,12.34,12.32,12.33
2022-01-01 22:00:00,12.34,12.34,12.28,12.32
2022-01-01 23:00:00,12.28,12.31,12.1,12.1
2022-01-02 00:00:00,12.1,12.17,12.09,12.17
2022-01-02 01:00:00,12.16,12.26,12.16,12.26
2022-01-02 02:00:00,12.26,12.26,12.2,12.24
2022-01-02 03:00:00,12.24,12.25,12.19,12.2
2022-01-02 04:00:00,12.23,12.55,12.23,12.43
2022-01-02 05:00:00,12.43,12.5,12.38,12.42
2022-01-02 06:00:00,12.42,12.48,12.38,12.4
2022-01-02 07:00:00,12.39,12.41,12.29,12.32
2022-01-02 08:00:00,12.32,12.36,12.3,12.34
2022-01-02 09:00:00,12.33,12.33,12.26,12.26
2022-01-02 10:00:00,12.25,12.3,12.24,12.29
2022-01-02 11:00:00,12.27,12.39,12.27,12.39
2022-01-02 12:00:00,12.39,12.55,12.25,12.31
2022-01-02 13:00:00,12.31,12.39,12.23,12.3
2022-01-02 14:00:00,12.31,12.35,12.26,12.3
2022-01-02 15:00:00,12.3,12.43,12.27,12.4
2022-01-02 16:00:00,12.37,12.52,12.31,12.41
2022-01-02 17:00:00,12.4,12.42,12.34,12.35
2022-01-02 18:00:00,12.37,12.39,12.35,12.37
2022-01-02 19:00:00,12.39,12.39,12.33,12.36
2022-01-02 20:00:00,12.33,12.36,12.26,12.31
2022-01-02 21:00:00,12.28,12.3,12.25,12.25
2022-01-02 22:00:00,12.24,12.25,12.17,12.17
2022-01-02 23:00:00,12.17,12.2,12.16,12.2
2022-01-03 00:00:00,12.2,12.26,12.18,12.26
2022-01-03 01:00:00,12.26,12.28,12.23,12.26
2022-01-03 02:00:00,12.26,12.34,12.19,12.33
2022-01-03 03:00:00,12.33,12.33,12.22,12.27
2022-01-03 04:00:00,12.27,12.3,12.19,12.3
2022-01-03 05:00:00,12.3,12.33,12.25,12.33
2022-01-03 06:00:00,12.33,12.43,12.33,12.43
