datetime,PSGBUSD_open,PSGBUSD_high,PSGBUSD_low,PSGBUSD_close
2022-01-01 00:00:00,15.27,15.42,15.27,15.33
2022-01-01 01:00:00,15.3,15.33,15.29,15.29
2022-01-01 02:00:00,15.3,15.3,15.24,15.27
2022-01-01 03:00:00,15.27,15.3,15.26,15.26
2022-01-01 04:00:00,15.27,15.28,15.2,15.21
2022-01-01 05:00:00,15.24,15.32,15.04,15.18
2022-01-01 06:00:00,15.19,15.27,15.08,15.2
2022-01-01 07:00:00,15.21,15.33,15.21,15.33
2022-01-01 08:00:00,15.27,15.34,15.25,15.34
2022-01-01 09:00:00,15.34,15.34,15.2,15.27
2022-01-01 10:00:00,15.27,15.39,15.25,15.25
2022-01-01 11:00:00,15.28,15.45,15.24,15.24
2022-01-01 12:00:00,15.25,15.48,15.25,15.39
2022-01-01 13:00:00,15.39,15.42,15.27,15.27
2022-01-01 14:00:00,15.28,15.28,15.24,15.27
2022-01-01 15:00:00,15.3,15.39,15.27,15.29
2022-01-01 16:00:00,15.3,15.31,15.28,15.31
2022-01-01 17:00:00,15.27,15.31,15.27,15.31
2022-01-01 18:00:00,15.28,15.46,15.27,15.4
2022-01-01 19:00:00,15.42,15.43,15.36,15.42
2022-01-01 20:00:00,15.4,15.51,15.38,15.46
2022-01-01 21:00:00,15.54,15.55,15.5,15.52
2022-01-01 22:00:00,15.52,15.53,15.52,15.53
2022-01-01 23:00:00,15.54,15.62,15.52,15.55
2022-01-02 00:00:00,15.54,15.55,15.49,15.49
2022-01-02 01:00:00,15.59,15.59,15.48,15.49
2022-01-02 02:00:00,15.48,15.57,15.48,15.57
2022-01-02 03:00:00,15.6,15.62,15.5,15.54
2022-01-02 04:00:00,15.53,15.59,15.51,15.53
2022-01-02 05:00:00,15.57,15.57,15.48,15.48
2022-01-02 06:00:00,15.48,15.63,15.46,15.54
2022-01-02 07:00:00,15.53,15.63,15.46,15.5
2022-01-02 08:00:00,15.51,15.55,15.4,15.43
2022-01-02 09:00:00,15.47,15.47,15.29,15.39
2022-01-02 10:00:00,15.41,15.46,15.39,15.42
2022-01-02 11:00:00,15.43,15.55,15.43,15.55
2022-01-02 12:00:00,15.55,15.55,15.38,15.39
2022-01-02 13:00:00,15.4,15.4,15.17,15.21
2022-01-02 14:00:00,15.21,15.26,15.14,15.24
2022-01-02 15:00:00,15.21,15.32,15.21,15.28
2022-01-02 16:00:00,15.29,15.35,15.29,15.33
2022-01-02 17:00:00,15.28,15.32,15.26,15.32
2022-01-02 18:00:00,15.31,15.31,15.28,15.28
2022-01-02 19:00:00,15.24,15.31,15.22,15.31
2022-01-02 20:00:00,15.26,15.29,15.26,15.26
2022-01-02 21:00:00,15.25,15.27,15.24,15.24
2022-01-02 22:00:00,15.24,15.28,15.19,15.19
2022-01-02 23:00:00,15.19,15.23,15.19,15.23
2022-01-03 00:00:00,15.24,15.25,15.23,15.25
2022-01-03 01:00:00,15.24,15.24,15.14,15.17
2022-01-03 02:00:00,15.15,15.16,15.03,15.14
2022-01-03 03:00:00,15.15,15.18,15.11,15.17
2022-01-03 04:00:00,15.19,15.21,15.11,15.2
2022-01-03 05:00:00,15.2,15.34,15.2,15.33
2022-01-03 06:00:00,15.34,15.52,15.31,15.48
2022-01-03 07:00:00,15.51,15.58,15.33,15.33
2022-01-03 08:00:00,15.4,15.4,15.35,15.37
2022-01-03 09:00:00,15.42,15.49,15.37,15.37
2022-01-03 10:00:00,15.36,15.43,15.36,15.39
2022-01-03 11:00:00,15.37,15.39,15.21,15.29
2022-01-03 12:00:00,15.3,15.37,15.29,15.34
2022-01-03 13:00:00,15.31,15.39,15.31,15.34
2022-01-03 14:00:00,15.34,15.41,15.3,15.32
2022-01-03 15:00:00,15.28,15.37,15.02,15.05
2022-01-03 16:00:00,15.04,15.13,15.04,15.13
2022-01-03 17:00:00,15.14,15.25,15.14,15.19
2022-01-03 18:00:00,15.2,15.24,15.18,15.19
2022-01-03 19:00:00,15.19,15.22,15.11,15.11
2022-01-03 20:00:00,15.09,15.13,15.05,15.05
2022-01-03 21:00:00,15.05,15.05,14.95,15.02
2022-01-03 22:00:00,14.99,15.07,14.99,15.07
2022-01-03 23:00:00,15.02,15.06,15.01,15.03
2022-01-04 00:00:00,15.05,15.07,15.05,15.07
2022-01-04 01:00:00,15.05,15.08,15.05,15.08
2022-01-04 02:00:00,15.11,15.2,15.11,15.2
2022-01-04 03:00:00,15.25,15.37,15.19,15.23
2022-01-04 04:00:00,15.28,15.36,15.26,15.3
2022-01-04 05:00:00,15.31,15.4,15.28,15.34
2022-01-04 06:00:00,15.31,15.42,15.31,15.37
2022-01-04 07:00:00,15.38,15.41,15.31,15.32
2022-01-04 08:00:00,15.37,15.47,15.29,15.47
2022-01-04 09:00:00,15.4,15.5,15.32,15.5
2022-01-04 10:00:00,15.43,15.46,15.17,15.24
2022-01-04 11:00:00,15.24,15.24,15.15,15.18
2022-01-04 12:00:00,15.17,15.26,15.16,15.2
2022-01-04 13:00:00,15.22,15.22,15.05,15.06
2022-01-04 14:00:00,15.05,15.19,15.01,15.11
2022-01-04 15:00:00,15.1,15.31,15.09,15.19
2022-01-04 16:00:00,15.2,15.23,15.12,15.12
2022-01-04 17:00:00,15.13,15.23,15.12,15.23
2022-01-04 18:00:00,15.15,15.15,15.03,15.03
2022-01-04 19:00:00,15.09,15.13,15.03,15.13
2022-01-04 20:00:00,15.19,15.35,15.19,15.31
2022-01-04 21:00:00,15.32,15.4,15.31,15.4
2022-01-04 22:00:00,15.31,15.42,15.29,15.42
2022-01-04 23:00:00,15.39,15.39,15.31,15.31
2022-01-05 00:00:00,15.31,15.31,15.31,15.31
2022-01-05 01:00:00,15.35,15.36,15.26,15.31
2022-01-05 02:00:00,15.26,15.3,15.25,15.3
2022-01-05 03:00:00,15.3,15.3,15.23,15.28
2022-01-05 04:00:00,15.31,15.35,15.24,15.35
2022-01-05 05:00:00,15.33,15.33,15.25,15.28
2022-01-05 06:00:00,15.28,15.28,15.07,15.16
2022-01-05 07:00:00,15.19,15.2,15.0,15.13
2022-01-05 08:00:00,15.12,15.2,15.11,15.19
2022-01-05 09:00:00,15.15,15.19,15.07,15.19
2022-01-05 10:00:00,15.19,15.25,15.12,15.25
2022-01-05 11:00:00,15.25,15.26,15.11,15.19
2022-01-05 12:00:00,15.24,15.24,15.02,15.04
2022-01-05 13:00:00,15.01,15.08,14.91,15.01
2022-01-05 14:00:00,14.97,15.05,14.65,14.74
2022-01-05 15:00:00,14.72,14.76,14.38,14.43
2022-01-05 16:00:00,14.47,14.54,14.24,14.38
2022-01-05 17:00:00,14.35,14.55,14.16,14.39
2022-01-05 18:00:00,14.33,14.33,14.18,14.29
2022-01-05 19:00:00,14.31,14.32,14.19,14.3
2022-01-05 20:00:00,14.23,14.27,14.12,14.15
2022-01-05 21:00:00,14.14,14.15,14.1,14.1
2022-01-05 22:00:00,14.11,14.13,14.1,14.1
2022-01-05 23:00:00,14.1,14.53,14.03,14.33
2022-01-06 00:00:00,14.32,14.32,14.2,14.27
2022-01-06 01:00:00,14.32,14.38,14.27,14.36
2022-01-06 02:00:00,14.36,14.4,14.26,14.4
2022-01-06 03:00:00,14.44,14.47,14.41,14.46
2022-01-06 04:00:00,14.49,15.24,14.48,14.51
2022-01-06 05:00:00,14.51,14.96,14.44,14.57
2022-01-06 06:00:00,14.59,14.79,14.46,14.48
2022-01-06 07:00:00,14.53,14.53,14.2,14.44
2022-01-06 08:00:00,14.46,14.59,14.35,14.49
2022-01-06 09:00:00,14.5,14.5,14.23,14.32
2022-01-06 10:00:00,14.32,14.42,14.32,14.39
2022-01-06 11:00:00,14.38,14.55,14.38,14.49
2022-01-06 12:00:00,14.49,14.55,14.42,14.45
2022-01-06 13:00:00,14.47,14.64,14.45,14.61
2022-01-06 14:00:00,14.65,14.67,14.56,14.56
2022-01-06 15:00:00,14.54,14.55,14.46,14.54
2022-01-06 16:00:00,14.56,14.62,14.54,14.55
2022-01-06 17:00:00,14.54,14.55,14.42,14.5
