datetime,PYRBUSD_open,PYRBUSD_high,PYRBUSD_low,PYRBUSD_close
2022-01-01 00:00:00,14.86,15.06,14.86,14.9
2022-01-01 01:00:00,14.93,14.99,14.83,14.86
2022-01-01 02:00:00,14.86,15.04,14.79,14.99
2022-01-01 03:00:00,14.98,15.03,14.85,14.85
2022-01-01 04:00:00,14.85,15.07,14.85,15.02
2022-01-01 05:00:00,15.05,15.1,14.87,14.88
2022-01-01 06:00:00,14.92,14.97,14.71,14.85
2022-01-01 07:00:00,14.86,14.97,14.76,14.81
2022-01-01 08:00:00,14.84,14.93,14.75,14.8
2022-01-01 09:00:00,14.8,14.88,14.71,14.74
2022-01-01 10:00:00,14.76,14.86,14.72,14.81
2022-01-01 11:00:00,14.82,14.87,14.7,14.76
2022-01-01 12:00:00,14.76,15.03,14.6,15.03
2022-01-01 13:00:00,15.03,15.05,14.83,14.94
2022-01-01 14:00:00,14.96,16.0,14.93,15.5
2022-01-01 15:00:00,15.49,15.59,15.31,15.44
2022-01-01 16:00:00,15.43,15.43,15.15,15.36
2022-01-01 17:00:00,15.37,15.53,15.32,15.44
2022-01-01 18:00:00,15.44,15.44,15.24,15.39
2022-01-01 19:00:00,15.41,15.47,15.31,15.37
2022-01-01 20:00:00,15.32,15.34,15.23,15.3
2022-01-01 21:00:00,15.27,15.37,15.19,15.24
2022-01-01 22:00:00,15.23,15.33,15.16,15.27
2022-01-01 23:00:00,15.28,15.48,15.22,15.28
2022-01-02 00:00:00,15.28,15.33,15.17,15.2
2022-01-02 01:00:00,15.21,15.26,15.16,15.21
2022-01-02 02:00:00,15.21,15.28,15.18,15.25
2022-01-02 03:00:00,15.22,15.33,15.2,15.29
2022-01-02 04:00:00,15.28,15.56,15.23,15.44
2022-01-02 05:00:00,15.42,15.62,15.37,15.52
2022-01-02 06:00:00,15.54,15.64,15.49,15.5
2022-01-02 07:00:00,15.55,15.77,15.32,15.75
2022-01-02 08:00:00,15.77,16.18,15.75,15.79
2022-01-02 09:00:00,15.8,16.03,15.75,15.75
2022-01-02 10:00:00,15.75,16.0,15.69,15.95
2022-01-02 11:00:00,15.92,15.95,15.75,15.84
2022-01-02 12:00:00,15.84,16.31,15.75,16.0
2022-01-02 13:00:00,16.02,16.03,15.35,15.59
2022-01-02 14:00:00,15.58,15.92,15.58,15.8
2022-01-02 15:00:00,15.74,15.88,15.69,15.79
2022-01-02 16:00:00,15.8,15.91,15.77,15.8
2022-01-02 17:00:00,15.82,15.94,15.76,15.9
2022-01-02 18:00:00,15.9,16.08,15.89,16.01
2022-01-02 19:00:00,16.01,16.01,15.7,15.73
2022-01-02 20:00:00,15.69,15.7,15.52,15.54
2022-01-02 21:00:00,15.53,15.94,15.39,15.62
2022-01-02 22:00:00,15.66,15.71,15.49,15.5
2022-01-02 23:00:00,15.52,15.6,15.45,15.5
2022-01-03 00:00:00,15.54,15.75,15.5,15.75
2022-01-03 01:00:00,15.76,15.78,15.65,15.69
2022-01-03 02:00:00,15.69,15.75,15.52,15.56
2022-01-03 03:00:00,15.56,15.6,15.31,15.33
2022-01-03 04:00:00,15.35,15.43,15.19,15.36
2022-01-03 05:00:00,15.35,15.58,15.35,15.51
2022-01-03 06:00:00,15.53,15.66,15.49,15.53
2022-01-03 07:00:00,15.54,15.6,15.43,15.43
2022-01-03 08:00:00,15.46,15.58,15.37,15.44
2022-01-03 09:00:00,15.44,15.53,15.33,15.33
2022-01-03 10:00:00,15.33,15.44,15.12,15.18
2022-01-03 11:00:00,15.2,15.24,14.87,15.02
2022-01-03 12:00:00,15.03,15.24,15.0,15.16
2022-01-03 13:00:00,15.16,15.2,14.99,15.12
2022-01-03 14:00:00,15.11,15.24,15.07,15.07
2022-01-03 15:00:00,15.07,15.12,14.75,14.94
2022-01-03 16:00:00,14.93,15.08,14.75,14.81
2022-01-03 17:00:00,14.81,15.03,14.78,14.9
2022-01-03 18:00:00,14.94,15.05,14.77,14.89
2022-01-03 19:00:00,14.9,14.95,14.75,14.83
2022-01-03 20:00:00,14.77,14.82,14.61,14.64
2022-01-03 21:00:00,14.68,14.83,14.47,14.56
2022-01-03 22:00:00,14.58,14.79,14.55,14.74
2022-01-03 23:00:00,14.72,14.81,14.56,14.61
2022-01-04 00:00:00,14.58,14.69,14.53,14.6
2022-01-04 01:00:00,14.6,14.76,14.54,14.66
2022-01-04 02:00:00,14.68,14.85,14.61,14.73
2022-01-04 03:00:00,14.76,14.83,14.65,14.65
2022-01-04 04:00:00,14.71,14.75,14.63,14.63
2022-01-04 05:00:00,14.7,14.8,14.6,14.73
2022-01-04 06:00:00,14.71,14.93,14.69,14.86
2022-01-04 07:00:00,14.89,14.97,14.82,14.87
2022-01-04 08:00:00,14.84,14.89,14.72,14.76
2022-01-04 09:00:00,14.77,14.88,14.61,14.8
2022-01-04 10:00:00,14.86,15.3,14.84,15.07
2022-01-04 11:00:00,15.06,15.07,14.87,14.96
2022-01-04 12:00:00,14.95,15.45,14.92,14.98
2022-01-04 13:00:00,14.99,15.1,14.69,14.7
2022-01-04 14:00:00,14.7,14.86,14.6,14.63
2022-01-04 15:00:00,14.65,14.86,14.55,14.76
2022-01-04 16:00:00,14.72,14.94,14.61,14.79
2022-01-04 17:00:00,14.78,14.95,14.71,14.79
2022-01-04 18:00:00,14.8,14.84,14.41,14.41
2022-01-04 19:00:00,14.4,14.77,14.28,14.56
2022-01-04 20:00:00,14.56,14.71,14.28,14.35
2022-01-04 21:00:00,14.33,14.48,14.24,14.32
2022-01-04 22:00:00,14.33,14.57,14.28,14.42
2022-01-04 23:00:00,14.43,15.18,14.31,14.72
2022-01-05 00:00:00,14.74,14.99,14.45,14.53
2022-01-05 01:00:00,14.53,14.78,14.51,14.63
2022-01-05 02:00:00,14.64,14.65,14.43,14.52
2022-01-05 03:00:00,14.52,14.56,14.27,14.32
2022-01-05 04:00:00,14.34,14.47,14.13,14.28
2022-01-05 05:00:00,14.29,14.41,14.18,14.3
