datetime,QNTUSD_open,QNTUSD_high,QNTUSD_low,QNTUSD_close
2022-01-01 00:00:00,179.05,179.55,178.45,179.42
2022-01-01 01:00:00,179.42,179.94,179.08,179.62
2022-01-01 02:00:00,179.62,180.52,179.31,179.89
2022-01-01 03:00:00,179.9,180.45,175.29,175.52
2022-01-01 04:00:00,175.58,175.92,174.67,175.06
2022-01-01 05:00:00,174.87,178.26,174.67,176.97
2022-01-01 06:00:00,176.94,178.24,176.11,176.11
2022-01-01 07:00:00,176.13,178.18,175.46,177.71
2022-01-01 08:00:00,177.59,178.74,176.36,176.73
2022-01-01 09:00:00,176.52,177.17,175.86,176.26
2022-01-01 10:00:00,176.26,176.89,173.93,174.4
2022-01-01 11:00:00,174.41,174.41,172.4,173.24
2022-01-01 12:00:00,173.14,177.13,173.1,176.68
2022-01-01 13:00:00,176.66,177.13,173.24,173.95
2022-01-01 14:00:00,173.78,174.19,173.17,173.8
2022-01-01 15:00:00,173.81,175.2,172.31,172.77
2022-01-01 16:00:00,172.97,174.97,172.65,174.29
2022-01-01 17:00:00,174.34,178.03,174.27,175.34
2022-01-01 18:00:00,175.36,177.75,174.85,177.34
2022-01-01 19:00:00,177.48,178.01,176.0,177.27
2022-01-01 20:00:00,177.27,179.15,176.72,177.89
2022-01-01 21:00:00,177.64,178.0,176.62,177.28
2022-01-01 22:00:00,177.28,177.65,175.68,177.6
2022-01-01 23:00:00,177.39,180.05,176.95,179.87
2022-01-02 00:00:00,179.83,180.1,178.66,179.47
2022-01-02 01:00:00,179.28,179.52,177.77,178.68
2022-01-02 02:00:00,178.81,179.43,177.19,177.79
2022-01-02 03:00:00,177.79,178.35,177.02,177.76
2022-01-02 04:00:00,177.76,179.24,176.3,176.66
2022-01-02 05:00:00,176.72,177.92,176.72,177.38
2022-01-02 06:00:00,177.35,177.5,176.4,176.81
2022-01-02 07:00:00,176.76,179.5,176.63,177.41
2022-01-02 08:00:00,177.47,179.81,176.6,179.79
2022-01-02 09:00:00,179.79,180.61,177.42,177.56
2022-01-02 10:00:00,177.62,177.92,177.2,177.34
2022-01-02 11:00:00,177.33,180.05,177.29,179.24
2022-01-02 12:00:00,179.34,180.08,177.83,179.84
2022-01-02 13:00:00,179.84,179.91,177.03,178.02
2022-01-02 14:00:00,178.02,178.37,177.0,177.49
2022-01-02 15:00:00,177.41,182.15,177.03,181.7
2022-01-02 16:00:00,181.97,184.72,181.46,183.49
2022-01-02 17:00:00,183.58,185.25,181.67,183.5
2022-01-02 18:00:00,183.58,183.6,179.16,180.34
2022-01-02 19:00:00,180.22,182.19,179.7,182.0
2022-01-02 20:00:00,182.27,184.47,180.63,183.79
2022-01-02 21:00:00,183.79,186.91,183.27,186.07
2022-01-02 22:00:00,186.04,187.88,184.5,187.21
2022-01-02 23:00:00,187.51,188.14,187.01,187.1
2022-01-03 00:00:00,187.0,187.17,183.89,184.57
2022-01-03 01:00:00,184.35,184.77,181.93,184.06
2022-01-03 02:00:00,183.93,183.93,182.57,183.42
2022-01-03 03:00:00,183.68,186.66,183.04,183.28
2022-01-03 04:00:00,183.05,184.75,183.05,184.28
2022-01-03 05:00:00,184.38,186.73,183.99,186.05
2022-01-03 06:00:00,186.05,187.0,186.05,186.59
2022-01-03 07:00:00,186.59,187.73,186.47,187.45
2022-01-03 08:00:00,187.68,189.07,185.62,186.93
2022-01-03 09:00:00,186.93,187.3,184.38,185.33
2022-01-03 10:00:00,185.76,187.16,185.54,186.66
2022-01-03 11:00:00,186.75,189.74,186.75,189.04
2022-01-03 12:00:00,188.96,189.93,185.61,186.11
2022-01-03 13:00:00,186.27,187.83,185.93,187.74
2022-01-03 14:00:00,187.42,188.9,186.36,186.6
2022-01-03 15:00:00,186.61,188.84,186.19,188.56
2022-01-03 16:00:00,188.46,188.85,183.14,184.78
2022-01-03 17:00:00,184.78,186.49,182.13,182.13
2022-01-03 18:00:00,182.13,182.91,180.56,182.26
2022-01-03 19:00:00,182.5,183.21,179.74,179.74
