datetime,QTUMBUSD_open,QTUMBUSD_high,QTUMBUSD_low,QTUMBUSD_close
2022-01-01 00:00:00,8.792,8.919,8.787,8.835
2022-01-01 01:00:00,8.832,8.833,8.794,8.799
2022-01-01 02:00:00,8.799,8.854,8.778,8.831
2022-01-01 03:00:00,8.839,8.862,8.828,8.835
2022-01-01 04:00:00,8.84,8.859,8.772,8.784
2022-01-01 05:00:00,8.806,8.82,8.695,8.782
2022-01-01 06:00:00,8.765,8.79,8.744,8.744
2022-01-01 07:00:00,8.741,8.816,8.741,8.816
2022-01-01 08:00:00,8.817,8.825,8.789,8.807
2022-01-01 09:00:00,8.817,8.817,8.771,8.789
2022-01-01 10:00:00,8.791,8.862,8.791,8.818
2022-01-01 11:00:00,8.833,8.878,8.831,8.84
2022-01-01 12:00:00,8.843,8.928,8.843,8.918
2022-01-01 13:00:00,8.928,8.931,8.864,8.895
2022-01-01 14:00:00,8.906,8.911,8.864,8.905
2022-01-01 15:00:00,8.904,8.947,8.89,8.89
2022-01-01 16:00:00,8.922,8.948,8.876,8.876
2022-01-01 17:00:00,8.89,8.908,8.872,8.9
2022-01-01 18:00:00,8.887,8.963,8.887,8.962
2022-01-01 19:00:00,8.963,8.971,8.909,8.961
2022-01-01 20:00:00,8.934,8.934,8.894,8.921
2022-01-01 21:00:00,8.915,8.949,8.915,8.946
2022-01-01 22:00:00,8.948,8.989,8.943,8.962
2022-01-01 23:00:00,8.956,8.982,8.831,8.862
2022-01-02 00:00:00,8.866,8.9,8.861,8.9
2022-01-02 01:00:00,8.889,8.911,8.889,8.901
2022-01-02 02:00:00,8.898,8.93,8.893,8.93
2022-01-02 03:00:00,8.927,9.121,8.878,9.084
2022-01-02 04:00:00,9.091,9.113,9.03,9.093
2022-01-02 05:00:00,9.095,9.136,9.084,9.11
2022-01-02 06:00:00,9.114,9.207,9.114,9.201
2022-01-02 07:00:00,9.193,9.242,9.133,9.242
2022-01-02 08:00:00,9.243,9.279,9.14,9.166
2022-01-02 09:00:00,9.178,9.254,9.178,9.228
2022-01-02 10:00:00,9.232,9.299,9.227,9.255
2022-01-02 11:00:00,9.275,9.347,9.268,9.332
2022-01-02 12:00:00,9.336,9.352,9.265,9.282
2022-01-02 13:00:00,9.279,9.287,9.141,9.214
2022-01-02 14:00:00,9.221,9.265,9.179,9.219
2022-01-02 15:00:00,9.2,9.206,9.19,9.203
2022-01-02 16:00:00,9.2,9.216,9.174,9.176
2022-01-02 17:00:00,9.176,9.219,9.161,9.219
2022-01-02 18:00:00,9.221,9.242,9.214,9.237
2022-01-02 19:00:00,9.226,9.226,9.146,9.146
2022-01-02 20:00:00,9.16,9.252,9.16,9.247
2022-01-02 21:00:00,9.253,10.171,9.189,10.094
2022-01-02 22:00:00,10.09,10.126,9.695,9.724
2022-01-02 23:00:00,9.728,9.775,9.288,9.369
2022-01-03 00:00:00,9.364,9.432,9.175,9.36
2022-01-03 01:00:00,9.357,9.357,9.3,9.315
2022-01-03 02:00:00,9.304,9.375,9.283,9.375
2022-01-03 03:00:00,9.375,9.409,9.255,9.35
2022-01-03 04:00:00,9.356,9.392,9.276,9.322
2022-01-03 05:00:00,9.336,9.4,9.336,9.377
2022-01-03 06:00:00,9.38,9.494,9.38,9.413
2022-01-03 07:00:00,9.438,9.439,9.35,9.363
2022-01-03 08:00:00,9.364,9.44,9.364,9.391
2022-01-03 09:00:00,9.403,9.454,9.326,9.326
2022-01-03 10:00:00,9.347,9.412,9.303,9.307
2022-01-03 11:00:00,9.316,9.351,9.048,9.143
2022-01-03 12:00:00,9.151,9.236,9.14,9.203
2022-01-03 13:00:00,9.193,9.293,9.189,9.225
2022-01-03 14:00:00,9.225,9.264,9.193,9.205
2022-01-03 15:00:00,9.203,9.209,9.03,9.074
2022-01-03 16:00:00,9.089,9.118,9.035,9.071
2022-01-03 17:00:00,9.068,9.166,9.065,9.139
2022-01-03 18:00:00,9.147,9.226,9.147,9.169
2022-01-03 19:00:00,9.17,9.199,9.056,9.088
2022-01-03 20:00:00,9.082,9.122,9.013,9.027
2022-01-03 21:00:00,9.032,9.066,8.92,8.993
2022-01-03 22:00:00,8.99,9.114,8.954,9.089
2022-01-03 23:00:00,9.079,9.129,9.029,9.031
2022-01-04 00:00:00,9.025,9.102,9.025,9.084
2022-01-04 01:00:00,9.086,9.103,9.052,9.097
2022-01-04 02:00:00,9.106,9.141,9.065,9.138
2022-01-04 03:00:00,9.144,9.187,9.111,9.132
2022-01-04 04:00:00,9.124,9.154,9.077,9.107
2022-01-04 05:00:00,9.11,9.201,9.091,9.187
2022-01-04 06:00:00,9.202,9.228,9.177,9.22
2022-01-04 07:00:00,9.207,9.207,9.122,9.169
2022-01-04 08:00:00,9.171,9.26,9.117,9.244
2022-01-04 09:00:00,9.254,9.306,9.207,9.306
2022-01-04 10:00:00,9.29,9.309,9.223,9.241
2022-01-04 11:00:00,9.238,9.302,9.212,9.275
2022-01-04 12:00:00,9.272,9.317,9.232,9.232
2022-01-04 13:00:00,9.255,9.292,9.03,9.071
2022-01-04 14:00:00,9.051,9.165,9.022,9.089
2022-01-04 15:00:00,9.106,9.202,9.106,9.177
2022-01-04 16:00:00,9.158,9.18,9.13,9.172
2022-01-04 17:00:00,9.153,9.153,9.067,9.082
2022-01-04 18:00:00,9.083,9.086,8.989,9.009
2022-01-04 19:00:00,9.001,9.129,8.96,9.128
2022-01-04 20:00:00,9.128,9.169,9.112,9.153
2022-01-04 21:00:00,9.153,9.18,9.144,9.17
2022-01-04 22:00:00,9.184,9.235,9.184,9.222
2022-01-04 23:00:00,9.207,9.222,9.162,9.207
2022-01-05 00:00:00,9.186,9.201,9.151,9.195
2022-01-05 01:00:00,9.191,9.221,9.162,9.221
2022-01-05 02:00:00,9.221,9.234,9.194,9.228
2022-01-05 03:00:00,9.234,9.24,9.173,9.217
2022-01-05 04:00:00,9.221,9.252,9.2,9.237
2022-01-05 05:00:00,9.238,9.277,9.183,9.183
2022-01-05 06:00:00,9.194,9.194,9.076,9.091
2022-01-05 07:00:00,9.11,9.138,9.021,9.104
2022-01-05 08:00:00,9.102,9.137,9.071,9.132
2022-01-05 09:00:00,9.134,9.225,9.129,9.196
2022-01-05 10:00:00,9.213,9.234,9.17,9.221
2022-01-05 11:00:00,9.219,9.22,9.144,9.152
2022-01-05 12:00:00,9.166,9.186,9.04,9.04
2022-01-05 13:00:00,9.04,9.101,8.952,9.008
2022-01-05 14:00:00,9.02,9.041,8.642,8.647
2022-01-05 15:00:00,8.647,8.706,8.408,8.462
2022-01-05 16:00:00,8.477,8.544,8.292,8.315
2022-01-05 17:00:00,8.31,8.355,7.901,8.229
2022-01-05 18:00:00,8.224,8.326,8.188,8.227
2022-01-05 19:00:00,8.224,8.337,8.194,8.29
2022-01-05 20:00:00,8.301,8.304,8.108,8.182
2022-01-05 21:00:00,8.151,8.237,8.119,8.129
2022-01-05 22:00:00,8.125,8.2,8.072,8.072
2022-01-05 23:00:00,8.091,8.2,8.075,8.2
2022-01-06 00:00:00,8.191,8.259,8.134,8.217
2022-01-06 01:00:00,8.184,8.246,8.129,8.18
2022-01-06 02:00:00,8.159,8.25,8.141,8.25
2022-01-06 03:00:00,8.244,8.244,8.056,8.157
2022-01-06 04:00:00,8.159,8.161,8.001,8.014
2022-01-06 05:00:00,8.045,8.157,8.045,8.108
2022-01-06 06:00:00,8.14,8.145,8.042,8.105
2022-01-06 07:00:00,8.112,8.134,8.018,8.134
2022-01-06 08:00:00,8.14,8.21,8.112,8.205
2022-01-06 09:00:00,8.206,8.237,8.117,8.124
2022-01-06 10:00:00,8.153,8.233,8.084,8.233
2022-01-06 11:00:00,8.237,8.267,8.16,8.217
2022-01-06 12:00:00,8.237,8.281,8.214,8.236
2022-01-06 13:00:00,8.269,8.323,8.237,8.294
2022-01-06 14:00:00,8.296,8.347,8.269,8.297
2022-01-06 15:00:00,8.316,8.337,8.234,8.275
2022-01-06 16:00:00,8.297,8.424,8.297,8.357
2022-01-06 17:00:00,8.356,8.406,8.352,8.385
2022-01-06 18:00:00,8.371,8.38,8.31,8.366
2022-01-06 19:00:00,8.366,8.369,8.23,8.267
2022-01-06 20:00:00,8.297,8.515,8.271,8.425
2022-01-06 21:00:00,8.403,8.403,8.276,8.281
2022-01-06 22:00:00,8.277,8.284,7.913,7.998
2022-01-06 23:00:00,7.972,8.034,7.705,7.926
2022-01-07 00:00:00,7.932,8.0,7.88,7.967
2022-01-07 01:00:00,7.964,7.964,7.797,7.819
2022-01-07 02:00:00,7.842,7.926,7.764,7.912
2022-01-07 03:00:00,7.88,8.098,7.88,7.983
2022-01-07 04:00:00,7.995,8.081,7.995,8.045
2022-01-07 05:00:00,8.045,8.079,7.972,7.989
2022-01-07 06:00:00,7.986,8.056,7.982,7.99
2022-01-07 07:00:00,8.0,8.073,8.0,8.005
2022-01-07 08:00:00,8.005,8.097,7.754,7.839
2022-01-07 09:00:00,7.859,7.984,7.828,7.95
2022-01-07 10:00:00,7.942,7.942,7.682,7.825
2022-01-07 11:00:00,7.848,8.057,7.741,8.05
2022-01-07 12:00:00,8.025,8.028,7.912,7.952
2022-01-07 13:00:00,7.98,7.98,7.828,7.868
2022-01-07 14:00:00,7.874,7.942,7.83,7.936
2022-01-07 15:00:00,7.941,7.957,7.84,7.902
2022-01-07 16:00:00,7.915,7.945,7.898,7.911
2022-01-07 17:00:00,7.905,7.905,7.797,7.829
2022-01-07 18:00:00,7.824,7.905,7.8,7.88
2022-01-07 19:00:00,7.884,8.081,7.853,8.037
2022-01-07 20:00:00,8.034,8.095,8.012,8.017
2022-01-07 21:00:00,8.008,8.01,7.915,7.972
2022-01-07 22:00:00,7.978,8.024,7.874,7.983
2022-01-07 23:00:00,7.988,8.019,7.957,8.019
2022-01-08 00:00:00,7.991,8.003,7.969,8.003
2022-01-08 01:00:00,8.003,8.019,7.936,8.019
2022-01-08 02:00:00,8.023,8.034,7.983,7.985
2022-01-08 03:00:00,8.014,8.061,7.993,8.012
2022-01-08 04:00:00,8.018,8.02,7.988,8.019
2022-01-08 05:00:00,8.029,8.048,7.934,7.95
2022-01-08 06:00:00,7.938,7.957,7.912,7.957
2022-01-08 07:00:00,7.959,7.983,7.914,7.931
2022-01-08 08:00:00,7.926,7.96,7.869,7.918
2022-01-08 09:00:00,7.915,7.951,7.849,7.849
2022-01-08 10:00:00,7.843,7.856,7.761,7.797
2022-01-08 11:00:00,7.789,7.84,7.671,7.673
2022-01-08 12:00:00,7.679,7.695,7.485,7.485
2022-01-08 13:00:00,7.52,7.602,7.39,7.395
2022-01-08 14:00:00,7.423,7.517,7.385,7.476
2022-01-08 15:00:00,7.487,7.525,7.418,7.44
2022-01-08 16:00:00,7.445,7.618,7.445,7.588
2022-01-08 17:00:00,7.599,7.713,7.599,7.661
2022-01-08 18:00:00,7.666,7.666,7.588,7.593
2022-01-08 19:00:00,7.589,7.666,7.538,7.666
2022-01-08 20:00:00,7.668,7.679,7.6,7.64
2022-01-08 21:00:00,7.634,7.713,7.633,7.713
2022-01-08 22:00:00,7.683,7.683,7.629,7.629
2022-01-08 23:00:00,7.655,7.725,7.652,7.725
2022-01-09 00:00:00,7.728,7.728,7.656,7.663
2022-01-09 01:00:00,7.673,7.728,7.666,7.697
2022-01-09 02:00:00,7.694,7.7,7.683,7.694
2022-01-09 03:00:00,7.689,7.725,7.644,7.668
2022-01-09 04:00:00,7.673,7.676,7.586,7.586
2022-01-09 05:00:00,7.618,7.679,7.58,7.67
2022-01-09 06:00:00,7.672,7.742,7.672,7.706
2022-01-09 07:00:00,7.736,7.736,7.665,7.678
2022-01-09 08:00:00,7.676,7.721,7.608,7.608
2022-01-09 09:00:00,7.626,7.692,7.616,7.646
2022-01-09 10:00:00,7.642,7.644,7.553,7.631
2022-01-09 11:00:00,7.638,7.76,7.618,7.76
2022-01-09 12:00:00,7.765,7.773,7.713,7.743
2022-01-09 13:00:00,7.748,7.76,7.703,7.705
2022-01-09 14:00:00,7.725,7.82,7.725,7.804
2022-01-09 15:00:00,7.812,7.812,7.754,7.761
2022-01-09 16:00:00,7.751,7.775,7.708,7.732
2022-01-09 17:00:00,7.745,7.76,7.691,7.691
2022-01-09 18:00:00,7.72,7.72,7.629,7.647
2022-01-09 19:00:00,7.662,7.721,7.629,7.647
2022-01-09 20:00:00,7.646,7.698,7.627,7.698
2022-01-09 21:00:00,7.706,7.706,7.637,7.694
2022-01-09 22:00:00,7.693,7.713,7.676,7.713
2022-01-09 23:00:00,7.718,7.766,7.694,7.763
2022-01-10 00:00:00,7.767,7.773,7.728,7.745
2022-01-10 01:00:00,7.749,7.753,7.71,7.718
2022-01-10 02:00:00,7.738,7.753,7.703,7.743
2022-01-10 03:00:00,7.751,7.758,7.653,7.673
2022-01-10 04:00:00,7.679,7.684,7.64,7.64
2022-01-10 05:00:00,7.638,7.693,7.522,7.522
2022-01-10 06:00:00,7.523,7.531,7.424,7.441
2022-01-10 07:00:00,7.435,7.468,7.243,7.243
2022-01-10 08:00:00,7.254,7.309,7.191,7.2
2022-01-10 09:00:00,7.193,7.206,6.867,7.109
2022-01-10 10:00:00,7.123,7.123,6.98,7.074
2022-01-10 11:00:00,7.055,7.269,7.046,7.269
2022-01-10 12:00:00,7.274,7.289,6.99,7.075
2022-01-10 13:00:00,7.083,7.177,7.065,7.147
2022-01-10 14:00:00,7.135,7.166,7.075,7.12
2022-01-10 15:00:00,7.102,7.219,7.06,7.219
