datetime,QUICKUSD_open,QUICKUSD_high,QUICKUSD_low,QUICKUSD_close
2022-01-01 00:00:00,321.12,329.0,319.03,324.84
2022-01-01 01:00:00,324.92,326.0,317.44,325.23
2022-01-01 02:00:00,325.88,349.0,320.61,323.61
2022-01-01 03:00:00,322.49,324.41,317.93,321.05
2022-01-01 04:00:00,321.06,326.08,321.05,324.57
2022-01-01 05:00:00,323.95,327.5,321.13,324.66
2022-01-01 06:00:00,324.66,327.58,320.86,320.86
2022-01-01 07:00:00,320.99,321.14,318.47,320.73
2022-01-01 08:00:00,320.72,321.65,317.99,318.99
2022-01-01 09:00:00,318.5,334.0,317.43,327.93
2022-01-01 10:00:00,327.98,329.88,320.71,327.54
2022-01-01 11:00:00,327.75,390.89,326.6,386.96
2022-01-01 12:00:00,385.52,440.0,356.8,431.27
2022-01-01 13:00:00,427.51,427.51,362.0,365.99
2022-01-01 14:00:00,365.99,392.0,359.85,377.15
2022-01-01 15:00:00,377.16,398.0,366.02,366.58
2022-01-01 16:00:00,368.32,379.8,361.6,363.42
2022-01-01 17:00:00,361.61,381.49,361.6,381.0
2022-01-01 18:00:00,381.49,382.0,352.0,352.48
2022-01-01 19:00:00,352.48,375.82,352.11,371.31
2022-01-01 20:00:00,370.74,372.19,352.84,357.55
2022-01-01 21:00:00,357.51,364.79,345.0,347.03
2022-01-01 22:00:00,348.11,352.24,339.53,340.14
2022-01-01 23:00:00,341.04,344.09,338.03,343.55
2022-01-02 00:00:00,344.09,346.8,340.8,340.81
2022-01-02 01:00:00,341.0,344.74,339.24,339.26
2022-01-02 02:00:00,339.64,339.64,335.3,336.0
2022-01-02 03:00:00,336.01,355.06,334.32,338.99
2022-01-02 04:00:00,338.98,342.42,337.0,338.46
2022-01-02 05:00:00,338.91,359.7,338.91,347.86
2022-01-02 06:00:00,349.66,357.92,344.46,344.56
2022-01-02 07:00:00,344.57,345.21,339.66,341.98
2022-01-02 08:00:00,342.24,344.55,336.11,340.18
2022-01-02 09:00:00,339.6,350.64,333.99,348.11
2022-01-02 10:00:00,350.34,360.34,340.65,341.82
2022-01-02 11:00:00,343.51,343.51,335.0,336.6
2022-01-02 12:00:00,336.6,355.2,336.6,339.11
2022-01-02 13:00:00,339.11,347.85,336.75,338.91
2022-01-02 14:00:00,338.91,346.79,336.91,339.33
2022-01-02 15:00:00,339.33,340.77,336.75,338.1
2022-01-02 16:00:00,338.1,341.39,336.76,339.01
2022-01-02 17:00:00,339.01,343.1,338.02,338.02
2022-01-02 18:00:00,338.02,347.99,338.0,345.06
2022-01-02 19:00:00,345.06,346.07,338.0,341.62
2022-01-02 20:00:00,340.52,341.99,333.92,339.21
2022-01-02 21:00:00,337.6,342.17,337.6,340.21
2022-01-02 22:00:00,339.8,341.99,335.4,335.46
2022-01-02 23:00:00,336.25,339.96,335.49,336.95
2022-01-03 00:00:00,336.9,337.65,325.0,325.0
2022-01-03 01:00:00,325.1,334.11,324.06,333.67
2022-01-03 02:00:00,333.58,333.67,324.96,329.11
2022-01-03 03:00:00,328.2,330.53,323.0,324.23
2022-01-03 04:00:00,324.51,326.01,322.5,325.26
2022-01-03 05:00:00,324.53,332.17,324.22,329.85
2022-01-03 06:00:00,329.98,332.12,325.3,325.31
2022-01-03 07:00:00,325.52,325.52,322.76,323.41
2022-01-03 08:00:00,323.89,328.8,323.16,325.91
2022-01-03 09:00:00,325.91,332.58,325.66,329.71
2022-01-03 10:00:00,328.34,329.71,323.27,324.79
2022-01-03 11:00:00,324.97,330.39,324.51,329.12
2022-01-03 12:00:00,328.61,329.99,327.41,329.99
2022-01-03 13:00:00,329.06,329.99,327.48,328.1
2022-01-03 14:00:00,328.1,329.68,327.4,328.55
2022-01-03 15:00:00,328.07,329.68,325.61,325.65
2022-01-03 16:00:00,325.61,326.93,315.0,315.18
2022-01-03 17:00:00,315.33,324.43,312.56,321.75
2022-01-03 18:00:00,321.4,328.9,319.0,325.01
2022-01-03 19:00:00,325.01,325.89,317.92,318.1
2022-01-03 20:00:00,318.11,318.28,312.75,315.74
2022-01-03 21:00:00,315.75,322.01,311.1,321.01
2022-01-03 22:00:00,319.32,321.34,315.0,316.28
2022-01-03 23:00:00,316.42,318.08,315.46,315.51
2022-01-04 00:00:00,315.51,317.43,312.5,314.41
2022-01-04 01:00:00,314.4,319.58,313.8,316.97
2022-01-04 02:00:00,316.97,317.96,311.05,313.14
2022-01-04 03:00:00,312.84,315.71,311.8,312.13
2022-01-04 04:00:00,311.77,313.13,310.0,310.04
2022-01-04 05:00:00,311.34,311.5,307.81,307.97
2022-01-04 06:00:00,308.59,311.0,307.43,310.51
2022-01-04 07:00:00,310.51,311.0,308.89,309.73
2022-01-04 08:00:00,309.96,310.95,308.79,310.38
2022-01-04 09:00:00,310.29,312.0,309.76,310.8
2022-01-04 10:00:00,310.77,314.59,310.77,313.62
2022-01-04 11:00:00,313.62,324.87,313.61,320.31
2022-01-04 12:00:00,319.7,320.28,311.85,313.47
2022-01-04 13:00:00,313.72,314.98,311.68,314.85
2022-01-04 14:00:00,314.28,316.57,313.48,315.72
2022-01-04 15:00:00,315.72,321.9,313.75,316.41
2022-01-04 16:00:00,316.74,316.74,314.08,314.94
2022-01-04 17:00:00,314.07,314.96,314.05,314.21
2022-01-04 18:00:00,314.2,317.3,310.04,310.07
2022-01-04 19:00:00,310.07,316.39,307.41,307.44
2022-01-04 20:00:00,309.0,312.15,306.8,307.4
2022-01-04 21:00:00,307.4,308.32,303.65,307.56
2022-01-04 22:00:00,307.4,310.24,306.21,307.0
2022-01-04 23:00:00,307.5,308.09,305.49,306.03
2022-01-05 00:00:00,306.01,306.01,301.71,303.1
2022-01-05 01:00:00,303.0,310.0,302.0,306.56
2022-01-05 02:00:00,306.31,328.44,305.3,325.79
2022-01-05 03:00:00,326.91,327.12,315.25,317.22
2022-01-05 04:00:00,316.41,317.65,313.89,314.18
2022-01-05 05:00:00,314.14,319.01,314.14,317.15
2022-01-05 06:00:00,317.06,318.17,313.28,313.55
2022-01-05 07:00:00,313.54,313.93,311.0,311.92
2022-01-05 08:00:00,311.42,316.63,311.12,314.52
2022-01-05 09:00:00,314.35,317.46,313.0,316.34
2022-01-05 10:00:00,317.0,317.38,311.23,312.52
2022-01-05 11:00:00,312.1,312.67,310.66,311.69
2022-01-05 12:00:00,311.86,312.02,310.0,310.85
2022-01-05 13:00:00,311.47,312.77,309.98,311.43
2022-01-05 14:00:00,312.26,313.2,310.19,312.3
2022-01-05 15:00:00,313.2,314.79,311.06,313.09
2022-01-05 16:00:00,314.23,314.44,311.0,311.48
2022-01-05 17:00:00,311.15,311.89,307.35,307.35
2022-01-05 18:00:00,307.31,309.66,302.89,307.44
2022-01-05 19:00:00,307.86,308.48,293.56,293.81
2022-01-05 20:00:00,293.54,295.85,284.14,285.47
2022-01-05 21:00:00,285.82,300.52,285.69,289.7
2022-01-05 22:00:00,289.0,289.24,274.06,280.4
2022-01-05 23:00:00,280.89,287.89,280.1,285.62
2022-01-06 00:00:00,285.75,288.72,285.51,287.0
2022-01-06 01:00:00,287.05,288.54,277.99,278.91
2022-01-06 02:00:00,278.98,280.12,275.96,278.84
2022-01-06 03:00:00,278.82,283.84,274.06,274.3
2022-01-06 04:00:00,274.72,288.43,273.93,282.62
2022-01-06 05:00:00,282.42,283.0,280.4,282.27
2022-01-06 06:00:00,281.81,290.0,281.81,289.68
2022-01-06 07:00:00,289.22,294.0,289.22,293.11
2022-01-06 08:00:00,293.34,300.81,293.11,300.6
2022-01-06 09:00:00,300.6,308.91,291.99,291.99
2022-01-06 10:00:00,291.97,298.46,291.93,294.65
2022-01-06 11:00:00,295.53,312.09,294.31,308.0
2022-01-06 12:00:00,308.36,308.38,300.08,305.48
2022-01-06 13:00:00,303.99,304.3,299.75,303.1
2022-01-06 14:00:00,303.32,303.79,298.27,298.91
2022-01-06 15:00:00,298.91,301.61,297.08,299.58
2022-01-06 16:00:00,299.55,300.14,296.65,298.8
2022-01-06 17:00:00,298.29,301.07,297.65,298.86
