datetime,RADBUSD_open,RADBUSD_high,RADBUSD_low,RADBUSD_close
2022-01-01 00:00:00,10.774,10.827,10.761,10.817
2022-01-01 01:00:00,10.807,10.807,10.755,10.791
2022-01-01 02:00:00,10.789,10.834,10.789,10.834
2022-01-01 03:00:00,10.834,10.834,10.799,10.799
2022-01-01 04:00:00,10.827,10.827,10.764,10.767
2022-01-01 05:00:00,10.767,10.767,10.667,10.667
2022-01-01 06:00:00,10.667,10.682,10.589,10.589
2022-01-01 07:00:00,10.589,10.656,10.589,10.623
2022-01-01 08:00:00,10.654,10.654,10.623,10.623
2022-01-01 09:00:00,10.623,10.663,10.607,10.637
2022-01-01 10:00:00,10.601,10.717,10.527,10.614
2022-01-01 11:00:00,10.614,10.654,10.603,10.603
2022-01-01 12:00:00,10.634,10.638,10.62,10.623
2022-01-01 13:00:00,10.636,10.661,10.625,10.661
2022-01-01 14:00:00,10.645,10.662,10.62,10.62
2022-01-01 15:00:00,10.62,10.64,10.61,10.634
2022-01-01 16:00:00,10.631,10.655,10.62,10.64
2022-01-01 17:00:00,10.652,10.756,10.64,10.756
2022-01-01 18:00:00,10.756,11.184,10.756,11.039
2022-01-01 19:00:00,11.018,11.517,10.965,11.466
2022-01-01 20:00:00,11.466,11.5,11.101,11.28
2022-01-01 21:00:00,11.28,11.487,11.082,11.376
2022-01-01 22:00:00,11.344,11.513,11.254,11.254
2022-01-01 23:00:00,11.286,11.507,11.196,11.345
2022-01-02 00:00:00,11.363,11.456,11.363,11.392
2022-01-02 01:00:00,11.44,11.473,11.213,11.254
2022-01-02 02:00:00,11.254,11.283,11.254,11.27
2022-01-02 03:00:00,11.304,11.304,11.156,11.185
2022-01-02 04:00:00,11.214,11.28,11.185,11.185
2022-01-02 05:00:00,11.205,11.344,11.179,11.249
2022-01-02 06:00:00,11.259,11.36,11.259,11.298
2022-01-02 07:00:00,11.268,11.28,11.231,11.231
2022-01-02 08:00:00,11.274,11.274,11.23,11.25
2022-01-02 09:00:00,11.213,11.213,11.088,11.16
