datetime,RADUSD_open,RADUSD_high,RADUSD_low,RADUSD_close
2022-01-01 00:00:00,10.88,10.94,10.88,10.93
2022-01-01 01:00:00,10.93,10.94,10.9,10.91
2022-01-01 02:00:00,10.91,10.93,10.88,10.88
2022-01-01 03:00:00,10.88,10.91,10.76,10.8
2022-01-01 04:00:00,10.8,10.8,10.77,10.78
2022-01-01 05:00:00,10.8,10.84,10.76,10.81
2022-01-01 06:00:00,10.81,10.81,10.77,10.81
2022-01-01 07:00:00,10.81,10.81,10.8,10.81
2022-01-01 08:00:00,10.83,10.84,10.8,10.8
2022-01-01 09:00:00,10.82,10.82,10.75,10.76
2022-01-01 10:00:00,10.76,10.76,10.66,10.68
2022-01-01 11:00:00,10.67,10.68,10.57,10.6
2022-01-01 12:00:00,10.6,10.66,10.59,10.65
2022-01-01 13:00:00,10.64,10.64,10.6,10.62
2022-01-01 14:00:00,10.63,10.66,10.59,10.61
2022-01-01 15:00:00,10.62,10.69,10.54,10.63
2022-01-01 16:00:00,10.63,10.66,10.6,10.63
2022-01-01 17:00:00,10.61,10.66,10.6,10.62
2022-01-01 18:00:00,10.63,10.68,10.63,10.68
2022-01-01 19:00:00,10.65,10.66,10.61,10.64
2022-01-01 20:00:00,10.62,10.65,10.61,10.65
2022-01-01 21:00:00,10.65,10.65,10.61,10.64
2022-01-01 22:00:00,10.64,10.8,10.62,10.8
2022-01-01 23:00:00,10.78,11.2,10.78,11.01
2022-01-02 00:00:00,11.05,11.5,10.94,11.48
2022-01-02 01:00:00,11.48,11.5,11.09,11.23
2022-01-02 02:00:00,11.24,11.49,11.05,11.32
2022-01-02 03:00:00,11.32,11.49,11.26,11.29
2022-01-02 04:00:00,11.3,11.5,11.16,11.36
2022-01-02 05:00:00,11.36,11.45,11.33,11.39
2022-01-02 06:00:00,11.43,11.45,11.19,11.24
2022-01-02 07:00:00,11.24,11.29,11.23,11.27
2022-01-02 08:00:00,11.28,11.29,11.16,11.19
2022-01-02 09:00:00,11.2,11.29,11.17,11.2
2022-01-02 10:00:00,11.19,11.33,11.18,11.3
2022-01-02 11:00:00,11.32,11.36,11.28,11.29
2022-01-02 12:00:00,11.26,11.29,11.25,11.26
2022-01-02 13:00:00,11.24,11.27,11.21,11.21
2022-01-02 14:00:00,11.21,11.24,11.08,11.13
2022-01-02 15:00:00,11.15,11.15,11.08,11.15
2022-01-02 16:00:00,11.15,11.15,11.04,11.09
2022-01-02 17:00:00,11.09,11.32,11.02,11.18
2022-01-02 18:00:00,11.18,11.21,11.14,11.16
2022-01-02 19:00:00,11.14,11.23,11.12,11.23
2022-01-02 20:00:00,11.23,11.31,11.21,11.3
2022-01-02 21:00:00,11.28,11.28,11.18,11.22
2022-01-02 22:00:00,11.22,11.23,11.15,11.2
2022-01-02 23:00:00,11.18,11.19,11.14,11.15
2022-01-03 00:00:00,11.14,11.17,11.0,11.02
2022-01-03 01:00:00,11.0,11.06,10.96,11.04
2022-01-03 02:00:00,11.04,11.04,10.95,10.95
2022-01-03 03:00:00,10.97,10.97,10.95,10.95
2022-01-03 04:00:00,10.95,10.99,10.95,10.97
2022-01-03 05:00:00,10.97,11.04,10.95,11.04
2022-01-03 06:00:00,11.03,11.04,11.01,11.01
2022-01-03 07:00:00,11.03,11.06,11.0,11.06
2022-01-03 08:00:00,11.04,11.06,11.0,11.01
2022-01-03 09:00:00,11.0,11.01,10.95,11.01
2022-01-03 10:00:00,11.0,11.02,10.98,11.01
2022-01-03 11:00:00,11.01,11.26,10.95,11.23
2022-01-03 12:00:00,11.26,11.38,11.25,11.37
2022-01-03 13:00:00,11.37,11.46,11.36,11.42
2022-01-03 14:00:00,11.42,11.45,11.32,11.34
2022-01-03 15:00:00,11.33,11.49,11.21,11.45
2022-01-03 16:00:00,11.43,11.45,11.1,11.2
2022-01-03 17:00:00,11.2,11.28,11.18,11.23
2022-01-03 18:00:00,11.23,11.27,11.17,11.19
2022-01-03 19:00:00,11.24,11.25,11.19,11.19
2022-01-03 20:00:00,11.19,11.2,10.98,11.07
2022-01-03 21:00:00,11.05,11.12,11.01,11.09
2022-01-03 22:00:00,11.09,11.14,11.06,11.06
2022-01-03 23:00:00,11.07,11.3,11.07,11.28
2022-01-04 00:00:00,11.28,11.28,11.02,11.2
2022-01-04 01:00:00,11.19,11.19,11.01,11.03
2022-01-04 02:00:00,11.03,11.11,11.01,11.01
2022-01-04 03:00:00,11.0,11.07,11.0,11.07
2022-01-04 04:00:00,11.05,11.14,11.05,11.05
2022-01-04 05:00:00,11.05,11.06,11.01,11.05
2022-01-04 06:00:00,11.05,11.1,11.02,11.1
2022-01-04 07:00:00,11.07,11.11,11.05,11.11
2022-01-04 08:00:00,11.09,11.19,11.09,11.19
2022-01-04 09:00:00,11.19,11.19,11.16,11.19
