datetime,RAREBUSD_open,RAREBUSD_high,RAREBUSD_low,RAREBUSD_close
2022-01-01 00:00:00,0.948,0.96,0.948,0.958
2022-01-01 01:00:00,0.955,0.955,0.945,0.945
2022-01-01 02:00:00,0.948,0.955,0.943,0.952
2022-01-01 03:00:00,0.955,0.96,0.951,0.951
2022-01-01 04:00:00,0.951,0.955,0.943,0.952
2022-01-01 05:00:00,0.953,0.953,0.939,0.941
2022-01-01 06:00:00,0.944,0.951,0.943,0.946
2022-01-01 07:00:00,0.948,0.952,0.946,0.951
2022-01-01 08:00:00,0.951,0.977,0.95,0.961
2022-01-01 09:00:00,0.962,0.971,0.956,0.956
2022-01-01 10:00:00,0.957,0.963,0.956,0.961
2022-01-01 11:00:00,0.96,0.964,0.954,0.96
2022-01-01 12:00:00,0.96,0.971,0.958,0.971
2022-01-01 13:00:00,0.971,0.975,0.956,0.964
2022-01-01 14:00:00,0.964,0.964,0.961,0.962
2022-01-01 15:00:00,0.964,0.967,0.963,0.967
2022-01-01 16:00:00,0.966,0.967,0.962,0.966
2022-01-01 17:00:00,0.966,0.98,0.966,0.98
2022-01-01 18:00:00,0.98,0.992,0.97,0.987
2022-01-01 19:00:00,0.987,0.992,0.974,0.978
2022-01-01 20:00:00,0.98,0.996,0.974,0.992
2022-01-01 21:00:00,0.992,1.018,0.991,1.015
2022-01-01 22:00:00,1.016,1.025,0.998,0.998
2022-01-01 23:00:00,0.997,1.002,0.974,0.978
2022-01-02 00:00:00,0.979,0.989,0.979,0.989
2022-01-02 01:00:00,0.989,1.002,0.982,0.989
2022-01-02 02:00:00,0.99,0.99,0.973,0.976
2022-01-02 03:00:00,0.977,0.989,0.975,0.988
2022-01-02 04:00:00,0.984,1.023,0.982,1.008
2022-01-02 05:00:00,1.01,1.102,1.006,1.038
2022-01-02 06:00:00,1.038,1.066,1.023,1.026
2022-01-02 07:00:00,1.027,1.053,1.015,1.032
2022-01-02 08:00:00,1.031,1.032,1.01,1.016
2022-01-02 09:00:00,1.016,1.034,1.005,1.014
2022-01-02 10:00:00,1.014,1.014,0.989,0.989
2022-01-02 11:00:00,0.99,1.005,0.977,1.002
2022-01-02 12:00:00,1.0,1.005,0.992,1.0
2022-01-02 13:00:00,0.999,1.009,0.975,0.998
2022-01-02 14:00:00,0.998,1.001,0.981,0.988
2022-01-02 15:00:00,0.988,0.992,0.981,0.982
2022-01-02 16:00:00,0.985,1.011,0.981,1.009
2022-01-02 17:00:00,1.009,1.028,1.008,1.009
2022-01-02 18:00:00,1.01,1.029,1.008,1.015
2022-01-02 19:00:00,1.013,1.016,0.997,1.005
2022-01-02 20:00:00,1.004,1.009,0.993,0.996
2022-01-02 21:00:00,0.998,1.005,0.992,0.998
2022-01-02 22:00:00,0.999,1.009,0.988,0.992
2022-01-02 23:00:00,0.992,0.998,0.991,0.991
2022-01-03 00:00:00,0.991,1.013,0.99,1.009
2022-01-03 01:00:00,1.009,1.059,1.008,1.023
2022-01-03 02:00:00,1.024,1.043,1.018,1.023
2022-01-03 03:00:00,1.022,1.023,1.008,1.008
2022-01-03 04:00:00,1.008,1.015,1.006,1.011
2022-01-03 05:00:00,1.008,1.019,1.003,1.009
2022-01-03 06:00:00,1.012,1.021,1.01,1.016
2022-01-03 07:00:00,1.013,1.023,1.008,1.008
2022-01-03 08:00:00,1.008,1.016,1.003,1.009
2022-01-03 09:00:00,1.007,1.02,1.003,1.01
2022-01-03 10:00:00,1.01,1.025,1.001,1.003
2022-01-03 11:00:00,1.002,1.008,0.981,0.991
2022-01-03 12:00:00,0.992,0.995,0.981,0.993
2022-01-03 13:00:00,0.995,1.004,0.986,0.987
2022-01-03 14:00:00,0.988,0.995,0.985,0.99
2022-01-03 15:00:00,0.99,0.99,0.966,0.969
2022-01-03 16:00:00,0.969,0.978,0.958,0.966
2022-01-03 17:00:00,0.966,0.972,0.96,0.967
2022-01-03 18:00:00,0.963,0.981,0.963,0.978
2022-01-03 19:00:00,0.977,0.993,0.977,0.982
2022-01-03 20:00:00,0.981,0.981,0.96,0.961
2022-01-03 21:00:00,0.962,0.973,0.962,0.971
2022-01-03 22:00:00,0.971,0.983,0.964,0.975
2022-01-03 23:00:00,0.973,0.973,0.966,0.966
2022-01-04 00:00:00,0.967,0.972,0.96,0.966
2022-01-04 01:00:00,0.964,0.966,0.951,0.963
2022-01-04 02:00:00,0.964,1.004,0.961,0.972
2022-01-04 03:00:00,0.971,0.988,0.968,0.981
2022-01-04 04:00:00,0.984,0.985,0.975,0.98
2022-01-04 05:00:00,0.981,1.012,0.981,1.002
2022-01-04 06:00:00,1.002,1.02,0.995,1.001
2022-01-04 07:00:00,1.003,1.02,0.996,1.002
2022-01-04 08:00:00,1.006,1.014,1.0,1.002
2022-01-04 09:00:00,1.004,1.031,1.004,1.019
2022-01-04 10:00:00,1.024,1.049,1.005,1.042
2022-01-04 11:00:00,1.042,1.085,1.03,1.046
2022-01-04 12:00:00,1.044,1.049,1.026,1.029
2022-01-04 13:00:00,1.028,1.034,1.0,1.003
2022-01-04 14:00:00,1.004,1.026,1.003,1.01
2022-01-04 15:00:00,1.014,1.025,1.01,1.015
2022-01-04 16:00:00,1.015,1.028,1.014,1.022
2022-01-04 17:00:00,1.02,1.032,1.018,1.021
2022-01-04 18:00:00,1.02,1.037,1.018,1.024
2022-01-04 19:00:00,1.023,1.073,1.018,1.042
2022-01-04 20:00:00,1.041,1.067,1.02,1.046
2022-01-04 21:00:00,1.047,1.08,1.043,1.074
2022-01-04 22:00:00,1.074,1.083,1.04,1.056
2022-01-04 23:00:00,1.055,1.089,1.044,1.067
2022-01-05 00:00:00,1.067,1.096,1.051,1.051
2022-01-05 01:00:00,1.054,1.082,1.052,1.061
2022-01-05 02:00:00,1.064,1.194,1.053,1.168
2022-01-05 03:00:00,1.17,1.265,1.15,1.196
2022-01-05 04:00:00,1.195,1.215,1.154,1.194
2022-01-05 05:00:00,1.193,1.196,1.157,1.158
2022-01-05 06:00:00,1.157,1.159,1.102,1.102
2022-01-05 07:00:00,1.105,1.131,1.081,1.102
2022-01-05 08:00:00,1.103,1.129,1.091,1.118
2022-01-05 09:00:00,1.117,1.137,1.098,1.133
2022-01-05 10:00:00,1.131,1.196,1.113,1.147
2022-01-05 11:00:00,1.147,1.162,1.127,1.143
2022-01-05 12:00:00,1.142,1.153,1.105,1.114
2022-01-05 13:00:00,1.113,1.123,1.086,1.116
2022-01-05 14:00:00,1.114,1.12,1.057,1.059
2022-01-05 15:00:00,1.059,1.077,1.02,1.023
2022-01-05 16:00:00,1.021,1.032,1.003,1.009
2022-01-05 17:00:00,1.01,1.014,0.93,0.988
2022-01-05 18:00:00,0.986,1.021,0.967,0.983
2022-01-05 19:00:00,0.986,0.997,0.971,0.984
2022-01-05 20:00:00,0.986,0.995,0.95,0.964
2022-01-05 21:00:00,0.963,0.963,0.937,0.951
2022-01-05 22:00:00,0.954,0.956,0.931,0.936
2022-01-05 23:00:00,0.935,0.959,0.929,0.951
2022-01-06 00:00:00,0.951,0.984,0.936,0.945
2022-01-06 01:00:00,0.945,0.95,0.93,0.94
2022-01-06 02:00:00,0.94,0.955,0.936,0.952
2022-01-06 03:00:00,0.953,0.957,0.935,0.939
2022-01-06 04:00:00,0.937,0.943,0.904,0.904
2022-01-06 05:00:00,0.907,0.935,0.906,0.935
2022-01-06 06:00:00,0.936,0.941,0.918,0.925
2022-01-06 07:00:00,0.925,0.94,0.914,0.934
2022-01-06 08:00:00,0.935,0.948,0.925,0.943
2022-01-06 09:00:00,0.943,0.965,0.93,0.943
2022-01-06 10:00:00,0.945,0.964,0.934,0.956
2022-01-06 11:00:00,0.956,0.964,0.94,0.956
