datetime,RARIUSD_open,RARIUSD_high,RARIUSD_low,RARIUSD_close
2022-01-01 00:00:00,12.43,12.56,12.4,12.52
2022-01-01 01:00:00,12.54,12.7,12.49,12.69
2022-01-01 02:00:00,12.69,12.82,12.4,12.59
2022-01-01 03:00:00,12.59,12.6,12.4,12.44
2022-01-01 04:00:00,12.52,12.96,12.42,12.88
2022-01-01 05:00:00,12.94,12.98,12.8,12.97
2022-01-01 06:00:00,12.93,13.04,12.89,12.99
2022-01-01 07:00:00,12.99,13.26,12.85,13.1
2022-01-01 08:00:00,13.1,13.34,13.1,13.32
2022-01-01 09:00:00,13.26,13.49,13.24,13.42
2022-01-01 10:00:00,13.37,13.42,13.24,13.31
2022-01-01 11:00:00,13.28,13.39,13.22,13.35
2022-01-01 12:00:00,13.34,13.35,13.34,13.35
2022-01-01 13:00:00,13.34,13.4,13.27,13.35
2022-01-01 14:00:00,13.32,13.44,13.21,13.32
2022-01-01 15:00:00,13.29,13.35,12.92,13.23
2022-01-01 16:00:00,13.24,13.38,13.11,13.35
2022-01-01 17:00:00,13.35,13.47,13.28,13.4
2022-01-01 18:00:00,13.43,13.48,13.26,13.47
2022-01-01 19:00:00,13.41,13.9,13.36,13.78
2022-01-01 20:00:00,13.78,13.91,13.63,13.85
2022-01-01 21:00:00,13.82,17.18,13.79,16.65
2022-01-01 22:00:00,17.1,23.56,16.57,19.18
2022-01-01 23:00:00,19.18,19.51,17.55,18.86
2022-01-02 00:00:00,18.85,20.24,18.02,18.9
2022-01-02 01:00:00,18.88,19.13,16.58,17.0
2022-01-02 02:00:00,17.02,17.36,16.17,16.57
2022-01-02 03:00:00,16.57,16.72,16.0,16.31
2022-01-02 04:00:00,16.3,16.59,16.0,16.21
2022-01-02 05:00:00,16.21,16.24,16.0,16.17
2022-01-02 06:00:00,16.23,17.8,16.13,17.18
2022-01-02 07:00:00,17.18,18.93,16.86,17.0
2022-01-02 08:00:00,17.0,17.42,16.07,16.36
2022-01-02 09:00:00,16.33,16.64,16.11,16.44
2022-01-02 10:00:00,16.44,16.65,15.88,15.98
2022-01-02 11:00:00,16.02,16.11,15.88,15.93
2022-01-02 12:00:00,16.01,16.03,15.36,15.57
2022-01-02 13:00:00,15.49,16.7,15.25,16.6
2022-01-02 14:00:00,16.6,16.9,15.32,15.84
2022-01-02 15:00:00,15.81,16.2,15.5,15.7
2022-01-02 16:00:00,15.7,15.91,15.51,15.62
2022-01-02 17:00:00,15.62,17.0,15.56,16.81
2022-01-02 18:00:00,16.81,18.5,16.76,18.0
2022-01-02 19:00:00,18.0,18.26,16.6,17.04
2022-01-02 20:00:00,16.99,17.08,16.43,16.43
2022-01-02 21:00:00,16.49,17.4,16.41,16.71
2022-01-02 22:00:00,16.68,16.95,16.44,16.56
2022-01-02 23:00:00,16.61,17.52,16.54,16.8
2022-01-03 00:00:00,16.8,16.86,16.19,16.36
2022-01-03 01:00:00,16.35,16.35,16.0,16.21
2022-01-03 02:00:00,16.21,16.52,16.09,16.15
2022-01-03 03:00:00,16.16,16.9,16.0,16.7
2022-01-03 04:00:00,16.7,16.8,16.12,16.15
2022-01-03 05:00:00,16.15,16.66,16.0,16.66
2022-01-03 06:00:00,16.59,16.9,16.19,16.27
2022-01-03 07:00:00,16.27,16.33,16.12,16.21
2022-01-03 08:00:00,16.18,16.27,16.0,16.18
2022-01-03 09:00:00,16.17,16.28,16.03,16.19
2022-01-03 10:00:00,16.16,16.31,15.94,16.15
2022-01-03 11:00:00,16.18,16.75,16.18,16.39
2022-01-03 12:00:00,16.36,16.5,16.26,16.36
2022-01-03 13:00:00,16.27,16.52,16.18,16.23
2022-01-03 14:00:00,16.21,16.46,16.12,16.45
2022-01-03 15:00:00,16.39,16.47,16.1,16.33
2022-01-03 16:00:00,16.43,16.45,15.94,16.1
2022-01-03 17:00:00,16.07,16.33,15.8,16.16
2022-01-03 18:00:00,16.16,16.16,15.51,15.73
2022-01-03 19:00:00,15.78,16.15,15.43,15.43
2022-01-03 20:00:00,15.46,15.9,15.36,15.52
2022-01-03 21:00:00,15.52,15.95,15.32,15.39
2022-01-03 22:00:00,15.35,15.61,15.17,15.25
2022-01-03 23:00:00,15.24,15.42,15.15,15.21
2022-01-04 00:00:00,15.2,15.28,15.0,15.0
2022-01-04 01:00:00,15.04,15.48,15.0,15.48
2022-01-04 02:00:00,15.48,15.73,15.33,15.65
2022-01-04 03:00:00,15.65,15.74,15.33,15.51
2022-01-04 04:00:00,15.51,15.56,15.45,15.46
2022-01-04 05:00:00,15.5,15.59,15.45,15.48
2022-01-04 06:00:00,15.48,15.74,15.42,15.55
2022-01-04 07:00:00,15.61,15.61,15.41,15.47
2022-01-04 08:00:00,15.43,15.46,15.32,15.41
2022-01-04 09:00:00,15.41,15.56,15.33,15.44
2022-01-04 10:00:00,15.47,15.47,15.31,15.32
2022-01-04 11:00:00,15.32,15.42,15.07,15.34
2022-01-04 12:00:00,15.27,15.33,15.06,15.14
2022-01-04 13:00:00,15.14,15.25,14.86,15.12
2022-01-04 14:00:00,15.08,15.45,14.98,15.44
2022-01-04 15:00:00,15.44,15.6,15.25,15.48
2022-01-04 16:00:00,15.47,15.63,15.2,15.28
2022-01-04 17:00:00,15.29,15.35,15.21,15.21
2022-01-04 18:00:00,15.21,15.61,15.2,15.39
2022-01-04 19:00:00,15.35,15.45,15.22,15.35
2022-01-04 20:00:00,15.35,15.75,15.21,15.66
2022-01-04 21:00:00,15.66,16.3,15.53,16.12
2022-01-04 22:00:00,16.09,16.09,15.61,15.84
2022-01-04 23:00:00,15.75,15.99,15.5,15.54
2022-01-05 00:00:00,15.55,15.62,15.32,15.5
2022-01-05 01:00:00,15.5,15.63,15.26,15.37
2022-01-05 02:00:00,15.32,15.47,15.3,15.32
2022-01-05 03:00:00,15.32,15.72,15.3,15.3
2022-01-05 04:00:00,15.3,15.47,15.3,15.44
2022-01-05 05:00:00,15.44,15.54,15.35,15.43
2022-01-05 06:00:00,15.46,15.46,15.36,15.36
2022-01-05 07:00:00,15.36,15.36,15.2,15.26
2022-01-05 08:00:00,15.26,15.46,15.23,15.39
2022-01-05 09:00:00,15.39,15.51,15.26,15.47
2022-01-05 10:00:00,15.43,15.54,15.39,15.5
2022-01-05 11:00:00,15.5,15.55,15.33,15.42
2022-01-05 12:00:00,15.42,15.55,15.27,15.34
