datetime,RNDRBUSD_open,RNDRBUSD_high,RNDRBUSD_low,RNDRBUSD_close
2022-01-01 00:00:00,4.605,4.786,4.605,4.769
2022-01-01 01:00:00,4.765,4.765,4.664,4.664
2022-01-01 02:00:00,4.677,4.678,4.618,4.645
2022-01-01 03:00:00,4.647,4.666,4.621,4.636
2022-01-01 04:00:00,4.643,4.647,4.59,4.596
2022-01-01 05:00:00,4.606,4.621,4.596,4.603
2022-01-01 06:00:00,4.601,4.601,4.382,4.49
2022-01-01 07:00:00,4.496,4.51,4.439,4.49
2022-01-01 08:00:00,4.492,4.571,4.485,4.57
2022-01-01 09:00:00,4.555,4.565,4.449,4.449
2022-01-01 10:00:00,4.448,4.576,4.446,4.563
2022-01-01 11:00:00,4.563,4.586,4.506,4.544
2022-01-01 12:00:00,4.553,4.652,4.497,4.635
2022-01-01 13:00:00,4.642,4.74,4.64,4.681
2022-01-01 14:00:00,4.661,4.715,4.637,4.647
2022-01-01 15:00:00,4.651,4.724,4.648,4.711
2022-01-01 16:00:00,4.7,4.77,4.691,4.767
2022-01-01 17:00:00,4.774,4.818,4.725,4.736
2022-01-01 18:00:00,4.725,4.793,4.724,4.793
2022-01-01 19:00:00,4.79,4.841,4.739,4.823
2022-01-01 20:00:00,4.812,4.821,4.791,4.794
2022-01-01 21:00:00,4.803,4.864,4.706,4.864
2022-01-01 22:00:00,4.861,4.861,4.71,4.71
2022-01-01 23:00:00,4.71,4.717,4.628,4.628
2022-01-02 00:00:00,4.634,4.674,4.631,4.672
2022-01-02 01:00:00,4.672,4.672,4.62,4.637
2022-01-02 02:00:00,4.628,4.642,4.618,4.618
2022-01-02 03:00:00,4.616,4.663,4.609,4.654
2022-01-02 04:00:00,4.641,4.688,4.64,4.672
2022-01-02 05:00:00,4.67,4.722,4.661,4.662
2022-01-02 06:00:00,4.662,4.734,4.655,4.671
2022-01-02 07:00:00,4.671,4.677,4.622,4.64
2022-01-02 08:00:00,4.646,4.646,4.59,4.59
2022-01-02 09:00:00,4.605,4.607,4.556,4.558
2022-01-02 10:00:00,4.555,4.598,4.528,4.597
2022-01-02 11:00:00,4.598,4.667,4.591,4.638
2022-01-02 12:00:00,4.655,4.679,4.645,4.668
