datetime,RUNEBUSD_open,RUNEBUSD_high,RUNEBUSD_low,RUNEBUSD_close
2022-01-01 00:00:00,6.93,7.039,6.922,6.979
2022-01-01 01:00:00,6.978,6.988,6.92,6.935
2022-01-01 02:00:00,6.936,6.969,6.92,6.958
2022-01-01 03:00:00,6.945,7.001,6.945,6.973
2022-01-01 04:00:00,6.982,7.02,6.876,6.913
2022-01-01 05:00:00,6.942,6.976,6.831,6.881
2022-01-01 06:00:00,6.881,6.922,6.86,6.86
2022-01-01 07:00:00,6.877,6.98,6.876,6.955
2022-01-01 08:00:00,6.953,6.985,6.922,6.961
2022-01-01 09:00:00,6.962,6.985,6.909,6.962
2022-01-01 10:00:00,6.955,7.084,6.949,7.079
2022-01-01 11:00:00,7.069,7.219,7.052,7.213
2022-01-01 12:00:00,7.213,7.467,7.213,7.418
2022-01-01 13:00:00,7.435,7.444,7.319,7.325
2022-01-01 14:00:00,7.346,7.358,7.275,7.326
2022-01-01 15:00:00,7.334,7.381,7.264,7.361
2022-01-01 16:00:00,7.365,7.381,7.301,7.336
2022-01-01 17:00:00,7.33,7.351,7.305,7.333
2022-01-01 18:00:00,7.331,7.405,7.299,7.36
2022-01-01 19:00:00,7.357,7.398,7.307,7.361
2022-01-01 20:00:00,7.369,7.448,7.365,7.388
2022-01-01 21:00:00,7.4,7.531,7.4,7.457
2022-01-01 22:00:00,7.461,7.603,7.443,7.488
2022-01-01 23:00:00,7.492,7.581,7.376,7.429
2022-01-02 00:00:00,7.419,7.539,7.412,7.48
2022-01-02 01:00:00,7.49,7.49,7.406,7.411
2022-01-02 02:00:00,7.417,7.439,7.385,7.407
2022-01-02 03:00:00,7.406,7.492,7.347,7.469
2022-01-02 04:00:00,7.469,7.622,7.469,7.569
2022-01-02 05:00:00,7.575,7.733,7.569,7.685
2022-01-02 06:00:00,7.68,7.692,7.539,7.539
2022-01-02 07:00:00,7.552,7.66,7.504,7.624
2022-01-02 08:00:00,7.63,7.649,7.533,7.558
2022-01-02 09:00:00,7.559,7.588,7.431,7.462
2022-01-02 10:00:00,7.462,7.473,7.384,7.45
2022-01-02 11:00:00,7.456,7.616,7.448,7.609
2022-01-02 12:00:00,7.602,7.659,7.536,7.59
2022-01-02 13:00:00,7.594,7.594,7.347,7.478
2022-01-02 14:00:00,7.469,7.484,7.377,7.421
2022-01-02 15:00:00,7.407,7.414,7.362,7.386
2022-01-02 16:00:00,7.375,7.397,7.326,7.348
2022-01-02 17:00:00,7.36,7.396,7.36,7.377
2022-01-02 18:00:00,7.387,7.436,7.375,7.377
2022-01-02 19:00:00,7.378,7.41,7.28,7.28
2022-01-02 20:00:00,7.278,7.3,7.215,7.287
2022-01-02 21:00:00,7.274,7.28,7.161,7.213
2022-01-02 22:00:00,7.214,7.22,7.111,7.15
2022-01-02 23:00:00,7.148,7.192,7.132,7.151
2022-01-03 00:00:00,7.136,7.211,7.118,7.211
2022-01-03 01:00:00,7.195,7.196,7.14,7.14
2022-01-03 02:00:00,7.144,7.181,7.119,7.149
2022-01-03 03:00:00,7.166,7.219,7.161,7.189
2022-01-03 04:00:00,7.195,7.268,7.142,7.263
2022-01-03 05:00:00,7.263,7.334,7.191,7.311
2022-01-03 06:00:00,7.334,7.443,7.324,7.394
2022-01-03 07:00:00,7.394,7.408,7.271,7.299
2022-01-03 08:00:00,7.3,7.354,7.29,7.299
2022-01-03 09:00:00,7.291,7.352,7.23,7.252
2022-01-03 10:00:00,7.243,7.318,7.183,7.213
2022-01-03 11:00:00,7.199,7.252,6.99,7.094
2022-01-03 12:00:00,7.088,7.206,7.084,7.168
2022-01-03 13:00:00,7.17,7.301,7.17,7.231
2022-01-03 14:00:00,7.231,7.297,7.184,7.184
2022-01-03 15:00:00,7.184,7.205,7.05,7.119
2022-01-03 16:00:00,7.103,7.256,7.077,7.198
2022-01-03 17:00:00,7.185,7.303,7.173,7.254
2022-01-03 18:00:00,7.255,7.349,7.234,7.296
2022-01-03 19:00:00,7.318,7.343,7.17,7.214
2022-01-03 20:00:00,7.205,7.336,7.17,7.232
2022-01-03 21:00:00,7.265,7.296,7.104,7.231
2022-01-03 22:00:00,7.256,7.334,7.184,7.29
2022-01-03 23:00:00,7.301,7.331,7.241,7.325
