datetime,SANDBUSD_open,SANDBUSD_high,SANDBUSD_low,SANDBUSD_close
2022-01-01 00:00:00,5.9347,6.0293,5.9216,5.966
2022-01-01 01:00:00,5.9665,5.9913,5.9423,5.9496
2022-01-01 02:00:00,5.9472,5.9762,5.9284,5.9666
2022-01-01 03:00:00,5.9642,5.988,5.9403,5.9477
2022-01-01 04:00:00,5.9484,5.9605,5.8927,5.918
2022-01-01 05:00:00,5.9183,5.9421,5.8446,5.8889
2022-01-01 06:00:00,5.8899,5.9239,5.858,5.8583
2022-01-01 07:00:00,5.8626,5.9265,5.8559,5.9187
2022-01-01 08:00:00,5.9219,5.9264,5.8833,5.8944
2022-01-01 09:00:00,5.8923,5.9069,5.8578,5.8735
2022-01-01 10:00:00,5.8746,5.9328,5.8531,5.904
2022-01-01 11:00:00,5.904,5.9331,5.8959,5.8984
2022-01-01 12:00:00,5.9039,5.977,5.8869,5.9463
2022-01-01 13:00:00,5.9496,5.9555,5.907,5.9306
2022-01-01 14:00:00,5.9306,5.9551,5.9157,5.9271
2022-01-01 15:00:00,5.9287,5.9598,5.9152,5.9227
2022-01-01 16:00:00,5.9224,5.9526,5.8987,5.9079
2022-01-01 17:00:00,5.9072,5.9383,5.9049,5.9231
2022-01-01 18:00:00,5.9254,5.983,5.9109,5.97
2022-01-01 19:00:00,5.9701,5.9905,5.9251,5.9364
2022-01-01 20:00:00,5.9394,5.94,5.9087,5.913
2022-01-01 21:00:00,5.9135,5.9309,5.8868,5.8948
2022-01-01 22:00:00,5.8942,5.9242,5.89,5.9098
2022-01-01 23:00:00,5.9121,5.9199,5.8274,5.8478
2022-01-02 00:00:00,5.8468,5.8744,5.8308,5.8731
2022-01-02 01:00:00,5.8688,5.8833,5.86,5.863
2022-01-02 02:00:00,5.86,5.8954,5.8578,5.8769
2022-01-02 03:00:00,5.8741,5.8789,5.835,5.8786
2022-01-02 04:00:00,5.8777,5.9101,5.8696,5.8922
2022-01-02 05:00:00,5.8897,5.9111,5.8829,5.8872
