datetime,SCRTBUSD_open,SCRTBUSD_high,SCRTBUSD_low,SCRTBUSD_close
2022-01-01 00:00:00,5.222,5.301,5.201,5.24
2022-01-01 01:00:00,5.247,5.267,5.2,5.205
2022-01-01 02:00:00,5.199,5.253,5.134,5.225
2022-01-01 03:00:00,5.228,5.38,5.19,5.342
2022-01-01 04:00:00,5.332,5.465,5.31,5.322
2022-01-01 05:00:00,5.322,5.333,5.282,5.316
2022-01-01 06:00:00,5.311,5.359,5.204,5.302
2022-01-01 07:00:00,5.305,5.386,5.264,5.38
2022-01-01 08:00:00,5.366,5.48,5.35,5.381
2022-01-01 09:00:00,5.365,5.54,5.365,5.507
2022-01-01 10:00:00,5.53,5.744,5.529,5.644
2022-01-01 11:00:00,5.638,5.755,5.573,5.692
2022-01-01 12:00:00,5.692,5.868,5.681,5.859
2022-01-01 13:00:00,5.859,5.96,5.846,5.937
2022-01-01 14:00:00,5.937,5.991,5.822,5.957
2022-01-01 15:00:00,5.949,6.25,5.86,6.013
2022-01-01 16:00:00,6.01,6.054,5.905,6.04
2022-01-01 17:00:00,6.04,6.173,6.021,6.153
2022-01-01 18:00:00,6.165,6.23,6.009,6.124
2022-01-01 19:00:00,6.124,6.176,5.91,5.974
2022-01-01 20:00:00,5.992,5.992,5.901,5.95
2022-01-01 21:00:00,5.965,6.111,5.931,5.996
2022-01-01 22:00:00,5.996,5.999,5.94,5.968
2022-01-01 23:00:00,5.967,6.01,5.946,6.005
2022-01-02 00:00:00,6.005,6.062,6.0,6.037
2022-01-02 01:00:00,6.056,6.102,6.039,6.084
2022-01-02 02:00:00,6.084,6.094,5.996,6.009
2022-01-02 03:00:00,6.001,6.043,5.924,5.932
2022-01-02 04:00:00,5.932,5.979,5.906,5.907
2022-01-02 05:00:00,5.918,6.29,5.752,5.827
2022-01-02 06:00:00,5.821,6.074,5.8,5.98
2022-01-02 07:00:00,5.978,6.04,5.882,5.926
2022-01-02 08:00:00,5.926,5.945,5.816,5.83
2022-01-02 09:00:00,5.842,5.893,5.796,5.796
2022-01-02 10:00:00,5.806,5.86,5.775,5.833
2022-01-02 11:00:00,5.833,6.017,5.811,5.989
2022-01-02 12:00:00,5.998,6.037,5.902,5.905
2022-01-02 13:00:00,5.918,5.934,5.816,5.934
2022-01-02 14:00:00,5.931,6.023,5.907,5.914
2022-01-02 15:00:00,5.915,5.997,5.726,5.816
2022-01-02 16:00:00,5.83,5.924,5.793,5.864
2022-01-02 17:00:00,5.858,5.894,5.8,5.85
2022-01-02 18:00:00,5.875,5.927,5.87,5.902
2022-01-02 19:00:00,5.896,5.896,5.829,5.867
2022-01-02 20:00:00,5.867,5.872,5.742,5.823
2022-01-02 21:00:00,5.823,5.84,5.748,5.79
2022-01-02 22:00:00,5.791,5.819,5.72,5.76
2022-01-02 23:00:00,5.747,5.819,5.738,5.762
2022-01-03 00:00:00,5.762,5.81,5.666,5.789
2022-01-03 01:00:00,5.803,5.814,5.719,5.741
2022-01-03 02:00:00,5.733,5.794,5.667,5.794
2022-01-03 03:00:00,5.777,5.898,5.777,5.857
2022-01-03 04:00:00,5.861,6.08,5.852,6.065
2022-01-03 05:00:00,6.065,6.144,5.99,6.01
2022-01-03 06:00:00,6.01,6.232,6.01,6.218
2022-01-03 07:00:00,6.218,6.448,6.17,6.315
2022-01-03 08:00:00,6.303,6.576,6.3,6.395
2022-01-03 09:00:00,6.401,6.7,6.328,6.572
2022-01-03 10:00:00,6.564,7.061,6.558,6.749
2022-01-03 11:00:00,6.749,7.0,6.393,6.589
2022-01-03 12:00:00,6.589,6.9,6.512,6.52
2022-01-03 13:00:00,6.52,6.81,6.514,6.647
2022-01-03 14:00:00,6.628,6.757,6.542,6.68
2022-01-03 15:00:00,6.691,6.72,6.45,6.562
2022-01-03 16:00:00,6.561,6.8,6.5,6.782
2022-01-03 17:00:00,6.771,6.915,6.577,6.766
2022-01-03 18:00:00,6.761,6.94,6.742,6.794
2022-01-03 19:00:00,6.794,7.05,6.71,6.8
2022-01-03 20:00:00,6.785,6.891,6.531,6.531
2022-01-03 21:00:00,6.53,6.679,6.4,6.612
2022-01-03 22:00:00,6.628,6.701,6.571,6.667
2022-01-03 23:00:00,6.683,6.683,6.484,6.511
2022-01-04 00:00:00,6.516,6.75,6.4,6.452
2022-01-04 01:00:00,6.452,6.488,6.306,6.345
2022-01-04 02:00:00,6.345,6.524,6.306,6.457
2022-01-04 03:00:00,6.46,6.684,6.456,6.539
2022-01-04 04:00:00,6.525,6.536,6.382,6.455
2022-01-04 05:00:00,6.458,6.999,6.308,6.506
2022-01-04 06:00:00,6.509,6.655,6.501,6.599
2022-01-04 07:00:00,6.59,6.65,6.421,6.585
2022-01-04 08:00:00,6.597,6.777,6.567,6.73
2022-01-04 09:00:00,6.756,6.924,6.696,6.888
2022-01-04 10:00:00,6.891,7.001,6.874,6.962
2022-01-04 11:00:00,6.972,7.239,6.96,7.219
2022-01-04 12:00:00,7.205,7.341,6.95,6.95
2022-01-04 13:00:00,6.97,7.043,6.579,6.652
2022-01-04 14:00:00,6.652,6.93,6.6,6.703
2022-01-04 15:00:00,6.707,6.774,6.677,6.691
2022-01-04 16:00:00,6.69,6.73,6.565,6.59
2022-01-04 17:00:00,6.582,6.593,6.47,6.59
2022-01-04 18:00:00,6.583,6.6,6.35,6.396
2022-01-04 19:00:00,6.38,6.676,6.35,6.647
2022-01-04 20:00:00,6.648,6.757,6.616,6.665
2022-01-04 21:00:00,6.675,6.686,6.57,6.571
2022-01-04 22:00:00,6.588,6.738,6.54,6.617
2022-01-04 23:00:00,6.617,6.775,6.616,6.673
2022-01-05 00:00:00,6.687,6.81,6.673,6.758
