datetime,SFPBUSD_open,SFPBUSD_high,SFPBUSD_low,SFPBUSD_close
2022-01-01 00:00:00,1.5251,1.545,1.519,1.5301
2022-01-01 01:00:00,1.5329,1.5373,1.5265,1.5265
2022-01-01 02:00:00,1.5287,1.5334,1.5208,1.5327
2022-01-01 03:00:00,1.532,1.5361,1.5233,1.5233
2022-01-01 04:00:00,1.5261,1.528,1.51,1.5237
2022-01-01 05:00:00,1.5237,1.5293,1.5029,1.5207
2022-01-01 06:00:00,1.5218,1.5222,1.5118,1.5118
2022-01-01 07:00:00,1.5129,1.5265,1.5059,1.5247
2022-01-01 08:00:00,1.5258,1.5317,1.51,1.5164
2022-01-01 09:00:00,1.5135,1.5234,1.5133,1.5143
2022-01-01 10:00:00,1.5174,1.5336,1.5174,1.5264
2022-01-01 11:00:00,1.5272,1.5334,1.5215,1.5215
2022-01-01 12:00:00,1.522,1.54,1.5204,1.5392
2022-01-01 13:00:00,1.5369,1.5388,1.5242,1.53
2022-01-01 14:00:00,1.53,1.5331,1.5225,1.5235
2022-01-01 15:00:00,1.5263,1.5347,1.5256,1.5336
2022-01-01 16:00:00,1.5322,1.539,1.5239,1.5239
2022-01-01 17:00:00,1.524,1.528,1.524,1.527
2022-01-01 18:00:00,1.527,1.5408,1.526,1.5389
2022-01-01 19:00:00,1.538,1.538,1.5287,1.5326
2022-01-01 20:00:00,1.5328,1.5328,1.5263,1.5263
2022-01-01 21:00:00,1.5264,1.5275,1.5153,1.5171
2022-01-01 22:00:00,1.5174,1.5183,1.5122,1.5149
2022-01-01 23:00:00,1.5149,1.525,1.4984,1.5015
2022-01-02 00:00:00,1.5049,1.5236,1.5049,1.5194
2022-01-02 01:00:00,1.5144,1.5244,1.5104,1.5244
2022-01-02 02:00:00,1.5205,1.5298,1.5162,1.5226
2022-01-02 03:00:00,1.5187,1.5223,1.5089,1.5223
2022-01-02 04:00:00,1.5222,1.5358,1.5188,1.5188
2022-01-02 05:00:00,1.5241,1.5287,1.5195,1.5195
2022-01-02 06:00:00,1.5221,1.5321,1.5221,1.5263
2022-01-02 07:00:00,1.5264,1.5422,1.5238,1.5379
2022-01-02 08:00:00,1.5316,1.5381,1.5257,1.5351
2022-01-02 09:00:00,1.5333,1.5355,1.52,1.5282
2022-01-02 10:00:00,1.5293,1.5383,1.525,1.5332
2022-01-02 11:00:00,1.5305,1.5542,1.5305,1.5537
2022-01-02 12:00:00,1.5557,1.5579,1.5356,1.5435
2022-01-02 13:00:00,1.5435,1.5444,1.5119,1.5248
2022-01-02 14:00:00,1.5252,1.5374,1.5252,1.5346
2022-01-02 15:00:00,1.5294,1.5337,1.5294,1.5337
2022-01-02 16:00:00,1.5358,1.5443,1.5358,1.5435
2022-01-02 17:00:00,1.5435,1.5518,1.5394,1.5515
2022-01-02 18:00:00,1.5523,1.5546,1.5406,1.55
2022-01-02 19:00:00,1.5431,1.5797,1.53,1.5691
2022-01-02 20:00:00,1.5648,1.5651,1.5416,1.5474
2022-01-02 21:00:00,1.5435,1.5435,1.5247,1.5326
2022-01-02 22:00:00,1.5369,1.5389,1.515,1.5211
2022-01-02 23:00:00,1.5226,1.5379,1.5226,1.5285
