datetime,SKLUSD_open,SKLUSD_high,SKLUSD_low,SKLUSD_close
2022-01-01 00:00:00,0.2024,0.2065,0.2024,0.2062
2022-01-01 01:00:00,0.2062,0.2071,0.2051,0.2065
2022-01-01 02:00:00,0.2066,0.207,0.2059,0.2059
2022-01-01 03:00:00,0.2063,0.2068,0.2054,0.2066
2022-01-01 04:00:00,0.2067,0.2067,0.2034,0.2036
2022-01-01 05:00:00,0.2036,0.2075,0.2035,0.2057
2022-01-01 06:00:00,0.2059,0.2073,0.2052,0.2054
2022-01-01 07:00:00,0.2054,0.2066,0.2046,0.2063
2022-01-01 08:00:00,0.2062,0.2069,0.2057,0.2061
2022-01-01 09:00:00,0.2059,0.2069,0.2045,0.2061
2022-01-01 10:00:00,0.2062,0.2065,0.203,0.2047
2022-01-01 11:00:00,0.2049,0.2058,0.2044,0.2047
2022-01-01 12:00:00,0.2049,0.2071,0.2046,0.207
2022-01-01 13:00:00,0.207,0.2077,0.2062,0.2071
2022-01-01 14:00:00,0.2071,0.208,0.2066,0.2077
2022-01-01 15:00:00,0.208,0.2107,0.2074,0.2103
2022-01-01 16:00:00,0.2101,0.211,0.2087,0.2094
2022-01-01 17:00:00,0.2096,0.2118,0.2083,0.2108
2022-01-01 18:00:00,0.2109,0.2134,0.2098,0.2112
2022-01-01 19:00:00,0.2111,0.2115,0.2092,0.2097
2022-01-01 20:00:00,0.2099,0.2115,0.2099,0.2104
2022-01-01 21:00:00,0.2104,0.2113,0.2102,0.2104
2022-01-01 22:00:00,0.2105,0.2107,0.2095,0.2101
2022-01-01 23:00:00,0.21,0.2135,0.2092,0.2126
2022-01-02 00:00:00,0.2127,0.2127,0.2093,0.2117
2022-01-02 01:00:00,0.2116,0.2116,0.2097,0.2102
2022-01-02 02:00:00,0.2101,0.2108,0.2089,0.2096
2022-01-02 03:00:00,0.2096,0.2101,0.2087,0.2096
2022-01-02 04:00:00,0.2095,0.2104,0.2059,0.2066
2022-01-02 05:00:00,0.2066,0.2084,0.2063,0.2079
2022-01-02 06:00:00,0.2083,0.2086,0.2076,0.2076
2022-01-02 07:00:00,0.2077,0.209,0.2076,0.208
2022-01-02 08:00:00,0.208,0.211,0.207,0.2104
2022-01-02 09:00:00,0.2105,0.2117,0.2093,0.2102
2022-01-02 10:00:00,0.2102,0.2109,0.2097,0.2102
2022-01-02 11:00:00,0.2102,0.2126,0.21,0.2114
2022-01-02 12:00:00,0.2114,0.212,0.2097,0.2116
2022-01-02 13:00:00,0.2115,0.2117,0.2103,0.211
2022-01-02 14:00:00,0.211,0.2154,0.2103,0.2134
2022-01-02 15:00:00,0.2135,0.2207,0.2126,0.2158
2022-01-02 16:00:00,0.2158,0.2162,0.2134,0.2154
2022-01-02 17:00:00,0.215,0.2176,0.2129,0.2135
2022-01-02 18:00:00,0.2132,0.2132,0.2079,0.2114
2022-01-02 19:00:00,0.2111,0.2124,0.2104,0.2113
2022-01-02 20:00:00,0.2112,0.2116,0.2103,0.2111
2022-01-02 21:00:00,0.2107,0.2122,0.2105,0.2113
2022-01-02 22:00:00,0.2114,0.2125,0.2114,0.2124
2022-01-02 23:00:00,0.2125,0.2129,0.2118,0.212
2022-01-03 00:00:00,0.2116,0.2131,0.2107,0.2107
2022-01-03 01:00:00,0.2105,0.2121,0.2099,0.2111
2022-01-03 02:00:00,0.2109,0.2121,0.2094,0.2113
2022-01-03 03:00:00,0.2113,0.2134,0.2084,0.2108
2022-01-03 04:00:00,0.2106,0.2148,0.21,0.212
2022-01-03 05:00:00,0.212,0.2139,0.2112,0.2122
2022-01-03 06:00:00,0.2121,0.2152,0.211,0.2113
2022-01-03 07:00:00,0.2111,0.2129,0.2105,0.212
2022-01-03 08:00:00,0.2121,0.2128,0.209,0.2098
2022-01-03 09:00:00,0.2099,0.2107,0.2077,0.2096
2022-01-03 10:00:00,0.2094,0.2133,0.2094,0.2118
2022-01-03 11:00:00,0.2119,0.2131,0.2108,0.2127
2022-01-03 12:00:00,0.2126,0.2131,0.2103,0.2106
2022-01-03 13:00:00,0.2106,0.2151,0.2106,0.2119
2022-01-03 14:00:00,0.2119,0.2168,0.2106,0.2115
2022-01-03 15:00:00,0.2113,0.2132,0.2092,0.2104
2022-01-03 16:00:00,0.2102,0.212,0.2051,0.2075
2022-01-03 17:00:00,0.2075,0.2102,0.2071,0.2086
2022-01-03 18:00:00,0.2087,0.2092,0.2069,0.2084
2022-01-03 19:00:00,0.2084,0.2085,0.2061,0.2061
