datetime,SNXBUSD_open,SNXBUSD_high,SNXBUSD_low,SNXBUSD_close
2022-01-01 00:00:00,5.656,5.748,5.656,5.697
2022-01-01 01:00:00,5.719,5.741,5.695,5.699
2022-01-01 02:00:00,5.695,5.741,5.685,5.741
2022-01-01 03:00:00,5.727,5.752,5.707,5.707
2022-01-01 04:00:00,5.713,5.725,5.644,5.667
2022-01-01 05:00:00,5.668,5.689,5.607,5.646
2022-01-01 06:00:00,5.645,5.666,5.62,5.628
2022-01-01 07:00:00,5.632,5.786,5.632,5.751
2022-01-01 08:00:00,5.742,5.838,5.736,5.816
2022-01-01 09:00:00,5.811,5.811,5.747,5.777
2022-01-01 10:00:00,5.764,5.88,5.758,5.88
2022-01-01 11:00:00,5.883,5.918,5.866,5.902
2022-01-01 12:00:00,5.92,5.947,5.897,5.924
2022-01-01 13:00:00,5.928,5.957,5.877,5.937
2022-01-01 14:00:00,5.923,5.932,5.893,5.912
2022-01-01 15:00:00,5.925,5.986,5.903,5.937
2022-01-01 16:00:00,5.949,5.961,5.924,5.938
2022-01-01 17:00:00,5.947,5.948,5.884,5.886
2022-01-01 18:00:00,5.891,6.022,5.865,5.961
2022-01-01 19:00:00,5.986,5.995,5.902,5.915
2022-01-01 20:00:00,5.915,5.919,5.892,5.901
2022-01-01 21:00:00,5.897,6.04,5.897,6.016
2022-01-01 22:00:00,6.011,6.099,5.969,5.999
2022-01-01 23:00:00,5.987,6.014,5.854,5.896
2022-01-02 00:00:00,5.881,5.978,5.88,5.976
2022-01-02 01:00:00,5.971,5.983,5.917,5.919
2022-01-02 02:00:00,5.93,5.954,5.911,5.954
2022-01-02 03:00:00,5.956,5.983,5.92,5.976
2022-01-02 04:00:00,5.972,6.09,5.972,6.044
2022-01-02 05:00:00,6.036,6.068,6.007,6.018
2022-01-02 06:00:00,6.034,6.149,6.034,6.141
2022-01-02 07:00:00,6.124,6.196,6.087,6.181
2022-01-02 08:00:00,6.166,6.166,6.074,6.112
2022-01-02 09:00:00,6.101,6.104,5.994,6.051
2022-01-02 10:00:00,6.056,6.117,6.043,6.101
2022-01-02 11:00:00,6.103,6.173,6.103,6.156
2022-01-02 12:00:00,6.151,6.265,6.102,6.247
2022-01-02 13:00:00,6.248,6.303,6.159,6.217
2022-01-02 14:00:00,6.217,6.276,6.166,6.218
2022-01-02 15:00:00,6.214,6.324,6.186,6.279
2022-01-02 16:00:00,6.273,6.316,6.216,6.306
2022-01-02 17:00:00,6.32,6.331,6.259,6.261
2022-01-02 18:00:00,6.269,6.303,6.216,6.239
2022-01-02 19:00:00,6.238,6.375,6.233,6.314
2022-01-02 20:00:00,6.311,6.437,6.291,6.371
2022-01-02 21:00:00,6.349,6.36,6.2,6.278
2022-01-02 22:00:00,6.272,6.272,6.106,6.132
2022-01-02 23:00:00,6.13,6.217,6.127,6.217
2022-01-03 00:00:00,6.218,6.362,6.218,6.353
2022-01-03 01:00:00,6.347,6.347,6.247,6.281
2022-01-03 02:00:00,6.279,6.4,6.26,6.362
2022-01-03 03:00:00,6.361,6.364,6.305,6.363
2022-01-03 04:00:00,6.364,6.415,6.282,6.412
2022-01-03 05:00:00,6.415,6.584,6.415,6.551
2022-01-03 06:00:00,6.549,6.58,6.477,6.477
2022-01-03 07:00:00,6.482,6.5,6.376,6.388
2022-01-03 08:00:00,6.405,6.588,6.405,6.583
2022-01-03 09:00:00,6.583,6.864,6.528,6.633
2022-01-03 10:00:00,6.63,6.866,6.582,6.746
2022-01-03 11:00:00,6.738,6.754,6.481,6.734
2022-01-03 12:00:00,6.709,6.732,6.566,6.575
2022-01-03 13:00:00,6.598,6.756,6.563,6.667
2022-01-03 14:00:00,6.679,6.762,6.627,6.656
2022-01-03 15:00:00,6.644,6.688,6.483,6.657
2022-01-03 16:00:00,6.658,6.8,6.631,6.747
2022-01-03 17:00:00,6.744,7.146,6.715,7.081
2022-01-03 18:00:00,7.068,7.197,6.982,7.183
2022-01-03 19:00:00,7.183,7.343,7.09,7.159
2022-01-03 20:00:00,7.14,7.295,7.087,7.123
2022-01-03 21:00:00,7.144,7.214,6.856,6.856
2022-01-03 22:00:00,6.863,6.946,6.793,6.946
2022-01-03 23:00:00,6.948,6.961,6.765,6.916
2022-01-04 00:00:00,6.897,7.125,6.89,7.027
2022-01-04 01:00:00,7.029,7.165,6.946,7.146
2022-01-04 02:00:00,7.131,7.2,6.999,7.118
2022-01-04 03:00:00,7.12,7.194,6.899,6.942
2022-01-04 04:00:00,6.939,6.978,6.84,6.888
2022-01-04 05:00:00,6.911,7.005,6.825,6.98
2022-01-04 06:00:00,6.988,7.162,6.966,7.123
2022-01-04 07:00:00,7.128,7.134,6.94,7.016
2022-01-04 08:00:00,7.037,7.099,6.882,6.971
2022-01-04 09:00:00,6.982,7.11,6.912,7.037
2022-01-04 10:00:00,7.036,7.083,6.847,6.876
2022-01-04 11:00:00,6.888,7.002,6.803,6.955
2022-01-04 12:00:00,6.948,7.075,6.888,6.894
2022-01-04 13:00:00,6.914,6.953,6.606,6.677
2022-01-04 14:00:00,6.669,6.805,6.632,6.757
2022-01-04 15:00:00,6.76,6.883,6.727,6.836
2022-01-04 16:00:00,6.823,6.848,6.772,6.789
2022-01-04 17:00:00,6.816,6.819,6.666,6.698
2022-01-04 18:00:00,6.697,6.719,6.556,6.586
2022-01-04 19:00:00,6.604,6.771,6.537,6.766
2022-01-04 20:00:00,6.744,6.77,6.659,6.695
2022-01-04 21:00:00,6.712,6.762,6.69,6.756
2022-01-04 22:00:00,6.756,7.001,6.756,6.826
2022-01-04 23:00:00,6.814,6.894,6.795,6.894
2022-01-05 00:00:00,6.869,7.08,6.857,7.031
2022-01-05 01:00:00,7.024,7.16,7.003,7.12
2022-01-05 02:00:00,7.116,7.206,7.062,7.122
2022-01-05 03:00:00,7.136,7.138,7.028,7.104
2022-01-05 04:00:00,7.088,7.088,7.033,7.054
2022-01-05 05:00:00,7.074,7.08,6.974,6.997
2022-01-05 06:00:00,6.991,6.991,6.851,6.93
2022-01-05 07:00:00,6.93,7.074,6.881,7.057
2022-01-05 08:00:00,7.058,7.366,7.024,7.252
2022-01-05 09:00:00,7.265,7.438,7.169,7.379
2022-01-05 10:00:00,7.367,7.5,7.275,7.39
2022-01-05 11:00:00,7.395,7.403,7.257,7.257
2022-01-05 12:00:00,7.252,7.329,7.081,7.104
2022-01-05 13:00:00,7.099,7.179,6.953,7.141
2022-01-05 14:00:00,7.11,7.114,6.594,6.621
2022-01-05 15:00:00,6.6,6.758,6.462,6.678
2022-01-05 16:00:00,6.677,6.77,6.437,6.477
2022-01-05 17:00:00,6.493,6.518,5.959,6.346
2022-01-05 18:00:00,6.343,6.478,6.272,6.35
2022-01-05 19:00:00,6.357,6.416,6.284,6.4
2022-01-05 20:00:00,6.404,6.409,6.126,6.187
2022-01-05 21:00:00,6.173,6.233,6.109,6.137
2022-01-05 22:00:00,6.154,6.19,6.032,6.055
2022-01-05 23:00:00,6.057,6.147,5.999,6.117
2022-01-06 00:00:00,6.114,6.167,6.072,6.146
2022-01-06 01:00:00,6.121,6.163,6.043,6.089
2022-01-06 02:00:00,6.078,6.128,6.041,6.091
2022-01-06 03:00:00,6.082,6.092,5.918,5.999
2022-01-06 04:00:00,6.005,6.023,5.836,5.864
2022-01-06 05:00:00,5.865,6.0,5.865,5.966
2022-01-06 06:00:00,5.986,6.0,5.884,5.939
2022-01-06 07:00:00,5.958,6.013,5.859,6.013
2022-01-06 08:00:00,6.013,6.157,6.013,6.115
2022-01-06 09:00:00,6.129,6.162,6.054,6.063
2022-01-06 10:00:00,6.088,6.09,5.978,6.068
2022-01-06 11:00:00,6.059,6.102,6.003,6.055
2022-01-06 12:00:00,6.066,6.105,6.028,6.06
2022-01-06 13:00:00,6.071,6.15,6.061,6.135
2022-01-06 14:00:00,6.13,6.135,6.06,6.098
2022-01-06 15:00:00,6.099,6.115,6.004,6.01
2022-01-06 16:00:00,6.01,6.027,5.971,5.992
2022-01-06 17:00:00,6.01,6.027,5.96,6.011
2022-01-06 18:00:00,5.992,6.015,5.95,5.974
2022-01-06 19:00:00,5.977,5.98,5.838,5.867
2022-01-06 20:00:00,5.874,5.939,5.838,5.897
2022-01-06 21:00:00,5.89,5.9,5.749,5.753
2022-01-06 22:00:00,5.753,5.775,5.491,5.505
2022-01-06 23:00:00,5.504,5.539,5.325,5.479
2022-01-07 00:00:00,5.486,5.52,5.444,5.489
2022-01-07 01:00:00,5.482,5.482,5.318,5.359
2022-01-07 02:00:00,5.359,5.419,5.275,5.414
2022-01-07 03:00:00,5.404,5.541,5.395,5.494
2022-01-07 04:00:00,5.504,5.566,5.489,5.532
2022-01-07 05:00:00,5.536,5.572,5.459,5.459
2022-01-07 06:00:00,5.469,5.518,5.457,5.487
