datetime,SNXUSD_open,SNXUSD_high,SNXUSD_low,SNXUSD_close
2022-01-01 00:00:00,5.52,5.64,5.5,5.64
2022-01-01 01:00:00,5.64,5.78,5.6,5.76
2022-01-01 02:00:00,5.77,5.79,5.73,5.75
2022-01-01 03:00:00,5.75,5.75,5.73,5.74
2022-01-01 04:00:00,5.74,5.74,5.64,5.65
2022-01-01 05:00:00,5.65,5.75,5.65,5.7
2022-01-01 06:00:00,5.7,5.74,5.7,5.7
2022-01-01 07:00:00,5.7,5.75,5.69,5.73
2022-01-01 08:00:00,5.73,5.75,5.7,5.7
2022-01-01 09:00:00,5.71,5.73,5.64,5.67
2022-01-01 10:00:00,5.68,5.68,5.6,5.65
2022-01-01 11:00:00,5.66,5.67,5.63,5.63
2022-01-01 12:00:00,5.64,5.79,5.64,5.76
2022-01-01 13:00:00,5.76,5.84,5.74,5.8
2022-01-01 14:00:00,5.8,5.8,5.74,5.77
2022-01-01 15:00:00,5.76,5.89,5.76,5.88
2022-01-01 16:00:00,5.89,5.94,5.87,5.91
2022-01-01 17:00:00,5.91,5.96,5.9,5.93
2022-01-01 18:00:00,5.94,5.95,5.87,5.95
2022-01-01 19:00:00,5.94,5.95,5.89,5.93
2022-01-01 20:00:00,5.94,5.99,5.91,5.95
2022-01-01 21:00:00,5.95,5.97,5.92,5.94
2022-01-01 22:00:00,5.95,5.95,5.87,5.89
2022-01-01 23:00:00,5.89,6.03,5.85,5.99
2022-01-02 00:00:00,6.0,6.01,5.9,5.92
2022-01-02 01:00:00,5.92,5.93,5.88,5.9
2022-01-02 02:00:00,5.9,6.05,5.9,6.01
2022-01-02 03:00:00,6.01,6.05,5.98,5.98
2022-01-02 04:00:00,5.98,6.02,5.85,5.88
2022-01-02 05:00:00,5.9,5.98,5.89,5.97
2022-01-02 06:00:00,5.97,5.99,5.9,5.92
2022-01-02 07:00:00,5.92,5.95,5.91,5.95
2022-01-02 08:00:00,5.95,5.98,5.93,5.98
2022-01-02 09:00:00,5.98,6.09,5.98,6.04
2022-01-02 10:00:00,6.04,6.06,6.01,6.03
2022-01-02 11:00:00,6.03,6.15,6.03,6.14
2022-01-02 12:00:00,6.14,6.2,6.08,6.15
2022-01-02 13:00:00,6.16,6.16,6.08,6.11
2022-01-02 14:00:00,6.11,6.11,5.98,6.06
2022-01-02 15:00:00,6.05,6.12,6.05,6.1
2022-01-02 16:00:00,6.11,6.17,6.11,6.15
2022-01-02 17:00:00,6.16,6.27,6.11,6.26
2022-01-02 18:00:00,6.25,6.27,6.16,6.22
2022-01-02 19:00:00,6.21,6.27,6.16,6.22
2022-01-02 20:00:00,6.22,6.33,6.18,6.27
2022-01-02 21:00:00,6.27,6.31,6.21,6.31
2022-01-02 22:00:00,6.31,6.33,6.25,6.27
2022-01-02 23:00:00,6.28,6.31,6.21,6.24
2022-01-03 00:00:00,6.23,6.39,6.23,6.31
2022-01-03 01:00:00,6.31,6.44,6.29,6.37
2022-01-03 02:00:00,6.35,6.36,6.25,6.27
2022-01-03 03:00:00,6.27,6.27,6.12,6.13
2022-01-03 04:00:00,6.13,6.22,6.13,6.22
2022-01-03 05:00:00,6.23,6.36,6.23,6.35
2022-01-03 06:00:00,6.34,6.34,6.24,6.28
2022-01-03 07:00:00,6.27,6.4,6.26,6.36
2022-01-03 08:00:00,6.37,6.37,6.3,6.36
2022-01-03 09:00:00,6.37,6.43,6.28,6.43
2022-01-03 10:00:00,6.44,6.57,6.43,6.55
2022-01-03 11:00:00,6.55,6.58,6.48,6.48
2022-01-03 12:00:00,6.47,6.5,6.38,6.4
2022-01-03 13:00:00,6.41,6.59,6.41,6.57
2022-01-03 14:00:00,6.58,6.74,6.53,6.62
2022-01-03 15:00:00,6.63,6.86,6.59,6.74
2022-01-03 16:00:00,6.74,6.75,6.47,6.71
2022-01-03 17:00:00,6.7,6.74,6.56,6.59
2022-01-03 18:00:00,6.59,6.7,6.58,6.67
2022-01-03 19:00:00,6.67,6.72,6.62,6.64
2022-01-03 20:00:00,6.64,6.68,6.48,6.65
2022-01-03 21:00:00,6.65,6.81,6.63,6.75
2022-01-03 22:00:00,6.74,7.13,6.71,7.08
2022-01-03 23:00:00,7.08,7.22,6.99,7.19
2022-01-04 00:00:00,7.2,7.45,7.12,7.22
2022-01-04 01:00:00,7.22,7.27,7.1,7.14
2022-01-04 02:00:00,7.13,7.19,6.85,6.87
2022-01-04 03:00:00,6.88,6.94,6.8,6.94
2022-01-04 04:00:00,6.95,6.96,6.81,6.92
2022-01-04 05:00:00,6.91,7.08,6.89,7.01
2022-01-04 06:00:00,7.03,7.18,6.96,7.13
2022-01-04 07:00:00,7.14,7.18,7.0,7.11
2022-01-04 08:00:00,7.11,7.2,6.9,6.95
2022-01-04 09:00:00,6.95,6.98,6.83,6.91
2022-01-04 10:00:00,6.92,7.01,6.85,6.98
2022-01-04 11:00:00,6.99,7.14,6.97,7.13
2022-01-04 12:00:00,7.12,7.12,6.94,7.03
2022-01-04 13:00:00,7.04,7.07,6.89,6.99
2022-01-04 14:00:00,6.99,7.12,6.91,7.03
2022-01-04 15:00:00,7.03,7.08,6.85,6.88
2022-01-04 16:00:00,6.88,7.0,6.79,6.95
2022-01-04 17:00:00,6.96,7.06,6.88,6.92
2022-01-04 18:00:00,6.92,6.96,6.61,6.69
2022-01-04 19:00:00,6.67,6.81,6.63,6.76
2022-01-04 20:00:00,6.75,6.88,6.72,6.84
2022-01-04 21:00:00,6.84,6.85,6.76,6.81
2022-01-04 22:00:00,6.8,6.82,6.66,6.7
2022-01-04 23:00:00,6.69,6.73,6.56,6.6
2022-01-05 00:00:00,6.6,6.79,6.54,6.77
2022-01-05 01:00:00,6.76,6.78,6.68,6.7
2022-01-05 02:00:00,6.7,6.76,6.68,6.75
2022-01-05 03:00:00,6.75,6.88,6.75,6.82
2022-01-05 04:00:00,6.81,6.92,6.8,6.87
2022-01-05 05:00:00,6.87,7.09,6.85,7.03
2022-01-05 06:00:00,7.02,7.16,6.99,7.12
2022-01-05 07:00:00,7.13,7.2,7.09,7.13
2022-01-05 08:00:00,7.13,7.13,7.03,7.09
2022-01-05 09:00:00,7.08,7.09,7.04,7.06
2022-01-05 10:00:00,7.06,7.08,6.97,6.99
2022-01-05 11:00:00,6.99,6.99,6.85,6.93
2022-01-05 12:00:00,6.94,7.07,6.88,7.07
2022-01-05 13:00:00,7.07,7.36,7.03,7.25
2022-01-05 14:00:00,7.25,7.41,7.16,7.36
2022-01-05 15:00:00,7.36,7.46,7.28,7.39
2022-01-05 16:00:00,7.4,7.41,7.25,7.25
2022-01-05 17:00:00,7.26,7.33,7.09,7.1
2022-01-05 18:00:00,7.1,7.19,6.96,7.08
2022-01-05 19:00:00,7.08,7.12,6.58,6.58
2022-01-05 20:00:00,6.58,6.76,6.45,6.69
2022-01-05 21:00:00,6.69,6.75,6.46,6.48
2022-01-05 22:00:00,6.49,6.51,5.9,6.34
2022-01-05 23:00:00,6.33,6.6,6.27,6.37
2022-01-06 00:00:00,6.37,6.42,6.28,6.4
2022-01-06 01:00:00,6.41,6.42,6.13,6.17
2022-01-06 02:00:00,6.16,6.24,6.11,6.13
2022-01-06 03:00:00,6.14,6.2,6.03,6.04
2022-01-06 04:00:00,6.04,6.15,5.99,6.12
2022-01-06 05:00:00,6.11,6.17,6.06,6.12
2022-01-06 06:00:00,6.11,6.17,6.05,6.07
2022-01-06 07:00:00,6.08,6.13,6.05,6.09
2022-01-06 08:00:00,6.08,6.09,5.91,6.0
2022-01-06 09:00:00,6.0,6.02,5.84,5.89
2022-01-06 10:00:00,5.89,6.0,5.89,5.97
2022-01-06 11:00:00,5.98,6.0,5.89,5.95
2022-01-06 12:00:00,5.96,6.01,5.86,6.0
2022-01-06 13:00:00,6.02,6.16,6.02,6.13
2022-01-06 14:00:00,6.13,6.16,6.05,6.07
2022-01-06 15:00:00,6.08,6.09,5.97,6.07
2022-01-06 16:00:00,6.06,6.09,6.0,6.08
2022-01-06 17:00:00,6.05,6.11,6.02,6.06
2022-01-06 18:00:00,6.07,6.16,6.05,6.14
2022-01-06 19:00:00,6.16,6.16,6.06,6.09
2022-01-06 20:00:00,6.1,6.11,6.0,6.01
2022-01-06 21:00:00,6.02,6.03,5.97,6.01
2022-01-06 22:00:00,6.01,6.02,5.95,6.0
2022-01-06 23:00:00,6.0,6.02,5.95,5.96
2022-01-07 00:00:00,5.96,6.0,5.83,5.87
2022-01-07 01:00:00,5.88,5.93,5.84,5.89
2022-01-07 02:00:00,5.9,5.91,5.75,5.76
2022-01-07 03:00:00,5.77,5.78,5.49,5.51
2022-01-07 04:00:00,5.5,5.54,5.33,5.48
2022-01-07 05:00:00,5.49,5.52,5.44,5.49
2022-01-07 06:00:00,5.47,5.49,5.32,5.36
2022-01-07 07:00:00,5.36,5.43,5.28,5.41
