datetime,SOLBUSD_open,SOLBUSD_high,SOLBUSD_low,SOLBUSD_close
2022-01-01 00:00:00,171.49,174.31,171.34,173.27
2022-01-01 01:00:00,173.29,173.74,172.37,172.45
2022-01-01 02:00:00,172.41,173.4,172.06,173.11
2022-01-01 03:00:00,173.19,173.35,172.59,172.9
2022-01-01 04:00:00,172.92,173.3,172.13,172.78
2022-01-01 05:00:00,172.74,173.41,170.84,171.92
2022-01-01 06:00:00,171.93,172.67,171.56,171.56
2022-01-01 07:00:00,171.56,172.97,171.47,172.71
2022-01-01 08:00:00,172.78,173.13,172.44,172.66
2022-01-01 09:00:00,172.72,172.99,172.06,172.6
2022-01-01 10:00:00,172.56,174.22,172.32,173.85
2022-01-01 11:00:00,173.88,174.91,173.58,173.64
2022-01-01 12:00:00,173.72,175.46,173.62,175.08
2022-01-01 13:00:00,175.09,175.64,174.71,175.52
2022-01-01 14:00:00,175.51,177.35,175.51,177.31
2022-01-01 15:00:00,177.35,179.2,176.74,177.73
2022-01-01 16:00:00,177.79,178.82,176.2,176.41
2022-01-01 17:00:00,176.41,177.56,176.28,177.29
2022-01-01 18:00:00,177.29,179.13,177.02,179.12
2022-01-01 19:00:00,179.13,179.58,177.78,178.55
2022-01-01 20:00:00,178.65,179.08,177.8,177.94
2022-01-01 21:00:00,177.91,178.79,177.81,178.37
2022-01-01 22:00:00,178.31,178.76,176.68,177.68
2022-01-01 23:00:00,177.67,178.06,175.19,175.83
2022-01-02 00:00:00,175.89,176.69,175.67,176.66
2022-01-02 01:00:00,176.65,176.93,175.79,175.84
2022-01-02 02:00:00,175.8,176.51,175.59,175.94
2022-01-02 03:00:00,175.86,176.0,174.56,175.11
2022-01-02 04:00:00,175.11,176.33,174.7,175.72
2022-01-02 05:00:00,175.74,176.07,175.28,175.33
2022-01-02 06:00:00,175.37,176.28,175.31,175.63
2022-01-02 07:00:00,175.68,176.83,175.05,175.99
2022-01-02 08:00:00,176.0,176.2,175.57,176.04
2022-01-02 09:00:00,175.99,176.26,175.33,175.43
2022-01-02 10:00:00,175.41,176.33,175.14,176.25
2022-01-02 11:00:00,176.23,178.07,176.23,177.98
2022-01-02 12:00:00,178.0,178.74,177.31,177.79
2022-01-02 13:00:00,177.76,177.76,174.4,175.84
2022-01-02 14:00:00,175.75,176.38,175.11,175.37
2022-01-02 15:00:00,175.35,175.85,174.66,175.76
2022-01-02 16:00:00,175.74,176.13,175.26,175.74
2022-01-02 17:00:00,175.72,177.01,175.7,176.81
2022-01-02 18:00:00,176.83,177.11,175.83,176.36
2022-01-02 19:00:00,176.39,176.5,175.13,175.34
2022-01-02 20:00:00,175.33,175.33,174.19,174.79
2022-01-02 21:00:00,174.74,174.74,173.21,173.47
2022-01-02 22:00:00,173.45,173.75,172.15,172.8
2022-01-02 23:00:00,172.82,173.25,172.05,172.16
2022-01-03 00:00:00,172.15,173.88,172.04,173.52
2022-01-03 01:00:00,173.5,173.57,172.8,173.18
2022-01-03 02:00:00,173.13,173.19,172.5,173.1
2022-01-03 03:00:00,173.14,173.55,172.56,173.01
2022-01-03 04:00:00,173.04,173.4,172.36,173.27
2022-01-03 05:00:00,173.29,174.59,173.29,174.07
2022-01-03 06:00:00,174.1,175.0,174.07,174.75
2022-01-03 07:00:00,174.8,175.02,173.88,174.04
2022-01-03 08:00:00,174.02,175.42,173.96,174.77
2022-01-03 09:00:00,174.71,175.81,173.91,173.96
2022-01-03 10:00:00,173.97,174.57,170.9,170.98
2022-01-03 11:00:00,170.98,171.38,169.0,170.24
2022-01-03 12:00:00,170.19,171.73,169.9,170.66
2022-01-03 13:00:00,170.64,171.35,170.5,170.6
2022-01-03 14:00:00,170.63,170.84,169.94,169.94
2022-01-03 15:00:00,169.94,170.09,166.67,168.44
2022-01-03 16:00:00,168.59,169.92,168.05,169.05
2022-01-03 17:00:00,169.06,170.68,168.57,170.07
2022-01-03 18:00:00,170.1,171.09,169.54,170.1
2022-01-03 19:00:00,170.15,170.42,168.16,168.43
2022-01-03 20:00:00,168.42,169.53,167.81,167.9
2022-01-03 21:00:00,167.93,168.35,167.0,167.68
2022-01-03 22:00:00,167.68,168.09,167.0,167.84
2022-01-03 23:00:00,167.8,168.31,166.46,166.79
2022-01-04 00:00:00,166.74,168.17,166.6,167.49
2022-01-04 01:00:00,167.51,168.17,167.09,167.97
2022-01-04 02:00:00,168.0,169.17,167.5,169.03
2022-01-04 03:00:00,169.01,169.64,168.37,168.68
2022-01-04 04:00:00,168.7,169.0,167.5,167.83
2022-01-04 05:00:00,167.82,170.29,167.32,169.89
2022-01-04 06:00:00,169.88,172.27,169.88,171.67
2022-01-04 07:00:00,171.69,171.95,170.52,171.7
2022-01-04 08:00:00,171.66,172.18,170.75,171.48
2022-01-04 09:00:00,171.54,173.44,171.21,173.07
2022-01-04 10:00:00,173.03,173.85,171.57,172.19
2022-01-04 11:00:00,172.16,172.48,171.0,171.51
2022-01-04 12:00:00,171.5,171.77,170.06,170.15
2022-01-04 13:00:00,170.18,170.88,167.07,167.57
2022-01-04 14:00:00,167.55,169.94,167.15,168.56
2022-01-04 15:00:00,168.55,169.45,168.09,168.69
2022-01-04 16:00:00,168.69,169.28,168.17,169.07
2022-01-04 17:00:00,169.06,169.12,167.99,168.95
2022-01-04 18:00:00,168.9,168.95,167.51,167.74
2022-01-04 19:00:00,167.74,168.88,167.2,168.88
2022-01-04 20:00:00,168.88,168.89,167.24,167.27
2022-01-04 21:00:00,167.29,168.6,167.29,168.4
2022-01-04 22:00:00,168.44,169.28,168.4,169.12
2022-01-04 23:00:00,169.21,169.34,168.31,168.68
2022-01-05 00:00:00,168.65,169.08,168.09,169.05
2022-01-05 01:00:00,169.01,170.13,168.61,170.07
2022-01-05 02:00:00,170.08,170.47,169.38,169.9
2022-01-05 03:00:00,169.9,170.09,169.09,169.8
2022-01-05 04:00:00,169.8,170.86,169.63,170.84
2022-01-05 05:00:00,170.84,171.32,169.72,170.7
2022-01-05 06:00:00,170.7,170.79,168.0,168.52
2022-01-05 07:00:00,168.51,169.0,167.53,168.71
2022-01-05 08:00:00,168.71,169.24,168.0,168.55
2022-01-05 09:00:00,168.56,168.92,167.5,168.21
