datetime,SOLUSD_open,SOLUSD_high,SOLUSD_low,SOLUSD_close
2022-01-01 00:00:00,169.98,172.6,169.93,172.4
2022-01-01 01:00:00,172.4,174.25,171.75,172.72
2022-01-01 02:00:00,172.73,173.19,172.51,172.7
2022-01-01 03:00:00,172.74,173.13,172.5,172.89
2022-01-01 04:00:00,172.89,173.08,171.28,171.35
2022-01-01 05:00:00,171.36,174.33,171.18,173.31
2022-01-01 06:00:00,173.28,174.02,172.3,172.43
2022-01-01 07:00:00,172.42,173.38,172.1,173.12
2022-01-01 08:00:00,173.1,173.38,172.7,172.85
2022-01-01 09:00:00,172.9,173.26,172.17,172.75
2022-01-01 10:00:00,172.73,173.36,170.86,171.86
2022-01-01 11:00:00,171.91,172.67,171.52,171.56
2022-01-01 12:00:00,171.59,172.97,171.44,172.75
2022-01-01 13:00:00,172.78,173.22,172.47,172.63
2022-01-01 14:00:00,172.64,172.95,171.97,172.54
2022-01-01 15:00:00,172.54,174.17,172.29,173.88
2022-01-01 16:00:00,173.88,174.94,173.59,173.71
2022-01-01 17:00:00,173.68,175.55,173.6,175.06
2022-01-01 18:00:00,175.08,175.7,174.76,175.57
2022-01-01 19:00:00,175.53,177.46,175.53,177.38
2022-01-01 20:00:00,177.38,179.25,176.85,177.75
2022-01-01 21:00:00,177.81,178.95,176.22,176.4
2022-01-01 22:00:00,176.44,177.64,176.34,177.4
2022-01-01 23:00:00,177.39,179.21,176.85,179.21
2022-01-02 00:00:00,179.19,179.56,177.87,178.6
2022-01-02 01:00:00,178.6,179.11,177.85,178.02
2022-01-02 02:00:00,178.03,178.94,177.89,178.42
2022-01-02 03:00:00,178.42,178.79,177.09,177.75
2022-01-02 04:00:00,177.7,178.1,175.0,175.92
2022-01-02 05:00:00,175.91,176.72,175.66,176.66
2022-01-02 06:00:00,176.67,176.86,175.83,175.85
2022-01-02 07:00:00,175.81,176.49,175.54,175.86
2022-01-02 08:00:00,175.86,176.03,174.56,175.05
2022-01-02 09:00:00,175.05,176.24,174.66,175.76
2022-01-02 10:00:00,175.72,176.06,175.25,175.38
2022-01-02 11:00:00,175.38,176.31,175.31,175.67
2022-01-02 12:00:00,175.67,176.84,175.06,175.96
2022-01-02 13:00:00,175.99,176.24,175.52,176.02
2022-01-02 14:00:00,176.02,176.34,175.26,175.42
2022-01-02 15:00:00,175.35,176.35,175.17,176.3
2022-01-02 16:00:00,176.3,178.11,176.24,178.02
2022-01-02 17:00:00,178.09,178.74,177.27,177.78
2022-01-02 18:00:00,177.76,177.76,174.41,175.84
2022-01-02 19:00:00,175.83,176.42,175.1,175.35
2022-01-02 20:00:00,175.35,175.85,174.73,175.72
2022-01-02 21:00:00,175.71,176.14,175.25,175.77
2022-01-02 22:00:00,175.71,176.98,175.71,176.89
2022-01-02 23:00:00,176.89,177.16,175.78,176.32
2022-01-03 00:00:00,176.33,176.46,175.09,175.26
2022-01-03 01:00:00,175.29,175.35,174.15,174.62
2022-01-03 02:00:00,174.61,174.67,173.16,173.4
2022-01-03 03:00:00,173.41,173.65,172.15,172.81
2022-01-03 04:00:00,172.8,173.31,172.01,172.13
2022-01-03 05:00:00,172.13,173.88,172.03,173.54
2022-01-03 06:00:00,173.51,173.6,172.76,173.23
2022-01-03 07:00:00,173.14,173.22,172.42,173.12
2022-01-03 08:00:00,173.1,173.46,172.64,173.02
2022-01-03 09:00:00,173.03,173.41,172.37,173.27
2022-01-03 10:00:00,173.27,174.57,173.27,174.06
2022-01-03 11:00:00,174.06,175.01,174.06,174.75
2022-01-03 12:00:00,174.76,175.09,173.88,174.02
2022-01-03 13:00:00,173.98,175.43,173.76,174.72
2022-01-03 14:00:00,174.71,175.95,173.89,173.95
2022-01-03 15:00:00,173.97,174.57,170.8,170.93
2022-01-03 16:00:00,170.92,171.38,169.0,170.26
2022-01-03 17:00:00,170.23,171.78,169.91,170.68
2022-01-03 18:00:00,170.66,171.5,170.53,170.71
2022-01-03 19:00:00,170.71,170.92,169.75,169.95
2022-01-03 20:00:00,169.93,170.12,166.73,168.49
2022-01-03 21:00:00,168.53,170.0,168.03,169.01
