datetime,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close
2022-01-01 00:00:00,170.22,172.59,170.22,172.37
2022-01-01 01:00:00,172.44,174.24,171.77,172.86
2022-01-01 02:00:00,172.85,173.17,172.62,172.72
2022-01-01 03:00:00,172.71,173.41,172.54,173.19
2022-01-01 04:00:00,172.91,172.91,171.46,171.46
2022-01-01 05:00:00,171.41,174.29,171.28,173.29
2022-01-01 06:00:00,173.42,173.72,172.34,172.53
2022-01-01 07:00:00,172.6,173.31,172.16,173.16
2022-01-01 08:00:00,173.16,173.34,172.72,172.79
2022-01-01 09:00:00,172.8,173.23,172.22,172.92
2022-01-01 10:00:00,172.92,173.32,170.89,172.09
2022-01-01 11:00:00,172.1,172.63,171.54,171.54
2022-01-01 12:00:00,171.85,172.88,171.85,172.87
2022-01-01 13:00:00,172.96,173.18,172.47,172.71
2022-01-01 14:00:00,172.74,172.89,172.07,172.53
2022-01-01 15:00:00,172.6,174.14,172.59,173.91
2022-01-01 16:00:00,174.03,174.89,173.62,173.79
2022-01-01 17:00:00,173.91,175.51,173.69,175.1
2022-01-01 18:00:00,175.14,175.6,174.75,175.59
2022-01-01 19:00:00,175.6,177.31,175.6,177.31
2022-01-01 20:00:00,177.32,179.15,176.83,177.81
2022-01-01 21:00:00,177.96,178.78,176.19,176.35
2022-01-01 22:00:00,176.56,177.53,176.39,177.36
2022-01-01 23:00:00,177.25,179.08,177.0,179.08
2022-01-02 00:00:00,179.13,180.0,177.95,178.52
2022-01-02 01:00:00,178.47,178.97,177.78,177.97
2022-01-02 02:00:00,177.93,178.79,177.83,178.39
2022-01-02 03:00:00,178.33,178.67,176.75,177.66
2022-01-02 04:00:00,177.73,178.0,175.16,175.96
2022-01-02 05:00:00,176.03,176.61,175.95,176.58
2022-01-02 06:00:00,176.53,176.85,175.75,175.75
2022-01-02 07:00:00,175.76,176.37,175.58,175.8
2022-01-02 08:00:00,175.69,175.95,174.53,175.09
2022-01-02 09:00:00,175.03,176.18,174.75,175.71
2022-01-02 10:00:00,175.69,176.03,175.25,175.25
2022-01-02 11:00:00,175.64,176.28,175.53,175.82
2022-01-02 12:00:00,175.54,176.82,175.29,175.9
2022-01-02 13:00:00,175.76,176.11,175.59,176.03
2022-01-02 14:00:00,176.2,176.26,175.35,175.38
2022-01-02 15:00:00,175.29,176.3,175.1,176.2
2022-01-02 16:00:00,176.23,178.33,176.21,178.08
2022-01-02 17:00:00,178.15,178.71,177.27,177.66
2022-01-02 18:00:00,177.59,177.61,174.18,175.87
2022-01-02 19:00:00,175.78,176.39,175.04,175.24
2022-01-02 20:00:00,175.2,175.84,174.73,175.64
2022-01-02 21:00:00,175.61,176.04,175.2,175.83
2022-01-02 22:00:00,175.95,177.06,175.87,176.97
2022-01-02 23:00:00,176.99,176.99,175.88,176.4
2022-01-03 00:00:00,176.3,176.41,175.01,175.13
2022-01-03 01:00:00,175.2,175.32,174.14,174.63
2022-01-03 02:00:00,174.5,174.5,173.2,173.29
2022-01-03 03:00:00,173.45,173.7,172.18,172.56
2022-01-03 04:00:00,172.4,173.16,172.03,172.12
2022-01-03 05:00:00,172.13,173.82,172.13,173.5
2022-01-03 06:00:00,173.62,173.62,172.77,173.17
2022-01-03 07:00:00,173.01,173.21,172.52,173.18
2022-01-03 08:00:00,173.11,173.47,172.69,172.97
2022-01-03 09:00:00,173.24,173.47,172.4,173.47
2022-01-03 10:00:00,173.54,174.57,173.36,174.0
2022-01-03 11:00:00,174.29,174.97,174.29,174.84
2022-01-03 12:00:00,174.66,175.03,173.97,173.97
2022-01-03 13:00:00,174.04,175.37,174.0,174.73
2022-01-03 14:00:00,174.67,175.83,173.94,173.96
2022-01-03 15:00:00,174.32,174.51,170.9,171.01
2022-01-03 16:00:00,170.9,171.25,169.0,170.11
2022-01-03 17:00:00,170.09,171.7,169.95,170.68
2022-01-03 18:00:00,170.88,171.32,170.49,170.63
2022-01-03 19:00:00,170.59,170.84,169.95,169.95
2022-01-03 20:00:00,169.9,170.04,166.78,168.48
2022-01-03 21:00:00,168.38,169.93,168.05,169.0
2022-01-03 22:00:00,168.94,170.61,168.61,170.02
2022-01-03 23:00:00,170.3,171.05,169.63,170.08
2022-01-04 00:00:00,170.3,170.37,168.15,168.32
2022-01-04 01:00:00,168.32,169.53,167.82,168.01
2022-01-04 02:00:00,167.78,168.19,166.98,167.91
2022-01-04 03:00:00,167.88,168.1,167.03,167.7
2022-01-04 04:00:00,167.69,168.22,166.51,166.67
2022-01-04 05:00:00,166.68,168.19,166.6,167.46
2022-01-04 06:00:00,167.1,168.2,167.06,167.9
2022-01-04 07:00:00,167.88,169.14,167.53,169.14
2022-01-04 08:00:00,169.07,169.6,168.35,168.87
2022-01-04 09:00:00,168.81,168.96,167.6,168.1
2022-01-04 10:00:00,168.03,170.46,167.31,170.15
2022-01-04 11:00:00,170.26,172.25,170.14,171.74
2022-01-04 12:00:00,171.86,171.94,170.59,171.9
2022-01-04 13:00:00,171.9,172.14,170.83,171.72
2022-01-04 14:00:00,171.83,173.39,171.28,173.05
2022-01-04 15:00:00,173.29,173.89,171.52,172.27
2022-01-04 16:00:00,172.13,172.51,171.0,171.47
2022-01-04 17:00:00,171.43,171.73,170.07,170.19
2022-01-04 18:00:00,170.32,170.83,167.08,167.54
2022-01-04 19:00:00,167.46,169.55,167.09,168.59
2022-01-04 20:00:00,168.78,169.47,168.13,168.77
2022-01-04 21:00:00,168.73,169.23,168.34,169.04
2022-01-04 22:00:00,168.91,169.19,168.17,168.84
2022-01-04 23:00:00,168.58,168.87,167.59,168.17
2022-01-05 00:00:00,168.17,168.93,167.26,168.88
2022-01-05 01:00:00,168.84,168.84,167.2,167.51
2022-01-05 02:00:00,167.48,168.62,167.33,168.45
2022-01-05 03:00:00,168.49,169.3,168.38,169.17
2022-01-05 04:00:00,169.21,169.32,168.32,168.56
2022-01-05 05:00:00,168.41,169.08,168.15,169.01
2022-01-05 06:00:00,169.04,170.12,168.62,169.96
2022-01-05 07:00:00,169.96,170.43,169.43,169.74
2022-01-05 08:00:00,169.74,170.09,169.08,169.83
2022-01-05 09:00:00,169.92,170.94,169.63,170.94
2022-01-05 10:00:00,170.9,171.31,169.74,170.73
2022-01-05 11:00:00,170.56,170.56,168.04,168.44
2022-01-05 12:00:00,168.63,168.94,167.55,168.53
2022-01-05 13:00:00,168.5,169.25,168.04,168.55
2022-01-05 14:00:00,168.47,168.86,167.48,168.39
2022-01-05 15:00:00,168.4,169.24,167.96,168.24
2022-01-05 16:00:00,168.35,168.65,167.46,167.7
2022-01-05 17:00:00,167.57,168.13,163.1,163.41
2022-01-05 18:00:00,163.56,165.28,162.52,163.91
2022-01-05 19:00:00,163.69,164.37,157.59,158.12
