datetime,SRMBUSD_open,SRMBUSD_high,SRMBUSD_low,SRMBUSD_close
2022-01-01 00:00:00,3.465,3.531,3.457,3.517
2022-01-01 01:00:00,3.524,3.525,3.496,3.501
2022-01-01 02:00:00,3.498,3.521,3.491,3.513
2022-01-01 03:00:00,3.508,3.521,3.503,3.51
2022-01-01 04:00:00,3.511,3.538,3.51,3.52
2022-01-01 05:00:00,3.528,3.538,3.475,3.492
2022-01-01 06:00:00,3.495,3.511,3.477,3.479
2022-01-01 07:00:00,3.479,3.509,3.479,3.509
2022-01-01 08:00:00,3.509,3.517,3.501,3.505
2022-01-01 09:00:00,3.512,3.542,3.495,3.531
2022-01-01 10:00:00,3.527,3.574,3.524,3.545
2022-01-01 11:00:00,3.559,3.57,3.538,3.54
2022-01-01 12:00:00,3.546,3.597,3.544,3.593
2022-01-01 13:00:00,3.599,3.622,3.595,3.621
2022-01-01 14:00:00,3.623,3.645,3.61,3.625
2022-01-01 15:00:00,3.625,3.653,3.625,3.634
2022-01-01 16:00:00,3.634,3.644,3.623,3.634
2022-01-01 17:00:00,3.637,3.641,3.629,3.635
2022-01-01 18:00:00,3.631,3.676,3.621,3.669
2022-01-01 19:00:00,3.669,3.678,3.633,3.651
2022-01-01 20:00:00,3.651,3.672,3.645,3.657
2022-01-01 21:00:00,3.655,3.657,3.636,3.654
2022-01-01 22:00:00,3.65,3.659,3.639,3.64
2022-01-01 23:00:00,3.646,3.672,3.585,3.619
2022-01-02 00:00:00,3.623,3.638,3.614,3.637
2022-01-02 01:00:00,3.637,3.652,3.627,3.647
2022-01-02 02:00:00,3.639,3.644,3.628,3.628
2022-01-02 03:00:00,3.628,3.68,3.604,3.675
2022-01-02 04:00:00,3.677,3.739,3.674,3.713
2022-01-02 05:00:00,3.708,3.724,3.706,3.711
2022-01-02 06:00:00,3.711,3.738,3.711,3.73
2022-01-02 07:00:00,3.735,3.748,3.712,3.725
2022-01-02 08:00:00,3.722,3.724,3.686,3.704
2022-01-02 09:00:00,3.701,3.752,3.701,3.75
2022-01-02 10:00:00,3.751,3.8,3.748,3.772
2022-01-02 11:00:00,3.778,3.85,3.778,3.836
2022-01-02 12:00:00,3.843,3.859,3.824,3.844
2022-01-02 13:00:00,3.844,3.844,3.733,3.776
2022-01-02 14:00:00,3.784,3.809,3.767,3.781
2022-01-02 15:00:00,3.771,3.811,3.771,3.804
2022-01-02 16:00:00,3.8,3.838,3.787,3.83
2022-01-02 17:00:00,3.834,3.879,3.813,3.813
2022-01-02 18:00:00,3.813,3.817,3.794,3.804
2022-01-02 19:00:00,3.804,3.811,3.767,3.767
2022-01-02 20:00:00,3.766,3.772,3.743,3.752
2022-01-02 21:00:00,3.754,3.754,3.722,3.736
2022-01-02 22:00:00,3.73,3.756,3.726,3.744
2022-01-02 23:00:00,3.733,3.742,3.722,3.722
2022-01-03 00:00:00,3.722,3.75,3.712,3.736
2022-01-03 01:00:00,3.739,3.739,3.702,3.708
2022-01-03 02:00:00,3.704,3.71,3.697,3.707
2022-01-03 03:00:00,3.709,3.722,3.703,3.703
2022-01-03 04:00:00,3.716,3.722,3.693,3.72
2022-01-03 05:00:00,3.721,3.738,3.717,3.726
2022-01-03 06:00:00,3.734,3.775,3.734,3.775
2022-01-03 07:00:00,3.776,3.793,3.714,3.726
2022-01-03 08:00:00,3.728,3.754,3.727,3.743
2022-01-03 09:00:00,3.738,3.758,3.702,3.706
2022-01-03 10:00:00,3.7,3.718,3.651,3.669
2022-01-03 11:00:00,3.668,3.682,3.585,3.632
