datetime,STORJBUSD_open,STORJBUSD_high,STORJBUSD_low,STORJBUSD_close
2022-01-01 00:00:00,1.7863,1.8283,1.7853,1.8051
2022-01-01 01:00:00,1.8162,1.8188,1.7996,1.7996
2022-01-01 02:00:00,1.7984,1.8079,1.7942,1.8057
2022-01-01 03:00:00,1.8016,1.8055,1.8016,1.8033
2022-01-01 04:00:00,1.7982,1.8061,1.7893,1.7933
2022-01-01 05:00:00,1.7979,1.802,1.7764,1.7871
2022-01-01 06:00:00,1.7923,1.7972,1.7853,1.7879
2022-01-01 07:00:00,1.7843,1.8022,1.7817,1.7967
2022-01-01 08:00:00,1.8007,1.8007,1.7907,1.7939
2022-01-01 09:00:00,1.7971,1.7993,1.793,1.7975
2022-01-01 10:00:00,1.7944,1.8031,1.7884,1.7912
2022-01-01 11:00:00,1.7962,1.8086,1.7954,1.8007
2022-01-01 12:00:00,1.8049,1.821,1.8048,1.8107
2022-01-01 13:00:00,1.815,1.8211,1.8116,1.8177
2022-01-01 14:00:00,1.8193,1.8194,1.8101,1.8124
2022-01-01 15:00:00,1.8158,1.8183,1.8125,1.8125
2022-01-01 16:00:00,1.8125,1.8213,1.8093,1.814
2022-01-01 17:00:00,1.8116,1.8149,1.808,1.808
2022-01-01 18:00:00,1.808,1.8381,1.8066,1.8336
2022-01-01 19:00:00,1.8334,1.8334,1.8112,1.8291
2022-01-01 20:00:00,1.8322,1.8322,1.808,1.808
2022-01-01 21:00:00,1.808,1.8091,1.8018,1.8062
2022-01-01 22:00:00,1.8066,1.8192,1.8059,1.8079
2022-01-01 23:00:00,1.8106,1.8466,1.7971,1.808
2022-01-02 00:00:00,1.8099,1.8281,1.8023,1.8281
2022-01-02 01:00:00,1.8283,1.8443,1.8148,1.8343
2022-01-02 02:00:00,1.8343,1.8367,1.8211,1.8254
2022-01-02 03:00:00,1.8213,1.8703,1.8149,1.8575
2022-01-02 04:00:00,1.8641,1.8984,1.8548,1.8865
2022-01-02 05:00:00,1.8869,1.9069,1.877,1.8914
2022-01-02 06:00:00,1.8915,1.8937,1.8719,1.885
2022-01-02 07:00:00,1.8823,1.8874,1.8691,1.8729
2022-01-02 08:00:00,1.8798,1.9025,1.874,1.9025
2022-01-02 09:00:00,1.903,1.9446,1.8947,1.9323
2022-01-02 10:00:00,1.9323,2.0289,1.9212,1.973
2022-01-02 11:00:00,1.9731,1.9887,1.9182,1.9374
2022-01-02 12:00:00,1.9374,1.9407,1.9164,1.9325
2022-01-02 13:00:00,1.934,1.9432,1.886,1.9119
2022-01-02 14:00:00,1.9162,1.9346,1.912,1.9261
2022-01-02 15:00:00,1.9191,1.9193,1.8992,1.9059
2022-01-02 16:00:00,1.9072,1.9133,1.9026,1.9074
2022-01-02 17:00:00,1.9091,1.9123,1.8997,1.8997
2022-01-02 18:00:00,1.9042,1.9303,1.9042,1.9303
2022-01-02 19:00:00,1.9214,1.9346,1.9028,1.9136
2022-01-02 20:00:00,1.9118,1.9793,1.9116,1.9628
2022-01-02 21:00:00,1.9639,1.9799,1.9428,1.952
2022-01-02 22:00:00,1.9536,1.9739,1.9297,1.9376
2022-01-02 23:00:00,1.9349,1.9407,1.9145,1.9145
2022-01-03 00:00:00,1.9168,1.9377,1.9121,1.9377
2022-01-03 01:00:00,1.94,1.9418,1.9191,1.9193
2022-01-03 02:00:00,1.9191,1.9369,1.9163,1.9163
2022-01-03 03:00:00,1.9185,1.9215,1.8833,1.8908
2022-01-03 04:00:00,1.8964,1.8966,1.8583,1.8736
2022-01-03 05:00:00,1.874,1.8893,1.874,1.8833
2022-01-03 06:00:00,1.8893,1.8967,1.8893,1.8914
2022-01-03 07:00:00,1.8911,1.8957,1.88,1.8839
2022-01-03 08:00:00,1.8869,1.901,1.8851,1.8968
2022-01-03 09:00:00,1.8939,1.8997,1.8751,1.8786
2022-01-03 10:00:00,1.8786,1.886,1.8576,1.8592
2022-01-03 11:00:00,1.8687,1.8797,1.8195,1.8339
2022-01-03 12:00:00,1.8399,1.8541,1.8336,1.8538
2022-01-03 13:00:00,1.8539,1.8647,1.8433,1.8433
2022-01-03 14:00:00,1.8458,1.8527,1.8396,1.8489
2022-01-03 15:00:00,1.8399,1.8399,1.8051,1.8093
2022-01-03 16:00:00,1.8189,1.8347,1.8136,1.8216
2022-01-03 17:00:00,1.8212,1.844,1.8212,1.8334
2022-01-03 18:00:00,1.8346,1.8562,1.8334,1.8496
2022-01-03 19:00:00,1.8525,1.8525,1.8156,1.8156
2022-01-03 20:00:00,1.8145,1.8256,1.8048,1.8088
2022-01-03 21:00:00,1.8103,1.8103,1.7788,1.7884
2022-01-03 22:00:00,1.7872,1.8079,1.7803,1.8033
2022-01-03 23:00:00,1.8023,1.8079,1.7887,1.7887
2022-01-04 00:00:00,1.7884,1.798,1.7853,1.798
2022-01-04 01:00:00,1.7988,1.8096,1.7954,1.8096
2022-01-04 02:00:00,1.8099,1.8165,1.8021,1.8165
2022-01-04 03:00:00,1.8167,1.8268,1.8116,1.819
2022-01-04 04:00:00,1.8198,1.8215,1.7974,1.799
2022-01-04 05:00:00,1.8023,1.8363,1.8007,1.8315
2022-01-04 06:00:00,1.8328,1.844,1.8272,1.8383
2022-01-04 07:00:00,1.8373,1.8373,1.8153,1.8241
2022-01-04 08:00:00,1.8255,1.8375,1.8112,1.8342
2022-01-04 09:00:00,1.838,1.8676,1.8268,1.8518
2022-01-04 10:00:00,1.857,1.8647,1.8374,1.8409
2022-01-04 11:00:00,1.8362,1.848,1.819,1.8442
2022-01-04 12:00:00,1.8477,1.8715,1.8374,1.8382
2022-01-04 13:00:00,1.8382,1.8411,1.7639,1.7882
2022-01-04 14:00:00,1.7767,1.8158,1.7743,1.8052
2022-01-04 15:00:00,1.8067,1.8296,1.8052,1.8189
2022-01-04 16:00:00,1.8182,1.8256,1.8095,1.8256
2022-01-04 17:00:00,1.8189,1.8227,1.8041,1.8143
2022-01-04 18:00:00,1.8066,1.8066,1.7806,1.7887
2022-01-04 19:00:00,1.7834,1.8277,1.7737,1.8251
