datetime,STRAXBUSD_open,STRAXBUSD_high,STRAXBUSD_low,STRAXBUSD_close
2022-01-01 00:00:00,1.426,1.43,1.424,1.426
2022-01-01 01:00:00,1.427,1.435,1.416,1.416
2022-01-01 02:00:00,1.413,1.424,1.411,1.424
2022-01-01 03:00:00,1.423,1.423,1.421,1.422
2022-01-01 04:00:00,1.422,1.426,1.42,1.423
2022-01-01 05:00:00,1.427,1.428,1.412,1.419
2022-01-01 06:00:00,1.421,1.423,1.414,1.414
2022-01-01 07:00:00,1.418,1.423,1.414,1.42
2022-01-01 08:00:00,1.42,1.428,1.42,1.424
2022-01-01 09:00:00,1.423,1.426,1.42,1.426
2022-01-01 10:00:00,1.424,1.428,1.423,1.423
2022-01-01 11:00:00,1.423,1.431,1.423,1.429
2022-01-01 12:00:00,1.429,1.442,1.424,1.439
2022-01-01 13:00:00,1.44,1.442,1.432,1.44
2022-01-01 14:00:00,1.438,1.44,1.432,1.433
2022-01-01 15:00:00,1.436,1.445,1.435,1.443
2022-01-01 16:00:00,1.441,1.442,1.428,1.431
2022-01-01 17:00:00,1.429,1.441,1.426,1.434
2022-01-01 18:00:00,1.434,1.445,1.432,1.445
2022-01-01 19:00:00,1.442,1.458,1.439,1.454
2022-01-01 20:00:00,1.452,1.454,1.448,1.45
2022-01-01 21:00:00,1.452,1.477,1.452,1.476
2022-01-01 22:00:00,1.477,1.48,1.467,1.471
2022-01-01 23:00:00,1.475,1.477,1.443,1.45
2022-01-02 00:00:00,1.448,1.462,1.448,1.462
2022-01-02 01:00:00,1.458,1.458,1.449,1.453
2022-01-02 02:00:00,1.451,1.463,1.445,1.461
2022-01-02 03:00:00,1.463,1.505,1.459,1.496
2022-01-02 04:00:00,1.496,1.505,1.49,1.492
2022-01-02 05:00:00,1.492,1.509,1.492,1.507
2022-01-02 06:00:00,1.506,1.51,1.499,1.51
2022-01-02 07:00:00,1.511,1.536,1.495,1.521
2022-01-02 08:00:00,1.52,1.55,1.517,1.541
2022-01-02 09:00:00,1.547,1.586,1.544,1.555
2022-01-02 10:00:00,1.556,1.6,1.522,1.523
2022-01-02 11:00:00,1.527,1.541,1.519,1.538
2022-01-02 12:00:00,1.541,1.545,1.528,1.531
2022-01-02 13:00:00,1.527,1.528,1.501,1.501
2022-01-02 14:00:00,1.505,1.507,1.498,1.498
2022-01-02 15:00:00,1.499,1.499,1.494,1.496
2022-01-02 16:00:00,1.498,1.501,1.493,1.5
2022-01-02 17:00:00,1.5,1.515,1.5,1.514
2022-01-02 18:00:00,1.516,1.535,1.516,1.527
2022-01-02 19:00:00,1.528,1.569,1.528,1.56
2022-01-02 20:00:00,1.559,1.598,1.559,1.587
2022-01-02 21:00:00,1.588,1.59,1.553,1.573
2022-01-02 22:00:00,1.569,1.574,1.539,1.544
2022-01-02 23:00:00,1.547,1.549,1.532,1.533
2022-01-03 00:00:00,1.533,1.54,1.517,1.533
2022-01-03 01:00:00,1.54,1.542,1.52,1.52
2022-01-03 02:00:00,1.52,1.527,1.515,1.522
2022-01-03 03:00:00,1.522,1.533,1.507,1.532
2022-01-03 04:00:00,1.531,1.534,1.515,1.519
2022-01-03 05:00:00,1.52,1.524,1.516,1.521
2022-01-03 06:00:00,1.521,1.548,1.521,1.538
2022-01-03 07:00:00,1.539,1.566,1.539,1.542
2022-01-03 08:00:00,1.543,1.545,1.538,1.542
2022-01-03 09:00:00,1.54,1.543,1.49,1.523
2022-01-03 10:00:00,1.521,1.525,1.509,1.515
2022-01-03 11:00:00,1.513,1.515,1.482,1.485
2022-01-03 12:00:00,1.485,1.5,1.484,1.493
2022-01-03 13:00:00,1.493,1.497,1.492,1.494
2022-01-03 14:00:00,1.493,1.501,1.491,1.491
2022-01-03 15:00:00,1.49,1.492,1.476,1.479
2022-01-03 16:00:00,1.481,1.487,1.477,1.485
2022-01-03 17:00:00,1.481,1.492,1.48,1.481
2022-01-03 18:00:00,1.48,1.499,1.48,1.489
2022-01-03 19:00:00,1.491,1.577,1.484,1.546
2022-01-03 20:00:00,1.541,1.546,1.501,1.506
2022-01-03 21:00:00,1.505,1.517,1.487,1.513
2022-01-03 22:00:00,1.512,1.513,1.501,1.511
2022-01-03 23:00:00,1.514,1.536,1.501,1.501
2022-01-04 00:00:00,1.498,1.516,1.496,1.514
2022-01-04 01:00:00,1.513,1.536,1.504,1.534
2022-01-04 02:00:00,1.536,1.585,1.536,1.544
2022-01-04 03:00:00,1.542,1.562,1.538,1.545
2022-01-04 04:00:00,1.545,1.556,1.534,1.537
2022-01-04 05:00:00,1.535,1.561,1.532,1.56
2022-01-04 06:00:00,1.562,1.586,1.558,1.558
2022-01-04 07:00:00,1.557,1.591,1.543,1.558
2022-01-04 08:00:00,1.559,1.572,1.546,1.555
2022-01-04 09:00:00,1.556,1.56,1.542,1.557
2022-01-04 10:00:00,1.559,1.559,1.543,1.543
2022-01-04 11:00:00,1.541,1.544,1.534,1.539
2022-01-04 12:00:00,1.537,1.548,1.536,1.541
2022-01-04 13:00:00,1.543,1.544,1.516,1.519
2022-01-04 14:00:00,1.514,1.537,1.512,1.528
2022-01-04 15:00:00,1.532,1.548,1.529,1.544
2022-01-04 16:00:00,1.542,1.543,1.529,1.538
2022-01-04 17:00:00,1.536,1.537,1.526,1.535
2022-01-04 18:00:00,1.534,1.552,1.531,1.538
2022-01-04 19:00:00,1.539,1.54,1.505,1.518
2022-01-04 20:00:00,1.518,1.518,1.491,1.493
2022-01-04 21:00:00,1.493,1.517,1.492,1.507
2022-01-04 22:00:00,1.511,1.523,1.511,1.522
2022-01-04 23:00:00,1.521,1.529,1.521,1.525
2022-01-05 00:00:00,1.526,1.526,1.515,1.518
2022-01-05 01:00:00,1.517,1.527,1.517,1.527
2022-01-05 02:00:00,1.526,1.526,1.521,1.526
2022-01-05 03:00:00,1.526,1.533,1.52,1.529
2022-01-05 04:00:00,1.531,1.546,1.531,1.545
2022-01-05 05:00:00,1.544,1.55,1.538,1.541
2022-01-05 06:00:00,1.539,1.553,1.529,1.549
2022-01-05 07:00:00,1.552,1.578,1.546,1.569
2022-01-05 08:00:00,1.569,1.569,1.552,1.56
2022-01-05 09:00:00,1.56,1.565,1.551,1.561
2022-01-05 10:00:00,1.562,1.563,1.552,1.562
2022-01-05 11:00:00,1.562,1.563,1.551,1.555
2022-01-05 12:00:00,1.555,1.563,1.551,1.551
2022-01-05 13:00:00,1.548,1.562,1.537,1.542
2022-01-05 14:00:00,1.54,1.54,1.478,1.482
2022-01-05 15:00:00,1.479,1.481,1.429,1.429
2022-01-05 16:00:00,1.432,1.45,1.4,1.406
2022-01-05 17:00:00,1.409,1.409,1.352,1.397
2022-01-05 18:00:00,1.405,1.44,1.405,1.411
2022-01-05 19:00:00,1.411,1.426,1.41,1.413
2022-01-05 20:00:00,1.415,1.417,1.398,1.405
2022-01-05 21:00:00,1.4,1.4,1.388,1.391
2022-01-05 22:00:00,1.388,1.39,1.361,1.361
2022-01-05 23:00:00,1.364,1.381,1.355,1.378
2022-01-06 00:00:00,1.377,1.395,1.371,1.389
2022-01-06 01:00:00,1.387,1.387,1.377,1.382
2022-01-06 02:00:00,1.383,1.389,1.381,1.389
2022-01-06 03:00:00,1.388,1.388,1.368,1.373
2022-01-06 04:00:00,1.368,1.368,1.35,1.35
2022-01-06 05:00:00,1.352,1.373,1.352,1.371
2022-01-06 06:00:00,1.376,1.376,1.36,1.365
2022-01-06 07:00:00,1.365,1.372,1.355,1.372
2022-01-06 08:00:00,1.376,1.387,1.375,1.385
2022-01-06 09:00:00,1.387,1.392,1.375,1.378
2022-01-06 10:00:00,1.373,1.391,1.369,1.389
2022-01-06 11:00:00,1.386,1.392,1.379,1.386
2022-01-06 12:00:00,1.384,1.389,1.38,1.389
2022-01-06 13:00:00,1.391,1.406,1.391,1.406
2022-01-06 14:00:00,1.408,1.408,1.405,1.407
2022-01-06 15:00:00,1.408,1.417,1.407,1.414
2022-01-06 16:00:00,1.413,1.419,1.41,1.415
2022-01-06 17:00:00,1.416,1.424,1.413,1.42
2022-01-06 18:00:00,1.422,1.428,1.419,1.421
2022-01-06 19:00:00,1.423,1.481,1.409,1.453
2022-01-06 20:00:00,1.455,1.456,1.404,1.416
2022-01-06 21:00:00,1.416,1.421,1.406,1.406
2022-01-06 22:00:00,1.405,1.405,1.346,1.346
2022-01-06 23:00:00,1.347,1.348,1.305,1.341
2022-01-07 00:00:00,1.348,1.35,1.341,1.35
2022-01-07 01:00:00,1.351,1.351,1.333,1.336
2022-01-07 02:00:00,1.329,1.355,1.328,1.355
2022-01-07 03:00:00,1.357,1.382,1.357,1.368
2022-01-07 04:00:00,1.366,1.38,1.366,1.378
2022-01-07 05:00:00,1.375,1.377,1.369,1.371
2022-01-07 06:00:00,1.365,1.368,1.364,1.367
2022-01-07 07:00:00,1.364,1.375,1.364,1.367
2022-01-07 08:00:00,1.367,1.372,1.323,1.329
2022-01-07 09:00:00,1.328,1.351,1.325,1.346
2022-01-07 10:00:00,1.344,1.344,1.307,1.32
2022-01-07 11:00:00,1.326,1.348,1.314,1.348
2022-01-07 12:00:00,1.346,1.349,1.333,1.337
2022-01-07 13:00:00,1.337,1.339,1.327,1.332
2022-01-07 14:00:00,1.332,1.339,1.325,1.334
2022-01-07 15:00:00,1.338,1.343,1.331,1.343
2022-01-07 16:00:00,1.346,1.346,1.336,1.346
2022-01-07 17:00:00,1.342,1.346,1.339,1.339
2022-01-07 18:00:00,1.34,1.346,1.336,1.336
2022-01-07 19:00:00,1.339,1.381,1.338,1.373
2022-01-07 20:00:00,1.373,1.378,1.357,1.361
2022-01-07 21:00:00,1.36,1.36,1.346,1.353
2022-01-07 22:00:00,1.355,1.358,1.352,1.356
2022-01-07 23:00:00,1.359,1.363,1.357,1.363
2022-01-08 00:00:00,1.361,1.362,1.36,1.36
2022-01-08 01:00:00,1.36,1.371,1.358,1.37
2022-01-08 02:00:00,1.368,1.368,1.362,1.362
2022-01-08 03:00:00,1.37,1.37,1.359,1.365
2022-01-08 04:00:00,1.365,1.367,1.364,1.364
2022-01-08 05:00:00,1.363,1.364,1.357,1.36
2022-01-08 06:00:00,1.358,1.361,1.356,1.358
2022-01-08 07:00:00,1.361,1.361,1.354,1.355
2022-01-08 08:00:00,1.357,1.367,1.348,1.357
2022-01-08 09:00:00,1.357,1.358,1.351,1.351
2022-01-08 10:00:00,1.35,1.35,1.329,1.332
2022-01-08 11:00:00,1.332,1.335,1.322,1.322
2022-01-08 12:00:00,1.318,1.323,1.281,1.281
2022-01-08 13:00:00,1.281,1.294,1.257,1.258
2022-01-08 14:00:00,1.256,1.271,1.252,1.262
2022-01-08 15:00:00,1.263,1.268,1.252,1.256
2022-01-08 16:00:00,1.259,1.294,1.259,1.289
2022-01-08 17:00:00,1.29,1.316,1.29,1.302
2022-01-08 18:00:00,1.303,1.319,1.298,1.306
2022-01-08 19:00:00,1.306,1.395,1.287,1.299
2022-01-08 20:00:00,1.299,1.304,1.286,1.303
2022-01-08 21:00:00,1.304,1.318,1.301,1.318
2022-01-08 22:00:00,1.313,1.319,1.308,1.318
2022-01-08 23:00:00,1.315,1.328,1.312,1.321
2022-01-09 00:00:00,1.321,1.324,1.304,1.306
2022-01-09 01:00:00,1.306,1.334,1.306,1.323
2022-01-09 02:00:00,1.323,1.324,1.315,1.316
2022-01-09 03:00:00,1.314,1.315,1.304,1.306
2022-01-09 04:00:00,1.305,1.313,1.292,1.293
2022-01-09 05:00:00,1.295,1.301,1.293,1.294
2022-01-09 06:00:00,1.296,1.306,1.296,1.302
2022-01-09 07:00:00,1.304,1.307,1.292,1.295
2022-01-09 08:00:00,1.292,1.303,1.287,1.287
2022-01-09 09:00:00,1.286,1.295,1.286,1.293
2022-01-09 10:00:00,1.295,1.302,1.287,1.29
2022-01-09 11:00:00,1.291,1.315,1.29,1.315
2022-01-09 12:00:00,1.313,1.317,1.306,1.313
2022-01-09 13:00:00,1.313,1.314,1.303,1.303
2022-01-09 14:00:00,1.303,1.326,1.303,1.326
2022-01-09 15:00:00,1.327,1.327,1.322,1.324
2022-01-09 16:00:00,1.324,1.326,1.321,1.323
2022-01-09 17:00:00,1.323,1.328,1.311,1.314
2022-01-09 18:00:00,1.314,1.323,1.309,1.319
2022-01-09 19:00:00,1.311,1.328,1.307,1.315
2022-01-09 20:00:00,1.319,1.341,1.317,1.336
2022-01-09 21:00:00,1.334,1.35,1.328,1.348
2022-01-09 22:00:00,1.345,1.392,1.335,1.378
2022-01-09 23:00:00,1.369,1.389,1.347,1.349
2022-01-10 00:00:00,1.355,1.357,1.341,1.344
2022-01-10 01:00:00,1.348,1.36,1.345,1.355
2022-01-10 02:00:00,1.356,1.407,1.356,1.36
2022-01-10 03:00:00,1.36,1.365,1.333,1.338
2022-01-10 04:00:00,1.336,1.358,1.305,1.326
2022-01-10 05:00:00,1.326,1.344,1.324,1.33
2022-01-10 06:00:00,1.329,1.329,1.309,1.311
2022-01-10 07:00:00,1.313,1.316,1.278,1.287
2022-01-10 08:00:00,1.281,1.281,1.262,1.262
2022-01-10 09:00:00,1.258,1.26,1.189,1.233
2022-01-10 10:00:00,1.229,1.268,1.226,1.257
2022-01-10 11:00:00,1.249,1.277,1.248,1.272
2022-01-10 12:00:00,1.272,1.272,1.228,1.244
2022-01-10 13:00:00,1.245,1.255,1.243,1.255
2022-01-10 14:00:00,1.255,1.257,1.246,1.247
2022-01-10 15:00:00,1.248,1.267,1.243,1.267
2022-01-10 16:00:00,1.263,1.263,1.252,1.253
2022-01-10 17:00:00,1.256,1.26,1.251,1.258
2022-01-10 18:00:00,1.256,1.274,1.254,1.266
2022-01-10 19:00:00,1.267,1.294,1.253,1.294
2022-01-10 20:00:00,1.295,1.31,1.285,1.298
2022-01-10 21:00:00,1.297,1.302,1.285,1.295
2022-01-10 22:00:00,1.29,1.293,1.283,1.293
2022-01-10 23:00:00,1.293,1.294,1.28,1.286
2022-01-11 00:00:00,1.287,1.287,1.27,1.281
2022-01-11 01:00:00,1.284,1.286,1.26,1.264
2022-01-11 02:00:00,1.264,1.274,1.264,1.273
2022-01-11 03:00:00,1.274,1.286,1.27,1.27
2022-01-11 04:00:00,1.268,1.282,1.267,1.276
2022-01-11 05:00:00,1.277,1.28,1.257,1.257
2022-01-11 06:00:00,1.258,1.272,1.258,1.272
2022-01-11 07:00:00,1.272,1.289,1.268,1.287
2022-01-11 08:00:00,1.281,1.31,1.281,1.292
2022-01-11 09:00:00,1.29,1.296,1.277,1.292
2022-01-11 10:00:00,1.294,1.303,1.28,1.29
2022-01-11 11:00:00,1.296,1.314,1.296,1.313
2022-01-11 12:00:00,1.311,1.322,1.298,1.304
2022-01-11 13:00:00,1.303,1.311,1.303,1.305
2022-01-11 14:00:00,1.301,1.31,1.299,1.309
2022-01-11 15:00:00,1.308,1.309,1.301,1.304
2022-01-11 16:00:00,1.305,1.308,1.302,1.304
2022-01-11 17:00:00,1.304,1.311,1.304,1.309
2022-01-11 18:00:00,1.308,1.318,1.308,1.314
2022-01-11 19:00:00,1.311,1.313,1.301,1.304
2022-01-11 20:00:00,1.305,1.311,1.303,1.31
2022-01-11 21:00:00,1.31,1.31,1.286,1.295
2022-01-11 22:00:00,1.295,1.325,1.294,1.311
2022-01-11 23:00:00,1.311,1.318,1.308,1.31
2022-01-12 00:00:00,1.314,1.314,1.307,1.309
2022-01-12 01:00:00,1.31,1.315,1.306,1.31
2022-01-12 02:00:00,1.308,1.308,1.301,1.303
2022-01-12 03:00:00,1.303,1.317,1.302,1.316
2022-01-12 04:00:00,1.315,1.323,1.314,1.32
2022-01-12 05:00:00,1.32,1.333,1.32,1.329
2022-01-12 06:00:00,1.328,1.336,1.315,1.326
2022-01-12 07:00:00,1.325,1.331,1.305,1.331
2022-01-12 08:00:00,1.333,1.352,1.332,1.35
2022-01-12 09:00:00,1.35,1.354,1.339,1.349
2022-01-12 10:00:00,1.348,1.351,1.34,1.349
2022-01-12 11:00:00,1.35,1.353,1.343,1.35
2022-01-12 12:00:00,1.347,1.367,1.347,1.362
2022-01-12 13:00:00,1.361,1.363,1.359,1.363
2022-01-12 14:00:00,1.36,1.384,1.36,1.382
2022-01-12 15:00:00,1.382,1.398,1.374,1.389
2022-01-12 16:00:00,1.391,1.394,1.37,1.372
2022-01-12 17:00:00,1.373,1.384,1.371,1.377
2022-01-12 18:00:00,1.376,1.379,1.369,1.379
2022-01-12 19:00:00,1.368,1.46,1.367,1.404
