datetime,STXBUSD_open,STXBUSD_high,STXBUSD_low,STXBUSD_close
2022-01-01 00:00:00,2.225,2.26,2.225,2.251
2022-01-01 01:00:00,2.245,2.249,2.228,2.228
2022-01-01 02:00:00,2.226,2.24,2.222,2.24
2022-01-01 03:00:00,2.237,2.239,2.228,2.228
2022-01-01 04:00:00,2.232,2.234,2.225,2.233
2022-01-01 05:00:00,2.237,2.241,2.219,2.227
2022-01-01 06:00:00,2.221,2.232,2.215,2.215
2022-01-01 07:00:00,2.219,2.239,2.219,2.239
2022-01-01 08:00:00,2.236,2.247,2.235,2.24
2022-01-01 09:00:00,2.244,2.244,2.228,2.234
2022-01-01 10:00:00,2.238,2.252,2.219,2.237
2022-01-01 11:00:00,2.235,2.257,2.234,2.238
2022-01-01 12:00:00,2.241,2.27,2.235,2.266
2022-01-01 13:00:00,2.266,2.266,2.25,2.25
2022-01-01 14:00:00,2.251,2.257,2.249,2.257
2022-01-01 15:00:00,2.253,2.257,2.249,2.254
2022-01-01 16:00:00,2.251,2.263,2.251,2.252
2022-01-01 17:00:00,2.254,2.261,2.244,2.261
2022-01-01 18:00:00,2.259,2.292,2.257,2.281
2022-01-01 19:00:00,2.281,2.358,2.28,2.341
2022-01-01 20:00:00,2.337,2.337,2.304,2.313
2022-01-01 21:00:00,2.3,2.319,2.3,2.319
2022-01-01 22:00:00,2.321,2.344,2.318,2.329
2022-01-01 23:00:00,2.329,2.33,2.288,2.302
2022-01-02 00:00:00,2.298,2.305,2.295,2.303
2022-01-02 01:00:00,2.309,2.323,2.309,2.321
2022-01-02 02:00:00,2.318,2.324,2.305,2.324
2022-01-02 03:00:00,2.32,2.345,2.3,2.345
2022-01-02 04:00:00,2.342,2.374,2.318,2.364
2022-01-02 05:00:00,2.368,2.386,2.348,2.352
2022-01-02 06:00:00,2.352,2.4,2.352,2.381
2022-01-02 07:00:00,2.381,2.42,2.364,2.392
2022-01-02 08:00:00,2.391,2.394,2.353,2.353
2022-01-02 09:00:00,2.352,2.401,2.338,2.355
2022-01-02 10:00:00,2.358,2.383,2.354,2.365
2022-01-02 11:00:00,2.362,2.405,2.361,2.392
2022-01-02 12:00:00,2.395,2.413,2.377,2.383
2022-01-02 13:00:00,2.376,2.377,2.331,2.353
2022-01-02 14:00:00,2.356,2.366,2.349,2.349
2022-01-02 15:00:00,2.348,2.358,2.344,2.351
2022-01-02 16:00:00,2.346,2.372,2.343,2.357
2022-01-02 17:00:00,2.362,2.377,2.362,2.373
2022-01-02 18:00:00,2.377,2.402,2.376,2.398
2022-01-02 19:00:00,2.399,2.4,2.329,2.329
2022-01-02 20:00:00,2.329,2.349,2.322,2.349
2022-01-02 21:00:00,2.345,2.35,2.329,2.336
2022-01-02 22:00:00,2.336,2.347,2.319,2.323
2022-01-02 23:00:00,2.321,2.326,2.314,2.322
2022-01-03 00:00:00,2.319,2.34,2.319,2.34
2022-01-03 01:00:00,2.34,2.343,2.312,2.312
2022-01-03 02:00:00,2.312,2.334,2.298,2.334
2022-01-03 03:00:00,2.327,2.333,2.306,2.306
2022-01-03 04:00:00,2.315,2.315,2.282,2.288
2022-01-03 05:00:00,2.297,2.316,2.297,2.31
2022-01-03 06:00:00,2.31,2.329,2.307,2.318
2022-01-03 07:00:00,2.315,2.326,2.31,2.31
2022-01-03 08:00:00,2.309,2.321,2.309,2.316
2022-01-03 09:00:00,2.31,2.319,2.296,2.303
2022-01-03 10:00:00,2.305,2.31,2.286,2.286
2022-01-03 11:00:00,2.286,2.291,2.226,2.27
2022-01-03 12:00:00,2.271,2.3,2.27,2.298
2022-01-03 13:00:00,2.302,2.312,2.279,2.28
2022-01-03 14:00:00,2.279,2.299,2.276,2.276
2022-01-03 15:00:00,2.276,2.276,2.239,2.25
2022-01-03 16:00:00,2.248,2.279,2.232,2.269
2022-01-03 17:00:00,2.262,2.286,2.262,2.286
2022-01-03 18:00:00,2.286,2.312,2.282,2.29
2022-01-03 19:00:00,2.293,2.33,2.273,2.304
2022-01-03 20:00:00,2.294,2.309,2.279,2.282
2022-01-03 21:00:00,2.289,2.299,2.254,2.28
2022-01-03 22:00:00,2.29,2.294,2.269,2.291
2022-01-03 23:00:00,2.293,2.294,2.268,2.27
2022-01-04 00:00:00,2.27,2.294,2.27,2.275
2022-01-04 01:00:00,2.273,2.304,2.273,2.304
2022-01-04 02:00:00,2.304,2.377,2.298,2.353
2022-01-04 03:00:00,2.354,2.358,2.32,2.328
