datetime,SUPERBUSD_open,SUPERBUSD_high,SUPERBUSD_low,SUPERBUSD_close
2022-01-01 00:00:00,1.1359,1.1544,1.1352,1.1511
2022-01-01 01:00:00,1.1507,1.1507,1.1429,1.1437
2022-01-01 02:00:00,1.1442,1.1474,1.1399,1.1459
2022-01-01 03:00:00,1.1481,1.157,1.1445,1.1445
2022-01-01 04:00:00,1.1444,1.1506,1.1371,1.1441
2022-01-01 05:00:00,1.1442,1.1499,1.1366,1.1388
2022-01-01 06:00:00,1.1397,1.1418,1.1363,1.1363
2022-01-01 07:00:00,1.1365,1.1477,1.1364,1.1477
2022-01-01 08:00:00,1.1477,1.1714,1.1443,1.1561
2022-01-01 09:00:00,1.1597,1.1597,1.1464,1.155
2022-01-01 10:00:00,1.1539,1.1687,1.1539,1.1627
2022-01-01 11:00:00,1.1627,1.1826,1.1603,1.1722
2022-01-01 12:00:00,1.1774,1.1872,1.1651,1.181
2022-01-01 13:00:00,1.1847,1.1848,1.1539,1.1586
2022-01-01 14:00:00,1.1595,1.1622,1.1527,1.1598
2022-01-01 15:00:00,1.16,1.1711,1.1591,1.1691
2022-01-01 16:00:00,1.1692,1.1692,1.1555,1.1587
2022-01-01 17:00:00,1.16,1.1631,1.1555,1.1565
2022-01-01 18:00:00,1.1564,1.1726,1.1562,1.1716
2022-01-01 19:00:00,1.1728,1.1863,1.1638,1.1858
2022-01-01 20:00:00,1.1867,1.1892,1.1687,1.17
2022-01-01 21:00:00,1.1701,1.1813,1.1679,1.1716
2022-01-01 22:00:00,1.1739,1.1754,1.1689,1.1725
2022-01-01 23:00:00,1.172,1.172,1.1572,1.1631
2022-01-02 00:00:00,1.1601,1.1813,1.1572,1.1641
2022-01-02 01:00:00,1.1684,1.1728,1.1673,1.1673
2022-01-02 02:00:00,1.1688,1.179,1.1688,1.1715
2022-01-02 03:00:00,1.1713,1.1744,1.1654,1.1744
2022-01-02 04:00:00,1.1728,1.1777,1.168,1.1689
2022-01-02 05:00:00,1.1715,1.177,1.1681,1.1744
2022-01-02 06:00:00,1.17,1.1767,1.169,1.1726
2022-01-02 07:00:00,1.1719,1.1768,1.1582,1.1713
2022-01-02 08:00:00,1.1747,1.1779,1.1642,1.1681
2022-01-02 09:00:00,1.1643,1.1669,1.1565,1.1635
2022-01-02 10:00:00,1.1671,1.1676,1.1494,1.1569
2022-01-02 11:00:00,1.1569,1.1738,1.1549,1.1719
2022-01-02 12:00:00,1.1719,1.1745,1.1576,1.1626
