datetime,SUSHIBUSD_open,SUSHIBUSD_high,SUSHIBUSD_low,SUSHIBUSD_close
2022-01-01 00:00:00,9.33,9.474,9.261,9.411
2022-01-01 01:00:00,9.405,9.411,9.281,9.291
2022-01-01 02:00:00,9.306,9.394,9.279,9.364
2022-01-01 03:00:00,9.358,9.372,9.284,9.338
2022-01-01 04:00:00,9.338,9.338,9.025,9.162
2022-01-01 05:00:00,9.165,9.212,9.061,9.11
2022-01-01 06:00:00,9.118,9.155,9.08,9.11
2022-01-01 07:00:00,9.118,9.21,9.102,9.187
2022-01-01 08:00:00,9.198,9.272,9.15,9.191
2022-01-01 09:00:00,9.193,9.193,9.089,9.14
2022-01-01 10:00:00,9.144,9.263,9.126,9.195
2022-01-01 11:00:00,9.197,9.25,9.14,9.161
2022-01-01 12:00:00,9.156,9.26,9.102,9.246
2022-01-01 13:00:00,9.246,9.327,9.18,9.23
2022-01-01 14:00:00,9.232,9.245,9.125,9.125
2022-01-01 15:00:00,9.143,9.235,9.142,9.214
2022-01-01 16:00:00,9.206,9.223,9.158,9.17
2022-01-01 17:00:00,9.178,9.191,9.046,9.076
2022-01-01 18:00:00,9.097,9.181,9.083,9.138
2022-01-01 19:00:00,9.13,9.13,8.907,8.976
2022-01-01 20:00:00,8.978,9.033,8.926,8.983
2022-01-01 21:00:00,8.982,9.025,8.935,8.979
2022-01-01 22:00:00,8.979,9.054,8.979,9.04
2022-01-01 23:00:00,9.03,9.077,8.905,8.95
2022-01-02 00:00:00,8.942,9.025,8.931,9.025
2022-01-02 01:00:00,9.018,9.018,8.914,8.951
2022-01-02 02:00:00,8.949,9.012,8.915,8.931
2022-01-02 03:00:00,8.916,8.925,8.823,8.886
2022-01-02 04:00:00,8.891,8.99,8.876,8.939
2022-01-02 05:00:00,8.931,8.968,8.904,8.923
2022-01-02 06:00:00,8.919,9.033,8.919,9.018
2022-01-02 07:00:00,9.031,9.254,9.031,9.142
2022-01-02 08:00:00,9.147,9.368,9.139,9.284
2022-01-02 09:00:00,9.281,9.354,9.166,9.166
2022-01-02 10:00:00,9.187,9.324,9.18,9.266
2022-01-02 11:00:00,9.257,9.316,9.182,9.273
2022-01-02 12:00:00,9.269,9.364,9.185,9.281
2022-01-02 13:00:00,9.288,9.288,8.935,9.098
2022-01-02 14:00:00,9.097,9.16,9.028,9.028
2022-01-02 15:00:00,9.03,9.133,8.974,9.103
2022-01-02 16:00:00,9.091,9.109,8.929,8.975
2022-01-02 17:00:00,8.977,9.092,8.977,9.011
2022-01-02 18:00:00,9.024,9.079,8.925,8.929
2022-01-02 19:00:00,8.938,9.013,8.917,8.99
2022-01-02 20:00:00,8.966,9.008,8.933,8.959
2022-01-02 21:00:00,8.959,9.043,8.931,9.039
2022-01-02 22:00:00,9.033,9.048,8.792,8.861
2022-01-02 23:00:00,8.852,9.054,8.852,8.949
2022-01-03 00:00:00,8.963,9.134,8.963,9.08
2022-01-03 01:00:00,9.084,9.174,9.043,9.078
2022-01-03 02:00:00,9.069,9.157,9.04,9.092
2022-01-03 03:00:00,9.1,9.138,9.065,9.138
