datetime,SXPBUSD_open,SXPBUSD_high,SXPBUSD_low,SXPBUSD_close
2022-01-01 00:00:00,2.09,2.134,2.09,2.124
2022-01-01 01:00:00,2.128,2.141,2.093,2.103
2022-01-01 02:00:00,2.106,2.123,2.102,2.108
2022-01-01 03:00:00,2.109,2.12,2.083,2.083
2022-01-01 04:00:00,2.09,2.094,2.07,2.094
2022-01-01 05:00:00,2.095,2.1,2.062,2.078
2022-01-01 06:00:00,2.08,2.103,2.08,2.083
2022-01-01 07:00:00,2.085,2.177,2.083,2.133
2022-01-01 08:00:00,2.133,2.149,2.112,2.117
2022-01-01 09:00:00,2.114,2.137,2.108,2.12
2022-01-01 10:00:00,2.117,2.143,2.114,2.13
2022-01-01 11:00:00,2.131,2.149,2.113,2.125
2022-01-01 12:00:00,2.125,2.145,2.12,2.13
2022-01-01 13:00:00,2.131,2.139,2.118,2.124
2022-01-01 14:00:00,2.126,2.199,2.126,2.183
2022-01-01 15:00:00,2.183,2.207,2.167,2.193
2022-01-01 16:00:00,2.188,2.189,2.164,2.184
2022-01-01 17:00:00,2.184,2.243,2.174,2.228
2022-01-01 18:00:00,2.228,2.268,2.211,2.257
2022-01-01 19:00:00,2.265,2.358,2.241,2.355
2022-01-01 20:00:00,2.349,2.355,2.312,2.313
2022-01-01 21:00:00,2.311,2.319,2.268,2.289
2022-01-01 22:00:00,2.29,2.322,2.288,2.307
2022-01-01 23:00:00,2.307,2.308,2.262,2.278
2022-01-02 00:00:00,2.28,2.311,2.276,2.301
2022-01-02 01:00:00,2.301,2.305,2.284,2.302
2022-01-02 02:00:00,2.3,2.343,2.298,2.317
2022-01-02 03:00:00,2.313,2.314,2.264,2.288
2022-01-02 04:00:00,2.288,2.304,2.263,2.265
2022-01-02 05:00:00,2.265,2.265,2.195,2.207
2022-01-02 06:00:00,2.206,2.231,2.205,2.224
2022-01-02 07:00:00,2.223,2.227,2.185,2.196
2022-01-02 08:00:00,2.195,2.206,2.15,2.152
2022-01-02 09:00:00,2.154,2.166,2.134,2.143
2022-01-02 10:00:00,2.143,2.175,2.137,2.169
2022-01-02 11:00:00,2.169,2.212,2.166,2.208
2022-01-02 12:00:00,2.21,2.215,2.155,2.165
2022-01-02 13:00:00,2.165,2.175,2.136,2.174
2022-01-02 14:00:00,2.174,2.185,2.141,2.15
2022-01-02 15:00:00,2.152,2.153,2.122,2.153
2022-01-02 16:00:00,2.15,2.15,2.097,2.123
2022-01-02 17:00:00,2.124,2.165,2.116,2.158
2022-01-02 18:00:00,2.16,2.163,2.129,2.137
2022-01-02 19:00:00,2.139,2.139,2.072,2.074
2022-01-02 20:00:00,2.071,2.085,2.048,2.081
2022-01-02 21:00:00,2.08,2.085,2.057,2.066
2022-01-02 22:00:00,2.068,2.072,2.036,2.056
2022-01-02 23:00:00,2.054,2.059,2.021,2.029
2022-01-03 00:00:00,2.029,2.062,2.025,2.045
2022-01-03 01:00:00,2.045,2.049,2.03,2.032
2022-01-03 02:00:00,2.03,2.055,2.025,2.05
2022-01-03 03:00:00,2.049,2.05,2.026,2.037
2022-01-03 04:00:00,2.04,2.047,2.025,2.036
2022-01-03 05:00:00,2.036,2.064,2.036,2.051
2022-01-03 06:00:00,2.051,2.061,2.028,2.031
2022-01-03 07:00:00,2.034,2.046,2.03,2.043
2022-01-03 08:00:00,2.044,2.057,2.043,2.047
2022-01-03 09:00:00,2.047,2.047,2.032,2.04
2022-01-03 10:00:00,2.04,2.047,1.982,1.994
2022-01-03 11:00:00,1.993,2.001,1.92,1.951
2022-01-03 12:00:00,1.951,1.972,1.939,1.957
2022-01-03 13:00:00,1.958,1.975,1.946,1.95
2022-01-03 14:00:00,1.949,1.966,1.941,1.942
2022-01-03 15:00:00,1.941,1.945,1.904,1.934
2022-01-03 16:00:00,1.933,1.948,1.915,1.934
2022-01-03 17:00:00,1.932,1.961,1.931,1.947
2022-01-03 18:00:00,1.95,1.96,1.943,1.946
2022-01-03 19:00:00,1.946,1.947,1.88,1.895
2022-01-03 20:00:00,1.897,1.914,1.88,1.892
2022-01-03 21:00:00,1.89,1.899,1.862,1.882
2022-01-03 22:00:00,1.886,1.897,1.873,1.891
2022-01-03 23:00:00,1.89,1.898,1.875,1.877
2022-01-04 00:00:00,1.875,1.902,1.873,1.894
2022-01-04 01:00:00,1.894,1.921,1.893,1.918
2022-01-04 02:00:00,1.916,1.943,1.911,1.938
2022-01-04 03:00:00,1.94,1.966,1.933,1.941
2022-01-04 04:00:00,1.941,1.945,1.911,1.917
2022-01-04 05:00:00,1.917,1.943,1.916,1.939
2022-01-04 06:00:00,1.94,1.952,1.938,1.949
2022-01-04 07:00:00,1.95,1.952,1.913,1.929
2022-01-04 08:00:00,1.929,1.932,1.904,1.923
2022-01-04 09:00:00,1.928,1.972,1.924,1.958
2022-01-04 10:00:00,1.958,1.964,1.933,1.94
2022-01-04 11:00:00,1.941,1.941,1.912,1.927
2022-01-04 12:00:00,1.927,1.93,1.912,1.912
2022-01-04 13:00:00,1.912,1.924,1.843,1.86
2022-01-04 14:00:00,1.859,1.893,1.849,1.877
2022-01-04 15:00:00,1.878,1.895,1.871,1.885
2022-01-04 16:00:00,1.885,1.888,1.874,1.886
2022-01-04 17:00:00,1.883,1.886,1.868,1.878
2022-01-04 18:00:00,1.876,1.878,1.852,1.859
2022-01-04 19:00:00,1.862,1.968,1.852,1.954
2022-01-04 20:00:00,1.955,1.959,1.908,1.908
2022-01-04 21:00:00,1.913,1.926,1.91,1.913
2022-01-04 22:00:00,1.916,1.93,1.911,1.919
2022-01-04 23:00:00,1.921,1.928,1.908,1.922
2022-01-05 00:00:00,1.92,1.93,1.911,1.925
2022-01-05 01:00:00,1.925,1.933,1.916,1.93
2022-01-05 02:00:00,1.93,1.934,1.914,1.931
2022-01-05 03:00:00,1.932,1.933,1.918,1.93
2022-01-05 04:00:00,1.931,1.935,1.924,1.933
2022-01-05 05:00:00,1.934,1.938,1.918,1.924
2022-01-05 06:00:00,1.926,1.926,1.873,1.888
2022-01-05 07:00:00,1.888,1.892,1.861,1.878
2022-01-05 08:00:00,1.878,1.904,1.875,1.903
2022-01-05 09:00:00,1.902,1.91,1.887,1.903
2022-01-05 10:00:00,1.904,1.905,1.888,1.898
2022-01-05 11:00:00,1.899,1.901,1.878,1.879
2022-01-05 12:00:00,1.879,1.889,1.83,1.836
2022-01-05 13:00:00,1.833,1.856,1.815,1.838
2022-01-05 14:00:00,1.838,1.847,1.721,1.75
2022-01-05 15:00:00,1.749,1.765,1.691,1.717
2022-01-05 16:00:00,1.719,1.739,1.662,1.662
2022-01-05 17:00:00,1.662,1.68,1.57,1.655
2022-01-05 18:00:00,1.654,1.676,1.643,1.656
2022-01-05 19:00:00,1.655,1.683,1.641,1.682
2022-01-05 20:00:00,1.683,1.683,1.636,1.65
2022-01-05 21:00:00,1.647,1.653,1.616,1.622
2022-01-05 22:00:00,1.621,1.629,1.595,1.595
2022-01-05 23:00:00,1.6,1.635,1.597,1.634
2022-01-06 00:00:00,1.63,1.654,1.621,1.64
2022-01-06 01:00:00,1.636,1.645,1.625,1.637
2022-01-06 02:00:00,1.638,1.656,1.632,1.65
2022-01-06 03:00:00,1.65,1.65,1.61,1.626
2022-01-06 04:00:00,1.627,1.627,1.585,1.595
2022-01-06 05:00:00,1.6,1.627,1.6,1.618
2022-01-06 06:00:00,1.62,1.625,1.603,1.619
2022-01-06 07:00:00,1.625,1.632,1.604,1.632
2022-01-06 08:00:00,1.634,1.647,1.628,1.646
2022-01-06 09:00:00,1.645,1.674,1.63,1.641
2022-01-06 10:00:00,1.646,1.65,1.625,1.648
2022-01-06 11:00:00,1.645,1.66,1.635,1.658
2022-01-06 12:00:00,1.658,1.677,1.651,1.668
2022-01-06 13:00:00,1.668,1.699,1.668,1.699
2022-01-06 14:00:00,1.697,1.697,1.681,1.687
2022-01-06 15:00:00,1.687,1.696,1.666,1.675
2022-01-06 16:00:00,1.673,1.687,1.671,1.679
2022-01-06 17:00:00,1.677,1.716,1.674,1.699
2022-01-06 18:00:00,1.696,1.708,1.686,1.701
